epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547472421400,2019-01-14T14:27:01.400,0.000,-0.181,0.796,-0.383
1547472421480,2019-01-14T14:27:01.480,0.080,-0.192,0.823,-0.424
1547472421560,2019-01-14T14:27:01.560,0.160,-0.203,0.808,-0.421
1547472421640,2019-01-14T14:27:01.640,0.240,-0.217,0.833,-0.439
1547472421720,2019-01-14T14:27:01.720,0.320,-0.206,0.845,-0.446
1547472421800,2019-01-14T14:27:01.800,0.400,-0.209,0.867,-0.454
1547472421880,2019-01-14T14:27:01.880,0.480,-0.247,1.047,-0.495
1547472421960,2019-01-14T14:27:01.960,0.560,-0.359,1.422,-0.630
1547472422040,2019-01-14T14:27:02.040,0.640,-0.334,1.267,-0.578
1547472422120,2019-01-14T14:27:02.120,0.720,-0.254,0.860,-0.454
1547472422200,2019-01-14T14:27:02.200,0.800,-0.269,0.789,-0.442
1547472422280,2019-01-14T14:27:02.280,0.880,-0.292,0.804,-0.414
1547472422360,2019-01-14T14:27:02.360,0.960,-0.282,0.811,-0.442
1547472422440,2019-01-14T14:27:02.440,1.040,-0.277,0.833,-0.438
1547472422520,2019-01-14T14:27:02.520,1.120,-0.262,0.862,-0.444
1547472422600,2019-01-14T14:27:02.600,1.200,-0.256,0.882,-0.404
1547472422680,2019-01-14T14:27:02.680,1.280,-0.210,0.892,-0.410
1547472422760,2019-01-14T14:27:02.760,1.360,-0.209,0.926,-0.362
1547472422840,2019-01-14T14:27:02.840,1.440,-0.165,0.771,-0.228
1547472422920,2019-01-14T14:27:02.920,1.520,-0.054,0.523,-0.364
1547472423000,2019-01-14T14:27:03.000,1.600,-0.165,0.750,-0.247
1547472423080,2019-01-14T14:27:03.080,1.680,-0.178,0.965,-0.394
1547472423160,2019-01-14T14:27:03.160,1.760,-0.160,0.638,-0.263
1547472423240,2019-01-14T14:27:03.240,1.840,-0.107,0.587,-0.352
1547472423320,2019-01-14T14:27:03.320,1.920,-0.170,0.725,-0.365
1547472423400,2019-01-14T14:27:03.400,2.000,-0.196,0.814,-0.416
1547472423480,2019-01-14T14:27:03.480,2.080,-0.212,0.815,-0.413
1547472423560,2019-01-14T14:27:03.560,2.160,-0.219,0.836,-0.377
1547472423640,2019-01-14T14:27:03.640,2.240,-0.216,0.931,-0.386
1547472423720,2019-01-14T14:27:03.720,2.320,-0.291,1.293,-0.471
1547472423800,2019-01-14T14:27:03.800,2.400,-0.375,1.602,-0.591
1547472423880,2019-01-14T14:27:03.880,2.480,-0.311,1.214,-0.481
1547472423960,2019-01-14T14:27:03.960,2.560,-0.229,0.798,-0.382
1547472424040,2019-01-14T14:27:04.040,2.640,-0.248,0.775,-0.417
1547472424120,2019-01-14T14:27:04.120,2.720,-0.269,0.796,-0.396
1547472424200,2019-01-14T14:27:04.200,2.800,-0.253,0.817,-0.430
1547472424280,2019-01-14T14:27:04.280,2.880,-0.255,0.839,-0.424
1547472424360,2019-01-14T14:27:04.360,2.960,-0.251,0.848,-0.417
1547472424440,2019-01-14T14:27:04.440,3.040,-0.245,0.865,-0.425
1547472424520,2019-01-14T14:27:04.520,3.120,-0.237,0.889,-0.432
1547472424600,2019-01-14T14:27:04.600,3.200,-0.223,0.930,-0.427
1547472424680,2019-01-14T14:27:04.680,3.280,-0.180,0.899,-0.378
1547472424760,2019-01-14T14:27:04.760,3.360,-0.114,0.559,-0.258
1547472424840,2019-01-14T14:27:04.840,3.440,-0.072,0.572,-0.336
1547472424920,2019-01-14T14:27:04.920,3.520,-0.132,0.901,-0.358
1547472425000,2019-01-14T14:27:05.000,3.600,-0.116,0.737,-0.375
1547472425080,2019-01-14T14:27:05.080,3.680,-0.057,0.561,-0.388
1547472425160,2019-01-14T14:27:05.160,3.760,-0.113,0.700,-0.429
1547472425240,2019-01-14T14:27:05.240,3.840,-0.164,0.776,-0.479
1547472425320,2019-01-14T14:27:05.320,3.920,-0.180,0.785,-0.501
1547472425400,2019-01-14T14:27:05.400,4.000,-0.181,0.796,-0.492
1547472425480,2019-01-14T14:27:05.480,4.080,-0.207,0.873,-0.465
1547472425560,2019-01-14T14:27:05.560,4.160,-0.251,1.150,-0.480
1547472425640,2019-01-14T14:27:05.640,4.240,-0.344,1.565,-0.607
1547472425720,2019-01-14T14:27:05.720,4.320,-0.312,1.315,-0.462
1547472425800,2019-01-14T14:27:05.800,4.400,-0.215,0.848,-0.340
1547472425880,2019-01-14T14:27:05.880,4.480,-0.216,0.792,-0.349
1547472425960,2019-01-14T14:27:05.960,4.560,-0.202,0.810,-0.429
1547472426040,2019-01-14T14:27:06.040,4.640,-0.246,0.825,-0.369
1547472426120,2019-01-14T14:27:06.120,4.720,-0.257,0.835,-0.395
