epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547472420993,2019-01-14T14:27:00.993,0.000,2.317,-2.500,-9.695
1547472421033,2019-01-14T14:27:01.033,0.040,3.110,-0.793,-9.207
1547472421073,2019-01-14T14:27:01.073,0.080,3.232,2.134,-2.500
1547472421113,2019-01-14T14:27:01.113,0.120,2.988,2.195,-11.159
1547472421153,2019-01-14T14:27:01.153,0.160,18.354,-7.866,-14.451
1547472421193,2019-01-14T14:27:01.193,0.200,28.049,-10.610,-5.427
1547472421233,2019-01-14T14:27:01.233,0.240,15.915,-6.098,-17.134
1547472421273,2019-01-14T14:27:01.273,0.280,25.122,-4.756,-6.220
1547472421313,2019-01-14T14:27:01.313,0.320,29.878,-8.476,-6.524
1547472421353,2019-01-14T14:27:01.353,0.360,30.427,-7.683,2.439
1547472421393,2019-01-14T14:27:01.393,0.400,22.317,-1.341,-2.927
1547472421433,2019-01-14T14:27:01.433,0.440,23.476,-2.805,-8.659
1547472421473,2019-01-14T14:27:01.473,0.480,23.720,-11.829,-4.390
1547472421513,2019-01-14T14:27:01.513,0.520,16.037,-11.768,-0.122
1547472421553,2019-01-14T14:27:01.553,0.560,6.159,-10.549,-1.524
1547472421593,2019-01-14T14:27:01.593,0.600,1.037,-13.963,-0.061
1547472421633,2019-01-14T14:27:01.633,0.640,1.585,-13.049,3.415
1547472421673,2019-01-14T14:27:01.673,0.680,12.012,-14.695,11.098
1547472421713,2019-01-14T14:27:01.713,0.720,8.171,-16.159,19.939
1547472421753,2019-01-14T14:27:01.753,0.760,15.854,-17.195,19.512
1547472421793,2019-01-14T14:27:01.793,0.800,24.207,-15.488,26.707
1547472421833,2019-01-14T14:27:01.833,0.840,-0.671,-11.402,24.939
1547472421873,2019-01-14T14:27:01.873,0.880,-5.671,-7.134,11.951
1547472421913,2019-01-14T14:27:01.913,0.920,-2.500,-1.951,-2.012
1547472421953,2019-01-14T14:27:01.953,0.960,-6.768,2.927,-24.085
1547472421993,2019-01-14T14:27:01.993,1.000,-8.049,2.988,-37.195
1547472422033,2019-01-14T14:27:02.033,1.040,-2.927,-1.646,-26.951
1547472422073,2019-01-14T14:27:02.073,1.080,-19.329,3.902,-24.329
1547472422113,2019-01-14T14:27:02.113,1.120,-22.927,2.073,-25.305
1547472422153,2019-01-14T14:27:02.153,1.160,-9.207,2.866,-17.317
1547472422193,2019-01-14T14:27:02.193,1.200,4.451,6.341,-2.683
1547472422233,2019-01-14T14:27:02.233,1.240,0.183,4.207,-0.671
1547472422273,2019-01-14T14:27:02.273,1.280,-14.329,2.195,-12.317
1547472422313,2019-01-14T14:27:02.313,1.320,-2.195,1.280,-2.561
1547472422353,2019-01-14T14:27:02.353,1.360,-3.659,-1.646,5.854
1547472422393,2019-01-14T14:27:02.393,1.400,-12.134,2.927,2.805
1547472422433,2019-01-14T14:27:02.433,1.440,-7.988,3.110,9.695
1547472422473,2019-01-14T14:27:02.473,1.480,-6.280,2.012,11.463
1547472422513,2019-01-14T14:27:02.513,1.520,-13.841,2.439,8.415
1547472422553,2019-01-14T14:27:02.553,1.560,-26.646,4.817,3.780
1547472422593,2019-01-14T14:27:02.593,1.600,-28.902,3.659,4.756
1547472422633,2019-01-14T14:27:02.633,1.640,-22.622,2.195,9.329
1547472422673,2019-01-14T14:27:02.673,1.680,-10.610,-0.976,24.268
1547472422713,2019-01-14T14:27:02.713,1.720,-24.756,-0.244,20.671
1547472422753,2019-01-14T14:27:02.753,1.760,-34.512,5.976,17.012
1547472422793,2019-01-14T14:27:02.793,1.800,-47.317,17.073,11.220
1547472422833,2019-01-14T14:27:02.833,1.840,-26.768,1.829,7.073
1547472422873,2019-01-14T14:27:02.873,1.880,52.317,-24.634,24.573
1547472422913,2019-01-14T14:27:02.913,1.920,36.768,-14.329,20.915
1547472422953,2019-01-14T14:27:02.953,1.960,1.951,-8.780,-5.915
1547472422993,2019-01-14T14:27:02.993,2.000,4.817,-3.354,1.951
1547472423033,2019-01-14T14:27:03.033,2.040,15.915,-1.707,-2.744
1547472423073,2019-01-14T14:27:03.073,2.080,27.561,-7.744,15.183
1547472423113,2019-01-14T14:27:03.113,2.120,4.756,-7.195,-11.585
1547472423153,2019-01-14T14:27:03.153,2.160,14.390,-2.134,-18.902
1547472423193,2019-01-14T14:27:03.193,2.200,35.427,-10.122,-5.976
1547472423233,2019-01-14T14:27:03.233,2.240,18.049,-5.183,-16.951
1547472423273,2019-01-14T14:27:03.273,2.280,11.220,-4.939,-19.207
1547472423313,2019-01-14T14:27:03.313,2.320,7.683,-3.963,-16.280
1547472423353,2019-01-14T14:27:03.353,2.360,20.854,-7.683,-6.524
1547472423393,2019-01-14T14:27:03.393,2.400,-4.207,-3.110,-12.012
1547472423433,2019-01-14T14:27:03.433,2.440,5.366,-0.305,-3.476
1547472423473,2019-01-14T14:27:03.473,2.480,20.854,-6.890,12.439
1547472423513,2019-01-14T14:27:03.513,2.520,2.683,-5.854,12.439
1547472423553,2019-01-14T14:27:03.553,2.560,8.841,-12.256,19.146
1547472423593,2019-01-14T14:27:03.593,2.600,-2.744,-14.695,26.280
1547472423633,2019-01-14T14:27:03.633,2.640,0.976,-15.244,23.598
1547472423673,2019-01-14T14:27:03.673,2.680,7.134,-17.073,26.280
1547472423713,2019-01-14T14:27:03.713,2.720,-2.073,-16.951,15.427
1547472423753,2019-01-14T14:27:03.753,2.760,8.110,2.744,-6.037
1547472423793,2019-01-14T14:27:03.793,2.800,15.549,15.366,-22.317
1547472423833,2019-01-14T14:27:03.833,2.840,8.659,15.854,-34.329
1547472423873,2019-01-14T14:27:03.873,2.880,-5.793,8.963,-33.293
1547472423913,2019-01-14T14:27:03.913,2.920,-11.220,6.098,-21.951
1547472423953,2019-01-14T14:27:03.953,2.960,-15.061,4.207,-22.317
1547472423993,2019-01-14T14:27:03.993,3.000,-14.817,7.317,-19.756
1547472424033,2019-01-14T14:27:04.033,3.040,0.488,-2.378,-5.183
1547472424073,2019-01-14T14:27:04.073,3.080,-5.976,3.476,-7.012
1547472424113,2019-01-14T14:27:04.113,3.120,-19.573,9.695,-12.744
1547472424153,2019-01-14T14:27:04.153,3.160,5.061,3.598,5.183
1547472424193,2019-01-14T14:27:04.193,3.200,0.854,5.427,-3.171
1547472424233,2019-01-14T14:27:04.233,3.240,-0.427,1.280,-5.488
1547472424273,2019-01-14T14:27:04.273,3.280,17.622,0.976,13.963
1547472424313,2019-01-14T14:27:04.313,3.320,4.451,1.280,8.537
1547472424353,2019-01-14T14:27:04.353,3.360,7.622,-1.707,11.829
1547472424393,2019-01-14T14:27:04.393,3.400,0.793,-2.683,15.061
1547472424433,2019-01-14T14:27:04.433,3.440,-13.780,-0.488,13.049
1547472424473,2019-01-14T14:27:04.473,3.480,-24.573,4.268,6.220
1547472424513,2019-01-14T14:27:04.513,3.520,-13.293,0.244,19.878
1547472424553,2019-01-14T14:27:04.553,3.560,-18.171,0.793,18.780
1547472424593,2019-01-14T14:27:04.593,3.600,-24.817,2.622,18.720
1547472424633,2019-01-14T14:27:04.633,3.640,-23.902,2.988,32.317
1547472424673,2019-01-14T14:27:04.673,3.680,-18.780,4.207,35.854
1547472424713,2019-01-14T14:27:04.713,3.720,-6.524,-9.329,16.890
1547472424753,2019-01-14T14:27:04.753,3.760,9.756,-8.049,5.610
1547472424793,2019-01-14T14:27:04.793,3.800,22.866,3.110,2.683
1547472424833,2019-01-14T14:27:04.833,3.840,26.402,2.500,6.037
1547472424873,2019-01-14T14:27:04.873,3.880,16.463,0.061,0.793
1547472424913,2019-01-14T14:27:04.913,3.920,8.232,2.317,-1.646
1547472424953,2019-01-14T14:27:04.953,3.960,7.195,1.524,-22.500
1547472424993,2019-01-14T14:27:04.993,4.000,28.415,-8.232,-12.988
1547472425033,2019-01-14T14:27:05.033,4.040,34.085,-7.561,-8.659
1547472425073,2019-01-14T14:27:05.073,4.080,39.451,-9.207,-8.415
1547472425113,2019-01-14T14:27:05.113,4.120,30.732,-8.110,-14.329
1547472425153,2019-01-14T14:27:05.153,4.160,38.110,-10.244,-0.793
1547472425193,2019-01-14T14:27:05.193,4.200,14.939,-0.122,-8.171
1547472425233,2019-01-14T14:27:05.233,4.240,16.220,-7.195,-7.134
1547472425273,2019-01-14T14:27:05.273,4.280,0.976,-6.037,-4.329
1547472425313,2019-01-14T14:27:05.313,4.320,-1.951,-9.085,-3.232
1547472425353,2019-01-14T14:27:05.353,4.360,-5.793,-11.341,7.195
1547472425393,2019-01-14T14:27:05.393,4.400,-9.024,-9.939,15.915
1547472425433,2019-01-14T14:27:05.433,4.440,-13.659,-10.854,19.024
1547472425473,2019-01-14T14:27:05.473,4.480,-29.634,-4.512,13.659
1547472425513,2019-01-14T14:27:05.513,4.520,-41.707,-1.707,13.720
1547472425553,2019-01-14T14:27:05.553,4.560,-43.476,1.341,11.646
1547472425593,2019-01-14T14:27:05.593,4.600,-13.537,-2.805,-3.902
1547472425633,2019-01-14T14:27:05.633,4.640,11.524,3.171,-19.512
1547472425673,2019-01-14T14:27:05.673,4.680,9.573,12.500,-25.854
1547472425713,2019-01-14T14:27:05.713,4.720,8.537,16.829,-19.512
1547472425753,2019-01-14T14:27:05.753,4.760,-1.159,12.500,-20.244
1547472425793,2019-01-14T14:27:05.793,4.800,-32.378,9.085,-35.183
1547472425833,2019-01-14T14:27:05.833,4.840,-40.976,7.866,-38.110
1547472425873,2019-01-14T14:27:05.873,4.880,-13.780,13.415,-22.378
1547472425913,2019-01-14T14:27:05.913,4.920,14.573,6.951,-8.963
1547472425953,2019-01-14T14:27:05.953,4.960,17.988,1.768,1.341
1547472425993,2019-01-14T14:27:05.993,5.000,22.195,-4.573,2.744
1547472426033,2019-01-14T14:27:06.033,5.040,6.707,-2.317,-7.500
1547472426073,2019-01-14T14:27:06.073,5.080,6.159,2.378,-4.756
1547472426113,2019-01-14T14:27:06.113,5.120,16.341,-1.707,5.976
1547472426153,2019-01-14T14:27:06.153,5.160,13.171,-3.780,3.415
1547472426193,2019-01-14T14:27:06.193,5.200,5.610,-1.951,6.159
1547472426233,2019-01-14T14:27:06.233,5.240,-13.659,-6.220,-3.841
