epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547219685355,2019-01-11T16:14:45.355,0.000,0.671,0.183,1.037
1547219685395,2019-01-11T16:14:45.395,0.040,0.366,-0.549,2.073
1547219685435,2019-01-11T16:14:45.435,0.080,1.402,-0.976,0.854
1547219685475,2019-01-11T16:14:45.475,0.120,0.610,-0.610,-1.280
1547219685515,2019-01-11T16:14:45.515,0.160,4.329,-4.512,-2.561
1547219685555,2019-01-11T16:14:45.555,0.200,4.329,-5.915,-2.622
1547219685595,2019-01-11T16:14:45.595,0.240,0.305,-1.463,0.549
1547219685635,2019-01-11T16:14:45.635,0.280,-2.256,-0.671,4.390
1547219685675,2019-01-11T16:14:45.675,0.320,-2.866,5.671,-3.963
1547219685715,2019-01-11T16:14:45.715,0.360,3.537,-3.171,-1.524
1547219685755,2019-01-11T16:14:45.755,0.400,6.524,-6.037,-0.732
1547219685795,2019-01-11T16:14:45.795,0.440,5.427,-6.829,-3.049
1547219685835,2019-01-11T16:14:45.835,0.480,4.634,-4.878,-7.744
1547219685875,2019-01-11T16:14:45.875,0.520,10.244,-4.085,-4.878
1547219685915,2019-01-11T16:14:45.915,0.560,14.024,0.976,-8.293
1547219685955,2019-01-11T16:14:45.955,0.600,9.695,5.549,-20.793
1547219685995,2019-01-11T16:14:45.995,0.640,12.805,-4.878,-16.585
1547219686035,2019-01-11T16:14:46.035,0.680,25.610,-14.695,-15.183
1547219686075,2019-01-11T16:14:46.075,0.720,27.073,-13.720,-15.976
1547219686115,2019-01-11T16:14:46.115,0.760,27.195,-11.951,-16.280
1547219686155,2019-01-11T16:14:46.155,0.800,20.671,-3.415,-26.829
1547219686195,2019-01-11T16:14:46.195,0.840,13.902,-2.195,-20.244
1547219686235,2019-01-11T16:14:46.235,0.880,18.293,-2.439,-17.805
1547219686275,2019-01-11T16:14:46.275,0.920,16.707,-13.354,-7.622
1547219686315,2019-01-11T16:14:46.315,0.960,13.171,-6.524,-0.305
1547219686355,2019-01-11T16:14:46.355,1.000,19.756,-16.951,0.427
1547219686395,2019-01-11T16:14:46.395,1.040,9.329,-11.951,-0.122
1547219686435,2019-01-11T16:14:46.435,1.080,6.402,-10.183,3.415
1547219686475,2019-01-11T16:14:46.475,1.120,-1.463,-12.988,7.805
1547219686515,2019-01-11T16:14:46.515,1.160,-6.890,-15.244,13.537
1547219686555,2019-01-11T16:14:46.555,1.200,-6.951,-18.720,8.415
1547219686595,2019-01-11T16:14:46.595,1.240,-14.817,-15.488,8.354
1547219686635,2019-01-11T16:14:46.635,1.280,-5.854,-26.220,13.110
1547219686675,2019-01-11T16:14:46.675,1.320,-8.110,-26.402,13.293
1547219686715,2019-01-11T16:14:46.715,1.360,-3.963,-23.720,9.390
1547219686755,2019-01-11T16:14:46.755,1.400,-16.951,-13.902,20.000
1547219686795,2019-01-11T16:14:46.795,1.440,-19.634,-8.049,16.098
1547219686835,2019-01-11T16:14:46.835,1.480,-16.220,3.902,-4.146
1547219686875,2019-01-11T16:14:46.875,1.520,-15.244,15.976,-14.634
1547219686915,2019-01-11T16:14:46.915,1.560,-4.390,15.061,-23.110
1547219686955,2019-01-11T16:14:46.955,1.600,8.110,15.732,-25.244
1547219686995,2019-01-11T16:14:46.995,1.640,8.902,13.720,-22.317
1547219687035,2019-01-11T16:14:47.035,1.680,1.037,6.768,-21.402
1547219687075,2019-01-11T16:14:47.075,1.720,-6.585,8.110,-30.061
1547219687115,2019-01-11T16:14:47.115,1.760,-6.280,7.988,-22.744
1547219687155,2019-01-11T16:14:47.155,1.800,3.110,7.256,-3.415
1547219687195,2019-01-11T16:14:47.195,1.840,-1.951,16.037,-10.976
1547219687235,2019-01-11T16:14:47.235,1.880,-2.805,12.683,-14.634
1547219687275,2019-01-11T16:14:47.275,1.920,17.134,-5.122,9.634
1547219687315,2019-01-11T16:14:47.315,1.960,22.439,0.061,16.341
1547219687355,2019-01-11T16:14:47.355,2.000,9.878,7.561,3.415
1547219687395,2019-01-11T16:14:47.395,2.040,5.122,0.427,5.732
1547219687435,2019-01-11T16:14:47.435,2.080,4.451,3.841,6.646
1547219687475,2019-01-11T16:14:47.475,2.120,2.134,-2.622,8.171
1547219687515,2019-01-11T16:14:47.515,2.160,2.317,-3.598,12.744
1547219687555,2019-01-11T16:14:47.555,2.200,-9.817,-0.061,7.012
1547219687595,2019-01-11T16:14:47.595,2.240,-11.951,4.146,12.012
1547219687635,2019-01-11T16:14:47.635,2.280,-8.902,-2.805,19.146
1547219687675,2019-01-11T16:14:47.675,2.320,-12.317,-3.780,21.280
1547219687715,2019-01-11T16:14:47.715,2.360,-22.561,5.610,14.695
1547219687755,2019-01-11T16:14:47.755,2.400,-16.463,0.610,25.305
1547219687795,2019-01-11T16:14:47.795,2.440,-22.256,9.512,23.232
1547219687835,2019-01-11T16:14:47.835,2.480,-30.305,15.061,24.817
1547219687875,2019-01-11T16:14:47.875,2.520,-30.915,16.402,32.378
1547219687915,2019-01-11T16:14:47.915,2.560,-30.915,24.939,31.463
1547219687955,2019-01-11T16:14:47.955,2.600,-9.146,19.024,12.744
1547219687995,2019-01-11T16:14:47.995,2.640,6.402,-11.280,16.341
1547219688035,2019-01-11T16:14:48.035,2.680,9.817,-25.122,7.500
1547219688075,2019-01-11T16:14:48.075,2.720,9.024,-26.159,2.622
1547219688115,2019-01-11T16:14:48.115,2.760,8.841,-7.378,-10.610
1547219688155,2019-01-11T16:14:48.155,2.800,13.232,-7.927,-1.037
1547219688195,2019-01-11T16:14:48.195,2.840,17.927,-10.915,3.232
1547219688235,2019-01-11T16:14:48.235,2.880,8.110,-5.366,-0.854
1547219688275,2019-01-11T16:14:48.275,2.920,1.098,1.524,-4.085
1547219688315,2019-01-11T16:14:48.315,2.960,6.890,-9.024,1.829
1547219688355,2019-01-11T16:14:48.355,3.000,6.585,-7.927,2.866
1547219688395,2019-01-11T16:14:48.395,3.040,0.793,-0.061,-4.939
1547219688435,2019-01-11T16:14:48.435,3.080,6.829,-2.622,-0.671
1547219688475,2019-01-11T16:14:48.475,3.120,12.500,-7.988,4.390
1547219688515,2019-01-11T16:14:48.515,3.160,-0.427,1.037,-7.012
1547219688555,2019-01-11T16:14:48.555,3.200,-6.098,6.280,-9.878
1547219688595,2019-01-11T16:14:48.595,3.240,4.695,-1.768,-7.866
1547219688635,2019-01-11T16:14:48.635,3.280,12.073,-14.451,-5.427
1547219688675,2019-01-11T16:14:48.675,3.320,12.927,-8.415,-19.695
1547219688715,2019-01-11T16:14:48.715,3.360,10.976,-4.207,-28.841
1547219688755,2019-01-11T16:14:48.755,3.400,18.293,-8.720,-24.756
1547219688795,2019-01-11T16:14:48.795,3.440,20.793,-10.183,-13.963
