epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547472169751,2019-01-14T14:22:49.751,0.000,-0.147,0.702,-0.276
1547472169831,2019-01-14T14:22:49.831,0.080,-0.120,0.710,-0.360
1547472169911,2019-01-14T14:22:49.911,0.160,-0.160,0.768,-0.392
1547472169991,2019-01-14T14:22:49.991,0.240,-0.208,0.817,-0.379
1547472170071,2019-01-14T14:22:50.071,0.320,-0.223,0.839,-0.403
1547472170151,2019-01-14T14:22:50.151,0.400,-0.243,0.860,-0.414
1547472170231,2019-01-14T14:22:50.231,0.480,-0.255,0.869,-0.384
1547472170311,2019-01-14T14:22:50.311,0.560,-0.233,0.883,-0.429
1547472170391,2019-01-14T14:22:50.391,0.640,-0.222,0.892,-0.417
1547472170471,2019-01-14T14:22:50.471,0.720,-0.269,1.120,-0.490
1547472170551,2019-01-14T14:22:50.551,0.800,-0.359,1.400,-0.601
1547472170631,2019-01-14T14:22:50.631,0.880,-0.317,1.171,-0.510
1547472170711,2019-01-14T14:22:50.711,0.960,-0.238,0.865,-0.443
1547472170791,2019-01-14T14:22:50.791,1.040,-0.251,0.828,-0.407
1547472170871,2019-01-14T14:22:50.871,1.120,-0.273,0.832,-0.379
1547472170951,2019-01-14T14:22:50.951,1.200,-0.282,0.838,-0.375
1547472171031,2019-01-14T14:22:51.031,1.280,-0.274,0.856,-0.402
1547472171111,2019-01-14T14:22:51.111,1.360,-0.285,0.880,-0.395
1547472171191,2019-01-14T14:22:51.191,1.440,-0.278,0.889,-0.391
1547472171271,2019-01-14T14:22:51.271,1.520,-0.255,0.893,-0.377
1547472171351,2019-01-14T14:22:51.351,1.600,-0.237,0.903,-0.365
1547472171431,2019-01-14T14:22:51.431,1.680,-0.200,0.905,-0.351
1547472171511,2019-01-14T14:22:51.511,1.760,-0.125,0.648,-0.276
1547472171591,2019-01-14T14:22:51.591,1.840,-0.075,0.533,-0.343
1547472171671,2019-01-14T14:22:51.671,1.920,-0.146,0.881,-0.369
1547472171751,2019-01-14T14:22:51.751,2.000,-0.207,1.028,-0.347
1547472171831,2019-01-14T14:22:51.831,2.080,-0.140,0.837,-0.357
1547472171911,2019-01-14T14:22:51.911,2.160,-0.128,0.709,-0.357
1547472171991,2019-01-14T14:22:51.991,2.240,-0.130,0.670,-0.355
1547472172071,2019-01-14T14:22:52.071,2.320,-0.151,0.716,-0.385
1547472172151,2019-01-14T14:22:52.151,2.400,-0.189,0.758,-0.424
1547472172231,2019-01-14T14:22:52.231,2.480,-0.208,0.780,-0.438
1547472172311,2019-01-14T14:22:52.311,2.560,-0.231,0.781,-0.457
1547472172391,2019-01-14T14:22:52.391,2.640,-0.222,0.766,-0.469
1547472172471,2019-01-14T14:22:52.471,2.720,-0.218,0.799,-0.472
1547472172551,2019-01-14T14:22:52.551,2.800,-0.237,1.000,-0.471
1547472172631,2019-01-14T14:22:52.631,2.880,-0.361,1.514,-0.608
1547472172711,2019-01-14T14:22:52.711,2.960,-0.351,1.501,-0.618
1547472172791,2019-01-14T14:22:52.791,3.040,-0.239,0.928,-0.401
1547472172871,2019-01-14T14:22:52.871,3.120,-0.248,0.746,-0.358
1547472172951,2019-01-14T14:22:52.951,3.200,-0.271,0.791,-0.386
1547472173031,2019-01-14T14:22:53.031,3.280,-0.276,0.811,-0.425
1547472173111,2019-01-14T14:22:53.111,3.360,-0.284,0.828,-0.407
1547472173191,2019-01-14T14:22:53.191,3.440,-0.286,0.843,-0.399
1547472173271,2019-01-14T14:22:53.271,3.520,-0.279,0.855,-0.426
1547472173351,2019-01-14T14:22:53.351,3.600,-0.267,0.866,-0.441
1547472173431,2019-01-14T14:22:53.431,3.680,-0.256,0.879,-0.431
1547472173511,2019-01-14T14:22:53.511,3.760,-0.233,0.906,-0.413
1547472173591,2019-01-14T14:22:53.591,3.840,-0.192,0.914,-0.368
1547472173671,2019-01-14T14:22:53.671,3.920,-0.120,0.670,-0.287
1547472173751,2019-01-14T14:22:53.751,4.000,-0.104,0.514,-0.327
1547472173831,2019-01-14T14:22:53.831,4.080,-0.127,0.886,-0.341
1547472173911,2019-01-14T14:22:53.911,4.160,-0.180,1.026,-0.379
1547472173991,2019-01-14T14:22:53.991,4.240,-0.118,0.689,-0.330
