epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547472169353,2019-01-14T14:22:49.353,0.000,-2.866,-0.610,-5.366
1547472169393,2019-01-14T14:22:49.393,0.040,-2.500,-0.610,-3.963
1547472169433,2019-01-14T14:22:49.433,0.080,1.707,-3.902,1.524
1547472169473,2019-01-14T14:22:49.473,0.120,2.439,-4.939,-4.207
1547472169513,2019-01-14T14:22:49.513,0.160,7.500,-6.037,1.768
1547472169553,2019-01-14T14:22:49.553,0.200,3.049,-4.207,-1.037
1547472169593,2019-01-14T14:22:49.593,0.240,-2.561,0.976,-6.402
1547472169633,2019-01-14T14:22:49.633,0.280,1.768,3.720,3.232
1547472169673,2019-01-14T14:22:49.673,0.320,18.049,-2.256,8.902
1547472169713,2019-01-14T14:22:49.713,0.360,11.768,-3.720,-10.061
1547472169753,2019-01-14T14:22:49.753,0.400,1.098,-1.646,-25.000
1547472169793,2019-01-14T14:22:49.793,0.440,19.817,-5.732,-18.354
1547472169833,2019-01-14T14:22:49.833,0.480,34.634,-11.280,-5.000
1547472169873,2019-01-14T14:22:49.873,0.520,35.122,-8.537,-9.268
1547472169913,2019-01-14T14:22:49.913,0.560,36.098,-11.951,-6.159
1547472169953,2019-01-14T14:22:49.953,0.600,16.707,-7.866,-9.024
1547472169993,2019-01-14T14:22:49.993,0.640,25.183,-9.939,-6.951
1547472170033,2019-01-14T14:22:50.033,0.680,11.037,-2.744,-10.061
1547472170073,2019-01-14T14:22:50.073,0.720,22.012,-3.659,0.366
1547472170113,2019-01-14T14:22:50.113,0.760,16.890,-13.354,3.354
1547472170153,2019-01-14T14:22:50.153,0.800,5.549,-9.268,6.829
1547472170193,2019-01-14T14:22:50.193,0.840,8.049,-13.963,9.695
1547472170233,2019-01-14T14:22:50.233,0.880,-3.841,-12.561,8.841
1547472170273,2019-01-14T14:22:50.273,0.920,22.439,-21.098,19.512
1547472170313,2019-01-14T14:22:50.313,0.960,7.622,-9.207,21.341
1547472170353,2019-01-14T14:22:50.353,1.000,12.317,-11.402,19.512
1547472170393,2019-01-14T14:22:50.393,1.040,10.671,-23.780,20.671
1547472170433,2019-01-14T14:22:50.433,1.080,-5.610,-13.415,24.085
1547472170473,2019-01-14T14:22:50.473,1.120,1.463,-5.610,13.110
1547472170513,2019-01-14T14:22:50.513,1.160,5.488,4.024,2.622
1547472170553,2019-01-14T14:22:50.553,1.200,-0.366,8.293,-10.854
1547472170593,2019-01-14T14:22:50.593,1.240,-21.585,6.037,-35.305
1547472170633,2019-01-14T14:22:50.633,1.280,-29.329,2.683,-39.695
1547472170673,2019-01-14T14:22:50.673,1.320,-26.646,2.927,-30.366
1547472170713,2019-01-14T14:22:50.713,1.360,-14.268,4.390,-22.622
1547472170753,2019-01-14T14:22:50.753,1.400,-16.159,6.890,-22.073
1547472170793,2019-01-14T14:22:50.793,1.440,-0.915,7.927,-7.134
1547472170833,2019-01-14T14:22:50.833,1.480,-1.280,7.622,-9.390
1547472170873,2019-01-14T14:22:50.873,1.520,-5.549,3.963,-10.854
1547472170913,2019-01-14T14:22:50.913,1.560,-1.280,2.439,-6.524
1547472170953,2019-01-14T14:22:50.953,1.600,-7.744,1.341,-7.683
1547472170993,2019-01-14T14:22:50.993,1.640,-1.463,2.683,3.963
1547472171033,2019-01-14T14:22:51.033,1.680,6.159,2.195,9.268
1547472171073,2019-01-14T14:22:51.073,1.720,-1.524,0.183,10.427
1547472171113,2019-01-14T14:22:51.113,1.760,-0.122,0.061,12.195
1547472171153,2019-01-14T14:22:51.153,1.800,-5.610,0.915,8.293
1547472171193,2019-01-14T14:22:51.193,1.840,3.049,-4.695,20.122
1547472171233,2019-01-14T14:22:51.233,1.880,-5.793,-1.463,14.695
1547472171273,2019-01-14T14:22:51.273,1.920,-7.073,-4.085,18.598
1547472171313,2019-01-14T14:22:51.313,1.960,-10.244,-2.927,20.366
1547472171353,2019-01-14T14:22:51.353,2.000,-18.476,-1.220,20.183
1547472171393,2019-01-14T14:22:51.393,2.040,-27.378,1.646,32.683
1547472171433,2019-01-14T14:22:51.433,2.080,-30.854,10.305,30.976
1547472171473,2019-01-14T14:22:51.473,2.120,-6.829,7.683,20.183
1547472171513,2019-01-14T14:22:51.513,2.160,-17.317,2.805,-8.963
1547472171553,2019-01-14T14:22:51.553,2.200,12.378,-7.927,5.610
1547472171593,2019-01-14T14:22:51.593,2.240,40.854,-15.854,9.085
1547472171633,2019-01-14T14:22:51.633,2.280,37.500,-15.305,8.049
1547472171673,2019-01-14T14:22:51.673,2.320,5.854,-5.610,-6.220
1547472171713,2019-01-14T14:22:51.713,2.360,-1.768,-1.220,-6.768
1547472171753,2019-01-14T14:22:51.753,2.400,0.244,-1.402,2.256
1547472171793,2019-01-14T14:22:51.793,2.440,0.061,3.902,7.439
1547472171833,2019-01-14T14:22:51.833,2.480,1.341,1.098,-6.037
1547472171873,2019-01-14T14:22:51.873,2.520,13.354,1.280,-11.098
1547472171913,2019-01-14T14:22:51.913,2.560,20.671,-7.561,-5.061
1547472171953,2019-01-14T14:22:51.953,2.600,11.037,-0.915,-17.927
1547472171993,2019-01-14T14:22:51.993,2.640,23.902,-3.841,-12.561
1547472172033,2019-01-14T14:22:52.033,2.680,8.476,-5.915,-20.732
1547472172073,2019-01-14T14:22:52.073,2.720,29.268,-2.500,-10.000
1547472172113,2019-01-14T14:22:52.113,2.760,13.598,-2.866,-19.817
1547472172153,2019-01-14T14:22:52.153,2.800,30.610,-3.780,-8.293
1547472172193,2019-01-14T14:22:52.193,2.840,25.854,-6.402,-0.610
1547472172233,2019-01-14T14:22:52.233,2.880,13.110,-3.963,-9.329
1547472172273,2019-01-14T14:22:52.273,2.920,12.744,-9.756,-4.756
1547472172313,2019-01-14T14:22:52.313,2.960,-0.122,-4.451,-1.524
1547472172353,2019-01-14T14:22:52.353,3.000,8.537,-9.634,10.854
1547472172393,2019-01-14T14:22:52.393,3.040,-2.500,-7.378,14.512
1547472172433,2019-01-14T14:22:52.433,3.080,10.366,-19.451,24.329
1547472172473,2019-01-14T14:22:52.473,3.120,11.220,-30.183,35.000
1547472172513,2019-01-14T14:22:52.513,3.160,-4.878,-19.756,40.183
1547472172553,2019-01-14T14:22:52.553,3.200,-16.585,-6.707,34.512
1547472172593,2019-01-14T14:22:52.593,3.240,-28.841,-7.805,-1.524
1547472172633,2019-01-14T14:22:52.633,3.280,-33.110,-4.146,-30.427
1547472172673,2019-01-14T14:22:52.673,3.320,-13.537,4.085,-36.463
1547472172713,2019-01-14T14:22:52.713,3.360,5.244,12.805,-30.671
1547472172753,2019-01-14T14:22:52.753,3.400,6.646,14.878,-22.866
1547472172793,2019-01-14T14:22:52.793,3.440,4.756,5.244,-16.585
1547472172833,2019-01-14T14:22:52.833,3.480,-5.854,1.524,-20.488
1547472172873,2019-01-14T14:22:52.873,3.520,-9.024,4.939,-16.098
1547472172913,2019-01-14T14:22:52.913,3.560,-8.902,-0.244,-11.159
1547472172953,2019-01-14T14:22:52.953,3.600,-15.427,3.963,-14.268
1547472172993,2019-01-14T14:22:52.993,3.640,-2.988,2.256,-1.585
1547472173033,2019-01-14T14:22:53.033,3.680,10.427,0.854,3.171
1547472173073,2019-01-14T14:22:53.073,3.720,11.341,2.866,8.537
1547472173113,2019-01-14T14:22:53.113,3.760,8.171,5.854,5.915
1547472173153,2019-01-14T14:22:53.153,3.800,4.207,0.549,3.415
1547472173193,2019-01-14T14:22:53.193,3.840,5.366,-0.488,9.451
1547472173233,2019-01-14T14:22:53.233,3.880,-1.890,1.890,6.280
1547472173273,2019-01-14T14:22:53.273,3.920,-0.488,-2.744,7.378
1547472173313,2019-01-14T14:22:53.313,3.960,-3.780,-3.720,11.098
1547472173353,2019-01-14T14:22:53.353,4.000,-7.744,-3.171,13.720
1547472173393,2019-01-14T14:22:53.393,4.040,-13.415,-5.305,13.232
1547472173433,2019-01-14T14:22:53.433,4.080,-16.280,-2.439,15.122
1547472173473,2019-01-14T14:22:53.473,4.120,-20.427,0.671,19.634
1547472173513,2019-01-14T14:22:53.513,4.160,-36.402,4.146,12.805
1547472173553,2019-01-14T14:22:53.553,4.200,-39.024,11.037,22.744
1547472173593,2019-01-14T14:22:53.593,4.240,-50.427,20.427,24.756
1547472173633,2019-01-14T14:22:53.633,4.280,-58.354,36.829,7.622
1547472173673,2019-01-14T14:22:53.673,4.320,-17.378,8.415,6.463
1547472173713,2019-01-14T14:22:53.713,4.360,39.390,-24.329,9.817
1547472173753,2019-01-14T14:22:53.753,4.400,34.390,-13.659,1.768
1547472173793,2019-01-14T14:22:53.793,4.440,37.500,-15.122,12.500
1547472173833,2019-01-14T14:22:53.833,4.480,18.476,-7.256,-4.207
1547472173873,2019-01-14T14:22:53.873,4.520,6.829,0.488,3.841
1547472173913,2019-01-14T14:22:53.913,4.560,20.244,-2.317,-6.951
1547472173953,2019-01-14T14:22:53.953,4.600,6.646,-2.195,-6.402
1547472173993,2019-01-14T14:22:53.993,4.640,17.317,-4.268,-2.988
1547472174033,2019-01-14T14:22:54.033,4.680,16.402,-6.829,-12.683
1547472174073,2019-01-14T14:22:54.073,4.720,31.829,-9.939,-12.683
1547472174113,2019-01-14T14:22:54.113,4.760,19.268,-7.744,-19.207
1547472174153,2019-01-14T14:22:54.153,4.800,22.927,-6.707,-21.707
1547472174193,2019-01-14T14:22:54.193,4.840,28.110,-8.171,-16.220
1547472174233,2019-01-14T14:22:54.233,4.880,21.646,-5.671,-16.037
1547472174273,2019-01-14T14:22:54.273,4.920,24.390,-3.780,-10.488
1547472174313,2019-01-14T14:22:54.313,4.960,9.451,-2.622,-7.439
1547472174353,2019-01-14T14:22:54.353,5.000,15.610,-6.341,6.220
1547472174393,2019-01-14T14:22:54.393,5.040,6.524,-2.866,12.866
1547472174433,2019-01-14T14:22:54.433,5.080,6.585,-7.439,16.524
1547472174473,2019-01-14T14:22:54.473,5.120,4.512,-10.305,23.232
1547472174513,2019-01-14T14:22:54.513,5.160,7.256,-13.963,22.256
1547472174553,2019-01-14T14:22:54.553,5.200,17.500,-15.244,32.012
1547472174593,2019-01-14T14:22:54.593,5.240,5.305,-9.390,39.695
1547472174633,2019-01-14T14:22:54.633,5.280,-5.000,-2.805,15.915
1547472174673,2019-01-14T14:22:54.673,5.320,-21.768,-0.854,-14.390
1547472174713,2019-01-14T14:22:54.713,5.360,-18.476,-0.549,-28.354
1547472174753,2019-01-14T14:22:54.753,5.400,-5.488,7.500,-31.585
1547472174793,2019-01-14T14:22:54.793,5.440,2.317,2.134,-24.024
1547472174833,2019-01-14T14:22:54.833,5.480,-22.256,0.244,-33.720
1547472174873,2019-01-14T14:22:54.873,5.520,-40.915,-1.220,-45.122
1547472174913,2019-01-14T14:22:54.913,5.560,-28.537,-1.585,-32.988
1547472174953,2019-01-14T14:22:54.953,5.600,-8.780,-1.098,-12.134
1547472174993,2019-01-14T14:22:54.993,5.640,-6.037,-3.537,-10.488
1547472175033,2019-01-14T14:22:55.033,5.680,-6.890,-3.171,-10.488
1547472175073,2019-01-14T14:22:55.073,5.720,-12.195,-5.366,-8.537
1547472175113,2019-01-14T14:22:55.113,5.760,-16.951,-2.561,-3.049
1547472175153,2019-01-14T14:22:55.153,5.800,21.829,-2.073,15.061
1547472175193,2019-01-14T14:22:55.193,5.840,1.402,0.732,7.500
1547472175233,2019-01-14T14:22:55.233,5.880,3.537,-0.244,4.878
1547472175273,2019-01-14T14:22:55.273,5.920,9.207,1.463,11.768
1547472175313,2019-01-14T14:22:55.313,5.960,-2.073,-1.768,8.537
1547472175353,2019-01-14T14:22:55.353,6.000,-1.829,-4.573,6.280
1547472175393,2019-01-14T14:22:55.393,6.040,5.061,-7.378,5.549
1547472175433,2019-01-14T14:22:55.433,6.080,-6.159,-3.659,10.427
1547472175473,2019-01-14T14:22:55.473,6.120,0.793,-1.585,23.110
1547472175513,2019-01-14T14:22:55.513,6.160,-13.720,0.183,14.695
1547472175553,2019-01-14T14:22:55.553,6.200,-15.854,1.524,15.610
1547472175593,2019-01-14T14:22:55.593,6.240,-21.341,4.390,13.780
1547472175633,2019-01-14T14:22:55.633,6.280,-4.146,4.329,29.756
1547472175673,2019-01-14T14:22:55.673,6.320,-25.915,7.561,18.110
1547472175713,2019-01-14T14:22:55.713,6.360,-27.439,7.500,21.220
1547472175753,2019-01-14T14:22:55.753,6.400,-31.098,12.195,24.573
1547472175793,2019-01-14T14:22:55.793,6.440,-34.939,22.012,22.256
1547472175833,2019-01-14T14:22:55.833,6.480,-7.012,17.012,18.780
1547472175873,2019-01-14T14:22:55.873,6.520,14.634,1.585,2.500
1547472175913,2019-01-14T14:22:55.913,6.560,15.854,-3.659,5.976
1547472175953,2019-01-14T14:22:55.953,6.600,25.915,-7.195,3.598
1547472175993,2019-01-14T14:22:55.993,6.640,19.146,-11.220,-0.488
1547472176033,2019-01-14T14:22:56.033,6.680,3.110,-2.561,4.451
1547472176073,2019-01-14T14:22:56.073,6.720,-1.341,1.768,-6.524
1547472176113,2019-01-14T14:22:56.113,6.760,22.988,-6.037,-8.110
1547472176153,2019-01-14T14:22:56.153,6.800,17.500,-6.585,4.817
1547472176193,2019-01-14T14:22:56.193,6.840,9.878,-2.927,-12.927
1547472176233,2019-01-14T14:22:56.233,6.880,29.024,-10.244,-14.817
1547472176273,2019-01-14T14:22:56.273,6.920,27.805,-12.012,-14.695
1547472176313,2019-01-14T14:22:56.313,6.960,29.573,-8.415,-14.878
1547472176353,2019-01-14T14:22:56.353,7.000,15.488,-9.573,-24.207
1547472176393,2019-01-14T14:22:56.393,7.040,27.805,-5.305,-15.366
1547472176433,2019-01-14T14:22:56.433,7.080,33.659,-5.122,-2.439
1547472176473,2019-01-14T14:22:56.473,7.120,36.951,-4.024,-9.512
1547472176513,2019-01-14T14:22:56.513,7.160,33.049,-8.476,-1.463
1547472176553,2019-01-14T14:22:56.553,7.200,10.732,-4.817,-9.207
1547472176593,2019-01-14T14:22:56.593,7.240,18.476,-3.354,4.451
1547472176633,2019-01-14T14:22:56.633,7.280,0.915,-2.622,0.427
1547472176673,2019-01-14T14:22:56.673,7.320,-3.476,-10.427,-4.512
1547472176713,2019-01-14T14:22:56.713,7.360,3.232,-16.524,16.585
1547472176753,2019-01-14T14:22:56.753,7.400,-5.732,-14.024,17.195
1547472176793,2019-01-14T14:22:56.793,7.440,15.244,-9.573,35.122
1547472176833,2019-01-14T14:22:56.833,7.480,7.561,-8.293,48.780
1547472176873,2019-01-14T14:22:56.873,7.520,-10.915,1.585,29.939
1547472176913,2019-01-14T14:22:56.913,7.560,-31.707,-4.512,-1.037
1547472176953,2019-01-14T14:22:56.953,7.600,-29.756,-9.024,-26.890
1547472176993,2019-01-14T14:22:56.993,7.640,-24.512,-3.598,-42.683
1547472177033,2019-01-14T14:22:57.033,7.680,-17.317,-1.829,-36.280
1547472177073,2019-01-14T14:22:57.073,7.720,-17.134,-0.793,-26.159
