epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547580927366,2019-01-15T20:35:27.366,0.000,8.049,-0.122,20.610
1547580927406,2019-01-15T20:35:27.406,0.040,6.037,2.561,18.354
1547580927446,2019-01-15T20:35:27.446,0.080,-8.841,23.049,0.854
1547580927486,2019-01-15T20:35:27.486,0.120,-17.256,21.585,-1.890
1547580927526,2019-01-15T20:35:27.526,0.160,-2.439,-17.561,-6.524
1547580927566,2019-01-15T20:35:27.566,0.200,-1.220,-17.012,-10.854
1547580927606,2019-01-15T20:35:27.606,0.240,-5.915,-5.305,-4.207
1547580927646,2019-01-15T20:35:27.646,0.280,0.244,-13.293,-0.183
1547580927686,2019-01-15T20:35:27.686,0.320,2.622,-14.085,-3.963
1547580927726,2019-01-15T20:35:27.726,0.360,9.634,-21.585,-5.915
1547580927766,2019-01-15T20:35:27.766,0.400,6.585,-13.049,-1.463
1547580927806,2019-01-15T20:35:27.806,0.440,2.317,-9.573,0.122
1547580927846,2019-01-15T20:35:27.846,0.480,7.012,-13.171,-2.866
1547580927886,2019-01-15T20:35:27.886,0.520,3.659,-4.512,0.549
1547580927926,2019-01-15T20:35:27.926,0.560,7.195,-4.268,3.659
1547580927966,2019-01-15T20:35:27.966,0.600,7.195,-4.329,1.951
1547580928006,2019-01-15T20:35:28.006,0.640,10.854,-6.707,2.744
1547580928046,2019-01-15T20:35:28.046,0.680,3.902,-1.220,2.622
1547580928086,2019-01-15T20:35:28.086,0.720,5.305,-4.268,0.183
1547580928126,2019-01-15T20:35:28.126,0.760,9.329,-2.073,4.512
1547580928166,2019-01-15T20:35:28.166,0.800,7.012,4.939,0.793
1547580928206,2019-01-15T20:35:28.206,0.840,5.854,-4.024,1.768
1547580928246,2019-01-15T20:35:28.246,0.880,3.476,0.061,2.561
1547580928286,2019-01-15T20:35:28.286,0.920,7.561,-0.793,2.500
1547580928326,2019-01-15T20:35:28.326,0.960,6.463,1.098,5.915
1547580928366,2019-01-15T20:35:28.366,1.000,8.232,-1.220,3.293
1547580928406,2019-01-15T20:35:28.406,1.040,5.244,4.146,3.110
1547580928446,2019-01-15T20:35:28.446,1.080,5.000,0.488,2.988
1547580928486,2019-01-15T20:35:28.486,1.120,4.634,3.659,3.780
1547580928526,2019-01-15T20:35:28.526,1.160,5.915,2.134,2.683
1547580928566,2019-01-15T20:35:28.566,1.200,7.622,-1.890,3.171
1547580928606,2019-01-15T20:35:28.606,1.240,12.561,4.756,0.366
1547580928646,2019-01-15T20:35:28.646,1.280,20.427,-7.805,1.037
1547580928686,2019-01-15T20:35:28.686,1.320,23.476,7.744,-0.793
1547580928726,2019-01-15T20:35:28.726,1.360,39.329,-7.073,1.463
1547580928766,2019-01-15T20:35:28.766,1.400,46.463,-11.463,8.963
1547580928806,2019-01-15T20:35:28.806,1.440,49.146,-16.341,12.439
1547580928846,2019-01-15T20:35:28.846,1.480,45.427,6.402,13.902
1547580928886,2019-01-15T20:35:28.886,1.520,45.488,11.646,17.317
1547580928926,2019-01-15T20:35:28.926,1.560,46.463,1.037,16.768
1547580928966,2019-01-15T20:35:28.966,1.600,31.585,-12.683,13.354
1547580929006,2019-01-15T20:35:29.006,1.640,12.256,-0.427,6.037
1547580929046,2019-01-15T20:35:29.046,1.680,-4.756,4.024,5.671
