epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547221135055,2019-01-11T16:38:55.055,0.000,-0.066,0.924,0.042
1547221135135,2019-01-11T16:38:55.135,0.080,-0.059,0.878,0.052
1547221135215,2019-01-11T16:38:55.215,0.160,-0.066,0.859,0.067
1547221135295,2019-01-11T16:38:55.295,0.240,-0.067,1.035,0.054
1547221135375,2019-01-11T16:38:55.375,0.320,-0.109,1.348,0.060
1547221135455,2019-01-11T16:38:55.455,0.400,-0.135,1.432,0.021
1547221135535,2019-01-11T16:38:55.535,0.480,-0.140,1.196,0.027
1547221135615,2019-01-11T16:38:55.615,0.560,-0.179,0.986,0.034
1547221135695,2019-01-11T16:38:55.695,0.640,-0.240,0.896,-0.030
1547221135775,2019-01-11T16:38:55.775,0.720,-0.285,0.849,-0.025
1547221135855,2019-01-11T16:38:55.855,0.800,-0.332,0.879,-0.119
1547221135935,2019-01-11T16:38:55.935,0.880,-0.342,0.843,-0.072
1547221136015,2019-01-11T16:38:56.015,0.960,-0.325,0.878,-0.100
1547221136095,2019-01-11T16:38:56.095,1.040,-0.331,0.919,-0.103
1547221136175,2019-01-11T16:38:56.175,1.120,-0.325,0.953,-0.107
1547221136255,2019-01-11T16:38:56.255,1.200,-0.266,0.924,-0.103
1547221136335,2019-01-11T16:38:56.335,1.280,-0.198,0.851,-0.074
1547221136415,2019-01-11T16:38:56.415,1.360,-0.118,0.669,-0.061
1547221136495,2019-01-11T16:38:56.495,1.440,-0.089,0.652,-0.070
1547221136575,2019-01-11T16:38:56.575,1.520,-0.133,0.851,-0.018
1547221136655,2019-01-11T16:38:56.655,1.600,-0.108,1.006,-0.059
1547221136735,2019-01-11T16:38:56.735,1.680,-0.119,0.849,-0.061
1547221136815,2019-01-11T16:38:56.815,1.760,-0.102,0.723,-0.151
1547221136895,2019-01-11T16:38:56.895,1.840,-0.151,0.706,-0.094
1547221136975,2019-01-11T16:38:56.975,1.920,-0.184,0.818,-0.137
1547221137055,2019-01-11T16:38:57.055,2.000,-0.211,0.835,-0.169
1547221137135,2019-01-11T16:38:57.135,2.080,-0.227,0.858,-0.170
1547221137215,2019-01-11T16:38:57.215,2.160,-0.248,0.886,-0.138
1547221137295,2019-01-11T16:38:57.295,2.240,-0.270,0.960,-0.147
1547221137375,2019-01-11T16:38:57.375,2.320,-0.237,1.012,-0.149
1547221137455,2019-01-11T16:38:57.455,2.400,-0.199,1.048,-0.094
1547221137535,2019-01-11T16:38:57.535,2.480,-0.162,1.142,-0.074
1547221137615,2019-01-11T16:38:57.615,2.560,-0.104,1.208,-0.053
1547221137695,2019-01-11T16:38:57.695,2.640,-0.076,1.247,-0.030
1547221137775,2019-01-11T16:38:57.775,2.720,-0.048,1.189,0.019
1547221137855,2019-01-11T16:38:57.855,2.800,0.011,0.999,0.017
1547221137935,2019-01-11T16:38:57.935,2.880,-0.002,0.792,0.072
1547221138015,2019-01-11T16:38:58.015,2.960,-0.016,0.890,0.046
1547221138095,2019-01-11T16:38:58.095,3.040,-0.041,1.250,0.048
1547221138175,2019-01-11T16:38:58.175,3.120,-0.101,1.486,0.042
1547221138255,2019-01-11T16:38:58.255,3.200,-0.159,1.327,0.006
1547221138335,2019-01-11T16:38:58.335,3.280,-0.178,1.056,-0.011
1547221138415,2019-01-11T16:38:58.415,3.360,-0.236,0.965,-0.116
1547221138495,2019-01-11T16:38:58.495,3.440,-0.290,0.884,-0.158
1547221138575,2019-01-11T16:38:58.575,3.520,-0.306,0.827,-0.129
1547221138655,2019-01-11T16:38:58.655,3.600,-0.314,0.836,-0.122
1547221138735,2019-01-11T16:38:58.735,3.680,-0.310,0.853,-0.104
1547221138815,2019-01-11T16:38:58.815,3.760,-0.296,0.859,-0.084
1547221138895,2019-01-11T16:38:58.895,3.840,-0.268,0.833,-0.001
1547221138975,2019-01-11T16:38:58.975,3.920,-0.233,0.871,0.000
1547221139055,2019-01-11T16:38:59.055,4.000,-0.159,0.778,0.009
1547221139135,2019-01-11T16:38:59.135,4.080,-0.116,0.702,-0.052
1547221139215,2019-01-11T16:38:59.215,4.160,-0.115,0.767,-0.041
1547221139295,2019-01-11T16:38:59.295,4.240,-0.115,0.935,-0.083
1547221139375,2019-01-11T16:38:59.375,4.320,-0.123,0.910,-0.103
1547221139455,2019-01-11T16:38:59.455,4.400,-0.131,0.760,-0.146
1547221139535,2019-01-11T16:38:59.535,4.480,-0.142,0.712,-0.146
1547221139615,2019-01-11T16:38:59.615,4.560,-0.178,0.778,-0.128
1547221139695,2019-01-11T16:38:59.695,4.640,-0.235,0.869,-0.193
1547221139775,2019-01-11T16:38:59.775,4.720,-0.282,0.865,-0.163
1547221139855,2019-01-11T16:38:59.855,4.800,-0.274,0.880,-0.210
1547221139935,2019-01-11T16:38:59.935,4.880,-0.292,0.885,-0.168
1547221140015,2019-01-11T16:39:00.015,4.960,-0.273,0.941,-0.204
1547221140095,2019-01-11T16:39:00.095,5.040,-0.253,0.996,-0.191
1547221140175,2019-01-11T16:39:00.175,5.120,-0.226,1.083,-0.157
1547221140255,2019-01-11T16:39:00.255,5.200,-0.189,1.117,-0.095
1547221140335,2019-01-11T16:39:00.335,5.280,-0.125,1.159,-0.069
1547221140415,2019-01-11T16:39:00.415,5.360,-0.108,1.174,-0.037
1547221140495,2019-01-11T16:39:00.495,5.440,-0.096,1.143,-0.018
1547221140575,2019-01-11T16:39:00.575,5.520,-0.083,1.075,-0.003
1547221140655,2019-01-11T16:39:00.655,5.600,-0.093,0.994,0.038
1547221140735,2019-01-11T16:39:00.735,5.680,-0.092,0.963,-0.010
1547221140815,2019-01-11T16:39:00.815,5.760,-0.109,0.888,0.006
1547221140895,2019-01-11T16:39:00.895,5.840,-0.079,0.808,-0.032
1547221140975,2019-01-11T16:39:00.975,5.920,-0.096,0.854,0.022
1547221141055,2019-01-11T16:39:01.055,6.000,-0.157,1.223,0.013
1547221141135,2019-01-11T16:39:01.135,6.080,-0.232,1.533,-0.056
1547221141215,2019-01-11T16:39:01.215,6.160,-0.226,1.314,-0.063
1547221141295,2019-01-11T16:39:01.295,6.240,-0.250,1.040,-0.055
1547221141375,2019-01-11T16:39:01.375,6.320,-0.287,0.917,-0.069
1547221141455,2019-01-11T16:39:01.455,6.400,-0.314,0.825,-0.038
1547221141535,2019-01-11T16:39:01.535,6.480,-0.339,0.820,-0.085
1547221141615,2019-01-11T16:39:01.615,6.560,-0.350,0.842,-0.069
1547221141695,2019-01-11T16:39:01.695,6.640,-0.337,0.876,-0.095
1547221141775,2019-01-11T16:39:01.775,6.720,-0.313,0.877,-0.082
1547221141855,2019-01-11T16:39:01.855,6.800,-0.285,0.898,-0.073
1547221141935,2019-01-11T16:39:01.935,6.880,-0.240,0.901,-0.053
1547221142015,2019-01-11T16:39:02.015,6.960,-0.155,0.764,-0.003
1547221142095,2019-01-11T16:39:02.095,7.040,-0.138,0.663,-0.026
1547221142175,2019-01-11T16:39:02.175,7.120,-0.097,0.767,-0.056
1547221142255,2019-01-11T16:39:02.255,7.200,-0.149,0.939,-0.023
1547221142335,2019-01-11T16:39:02.335,7.280,-0.123,0.929,-0.078
1547221142415,2019-01-11T16:39:02.415,7.360,-0.126,0.771,-0.101
1547221142495,2019-01-11T16:39:02.495,7.440,-0.127,0.715,-0.144
1547221142575,2019-01-11T16:39:02.575,7.520,-0.135,0.736,-0.152
1547221142655,2019-01-11T16:39:02.655,7.600,-0.180,0.781,-0.226
1547221142735,2019-01-11T16:39:02.735,7.680,-0.212,0.829,-0.243
1547221142815,2019-01-11T16:39:02.815,7.760,-0.240,0.868,-0.239
1547221142895,2019-01-11T16:39:02.895,7.840,-0.234,0.908,-0.213
1547221142975,2019-01-11T16:39:02.975,7.920,-0.237,0.976,-0.118
1547221143055,2019-01-11T16:39:03.055,8.000,-0.187,1.048,-0.065
1547221143135,2019-01-11T16:39:03.135,8.080,-0.161,1.163,0.003
1547221143215,2019-01-11T16:39:03.215,8.160,-0.114,1.281,0.002
1547221143295,2019-01-11T16:39:03.295,8.240,-0.089,1.334,0.045
1547221143375,2019-01-11T16:39:03.375,8.320,-0.068,1.227,0.061
1547221143455,2019-01-11T16:39:03.455,8.400,-0.068,1.030,0.059
1547221143535,2019-01-11T16:39:03.535,8.480,-0.055,0.840,0.072
1547221143615,2019-01-11T16:39:03.615,8.560,-0.064,0.744,0.091
1547221143695,2019-01-11T16:39:03.695,8.640,-0.064,0.812,0.050
1547221143775,2019-01-11T16:39:03.775,8.720,-0.068,1.064,0.048
1547221143855,2019-01-11T16:39:03.855,8.800,-0.094,1.369,0.111
1547221143935,2019-01-11T16:39:03.935,8.880,-0.146,1.463,0.011
1547221144015,2019-01-11T16:39:04.015,8.960,-0.181,1.202,-0.004
1547221144095,2019-01-11T16:39:04.095,9.040,-0.187,0.931,0.037
1547221144175,2019-01-11T16:39:04.175,9.120,-0.260,0.890,-0.062
1547221144255,2019-01-11T16:39:04.255,9.200,-0.324,0.853,-0.064
1547221144335,2019-01-11T16:39:04.335,9.280,-0.362,0.852,-0.112
1547221144415,2019-01-11T16:39:04.415,9.360,-0.371,0.856,-0.129
1547221144495,2019-01-11T16:39:04.495,9.440,-0.391,0.862,-0.138
1547221144575,2019-01-11T16:39:04.575,9.520,-0.371,0.863,-0.129
1547221144655,2019-01-11T16:39:04.655,9.600,-0.360,0.882,-0.108
1547221144735,2019-01-11T16:39:04.735,9.680,-0.322,0.896,-0.088
1547221144815,2019-01-11T16:39:04.815,9.760,-0.283,0.908,-0.047
