epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547221134768,2019-01-11T16:38:54.768,0.000,-9.207,-1.037,-10.183
1547221134808,2019-01-11T16:38:54.808,0.040,-8.659,-1.341,-11.037
1547221134848,2019-01-11T16:38:54.848,0.080,-1.280,-3.049,-6.524
1547221134888,2019-01-11T16:38:54.888,0.120,7.561,-4.024,0.854
1547221134928,2019-01-11T16:38:54.928,0.160,3.659,-2.317,-0.244
1547221134968,2019-01-11T16:38:54.968,0.200,-8.293,-1.159,-3.415
1547221135008,2019-01-11T16:38:55.008,0.240,-7.500,-4.390,-2.866
1547221135048,2019-01-11T16:38:55.048,0.280,0.793,-7.622,2.073
1547221135088,2019-01-11T16:38:55.088,0.320,2.134,-6.829,5.244
1547221135128,2019-01-11T16:38:55.128,0.360,1.890,-6.098,-0.854
1547221135168,2019-01-11T16:38:55.168,0.400,4.878,-7.561,-4.024
1547221135208,2019-01-11T16:38:55.208,0.440,7.744,-3.415,-6.951
1547221135248,2019-01-11T16:38:55.248,0.480,9.390,-3.659,-5.122
1547221135288,2019-01-11T16:38:55.288,0.520,9.878,-4.024,5.854
1547221135328,2019-01-11T16:38:55.328,0.560,3.232,-1.829,5.488
1547221135368,2019-01-11T16:38:55.368,0.600,-2.256,-3.171,-6.402
1547221135408,2019-01-11T16:38:55.408,0.640,9.024,1.829,-21.707
1547221135448,2019-01-11T16:38:55.448,0.680,24.451,3.049,-36.585
1547221135488,2019-01-11T16:38:55.488,0.720,26.829,6.159,-46.890
1547221135528,2019-01-11T16:38:55.528,0.760,25.183,11.098,-57.988
1547221135568,2019-01-11T16:38:55.568,0.800,18.780,16.646,-57.500
1547221135608,2019-01-11T16:38:55.608,0.840,20.366,15.305,-51.159
1547221135648,2019-01-11T16:38:55.648,0.880,24.512,13.232,-37.378
1547221135688,2019-01-11T16:38:55.688,0.920,25.488,5.915,-28.659
1547221135728,2019-01-11T16:38:55.728,0.960,13.537,8.293,-26.829
1547221135768,2019-01-11T16:38:55.768,1.000,4.939,14.695,-30.976
1547221135808,2019-01-11T16:38:55.808,1.040,11.402,12.134,-15.732
1547221135848,2019-01-11T16:38:55.848,1.080,11.341,-10.305,-2.561
1547221135888,2019-01-11T16:38:55.888,1.120,-5.122,1.524,-10.000
1547221135928,2019-01-11T16:38:55.928,1.160,-8.171,8.720,-4.451
1547221135968,2019-01-11T16:38:55.968,1.200,2.439,-0.732,9.634
1547221136008,2019-01-11T16:38:56.008,1.240,-1.585,3.354,7.439
1547221136048,2019-01-11T16:38:56.048,1.280,0.610,8.354,16.768
1547221136088,2019-01-11T16:38:56.088,1.320,-4.390,4.207,24.451
1547221136128,2019-01-11T16:38:56.128,1.360,-16.707,0.244,22.622
1547221136168,2019-01-11T16:38:56.168,1.400,-20.488,1.159,29.573
1547221136208,2019-01-11T16:38:56.208,1.440,-21.890,6.159,42.012
