epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547473986457,2019-01-14T14:53:06.457,0.000,8.720,6.951,-73.415
1547473986497,2019-01-14T14:53:06.497,0.040,9.634,4.756,-71.768
1547473986537,2019-01-14T14:53:06.537,0.080,8.232,-0.427,-57.378
1547473986577,2019-01-14T14:53:06.577,0.120,-2.378,6.524,-46.646
1547473986617,2019-01-14T14:53:06.617,0.160,-1.220,10.671,-33.780
1547473986657,2019-01-14T14:53:06.657,0.200,-2.012,15.061,-22.317
1547473986697,2019-01-14T14:53:06.697,0.240,-18.598,11.463,-25.854
1547473986737,2019-01-14T14:53:06.737,0.280,-19.817,17.378,-18.171
1547473986777,2019-01-14T14:53:06.777,0.320,-10.610,-6.707,-2.439
1547473986817,2019-01-14T14:53:06.817,0.360,-2.805,-0.305,7.012
1547473986857,2019-01-14T14:53:06.857,0.400,-6.037,9.634,5.976
1547473986897,2019-01-14T14:53:06.897,0.440,-0.366,7.622,17.805
1547473986937,2019-01-14T14:53:06.937,0.480,4.817,4.268,26.159
1547473986977,2019-01-14T14:53:06.977,0.520,-1.220,3.293,20.549
1547473987017,2019-01-14T14:53:07.017,0.560,-8.476,1.646,16.707
1547473987057,2019-01-14T14:53:07.057,0.600,-8.415,2.073,20.915
1547473987097,2019-01-14T14:53:07.097,0.640,-8.476,9.939,23.841
1547473987137,2019-01-14T14:53:07.137,0.680,-4.329,4.146,29.451
1547473987177,2019-01-14T14:53:07.177,0.720,-3.476,0.122,31.037
1547473987217,2019-01-14T14:53:07.217,0.760,1.037,0.244,34.268
1547473987257,2019-01-14T14:53:07.257,0.800,2.683,1.951,38.720
1547473987297,2019-01-14T14:53:07.297,0.840,2.317,4.634,40.732
1547473987337,2019-01-14T14:53:07.337,0.880,-8.780,10.915,38.232
1547473987377,2019-01-14T14:53:07.377,0.920,-6.463,-2.561,18.232
1547473987417,2019-01-14T14:53:07.417,0.960,-18.720,5.366,-0.244
1547473987457,2019-01-14T14:53:07.457,1.000,5.671,-27.744,6.585
1547473987497,2019-01-14T14:53:07.497,1.040,22.012,-37.073,5.976
1547473987537,2019-01-14T14:53:07.537,1.080,23.780,-27.622,-2.988
1547473987577,2019-01-14T14:53:07.577,1.120,15.305,-10.549,-10.305
1547473987617,2019-01-14T14:53:07.617,1.160,4.512,-2.012,-7.134
1547473987657,2019-01-14T14:53:07.657,1.200,8.293,-4.451,0.427
1547473987697,2019-01-14T14:53:07.697,1.240,10.976,-4.573,-6.463
1547473987737,2019-01-14T14:53:07.737,1.280,12.866,-11.524,-20.976
1547473987777,2019-01-14T14:53:07.777,1.320,25.305,-18.841,-22.012
1547473987817,2019-01-14T14:53:07.817,1.360,29.695,-23.720,-26.646
1547473987857,2019-01-14T14:53:07.857,1.400,24.512,-16.951,-29.268
1547473987897,2019-01-14T14:53:07.897,1.440,18.232,1.098,-28.171
1547473987937,2019-01-14T14:53:07.937,1.480,25.915,-9.390,-18.780
1547473987977,2019-01-14T14:53:07.977,1.520,16.768,-6.463,-20.915
1547473988017,2019-01-14T14:53:08.017,1.560,16.220,-2.439,-13.476
1547473988057,2019-01-14T14:53:08.057,1.600,3.902,-9.939,-2.988
1547473988097,2019-01-14T14:53:08.097,1.640,-5.061,-4.878,-8.841
1547473988137,2019-01-14T14:53:08.137,1.680,-14.146,-2.256,-3.963
1547473988177,2019-01-14T14:53:08.177,1.720,-20.915,-8.232,6.646
1547473988217,2019-01-14T14:53:08.217,1.760,-24.268,-10.122,5.854
1547473988257,2019-01-14T14:53:08.257,1.800,-32.073,-13.537,10.610
1547473988297,2019-01-14T14:53:08.297,1.840,-18.537,-18.598,9.634
1547473988337,2019-01-14T14:53:08.337,1.880,-20.549,-15.793,12.500
1547473988377,2019-01-14T14:53:08.377,1.920,-12.012,-21.098,19.268
1547473988417,2019-01-14T14:53:08.417,1.960,-6.341,-24.146,25.244
1547473988457,2019-01-14T14:53:08.457,2.000,-1.829,-14.390,39.146
1547473988497,2019-01-14T14:53:08.497,2.040,3.476,-12.073,43.232
1547473988537,2019-01-14T14:53:08.537,2.080,0.671,-7.134,32.683
1547473988577,2019-01-14T14:53:08.577,2.120,-13.841,-5.366,34.756
1547473988617,2019-01-14T14:53:08.617,2.160,-9.329,-6.707,41.280
1547473988657,2019-01-14T14:53:08.657,2.200,-23.902,0.793,40.427
1547473988697,2019-01-14T14:53:08.697,2.240,-27.805,-1.890,30.366
1547473988737,2019-01-14T14:53:08.737,2.280,-14.695,-2.561,27.073
1547473988777,2019-01-14T14:53:08.777,2.320,-10.671,-1.951,19.756
1547473988817,2019-01-14T14:53:08.817,2.360,-18.232,-0.305,0.854
1547473988857,2019-01-14T14:53:08.857,2.400,-15.488,1.280,2.561
1547473988897,2019-01-14T14:53:08.897,2.440,-9.451,-5.122,5.671
1547473988937,2019-01-14T14:53:08.937,2.480,-18.537,-3.354,0.549
1547473988977,2019-01-14T14:53:08.977,2.520,-29.512,-0.976,-10.366
1547473989017,2019-01-14T14:53:09.017,2.560,-35.427,9.756,-21.220
1547473989057,2019-01-14T14:53:09.057,2.600,-10.610,6.037,-27.195
1547473989097,2019-01-14T14:53:09.097,2.640,13.963,2.805,-46.951
1547473989137,2019-01-14T14:53:09.137,2.680,22.805,11.890,-56.159
1547473989177,2019-01-14T14:53:09.177,2.720,21.524,19.634,-60.488
1547473989217,2019-01-14T14:53:09.217,2.760,31.768,21.890,-59.939
1547473989257,2019-01-14T14:53:09.257,2.800,32.439,33.841,-47.866
1547473989297,2019-01-14T14:53:09.297,2.840,33.780,18.780,-33.659
1547473989337,2019-01-14T14:53:09.337,2.880,30.854,11.037,-25.732
1547473989377,2019-01-14T14:53:09.377,2.920,26.220,15.244,-17.988
1547473989417,2019-01-14T14:53:09.417,2.960,15.671,20.976,-13.902
