epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547222033950,2019-01-11T16:53:53.950,0.000,-0.066,0.935,0.027
1547222034030,2019-01-11T16:53:54.030,0.080,-0.076,0.984,0.032
1547222034110,2019-01-11T16:53:54.110,0.160,-0.082,1.010,0.012
1547222034190,2019-01-11T16:53:54.190,0.240,-0.080,0.957,0.006
1547222034270,2019-01-11T16:53:54.270,0.320,-0.071,0.896,0.012
1547222034350,2019-01-11T16:53:54.350,0.400,-0.079,0.934,0.012
1547222034430,2019-01-11T16:53:54.430,0.480,-0.085,0.995,0.017
1547222034510,2019-01-11T16:53:54.510,0.560,-0.093,1.086,0.000
1547222034590,2019-01-11T16:53:54.590,0.640,-0.126,1.300,-0.013
1547222034670,2019-01-11T16:53:54.670,0.720,-0.202,1.410,-0.072
1547222034750,2019-01-11T16:53:54.750,0.800,-0.263,1.220,-0.077
1547222034830,2019-01-11T16:53:54.830,0.880,-0.308,1.053,-0.115
1547222034910,2019-01-11T16:53:54.910,0.960,-0.330,0.900,-0.104
1547222034990,2019-01-11T16:53:54.990,1.040,-0.350,0.819,-0.089
1547222035070,2019-01-11T16:53:55.070,1.120,-0.333,0.779,-0.073
1547222035150,2019-01-11T16:53:55.150,1.200,-0.314,0.771,-0.061
1547222035230,2019-01-11T16:53:55.230,1.280,-0.278,0.778,-0.043
1547222035310,2019-01-11T16:53:55.310,1.360,-0.247,0.767,0.008
1547222035390,2019-01-11T16:53:55.390,1.440,-0.215,0.721,0.037
1547222035470,2019-01-11T16:53:55.470,1.520,-0.166,0.722,-0.116
1547222035550,2019-01-11T16:53:55.550,1.600,-0.185,0.715,-0.074
1547222035630,2019-01-11T16:53:55.630,1.680,-0.199,0.780,-0.087
1547222035710,2019-01-11T16:53:55.710,1.760,-0.216,0.768,-0.117
1547222035790,2019-01-11T16:53:55.790,1.840,-0.217,0.754,-0.136
1547222035870,2019-01-11T16:53:55.870,1.920,-0.255,0.788,-0.141
1547222035950,2019-01-11T16:53:55.950,2.000,-0.273,0.832,-0.177
1547222036030,2019-01-11T16:53:56.030,2.080,-0.283,0.860,-0.180
1547222036110,2019-01-11T16:53:56.110,2.160,-0.302,0.906,-0.160
1547222036190,2019-01-11T16:53:56.190,2.240,-0.315,0.954,-0.121
1547222036270,2019-01-11T16:53:56.270,2.320,-0.289,0.957,-0.085
1547222036350,2019-01-11T16:53:56.350,2.400,-0.260,1.027,-0.080
1547222036430,2019-01-11T16:53:56.430,2.480,-0.210,1.089,-0.089
1547222036510,2019-01-11T16:53:56.510,2.560,-0.148,1.203,-0.058
1547222036590,2019-01-11T16:53:56.590,2.640,-0.156,1.443,-0.038
1547222036670,2019-01-11T16:53:56.670,2.720,-0.182,1.574,-0.010
1547222036750,2019-01-11T16:53:56.750,2.800,-0.220,1.387,-0.032
1547222036830,2019-01-11T16:53:56.830,2.880,-0.269,1.140,-0.082
1547222036910,2019-01-11T16:53:56.910,2.960,-0.308,0.989,-0.143
1547222036990,2019-01-11T16:53:56.990,3.040,-0.353,0.888,-0.153
1547222037070,2019-01-11T16:53:57.070,3.120,-0.328,0.773,-0.113
1547222037150,2019-01-11T16:53:57.150,3.200,-0.309,0.756,-0.107
1547222037230,2019-01-11T16:53:57.230,3.280,-0.294,0.777,-0.113
1547222037310,2019-01-11T16:53:57.310,3.360,-0.262,0.794,-0.092
1547222037390,2019-01-11T16:53:57.390,3.440,-0.206,0.795,-0.085
1547222037470,2019-01-11T16:53:57.470,3.520,-0.158,0.698,-0.035
1547222037550,2019-01-11T16:53:57.550,3.600,-0.139,0.665,-0.092
1547222037630,2019-01-11T16:53:57.630,3.680,-0.153,0.712,-0.134
1547222037710,2019-01-11T16:53:57.710,3.760,-0.170,0.711,-0.108
1547222037790,2019-01-11T16:53:57.790,3.840,-0.178,0.743,-0.139
1547222037870,2019-01-11T16:53:57.870,3.920,-0.199,0.781,-0.186
1547222037950,2019-01-11T16:53:57.950,4.000,-0.238,0.791,-0.166
1547222038030,2019-01-11T16:53:58.030,4.080,-0.246,0.814,-0.152
1547222038110,2019-01-11T16:53:58.110,4.160,-0.273,0.890,-0.163
1547222038190,2019-01-11T16:53:58.190,4.240,-0.289,0.946,-0.124
1547222038270,2019-01-11T16:53:58.270,4.320,-0.270,0.965,-0.102
1547222038350,2019-01-11T16:53:58.350,4.400,-0.230,1.088,-0.078
1547222038430,2019-01-11T16:53:58.430,4.480,-0.180,1.180,-0.066
1547222038510,2019-01-11T16:53:58.510,4.560,-0.165,1.345,-0.100
1547222038590,2019-01-11T16:53:58.590,4.640,-0.167,1.583,-0.072
1547222038670,2019-01-11T16:53:58.670,4.720,-0.217,1.496,0.013
1547222038750,2019-01-11T16:53:58.750,4.800,-0.254,1.168,0.010
1547222038830,2019-01-11T16:53:58.830,4.880,-0.297,0.996,-0.049
1547222038910,2019-01-11T16:53:58.910,4.960,-0.329,0.924,-0.061
1547222038990,2019-01-11T16:53:58.990,5.040,-0.346,0.876,-0.087
1547222039070,2019-01-11T16:53:59.070,5.120,-0.385,0.832,-0.104
1547222039150,2019-01-11T16:53:59.150,5.200,-0.305,0.761,-0.092
1547222039230,2019-01-11T16:53:59.230,5.280,-0.334,0.797,-0.036
1547222039310,2019-01-11T16:53:59.310,5.360,-0.340,0.842,-0.051
1547222039390,2019-01-11T16:53:59.390,5.440,-0.294,0.841,-0.028
1547222039470,2019-01-11T16:53:59.470,5.520,-0.208,0.816,-0.014
1547222039550,2019-01-11T16:53:59.550,5.600,-0.188,0.697,-0.050
1547222039630,2019-01-11T16:53:59.630,5.680,-0.157,0.672,-0.132
1547222039710,2019-01-11T16:53:59.710,5.760,-0.174,0.729,-0.121
1547222039790,2019-01-11T16:53:59.790,5.840,-0.171,0.740,-0.139
1547222039870,2019-01-11T16:53:59.870,5.920,-0.190,0.716,-0.149
1547222039950,2019-01-11T16:53:59.950,6.000,-0.258,0.816,-0.210
1547222040030,2019-01-11T16:54:00.030,6.080,-0.313,0.805,-0.192
1547222040110,2019-01-11T16:54:00.110,6.160,-0.342,0.839,-0.150
1547222040190,2019-01-11T16:54:00.190,6.240,-0.350,0.869,-0.148
1547222040270,2019-01-11T16:54:00.270,6.320,-0.336,0.897,-0.111
1547222040350,2019-01-11T16:54:00.350,6.400,-0.370,1.006,-0.097
1547222040430,2019-01-11T16:54:00.430,6.480,-0.295,1.037,-0.088
1547222040510,2019-01-11T16:54:00.510,6.560,-0.237,1.125,-0.132
1547222040590,2019-01-11T16:54:00.590,6.640,-0.198,1.308,-0.142
1547222040670,2019-01-11T16:54:00.670,6.720,-0.194,1.516,-0.170
1547222040750,2019-01-11T16:54:00.750,6.800,-0.204,1.492,-0.135
1547222040830,2019-01-11T16:54:00.830,6.880,-0.207,1.220,-0.073
1547222040910,2019-01-11T16:54:00.910,6.960,-0.309,1.060,-0.157
1547222040990,2019-01-11T16:54:00.990,7.040,-0.330,0.944,-0.164
1547222041070,2019-01-11T16:54:01.070,7.120,-0.334,0.852,-0.155
1547222041150,2019-01-11T16:54:01.150,7.200,-0.348,0.801,-0.169
1547222041230,2019-01-11T16:54:01.230,7.280,-0.324,0.776,-0.159
1547222041310,2019-01-11T16:54:01.310,7.360,-0.312,0.770,-0.107
1547222041390,2019-01-11T16:54:01.390,7.440,-0.299,0.801,-0.058
1547222041470,2019-01-11T16:54:01.470,7.520,-0.294,0.860,-0.085
1547222041550,2019-01-11T16:54:01.550,7.600,-0.238,0.765,-0.042
1547222041630,2019-01-11T16:54:01.630,7.680,-0.175,0.588,-0.032
1547222041710,2019-01-11T16:54:01.710,7.760,-0.146,0.590,-0.109
1547222041790,2019-01-11T16:54:01.790,7.840,-0.187,0.692,-0.109
1547222041870,2019-01-11T16:54:01.870,7.920,-0.228,0.790,-0.137
1547222041950,2019-01-11T16:54:01.950,8.000,-0.271,0.791,-0.159
1547222042030,2019-01-11T16:54:02.030,8.080,-0.292,0.832,-0.190
1547222042110,2019-01-11T16:54:02.110,8.160,-0.316,0.840,-0.211
1547222042190,2019-01-11T16:54:02.190,8.240,-0.339,0.867,-0.232
1547222042270,2019-01-11T16:54:02.270,8.320,-0.329,0.887,-0.210
1547222042350,2019-01-11T16:54:02.350,8.400,-0.265,0.930,-0.127
1547222042430,2019-01-11T16:54:02.430,8.480,-0.234,1.045,-0.114
1547222042510,2019-01-11T16:54:02.510,8.560,-0.163,1.128,-0.073
1547222042590,2019-01-11T16:54:02.590,8.640,-0.125,1.307,-0.074
1547222042670,2019-01-11T16:54:02.670,8.720,-0.119,1.553,-0.031
1547222042750,2019-01-11T16:54:02.750,8.800,-0.166,1.541,-0.006
1547222042830,2019-01-11T16:54:02.830,8.880,-0.219,1.268,-0.066
1547222042910,2019-01-11T16:54:02.910,8.960,-0.225,1.054,-0.111
1547222042990,2019-01-11T16:54:02.990,9.040,-0.295,0.881,-0.074
1547222043070,2019-01-11T16:54:03.070,9.120,-0.290,0.857,-0.125
1547222043150,2019-01-11T16:54:03.150,9.200,-0.348,0.835,-0.139
1547222043230,2019-01-11T16:54:03.230,9.280,-0.349,0.829,-0.136
1547222043310,2019-01-11T16:54:03.310,9.360,-0.372,0.832,-0.118
1547222043390,2019-01-11T16:54:03.390,9.440,-0.353,0.860,-0.127
1547222043470,2019-01-11T16:54:03.470,9.520,-0.318,0.854,-0.105
1547222043550,2019-01-11T16:54:03.550,9.600,-0.241,0.827,-0.097
1547222043630,2019-01-11T16:54:03.630,9.680,-0.168,0.675,-0.095
1547222043710,2019-01-11T16:54:03.710,9.760,-0.162,0.637,-0.172
1547222043790,2019-01-11T16:54:03.790,9.840,-0.161,0.696,-0.164
1547222043870,2019-01-11T16:54:03.870,9.920,-0.173,0.756,-0.142
1547222043950,2019-01-11T16:54:03.950,10.000,-0.196,0.711,-0.171
1547222044030,2019-01-11T16:54:04.030,10.080,-0.226,0.775,-0.214
1547222044110,2019-01-11T16:54:04.110,10.160,-0.279,0.827,-0.218
1547222044190,2019-01-11T16:54:04.190,10.240,-0.320,0.839,-0.232
1547222044270,2019-01-11T16:54:04.270,10.320,-0.322,0.844,-0.275
1547222044350,2019-01-11T16:54:04.350,10.400,-0.343,0.864,-0.245
1547222044430,2019-01-11T16:54:04.430,10.480,-0.310,0.890,-0.205
1547222044510,2019-01-11T16:54:04.510,10.560,-0.251,0.965,-0.172
1547222044590,2019-01-11T16:54:04.590,10.640,-0.239,1.052,-0.133
1547222044670,2019-01-11T16:54:04.670,10.720,-0.161,1.126,-0.100
1547222044750,2019-01-11T16:54:04.750,10.800,-0.126,1.325,-0.127
1547222044830,2019-01-11T16:54:04.830,10.880,-0.149,1.611,-0.133
1547222044910,2019-01-11T16:54:04.910,10.960,-0.183,1.549,-0.192
1547222044990,2019-01-11T16:54:04.990,11.040,-0.210,1.223,-0.179
1547222045070,2019-01-11T16:54:05.070,11.120,-0.239,1.016,-0.169
1547222045150,2019-01-11T16:54:05.150,11.200,-0.309,0.883,-0.158
1547222045230,2019-01-11T16:54:05.230,11.280,-0.343,0.814,-0.160
1547222045310,2019-01-11T16:54:05.310,11.360,-0.347,0.797,-0.146
1547222045390,2019-01-11T16:54:05.390,11.440,-0.338,0.788,-0.121
1547222045470,2019-01-11T16:54:05.470,11.520,-0.333,0.798,-0.087
1547222045550,2019-01-11T16:54:05.550,11.600,-0.294,0.818,-0.063
1547222045630,2019-01-11T16:54:05.630,11.680,-0.239,0.787,-0.035
1547222045710,2019-01-11T16:54:05.710,11.760,-0.168,0.694,-0.081
1547222045790,2019-01-11T16:54:05.790,11.840,-0.149,0.644,-0.202
1547222045870,2019-01-11T16:54:05.870,11.920,-0.175,0.635,-0.127
1547222045950,2019-01-11T16:54:05.950,12.000,-0.188,0.758,-0.183
1547222046030,2019-01-11T16:54:06.030,12.080,-0.218,0.766,-0.184
1547222046110,2019-01-11T16:54:06.110,12.160,-0.227,0.729,-0.225
1547222046190,2019-01-11T16:54:06.190,12.240,-0.294,0.786,-0.229
1547222046270,2019-01-11T16:54:06.270,12.320,-0.327,0.825,-0.232
1547222046350,2019-01-11T16:54:06.350,12.400,-0.324,0.828,-0.169
1547222046430,2019-01-11T16:54:06.430,12.480,-0.310,0.890,-0.114
1547222046510,2019-01-11T16:54:06.510,12.560,-0.317,1.021,-0.149
1547222046590,2019-01-11T16:54:06.590,12.640,-0.249,1.068,-0.069
1547222046670,2019-01-11T16:54:06.670,12.720,-0.165,1.178,-0.069
1547222046750,2019-01-11T16:54:06.750,12.800,-0.086,1.372,-0.031
1547222046830,2019-01-11T16:54:06.830,12.880,-0.084,1.579,0.114
1547222046910,2019-01-11T16:54:06.910,12.960,-0.111,1.444,0.113
1547222046990,2019-01-11T16:54:06.990,13.040,-0.176,1.194,0.025
1547222047070,2019-01-11T16:54:07.070,13.120,-0.246,1.026,-0.013
1547222047150,2019-01-11T16:54:07.150,13.200,-0.297,0.909,-0.116
1547222047230,2019-01-11T16:54:07.230,13.280,-0.300,0.846,-0.159
1547222047310,2019-01-11T16:54:07.310,13.360,-0.358,0.870,-0.195
1547222047390,2019-01-11T16:54:07.390,13.440,-0.355,0.869,-0.240
1547222047470,2019-01-11T16:54:07.470,13.520,-0.338,0.835,-0.205
1547222047550,2019-01-11T16:54:07.550,13.600,-0.336,0.851,-0.221
1547222047630,2019-01-11T16:54:07.630,13.680,-0.276,0.818,-0.154
1547222047710,2019-01-11T16:54:07.710,13.760,-0.221,0.796,-0.161
1547222047790,2019-01-11T16:54:07.790,13.840,-0.185,0.654,-0.183
1547222047870,2019-01-11T16:54:07.870,13.920,-0.149,0.638,-0.279
1547222047950,2019-01-11T16:54:07.950,14.000,-0.162,0.708,-0.171
1547222048030,2019-01-11T16:54:08.030,14.080,-0.155,0.759,-0.196
1547222048110,2019-01-11T16:54:08.110,14.160,-0.183,0.656,-0.171
1547222048190,2019-01-11T16:54:08.190,14.240,-0.227,0.726,-0.185
1547222048270,2019-01-11T16:54:08.270,14.320,-0.294,0.771,-0.216
1547222048350,2019-01-11T16:54:08.350,14.400,-0.334,0.828,-0.263
1547222048430,2019-01-11T16:54:08.430,14.480,-0.323,0.792,-0.255
1547222048510,2019-01-11T16:54:08.510,14.560,-0.332,0.849,-0.201
1547222048590,2019-01-11T16:54:08.590,14.640,-0.300,0.980,-0.157
1547222048670,2019-01-11T16:54:08.670,14.720,-0.268,1.108,-0.099
1547222048750,2019-01-11T16:54:08.750,14.800,-0.188,1.226,-0.075
1547222048830,2019-01-11T16:54:08.830,14.880,-0.142,1.317,-0.033
1547222048910,2019-01-11T16:54:08.910,14.960,-0.143,1.525,0.013
1547222048990,2019-01-11T16:54:08.990,15.040,-0.196,1.533,-0.017
1547222049070,2019-01-11T16:54:09.070,15.120,-0.253,1.178,-0.005
1547222049150,2019-01-11T16:54:09.150,15.200,-0.292,1.002,-0.050
1547222049230,2019-01-11T16:54:09.230,15.280,-0.343,0.963,-0.111
1547222049310,2019-01-11T16:54:09.310,15.360,-0.367,0.863,-0.132
1547222049390,2019-01-11T16:54:09.390,15.440,-0.359,0.824,-0.134
1547222049470,2019-01-11T16:54:09.470,15.520,-0.355,0.804,-0.181
1547222049550,2019-01-11T16:54:09.550,15.600,-0.385,0.817,-0.126
1547222049630,2019-01-11T16:54:09.630,15.680,-0.350,0.839,-0.124
1547222049710,2019-01-11T16:54:09.710,15.760,-0.303,0.843,-0.102
1547222049790,2019-01-11T16:54:09.790,15.840,-0.229,0.811,-0.099
1547222049870,2019-01-11T16:54:09.870,15.920,-0.159,0.651,-0.131
1547222049950,2019-01-11T16:54:09.950,16.000,-0.125,0.621,-0.183
1547222050030,2019-01-11T16:54:10.030,16.080,-0.131,0.699,-0.153
1547222050110,2019-01-11T16:54:10.110,16.160,-0.151,0.705,-0.107
1547222050190,2019-01-11T16:54:10.190,16.240,-0.206,0.750,-0.150
1547222050270,2019-01-11T16:54:10.270,16.320,-0.260,0.791,-0.234
1547222050350,2019-01-11T16:54:10.350,16.400,-0.313,0.771,-0.190
1547222050430,2019-01-11T16:54:10.430,16.480,-0.308,0.816,-0.253
1547222050510,2019-01-11T16:54:10.510,16.560,-0.345,0.875,-0.237
1547222050590,2019-01-11T16:54:10.590,16.640,-0.338,0.932,-0.209
1547222050670,2019-01-11T16:54:10.670,16.720,-0.300,0.969,-0.157
1547222050750,2019-01-11T16:54:10.750,16.800,-0.255,1.051,-0.153
1547222050830,2019-01-11T16:54:10.830,16.880,-0.166,1.091,-0.131
1547222050910,2019-01-11T16:54:10.910,16.960,-0.120,1.285,-0.169
1547222050990,2019-01-11T16:54:10.990,17.040,-0.119,1.564,-0.129
1547222051070,2019-01-11T16:54:11.070,17.120,-0.156,1.530,-0.115
1547222051150,2019-01-11T16:54:11.150,17.200,-0.190,1.262,-0.112
1547222051230,2019-01-11T16:54:11.230,17.280,-0.229,1.036,-0.083
1547222051310,2019-01-11T16:54:11.310,17.360,-0.310,0.926,-0.133
1547222051390,2019-01-11T16:54:11.390,17.440,-0.292,0.896,-0.208
1547222051470,2019-01-11T16:54:11.470,17.520,-0.269,0.832,-0.180
1547222051550,2019-01-11T16:54:11.550,17.600,-0.293,0.795,-0.144
1547222051630,2019-01-11T16:54:11.630,17.680,-0.314,0.813,-0.177
1547222051710,2019-01-11T16:54:11.710,17.760,-0.338,0.846,-0.113
1547222051790,2019-01-11T16:54:11.790,17.840,-0.303,0.848,-0.033
1547222051870,2019-01-11T16:54:11.870,17.920,-0.257,0.853,-0.037
1547222051950,2019-01-11T16:54:11.950,18.000,-0.163,0.693,-0.018
1547222052030,2019-01-11T16:54:12.030,18.080,-0.178,0.553,-0.088
1547222052110,2019-01-11T16:54:12.110,18.160,-0.150,0.593,-0.132
1547222052190,2019-01-11T16:54:12.190,18.240,-0.229,0.807,-0.098
1547222052270,2019-01-11T16:54:12.270,18.320,-0.263,0.743,-0.130
1547222052350,2019-01-11T16:54:12.350,18.400,-0.291,0.726,-0.161
1547222052430,2019-01-11T16:54:12.430,18.480,-0.361,0.782,-0.172
1547222052510,2019-01-11T16:54:12.510,18.560,-0.312,0.792,-0.167
1547222052590,2019-01-11T16:54:12.590,18.640,-0.307,0.870,-0.163
1547222052670,2019-01-11T16:54:12.670,18.720,-0.336,0.968,-0.114
1547222052750,2019-01-11T16:54:12.750,18.800,-0.283,1.010,0.013
1547222052830,2019-01-11T16:54:12.830,18.880,-0.238,1.188,0.043
1547222052910,2019-01-11T16:54:12.910,18.960,-0.204,1.292,0.055
1547222052990,2019-01-11T16:54:12.990,19.040,-0.130,1.462,0.082
1547222053070,2019-01-11T16:54:13.070,19.120,-0.160,1.503,0.177
1547222053150,2019-01-11T16:54:13.150,19.200,-0.219,1.328,0.069
1547222053230,2019-01-11T16:54:13.230,19.280,-0.253,1.099,-0.021
1547222053310,2019-01-11T16:54:13.310,19.360,-0.292,0.962,-0.041
1547222053390,2019-01-11T16:54:13.390,19.440,-0.337,0.898,-0.103
1547222053470,2019-01-11T16:54:13.470,19.520,-0.353,0.841,-0.086
1547222053550,2019-01-11T16:54:13.550,19.600,-0.360,0.815,-0.097
1547222053630,2019-01-11T16:54:13.630,19.680,-0.360,0.772,-0.134
