epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547222250295,2019-01-11T16:57:30.295,0.000,-4.878,0.061,0.976
1547222250335,2019-01-11T16:57:30.335,0.040,-5.793,0.244,0.610
1547222250375,2019-01-11T16:57:30.375,0.080,-7.439,-0.671,0.122
1547222250415,2019-01-11T16:57:30.415,0.120,-5.793,-1.280,2.317
1547222250455,2019-01-11T16:57:30.455,0.160,2.195,-3.780,4.390
1547222250495,2019-01-11T16:57:30.495,0.200,8.171,-4.573,3.049
1547222250535,2019-01-11T16:57:30.535,0.240,6.890,-2.256,1.463
1547222250575,2019-01-11T16:57:30.575,0.280,7.195,-2.012,-0.488
1547222250615,2019-01-11T16:57:30.615,0.320,7.195,-1.341,-1.220
1547222250655,2019-01-11T16:57:30.655,0.360,6.524,-2.866,1.037
1547222250695,2019-01-11T16:57:30.695,0.400,3.598,-2.317,2.866
1547222250735,2019-01-11T16:57:30.735,0.440,0.366,-1.220,2.256
1547222250775,2019-01-11T16:57:30.775,0.480,-1.280,-1.341,1.829
1547222250815,2019-01-11T16:57:30.815,0.520,-1.159,-1.890,0.793
1547222250855,2019-01-11T16:57:30.855,0.560,2.134,-2.195,-0.244
1547222250895,2019-01-11T16:57:30.895,0.600,3.780,-3.110,-0.488
1547222250935,2019-01-11T16:57:30.935,0.640,5.976,-3.232,-1.037
1547222250975,2019-01-11T16:57:30.975,0.680,7.866,-3.354,0.061
1547222251015,2019-01-11T16:57:31.015,0.720,4.207,-2.134,-0.488
1547222251055,2019-01-11T16:57:31.055,0.760,0.671,-1.585,-2.012
1547222251095,2019-01-11T16:57:31.095,0.800,0.305,-1.280,-1.220
1547222251135,2019-01-11T16:57:31.135,0.840,2.439,-1.951,3.659
1547222251175,2019-01-11T16:57:31.175,0.880,4.329,-3.354,7.134
1547222251215,2019-01-11T16:57:31.215,0.920,-1.707,0.793,1.402
1547222251255,2019-01-11T16:57:31.255,0.960,-6.951,3.354,-6.280
1547222251295,2019-01-11T16:57:31.295,1.000,-1.951,-1.037,-9.573
1547222251335,2019-01-11T16:57:31.335,1.040,11.341,-10.427,-13.293
1547222251375,2019-01-11T16:57:31.375,1.080,29.451,-28.537,-0.915
1547222251415,2019-01-11T16:57:31.415,1.120,49.390,-35.976,15.061
1547222251455,2019-01-11T16:57:31.455,1.160,60.488,-8.902,-5.549
1547222251495,2019-01-11T16:57:31.495,1.200,57.256,8.780,-42.317
1547222251535,2019-01-11T16:57:31.535,1.240,38.415,10.610,-68.354
1547222251575,2019-01-11T16:57:31.575,1.280,13.902,18.963,-75.915
1547222251615,2019-01-11T16:57:31.615,1.320,-1.829,18.659,-75.183
1547222251655,2019-01-11T16:57:31.655,1.360,-10.427,20.915,-64.329
1547222251695,2019-01-11T16:57:31.695,1.400,-17.500,24.024,-52.256
1547222251735,2019-01-11T16:57:31.735,1.440,-28.354,17.195,-34.146
1547222251775,2019-01-11T16:57:31.775,1.480,-29.817,14.207,-22.012
1547222251815,2019-01-11T16:57:31.815,1.520,-28.171,11.585,-16.098
1547222251855,2019-01-11T16:57:31.855,1.560,-21.768,-4.939,-9.634
1547222251895,2019-01-11T16:57:31.895,1.600,-17.927,-2.195,-2.073
1547222251935,2019-01-11T16:57:31.935,1.640,-18.598,0.061,-0.244
1547222251975,2019-01-11T16:57:31.975,1.680,-19.268,0.183,2.134
1547222252015,2019-01-11T16:57:32.015,1.720,-25.610,5.427,-0.061
1547222252055,2019-01-11T16:57:32.055,1.760,-19.634,0.915,14.268
1547222252095,2019-01-11T16:57:32.095,1.800,-4.695,-19.390,34.817
1547222252135,2019-01-11T16:57:32.135,1.840,3.598,-13.293,43.963
1547222252175,2019-01-11T16:57:32.175,1.880,1.951,-0.305,39.878
1547222252215,2019-01-11T16:57:32.215,1.920,-0.671,7.805,33.171
1547222252255,2019-01-11T16:57:32.255,1.960,6.159,0.610,26.768
1547222252295,2019-01-11T16:57:32.295,2.000,21.707,-16.646,25.305
1547222252335,2019-01-11T16:57:32.335,2.040,29.512,-23.841,16.524
1547222252375,2019-01-11T16:57:32.375,2.080,28.780,-14.451,2.073
1547222252415,2019-01-11T16:57:32.415,2.120,23.415,-5.549,-10.915
1547222252455,2019-01-11T16:57:32.455,2.160,31.098,-5.671,-17.073
1547222252495,2019-01-11T16:57:32.495,2.200,46.280,-8.659,-12.012
1547222252535,2019-01-11T16:57:32.535,2.240,42.866,-3.110,-15.732
1547222252575,2019-01-11T16:57:32.575,2.280,33.049,-7.500,-16.524
1547222252615,2019-01-11T16:57:32.615,2.320,17.988,-2.683,-22.378
1547222252655,2019-01-11T16:57:32.655,2.360,12.500,7.927,-29.268
1547222252695,2019-01-11T16:57:32.695,2.400,17.683,2.500,-19.573
1547222252735,2019-01-11T16:57:32.735,2.440,23.780,-8.659,-4.756
1547222252775,2019-01-11T16:57:32.775,2.480,8.415,-9.756,-1.402
1547222252815,2019-01-11T16:57:32.815,2.520,-6.707,-9.939,2.622
1547222252855,2019-01-11T16:57:32.855,2.560,-23.659,-10.671,-6.159
1547222252895,2019-01-11T16:57:32.895,2.600,-35.915,-17.683,-12.683
1547222252935,2019-01-11T16:57:32.935,2.640,-45.000,-21.341,-9.878
1547222252975,2019-01-11T16:57:32.975,2.680,-48.110,-26.463,4.451
1547222253015,2019-01-11T16:57:33.015,2.720,-30.488,-30.305,23.415
1547222253055,2019-01-11T16:57:33.055,2.760,-17.256,-27.439,38.841
1547222253095,2019-01-11T16:57:33.095,2.800,-17.622,-22.927,57.012
1547222253135,2019-01-11T16:57:33.135,2.840,-13.720,-21.463,68.354
1547222253175,2019-01-11T16:57:33.175,2.880,-30.488,-9.512,63.232
1547222253215,2019-01-11T16:57:33.215,2.920,-45.549,-4.268,51.951
1547222253255,2019-01-11T16:57:33.255,2.960,-38.232,-2.500,46.098
1547222253295,2019-01-11T16:57:33.295,3.000,-27.378,-4.695,37.317
1547222253335,2019-01-11T16:57:33.335,3.040,-20.427,2.256,25.427
1547222253375,2019-01-11T16:57:33.375,3.080,-18.659,4.207,9.634
1547222253415,2019-01-11T16:57:33.415,3.120,-15.183,-3.841,4.085
1547222253455,2019-01-11T16:57:33.455,3.160,-9.756,-4.390,-11.220
1547222253495,2019-01-11T16:57:33.495,3.200,-0.061,-0.732,-17.256
1547222253535,2019-01-11T16:57:33.535,3.240,2.744,15.061,-9.390
1547222253575,2019-01-11T16:57:33.575,3.280,14.451,12.805,-29.024
1547222253615,2019-01-11T16:57:33.615,3.320,36.220,5.976,-62.744
1547222253655,2019-01-11T16:57:33.655,3.360,54.573,14.451,-69.878
1547222253695,2019-01-11T16:57:33.695,3.400,64.268,24.817,-59.329
