epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547918546030,2019-01-19 18:22:26.029,0.0,0.979,-0.066,-0.188
1547918546110,2019-01-19 18:22:26.109,0.08,0.983,-0.071,-0.185
1547918546190,2019-01-19 18:22:26.189,0.16,0.98,-0.071,-0.184
1547918546270,2019-01-19 18:22:26.269,0.24,0.981,-0.07,-0.187
1547918546350,2019-01-19 18:22:26.349,0.32,0.99,-0.065,-0.184
1547918546430,2019-01-19 18:22:26.429,0.4,1.008,-0.08,-0.141
1547918546510,2019-01-19 18:22:26.509,0.48,0.95,-0.064,-0.213
1547918546590,2019-01-19 18:22:26.589,0.56,0.984,-0.063,-0.161
1547918546670,2019-01-19 18:22:26.669,0.64,1.001,-0.065,-0.153
1547918546750,2019-01-19 18:22:26.749,0.72,0.982,-0.075,-0.161
1547918546830,2019-01-19 18:22:26.829,0.8,0.986,-0.074,-0.151
1547918546910,2019-01-19 18:22:26.909,0.88,0.993,-0.071,-0.145
1547918546990,2019-01-19 18:22:26.989,0.96,0.986,-0.073,-0.151
1547918547070,2019-01-19 18:22:27.069,1.04,1.001,-0.086,-0.117
1547918547150,2019-01-19 18:22:27.149,1.12,1.015,-0.083,-0.101
1547918547230,2019-01-19 18:22:27.229,1.2,1.0,-0.081,-0.071
1547918547310,2019-01-19 18:22:27.309,1.28,1.015,-0.089,-0.073
1547918547390,2019-01-19 18:22:27.389,1.36,1.019,-0.09,-0.021
1547918547470,2019-01-19 18:22:27.469,1.44,0.976,-0.085,0.013
1547918547550,2019-01-19 18:22:27.549,1.52,0.932,-0.078,0.109
1547918547630,2019-01-19 18:22:27.629,1.6,0.994,-0.085,0.207
1547918547710,2019-01-19 18:22:27.709,1.68,0.971,-0.069,0.191
1547918547790,2019-01-19 18:22:27.789,1.76,0.973,-0.081,0.191
1547918547870,2019-01-19 18:22:27.869,1.84,0.995,-0.118,0.211
1547918547950,2019-01-19 18:22:27.949,1.92,0.977,-0.137,0.184
1547918548030,2019-01-19 18:22:28.029,2.0,0.974,-0.125,0.194
1547918548110,2019-01-19 18:22:28.109,2.08,0.972,-0.117,0.209
1547918548190,2019-01-19 18:22:28.189,2.16,0.99,-0.13,0.206
1547918548270,2019-01-19 18:22:28.269,2.24,0.976,-0.125,0.214
1547918548350,2019-01-19 18:22:28.349,2.32,0.968,-0.092,0.19
1547918548430,2019-01-19 18:22:28.429,2.4,0.982,-0.107,0.188
1547918548510,2019-01-19 18:22:28.509,2.48,0.971,-0.141,0.209
1547918548590,2019-01-19 18:22:28.589,2.56,0.992,-0.156,0.219
1547918548670,2019-01-19 18:22:28.669,2.64,0.986,-0.147,0.208
1547918548750,2019-01-19 18:22:28.749,2.72,0.973,-0.139,0.193
1547918548830,2019-01-19 18:22:28.829,2.8,0.941,-0.313,0.189
1547918548910,2019-01-19 18:22:28.909,2.88,0.931,-0.274,0.238
1547918548990,2019-01-19 18:22:28.989,2.96,0.983,-0.104,0.31
1547918549070,2019-01-19 18:22:29.069,3.04,0.946,-0.108,0.307
1547918549150,2019-01-19 18:22:29.149,3.12,0.925,-0.155,0.351
1547918549230,2019-01-19 18:22:29.229,3.2,0.94,-0.156,0.459
1547918549310,2019-01-19 18:22:29.309,3.28,0.825,-0.078,0.403
1547918549390,2019-01-19 18:22:29.389,3.36,0.792,-0.016,0.304
1547918549470,2019-01-19 18:22:29.469,3.44,0.843,-0.024,0.345
1547918549550,2019-01-19 18:22:29.549,3.52,0.82,-0.116,0.526
1547918549630,2019-01-19 18:22:29.629,3.6,0.99,-0.344,0.738
1547918549710,2019-01-19 18:22:29.709,3.68,0.865,-0.383,0.579
1547918549790,2019-01-19 18:22:29.789,3.76,0.591,-0.347,0.583
1547918549870,2019-01-19 18:22:29.869,3.84,0.666,-0.34,0.715
1547918549950,2019-01-19 18:22:29.949,3.92,0.788,-0.286,0.618
1547918550030,2019-01-19 18:22:30.029,4.0,0.743,-0.282,0.566
1547918550110,2019-01-19 18:22:30.109,4.08,0.78,-0.356,0.616
1547918550190,2019-01-19 18:22:30.189,4.16,0.703,-0.363,0.573
1547918550270,2019-01-19 18:22:30.269,4.24,0.633,-0.383,0.606
1547918550350,2019-01-19 18:22:30.349,4.32,0.708,-0.466,0.686
