epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547918545756,2019-01-19 18:22:25.755,0.0,1.341,1.463,0.671
1547918545796,2019-01-19 18:22:25.795,0.04,1.098,1.098,0.976
1547918545836,2019-01-19 18:22:25.835,0.08,0.183,-2.195,0.305
1547918545876,2019-01-19 18:22:25.875,0.12,0.061,-2.195,0.183
1547918545916,2019-01-19 18:22:25.915,0.16,0.305,0.915,1.159
1547918545956,2019-01-19 18:22:25.955,0.2,0.061,-1.707,1.28
1547918545996,2019-01-19 18:22:25.995,0.24,0.183,-1.037,0.976
1547918546036,2019-01-19 18:22:26.035,0.28,0.305,1.768,0.305
1547918546076,2019-01-19 18:22:26.075,0.32,0.366,-1.159,0.549
1547918546116,2019-01-19 18:22:26.115,0.36,0.793,-1.951,0.61
1547918546156,2019-01-19 18:22:26.155,0.4,0.915,-2.622,0.61
1547918546196,2019-01-19 18:22:26.195,0.44,0.61,-2.805,0.976
1547918546236,2019-01-19 18:22:26.235,0.48,0.976,-0.305,1.463
1547918546276,2019-01-19 18:22:26.275,0.52,0.915,-1.585,0.915
1547918546316,2019-01-19 18:22:26.315,0.56,0.854,-1.585,0.854
1547918546356,2019-01-19 18:22:26.355,0.6,2.5,5.671,0.305
1547918546396,2019-01-19 18:22:26.395,0.64,8.11,8.78,-2.561
1547918546436,2019-01-19 18:22:26.435,0.68,7.988,7.195,-2.012
1547918546476,2019-01-19 18:22:26.475,0.72,1.768,4.451,1.098
1547918546516,2019-01-19 18:22:26.515,0.76,-1.951,-1.646,3.171
1547918546556,2019-01-19 18:22:26.555,0.8,-0.732,-0.976,2.988
1547918546596,2019-01-19 18:22:26.595,0.84,0.244,0.305,1.402
1547918546636,2019-01-19 18:22:26.635,0.88,0.122,-0.915,0.122
1547918546676,2019-01-19 18:22:26.675,0.92,0.244,-0.732,-0.549
1547918546716,2019-01-19 18:22:26.715,0.96,0.244,1.341,0.122
1547918546756,2019-01-19 18:22:26.755,1.0,0.427,-1.463,0.976
1547918546796,2019-01-19 18:22:26.795,1.04,0.183,-1.768,1.159
1547918546836,2019-01-19 18:22:26.835,1.08,0.427,-0.854,1.037
1547918546876,2019-01-19 18:22:26.875,1.12,2.134,0.488,0.915
1547918546916,2019-01-19 18:22:26.915,1.16,3.476,3.659,0.122
1547918546956,2019-01-19 18:22:26.955,1.2,3.598,3.476,0.305
1547918546996,2019-01-19 18:22:26.995,1.24,3.841,-0.915,-0.305
1547918547036,2019-01-19 18:22:27.035,1.28,8.049,2.073,-2.195
1547918547076,2019-01-19 18:22:27.075,1.32,10.671,5.305,-3.049
1547918547116,2019-01-19 18:22:27.115,1.36,13.232,10.061,-4.939
1547918547156,2019-01-19 18:22:27.155,1.4,16.585,16.524,-4.695
1547918547196,2019-01-19 18:22:27.195,1.44,22.256,14.573,-3.902
1547918547236,2019-01-19 18:22:27.235,1.48,24.207,2.195,-2.073
1547918547276,2019-01-19 18:22:27.275,1.52,26.89,22.134,1.829
1547918547316,2019-01-19 18:22:27.315,1.56,28.476,60.183,6.89
1547918547356,2019-01-19 18:22:27.355,1.6,30.366,85.244,8.841
1547918547396,2019-01-19 18:22:27.395,1.64,28.537,83.415,8.232
1547918547436,2019-01-19 18:22:27.435,1.68,21.159,71.402,12.073
1547918547476,2019-01-19 18:22:27.475,1.72,16.524,67.622,19.39
1547918547516,2019-01-19 18:22:27.515,1.76,6.829,26.402,16.951
1547918547556,2019-01-19 18:22:27.555,1.8,-2.073,-4.939,7.439
1547918547596,2019-01-19 18:22:27.595,1.84,-4.207,4.634,-0.122
1547918547636,2019-01-19 18:22:27.635,1.88,-2.988,10.976,-1.463
