epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547918739909,2019-01-19 18:25:39.908,0.0,0.951,0.11,0.193
1547918739989,2019-01-19 18:25:39.988,0.08,0.971,0.105,0.196
1547918740069,2019-01-19 18:25:40.068,0.16,0.954,0.081,0.196
1547918740149,2019-01-19 18:25:40.148,0.24,0.988,0.067,0.233
1547918740229,2019-01-19 18:25:40.228,0.32,0.971,0.085,0.242
1547918740309,2019-01-19 18:25:40.308,0.4,0.922,0.076,0.211
1547918740389,2019-01-19 18:25:40.388,0.48,0.708,0.02,0.217
1547918740469,2019-01-19 18:25:40.468,0.56,0.49,-0.111,0.253
1547918740549,2019-01-19 18:25:40.548,0.64,0.757,-0.384,0.199
1547918740629,2019-01-19 18:25:40.628,0.72,0.772,-0.671,0.257
1547918740709,2019-01-19 18:25:40.708,0.8,0.706,-1.015,0.5
1547918740789,2019-01-19 18:25:40.788,0.88,0.53,-1.185,0.565
1547918740869,2019-01-19 18:25:40.868,0.96,0.377,-1.134,0.558
1547918740949,2019-01-19 18:25:40.948,1.04,0.363,-1.005,0.494
1547918741029,2019-01-19 18:25:41.028,1.12,0.363,-0.88,0.479
1547918741109,2019-01-19 18:25:41.108,1.2,0.305,-0.811,0.487
1547918741189,2019-01-19 18:25:41.188,1.28,0.229,-0.869,0.489
1547918741269,2019-01-19 18:25:41.268,1.36,0.167,-0.839,0.53
1547918741349,2019-01-19 18:25:41.348,1.44,0.16,-0.701,0.541
1547918741429,2019-01-19 18:25:41.428,1.52,0.162,-0.823,0.561
1547918741509,2019-01-19 18:25:41.508,1.6,0.167,-0.936,0.52
1547918741589,2019-01-19 18:25:41.588,1.68,0.196,-0.86,0.453
1547918741669,2019-01-19 18:25:41.668,1.76,0.248,-0.789,0.411
1547918741749,2019-01-19 18:25:41.748,1.84,0.266,-0.811,0.43
1547918741829,2019-01-19 18:25:41.828,1.92,0.268,-0.867,0.464
1547918741909,2019-01-19 18:25:41.908,2.0,0.264,-1.07,0.524
1547918741989,2019-01-19 18:25:41.988,2.08,0.249,-1.055,0.432
1547918742069,2019-01-19 18:25:42.068,2.16,0.301,-0.975,0.385
1547918742149,2019-01-19 18:25:42.148,2.24,0.292,-0.891,0.348
1547918742229,2019-01-19 18:25:42.228,2.32,0.289,-0.892,0.311
1547918742309,2019-01-19 18:25:42.308,2.4,0.286,-1.011,0.289
1547918742389,2019-01-19 18:25:42.388,2.48,0.324,-0.945,0.278
1547918742469,2019-01-19 18:25:42.468,2.56,0.309,-0.898,0.273
1547918742549,2019-01-19 18:25:42.548,2.64,0.268,-0.887,0.265
1547918742629,2019-01-19 18:25:42.628,2.72,0.262,-0.884,0.269
1547918742709,2019-01-19 18:25:42.708,2.8,0.301,-0.898,0.284
1547918742789,2019-01-19 18:25:42.788,2.88,0.338,-0.948,0.342
1547918742869,2019-01-19 18:25:42.868,2.96,0.319,-0.982,0.406
1547918742949,2019-01-19 18:25:42.948,3.04,0.254,-0.981,0.4
1547918743029,2019-01-19 18:25:43.028,3.12,0.293,-0.981,0.391
1547918743109,2019-01-19 18:25:43.108,3.2,0.358,-1.034,0.379
1547918743189,2019-01-19 18:25:43.188,3.28,0.384,-1.028,0.371
1547918743269,2019-01-19 18:25:43.268,3.36,0.39,-0.913,0.429
