epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547918739579,2019-01-19 18:25:39.578,0.0,-1.585,0.854,0.244
1547918739619,2019-01-19 18:25:39.618,0.04,-1.22,1.098,0.0
1547918739659,2019-01-19 18:25:39.658,0.08,-1.402,0.366,0.549
1547918739699,2019-01-19 18:25:39.698,0.12,-1.159,-2.317,0.671
1547918739739,2019-01-19 18:25:39.738,0.16,-1.159,0.427,0.549
1547918739779,2019-01-19 18:25:39.778,0.2,-1.585,2.256,0.732
1547918739819,2019-01-19 18:25:39.818,0.24,-2.927,1.768,2.439
1547918739859,2019-01-19 18:25:39.858,0.28,-3.049,-0.122,3.78
1547918739899,2019-01-19 18:25:39.898,0.32,-1.037,1.768,3.354
1547918739939,2019-01-19 18:25:39.938,0.36,-0.488,3.841,2.439
1547918739979,2019-01-19 18:25:39.978,0.4,-0.122,-0.244,3.598
1547918740019,2019-01-19 18:25:40.018,0.44,0.061,-1.037,6.159
1547918740059,2019-01-19 18:25:40.058,0.48,0.122,-2.805,6.829
1547918740099,2019-01-19 18:25:40.098,0.52,1.098,0.793,6.28
1547918740139,2019-01-19 18:25:40.138,0.56,3.232,9.817,6.89
1547918740179,2019-01-19 18:25:40.178,0.6,4.329,9.085,7.988
1547918740219,2019-01-19 18:25:40.218,0.64,4.817,3.415,8.171
1547918740259,2019-01-19 18:25:40.258,0.68,5.915,7.012,9.939
1547918740299,2019-01-19 18:25:40.298,0.72,6.829,12.073,16.524
1547918740339,2019-01-19 18:25:40.338,0.76,8.476,22.378,32.012
1547918740379,2019-01-19 18:25:40.378,0.8,11.402,-2.012,59.329
1547918740419,2019-01-19 18:25:40.418,0.84,17.439,-1.28,105.122
1547918740459,2019-01-19 18:25:40.458,0.88,13.78,43.415,154.329
1547918740499,2019-01-19 18:25:40.498,0.92,-2.805,66.28,191.098
1547918740539,2019-01-19 18:25:40.538,0.96,-19.634,72.256,212.195
1547918740579,2019-01-19 18:25:40.578,1.0,-37.561,98.476,215.488
1547918740619,2019-01-19 18:25:40.618,1.04,-49.512,124.024,211.402
1547918740659,2019-01-19 18:25:40.658,1.08,-52.683,114.207,206.707
1547918740699,2019-01-19 18:25:40.698,1.12,-54.085,73.78,190.0
1547918740739,2019-01-19 18:25:40.738,1.16,-49.085,58.232,159.939
1547918740779,2019-01-19 18:25:40.778,1.2,-37.927,59.39,124.817
1547918740819,2019-01-19 18:25:40.818,1.24,-23.354,18.72,85.427
1547918740859,2019-01-19 18:25:40.858,1.28,-7.683,-44.878,47.683
1547918740899,2019-01-19 18:25:40.898,1.32,7.927,-69.146,21.28
1547918740939,2019-01-19 18:25:40.938,1.36,23.354,-59.146,8.415
1547918740979,2019-01-19 18:25:40.978,1.4,32.256,-58.902,-1.585
1547918741019,2019-01-19 18:25:41.018,1.44,36.159,-57.012,-10.732
1547918741059,2019-01-19 18:25:41.058,1.48,39.451,-41.341,-19.39
1547918741099,2019-01-19 18:25:41.098,1.52,34.695,-32.317,-26.89
1547918741139,2019-01-19 18:25:41.138,1.56,25.671,-18.354,-26.037
1547918741179,2019-01-19 18:25:41.178,1.6,15.671,-2.683,-21.951
1547918741219,2019-01-19 18:25:41.218,1.64,2.622,-1.098,-23.293
1547918741259,2019-01-19 18:25:41.258,1.68,-11.159,9.634,-22.439
