epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547220639638,2019-01-11T16:30:39.638,0.000,-0.976,0.610,-2.378
1547220639678,2019-01-11T16:30:39.678,0.040,-0.488,-0.549,-2.256
1547220639718,2019-01-11T16:30:39.718,0.080,0.854,-3.171,-2.012
1547220639758,2019-01-11T16:30:39.758,0.120,-1.341,-2.317,-0.854
1547220639798,2019-01-11T16:30:39.798,0.160,-4.207,0.610,0.061
1547220639838,2019-01-11T16:30:39.838,0.200,-2.012,-0.915,-0.549
1547220639878,2019-01-11T16:30:39.878,0.240,1.585,-6.585,-0.732
1547220639918,2019-01-11T16:30:39.918,0.280,0.732,-3.902,-0.671
1547220639958,2019-01-11T16:30:39.958,0.320,-0.610,-1.768,-0.793
1547220639998,2019-01-11T16:30:39.998,0.360,-1.159,-0.305,-0.732
1547220640038,2019-01-11T16:30:40.038,0.400,1.280,-3.171,-0.671
1547220640078,2019-01-11T16:30:40.078,0.440,2.317,-3.232,-0.732
1547220640118,2019-01-11T16:30:40.118,0.480,2.744,-3.720,-0.183
1547220640158,2019-01-11T16:30:40.158,0.520,1.159,-1.098,0.122
1547220640198,2019-01-11T16:30:40.198,0.560,0.976,-1.220,-0.122
1547220640238,2019-01-11T16:30:40.238,0.600,1.341,-2.500,0.305
1547220640278,2019-01-11T16:30:40.278,0.640,1.829,-2.012,0.793
1547220640318,2019-01-11T16:30:40.318,0.680,1.524,-0.061,-0.183
1547220640358,2019-01-11T16:30:40.358,0.720,0.854,-2.744,0.854
1547220640398,2019-01-11T16:30:40.398,0.760,-0.366,0.183,0.244
1547220640438,2019-01-11T16:30:40.438,0.800,0.244,-3.415,0.671
1547220640478,2019-01-11T16:30:40.478,0.840,-0.976,-0.854,0.244
1547220640518,2019-01-11T16:30:40.518,0.880,-5.366,-5.000,2.927
1547220640558,2019-01-11T16:30:40.558,0.920,-5.488,-2.195,3.537
1547220640598,2019-01-11T16:30:40.598,0.960,2.134,-7.561,-6.402
1547220640638,2019-01-11T16:30:40.638,1.000,8.171,-18.720,-11.098
1547220640678,2019-01-11T16:30:40.678,1.040,0.732,-20.122,-5.671
1547220640718,2019-01-11T16:30:40.718,1.080,-3.110,-17.805,-1.341
1547220640758,2019-01-11T16:30:40.758,1.120,-2.012,-6.341,-7.683
1547220640798,2019-01-11T16:30:40.798,1.160,-0.549,1.280,-7.561
1547220640838,2019-01-11T16:30:40.838,1.200,5.366,-13.232,-2.683
1547220640878,2019-01-11T16:30:40.878,1.240,7.012,-8.354,-5.000
1547220640918,2019-01-11T16:30:40.918,1.280,9.329,-0.366,-11.829
1547220640958,2019-01-11T16:30:40.958,1.320,14.756,0.000,-10.427
1547220640998,2019-01-11T16:30:40.998,1.360,18.537,-14.573,0.488
1547220641038,2019-01-11T16:30:41.038,1.400,8.598,4.878,-1.829
1547220641078,2019-01-11T16:30:41.078,1.440,10.854,4.512,-14.085
1547220641118,2019-01-11T16:30:41.118,1.480,16.098,-12.683,-9.634
1547220641158,2019-01-11T16:30:41.158,1.520,17.012,-11.585,-22.256
1547220641198,2019-01-11T16:30:41.198,1.560,25.671,-12.988,-33.963
1547220641238,2019-01-11T16:30:41.238,1.600,38.598,-25.549,-27.683
1547220641278,2019-01-11T16:30:41.278,1.640,41.037,-25.122,-26.890
1547220641318,2019-01-11T16:30:41.318,1.680,43.537,-20.915,-24.390
1547220641358,2019-01-11T16:30:41.358,1.720,38.537,-25.061,-20.427
1547220641398,2019-01-11T16:30:41.398,1.760,19.695,-11.037,-29.207
1547220641438,2019-01-11T16:30:41.438,1.800,17.927,-14.695,-23.537
1547220641478,2019-01-11T16:30:41.478,1.840,9.634,-21.646,-14.146
1547220641518,2019-01-11T16:30:41.518,1.880,-5.610,-17.256,-12.439
1547220641558,2019-01-11T16:30:41.558,1.920,-12.988,-14.085,0.671
1547220641598,2019-01-11T16:30:41.598,1.960,-9.756,-44.878,20.793
1547220641638,2019-01-11T16:30:41.638,2.000,-8.780,-35.976,51.402
1547220641678,2019-01-11T16:30:41.678,2.040,-14.756,-5.793,65.732
1547220641718,2019-01-11T16:30:41.718,2.080,-24.268,5.366,71.646
1547220641758,2019-01-11T16:30:41.758,2.120,-21.890,14.268,51.524
1547220641798,2019-01-11T16:30:41.798,2.160,-14.878,8.902,-2.439
1547220641838,2019-01-11T16:30:41.838,2.200,9.085,1.585,-30.000
1547220641878,2019-01-11T16:30:41.878,2.240,21.707,0.244,-24.207
1547220641918,2019-01-11T16:30:41.918,2.280,27.683,4.329,-26.524
1547220641958,2019-01-11T16:30:41.958,2.320,20.183,5.671,-38.049
1547220641998,2019-01-11T16:30:41.998,2.360,18.049,6.951,-26.524
1547220642038,2019-01-11T16:30:42.038,2.400,5.549,14.939,-17.927
1547220642078,2019-01-11T16:30:42.078,2.440,-4.207,10.244,-15.854
1547220642118,2019-01-11T16:30:42.118,2.480,-12.256,11.159,-5.000
1547220642158,2019-01-11T16:30:42.158,2.520,-18.171,14.573,9.024
1547220642198,2019-01-11T16:30:42.198,2.560,-22.805,8.049,25.610
1547220642238,2019-01-11T16:30:42.238,2.600,-34.939,12.988,23.963
1547220642278,2019-01-11T16:30:42.278,2.640,-34.512,12.622,33.598
1547220642318,2019-01-11T16:30:42.318,2.680,-23.720,-0.488,26.220
1547220642358,2019-01-11T16:30:42.358,2.720,-22.927,13.354,35.671
1547220642398,2019-01-11T16:30:42.398,2.760,-7.927,-8.841,10.244
1547220642438,2019-01-11T16:30:42.438,2.800,-17.195,16.037,22.317
1547220642478,2019-01-11T16:30:42.478,2.840,-10.732,-5.061,-6.890
1547220642518,2019-01-11T16:30:42.518,2.880,-23.476,7.927,3.963
1547220642558,2019-01-11T16:30:42.558,2.920,-7.378,-5.610,-9.268
1547220642598,2019-01-11T16:30:42.598,2.960,-19.207,2.927,4.207
1547220642638,2019-01-11T16:30:42.638,3.000,-33.415,10.061,6.768
1547220642678,2019-01-11T16:30:42.678,3.040,-22.561,18.354,3.415
1547220642718,2019-01-11T16:30:42.718,3.080,-13.110,-15.366,21.098
1547220642758,2019-01-11T16:30:42.758,3.120,-5.000,-20.366,9.329
1547220642798,2019-01-11T16:30:42.798,3.160,-3.049,9.451,-0.671
1547220642838,2019-01-11T16:30:42.838,3.200,10.122,3.841,-7.988
1547220642878,2019-01-11T16:30:42.878,3.240,10.427,-1.829,-5.610
1547220642918,2019-01-11T16:30:42.918,3.280,9.329,5.244,-8.537
1547220642958,2019-01-11T16:30:42.958,3.320,9.207,6.098,-16.402
1547220642998,2019-01-11T16:30:42.998,3.360,13.293,-1.037,-15.244
1547220643038,2019-01-11T16:30:43.038,3.400,24.207,-17.683,-5.915
1547220643078,2019-01-11T16:30:43.078,3.440,25.000,-17.866,1.646
1547220643118,2019-01-11T16:30:43.118,3.480,18.415,0.793,-2.561
1547220643158,2019-01-11T16:30:43.158,3.520,24.207,-4.939,-8.171
1547220643198,2019-01-11T16:30:43.198,3.560,36.890,-17.439,-13.659
1547220643238,2019-01-11T16:30:43.238,3.600,40.549,-18.659,-26.341
1547220643278,2019-01-11T16:30:43.278,3.640,39.024,-16.707,-32.622
1547220643318,2019-01-11T16:30:43.318,3.680,42.683,-22.866,-28.171
1547220643358,2019-01-11T16:30:43.358,3.720,33.598,-15.976,-29.329
1547220643398,2019-01-11T16:30:43.398,3.760,15.000,-12.378,-33.537
1547220643438,2019-01-11T16:30:43.438,3.800,13.598,-21.707,-21.341
1547220643478,2019-01-11T16:30:43.478,3.840,12.378,-28.659,-7.317
1547220643518,2019-01-11T16:30:43.518,3.880,9.695,-27.256,2.439
1547220643558,2019-01-11T16:30:43.558,3.920,7.500,-25.244,14.390
1547220643598,2019-01-11T16:30:43.598,3.960,8.049,-19.695,27.134
1547220643638,2019-01-11T16:30:43.638,4.000,5.915,-11.220,41.829
1547220643678,2019-01-11T16:30:43.678,4.040,8.537,-8.720,57.866
1547220643718,2019-01-11T16:30:43.718,4.080,8.780,4.817,72.378
1547220643758,2019-01-11T16:30:43.758,4.120,8.720,12.988,55.488
1547220643798,2019-01-11T16:30:43.798,4.160,5.854,17.195,12.805
1547220643838,2019-01-11T16:30:43.838,4.200,8.476,7.683,-21.463
1547220643878,2019-01-11T16:30:43.878,4.240,19.329,-5.305,-30.305
1547220643918,2019-01-11T16:30:43.918,4.280,20.915,2.683,-35.061
1547220643958,2019-01-11T16:30:43.958,4.320,3.659,10.000,-50.732
1547220643998,2019-01-11T16:30:43.998,4.360,-3.415,13.293,-39.756
1547220644038,2019-01-11T16:30:44.038,4.400,-9.695,20.061,-24.939
1547220644078,2019-01-11T16:30:44.078,4.440,-14.146,8.841,-16.585
1547220644118,2019-01-11T16:30:44.118,4.480,-21.402,14.878,-0.732
1547220644158,2019-01-11T16:30:44.158,4.520,-34.634,9.451,3.720
1547220644198,2019-01-11T16:30:44.198,4.560,-41.159,20.732,10.427
1547220644238,2019-01-11T16:30:44.238,4.600,-34.695,4.390,22.317
1547220644278,2019-01-11T16:30:44.278,4.640,-32.439,7.073,34.390
1547220644318,2019-01-11T16:30:44.318,4.680,-40.183,10.610,36.159
1547220644358,2019-01-11T16:30:44.358,4.720,-34.512,10.793,29.024
1547220644398,2019-01-11T16:30:44.398,4.760,-29.085,7.256,25.305
1547220644438,2019-01-11T16:30:44.438,4.800,-20.244,0.854,25.061
1547220644478,2019-01-11T16:30:44.478,4.840,-18.841,10.366,13.537
1547220644518,2019-01-11T16:30:44.518,4.880,-12.012,2.561,9.390
1547220644558,2019-01-11T16:30:44.558,4.920,-15.549,5.061,15.976
1547220644598,2019-01-11T16:30:44.598,4.960,-9.878,7.866,-8.720
1547220644638,2019-01-11T16:30:44.638,5.000,-25.366,29.390,15.244
1547220644678,2019-01-11T16:30:44.678,5.040,-12.012,-21.159,9.085
1547220644718,2019-01-11T16:30:44.718,5.080,9.939,-7.744,-17.073
1547220644758,2019-01-11T16:30:44.758,5.120,-11.707,8.049,22.378
1547220644798,2019-01-11T16:30:44.798,5.160,1.524,-15.671,-4.390
1547220644838,2019-01-11T16:30:44.838,5.200,8.476,0.305,-10.793
1547220644878,2019-01-11T16:30:44.878,5.240,5.671,2.622,4.268
1547220644918,2019-01-11T16:30:44.918,5.280,9.146,3.415,0.488
1547220644958,2019-01-11T16:30:44.958,5.320,15.610,1.524,-7.866
1547220644998,2019-01-11T16:30:44.998,5.360,16.768,5.549,-8.659
1547220645038,2019-01-11T16:30:45.038,5.400,13.720,-1.768,-3.659
1547220645078,2019-01-11T16:30:45.078,5.440,16.707,-4.817,-0.122
1547220645118,2019-01-11T16:30:45.118,5.480,26.463,-21.341,-7.500
1547220645158,2019-01-11T16:30:45.158,5.520,12.378,1.707,2.134
1547220645198,2019-01-11T16:30:45.198,5.560,12.012,3.049,-4.695
1547220645238,2019-01-11T16:30:45.238,5.600,27.012,-4.756,-17.683
1547220645278,2019-01-11T16:30:45.278,5.640,36.951,-17.561,-24.573
1547220645318,2019-01-11T16:30:45.318,5.680,36.524,-19.695,-34.512
1547220645358,2019-01-11T16:30:45.358,5.720,35.549,-25.061,-37.378
1547220645398,2019-01-11T16:30:45.398,5.760,28.293,-18.780,-35.854
1547220645438,2019-01-11T16:30:45.438,5.800,21.951,-23.537,-34.634
1547220645478,2019-01-11T16:30:45.478,5.840,17.866,-29.085,-22.805
1547220645518,2019-01-11T16:30:45.518,5.880,4.634,-32.073,-23.293
1547220645558,2019-01-11T16:30:45.558,5.920,-3.476,-26.463,-15.305
1547220645598,2019-01-11T16:30:45.598,5.960,0.183,-28.232,-0.305
1547220645638,2019-01-11T16:30:45.638,6.000,3.476,-25.000,15.488
1547220645678,2019-01-11T16:30:45.678,6.040,2.805,-14.817,23.232
1547220645718,2019-01-11T16:30:45.718,6.080,9.024,-9.939,45.183
1547220645758,2019-01-11T16:30:45.758,6.120,28.110,-9.207,83.415
1547220645798,2019-01-11T16:30:45.798,6.160,25.305,9.390,97.012
1547220645838,2019-01-11T16:30:45.838,6.200,6.890,22.744,59.878
1547220645878,2019-01-11T16:30:45.878,6.240,0.427,23.841,4.146
1547220645918,2019-01-11T16:30:45.918,6.280,7.683,-3.110,-39.817
1547220645958,2019-01-11T16:30:45.958,6.320,22.500,-2.561,-33.902
1547220645998,2019-01-11T16:30:45.998,6.360,20.915,1.585,-37.439
1547220646038,2019-01-11T16:30:46.038,6.400,4.390,4.695,-51.707
1547220646078,2019-01-11T16:30:46.078,6.440,-0.427,10.976,-46.829
1547220646118,2019-01-11T16:30:46.118,6.480,-6.098,11.768,-26.890
1547220646158,2019-01-11T16:30:46.158,6.520,-16.463,13.110,-18.963
1547220646198,2019-01-11T16:30:46.198,6.560,-24.146,9.268,-10.061
1547220646238,2019-01-11T16:30:46.238,6.600,-28.171,7.866,10.793
1547220646278,2019-01-11T16:30:46.278,6.640,-33.415,10.793,18.232
1547220646318,2019-01-11T16:30:46.318,6.680,-30.122,1.829,25.793
1547220646358,2019-01-11T16:30:46.358,6.720,-34.634,23.049,29.207
1547220646398,2019-01-11T16:30:46.398,6.760,-30.000,4.207,31.768
1547220646438,2019-01-11T16:30:46.438,6.800,-39.756,18.171,32.317
1547220646478,2019-01-11T16:30:46.478,6.840,-38.110,12.439,24.817
1547220646518,2019-01-11T16:30:46.518,6.880,-31.402,5.976,32.500
1547220646558,2019-01-11T16:30:46.558,6.920,-13.963,11.341,9.695
1547220646598,2019-01-11T16:30:46.598,6.960,6.768,-18.720,2.500
1547220646638,2019-01-11T16:30:46.638,7.000,-3.293,-1.829,-3.110
1547220646678,2019-01-11T16:30:46.678,7.040,-21.890,1.524,-10.549
1547220646718,2019-01-11T16:30:46.718,7.080,-19.268,13.110,14.085
1547220646758,2019-01-11T16:30:46.758,7.120,4.634,-37.683,-19.756
1547220646798,2019-01-11T16:30:46.798,7.160,-10.183,-2.378,-0.549
1547220646838,2019-01-11T16:30:46.838,7.200,-34.878,18.232,24.024
1547220646878,2019-01-11T16:30:46.878,7.240,-21.585,6.524,11.829
1547220646918,2019-01-11T16:30:46.918,7.280,-6.037,3.415,8.963
1547220646958,2019-01-11T16:30:46.958,7.320,-3.902,-5.549,14.512
1547220646998,2019-01-11T16:30:46.998,7.360,3.841,-9.939,8.963
1547220647038,2019-01-11T16:30:47.038,7.400,13.963,-0.488,-5.061
1547220647078,2019-01-11T16:30:47.078,7.440,20.549,-10.122,-14.390
1547220647118,2019-01-11T16:30:47.118,7.480,21.890,-10.183,-11.768
1547220647158,2019-01-11T16:30:47.158,7.520,21.037,-13.902,-13.110
1547220647198,2019-01-11T16:30:47.198,7.560,12.927,-6.829,-5.061
1547220647238,2019-01-11T16:30:47.238,7.600,18.537,-8.720,0.793
1547220647278,2019-01-11T16:30:47.278,7.640,20.793,7.073,-4.390
1547220647318,2019-01-11T16:30:47.318,7.680,23.659,1.951,-9.573
1547220647358,2019-01-11T16:30:47.358,7.720,24.451,2.805,-13.110
1547220647398,2019-01-11T16:30:47.398,7.760,29.268,-7.073,-24.146
1547220647438,2019-01-11T16:30:47.438,7.800,34.573,-14.634,-27.256
1547220647478,2019-01-11T16:30:47.478,7.840,35.427,-20.793,-31.646
1547220647518,2019-01-11T16:30:47.518,7.880,32.927,-15.244,-35.061
1547220647558,2019-01-11T16:30:47.558,7.920,32.866,-11.829,-29.573
1547220647598,2019-01-11T16:30:47.598,7.960,25.061,-9.634,-24.512
1547220647638,2019-01-11T16:30:47.638,8.000,15.610,-16.098,-27.622
1547220647678,2019-01-11T16:30:47.678,8.040,16.707,-25.183,-17.256
1547220647718,2019-01-11T16:30:47.718,8.080,13.963,-25.305,-6.768
1547220647758,2019-01-11T16:30:47.758,8.120,12.988,-22.378,-0.915
1547220647798,2019-01-11T16:30:47.798,8.160,12.317,-20.915,13.415
1547220647838,2019-01-11T16:30:47.838,8.200,19.878,-19.939,32.622
1547220647878,2019-01-11T16:30:47.878,8.240,25.244,-10.183,56.159
1547220647918,2019-01-11T16:30:47.918,8.280,22.988,-5.671,75.366
1547220647958,2019-01-11T16:30:47.958,8.320,6.159,8.354,76.280
1547220647998,2019-01-11T16:30:47.998,8.360,6.768,27.439,47.073
1547220648038,2019-01-11T16:30:48.038,8.400,10.915,19.451,-3.049
