epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547579644129,2019-01-15T20:14:04.129,0.000,-0.016,0.621,0.737
1547579644209,2019-01-15T20:14:04.209,0.080,-0.031,0.586,0.760
1547579644289,2019-01-15T20:14:04.289,0.160,-0.021,0.586,0.723
1547579644369,2019-01-15T20:14:04.369,0.240,-0.025,0.596,0.750
1547579644449,2019-01-15T20:14:04.449,0.320,-0.034,0.610,0.767
1547579644529,2019-01-15T20:14:04.529,0.400,-0.028,0.613,0.753
1547579644609,2019-01-15T20:14:04.609,0.480,-0.029,0.604,0.730
1547579644689,2019-01-15T20:14:04.689,0.560,-0.032,0.581,0.703
1547579644769,2019-01-15T20:14:04.769,0.640,-0.021,0.567,0.658
1547579644849,2019-01-15T20:14:04.849,0.720,-0.038,0.548,0.681
1547579644929,2019-01-15T20:14:04.929,0.800,-0.042,0.544,0.673
1547579645009,2019-01-15T20:14:05.009,0.880,-0.030,0.554,0.680
1547579645089,2019-01-15T20:14:05.089,0.960,-0.050,0.552,0.734
1547579645169,2019-01-15T20:14:05.169,1.040,-0.050,0.573,0.728
1547579645249,2019-01-15T20:14:05.249,1.120,-0.055,0.569,0.760
1547579645329,2019-01-15T20:14:05.329,1.200,-0.042,0.598,0.808
1547579645409,2019-01-15T20:14:05.409,1.280,-0.069,0.594,0.844
1547579645489,2019-01-15T20:14:05.489,1.360,-0.052,0.582,0.827
1547579645569,2019-01-15T20:14:05.569,1.440,-0.046,0.588,0.797
1547579645649,2019-01-15T20:14:05.649,1.520,-0.078,0.548,0.904
1547579645729,2019-01-15T20:14:05.729,1.600,-0.061,0.546,0.843
1547579645809,2019-01-15T20:14:05.809,1.680,-0.065,0.543,0.848
1547579645889,2019-01-15T20:14:05.889,1.760,-0.071,0.521,0.882
1547579645969,2019-01-15T20:14:05.969,1.840,-0.076,0.537,0.902
1547579646049,2019-01-15T20:14:06.049,1.920,-0.084,0.556,0.919
1547579646129,2019-01-15T20:14:06.129,2.000,-0.073,0.572,0.975
1547579646209,2019-01-15T20:14:06.209,2.080,-0.081,0.594,0.977
1547579646289,2019-01-15T20:14:06.289,2.160,-0.069,0.596,0.975
1547579646369,2019-01-15T20:14:06.369,2.240,-0.068,0.572,0.973
1547579646449,2019-01-15T20:14:06.449,2.320,-0.049,0.546,0.927
1547579646529,2019-01-15T20:14:06.529,2.400,-0.060,0.544,0.865
1547579646609,2019-01-15T20:14:06.609,2.480,-0.048,0.528,0.858
1547579646689,2019-01-15T20:14:06.689,2.560,-0.054,0.528,0.840
1547579646769,2019-01-15T20:14:06.769,2.640,-0.063,0.503,0.878
1547579646849,2019-01-15T20:14:06.849,2.720,-0.063,0.522,0.809
1547579646929,2019-01-15T20:14:06.929,2.800,-0.079,0.511,0.867
1547579647009,2019-01-15T20:14:07.009,2.880,-0.073,0.520,0.871
1547579647089,2019-01-15T20:14:07.089,2.960,-0.050,0.553,0.885
1547579647169,2019-01-15T20:14:07.169,3.040,-0.044,0.571,0.896
1547579647249,2019-01-15T20:14:07.249,3.120,-0.014,0.595,0.875
1547579647329,2019-01-15T20:14:07.329,3.200,-0.032,0.583,0.920
1547579647409,2019-01-15T20:14:07.409,3.280,-0.009,0.610,0.800
1547579647489,2019-01-15T20:14:07.489,3.360,0.007,0.561,0.819
1547579647569,2019-01-15T20:14:07.569,3.440,0.004,0.532,0.717
1547579647649,2019-01-15T20:14:07.649,3.520,0.001,0.463,0.552
1547579647729,2019-01-15T20:14:07.729,3.600,0.002,0.385,0.530
1547579647809,2019-01-15T20:14:07.809,3.680,0.066,0.493,0.531
1547579647889,2019-01-15T20:14:07.889,3.760,0.071,0.676,0.694
1547579647969,2019-01-15T20:14:07.969,3.840,0.044,0.735,0.844
1547579648049,2019-01-15T20:14:08.049,3.920,0.058,0.661,0.798
1547579648129,2019-01-15T20:14:08.129,4.000,0.077,0.614,0.599
1547579648209,2019-01-15T20:14:08.209,4.080,0.051,0.559,0.603
1547579648289,2019-01-15T20:14:08.289,4.160,0.030,0.574,0.613
1547579648369,2019-01-15T20:14:08.369,4.240,0.018,0.548,0.617
1547579648449,2019-01-15T20:14:08.449,4.320,0.015,0.537,0.631
1547579648529,2019-01-15T20:14:08.529,4.400,-0.001,0.580,0.673
1547579648609,2019-01-15T20:14:08.609,4.480,-0.035,0.546,0.807
1547579648689,2019-01-15T20:14:08.689,4.560,-0.021,0.617,0.727
1547579648769,2019-01-15T20:14:08.769,4.640,-0.018,0.614,0.786
1547579648849,2019-01-15T20:14:08.849,4.720,-0.022,0.579,0.875
1547579648929,2019-01-15T20:14:08.929,4.800,-0.013,0.568,0.856
1547579649009,2019-01-15T20:14:09.009,4.880,-0.009,0.571,0.829
1547579649089,2019-01-15T20:14:09.089,4.960,-0.031,0.541,0.893
1547579649169,2019-01-15T20:14:09.169,5.040,-0.033,0.526,0.874
1547579649249,2019-01-15T20:14:09.249,5.120,-0.044,0.527,0.873
1547579649329,2019-01-15T20:14:09.329,5.200,-0.036,0.542,0.885
1547579649409,2019-01-15T20:14:09.409,5.280,-0.065,0.534,0.983
1547579649489,2019-01-15T20:14:09.489,5.360,-0.076,0.574,0.996
1547579649569,2019-01-15T20:14:09.569,5.440,-0.063,0.578,1.038
1547579649649,2019-01-15T20:14:09.649,5.520,-0.055,0.579,1.034
1547579649729,2019-01-15T20:14:09.729,5.600,-0.052,0.528,0.991
1547579649809,2019-01-15T20:14:09.809,5.680,-0.036,0.491,0.935
