epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547223435978,2019-01-11T17:17:15.978,0.000,0.103,0.726,0.593
1547223436058,2019-01-11T17:17:16.058,0.080,0.113,0.710,0.569
1547223436138,2019-01-11T17:17:16.138,0.160,0.130,0.760,0.606
1547223436218,2019-01-11T17:17:16.218,0.240,0.126,0.800,0.609
1547223436298,2019-01-11T17:17:16.298,0.320,0.115,0.775,0.571
1547223436378,2019-01-11T17:17:16.378,0.400,0.121,0.748,0.576
1547223436458,2019-01-11T17:17:16.458,0.480,0.130,0.779,0.576
1547223436538,2019-01-11T17:17:16.538,0.560,0.142,0.784,0.596
1547223436618,2019-01-11T17:17:16.618,0.640,0.141,0.773,0.583
1547223436698,2019-01-11T17:17:16.698,0.720,0.132,0.775,0.572
1547223436778,2019-01-11T17:17:16.778,0.800,0.138,0.783,0.590
1547223436858,2019-01-11T17:17:16.858,0.880,0.143,0.780,0.589
1547223436938,2019-01-11T17:17:16.938,0.960,0.141,0.766,0.578
1547223437018,2019-01-11T17:17:17.018,1.040,0.139,0.768,0.563
1547223437098,2019-01-11T17:17:17.098,1.120,0.133,0.750,0.549
1547223437178,2019-01-11T17:17:17.178,1.200,0.126,0.755,0.502
1547223437258,2019-01-11T17:17:17.258,1.280,0.096,0.680,0.475
1547223437338,2019-01-11T17:17:17.338,1.360,0.098,0.559,0.434
1547223437418,2019-01-11T17:17:17.418,1.440,0.094,0.545,0.406
1547223437498,2019-01-11T17:17:17.498,1.520,0.088,0.588,0.481
1547223437578,2019-01-11T17:17:17.578,1.600,0.063,0.696,0.576
1547223437658,2019-01-11T17:17:17.658,1.680,0.086,0.713,0.676
1547223437738,2019-01-11T17:17:17.738,1.760,0.111,0.722,0.704
1547223437818,2019-01-11T17:17:17.818,1.840,0.148,0.693,0.759
1547223437898,2019-01-11T17:17:17.898,1.920,0.165,0.682,0.835
1547223437978,2019-01-11T17:17:17.978,2.000,0.167,0.725,0.819
1547223438058,2019-01-11T17:17:18.058,2.080,0.164,0.707,0.836
1547223438138,2019-01-11T17:17:18.138,2.160,0.177,0.727,0.861
1547223438218,2019-01-11T17:17:18.218,2.240,0.177,0.750,0.890
1547223438298,2019-01-11T17:17:18.298,2.320,0.192,0.772,0.935
1547223438378,2019-01-11T17:17:18.378,2.400,0.200,0.798,0.953
1547223438458,2019-01-11T17:17:18.458,2.480,0.192,0.794,0.951
1547223438538,2019-01-11T17:17:18.538,2.560,0.197,0.742,0.925
1547223438618,2019-01-11T17:17:18.618,2.640,0.188,0.713,0.878
1547223438698,2019-01-11T17:17:18.698,2.720,0.172,0.711,0.847
1547223438778,2019-01-11T17:17:18.778,2.800,0.173,0.709,0.845
1547223438858,2019-01-11T17:17:18.858,2.880,0.167,0.754,0.797
1547223438938,2019-01-11T17:17:18.938,2.960,0.160,0.750,0.729
1547223439018,2019-01-11T17:17:19.018,3.040,0.125,0.684,0.605
1547223439098,2019-01-11T17:17:19.098,3.120,0.082,0.549,0.476
1547223439178,2019-01-11T17:17:19.178,3.200,0.056,0.415,0.278
1547223439258,2019-01-11T17:17:19.258,3.280,0.070,0.374,0.266
1547223439338,2019-01-11T17:17:19.338,3.360,0.110,0.645,0.414
1547223439418,2019-01-11T17:17:19.418,3.440,0.125,1.043,0.548
1547223439498,2019-01-11T17:17:19.498,3.520,0.158,0.903,0.585
1547223439578,2019-01-11T17:17:19.578,3.600,0.105,0.705,0.374
1547223439658,2019-01-11T17:17:19.658,3.680,0.092,0.667,0.400
1547223439738,2019-01-11T17:17:19.738,3.760,0.065,0.572,0.388
1547223439818,2019-01-11T17:17:19.818,3.840,0.095,0.447,0.360
1547223439898,2019-01-11T17:17:19.898,3.920,0.061,0.559,0.427
1547223439978,2019-01-11T17:17:19.978,4.000,0.086,0.612,0.607
1547223440058,2019-01-11T17:17:20.058,4.080,0.109,0.646,0.688
1547223440138,2019-01-11T17:17:20.138,4.160,0.104,0.717,0.764
1547223440218,2019-01-11T17:17:20.218,4.240,0.123,0.725,0.859
1547223440298,2019-01-11T17:17:20.298,4.320,0.126,0.727,0.860
1547223440378,2019-01-11T17:17:20.378,4.400,0.168,0.698,0.907
1547223440458,2019-01-11T17:17:20.458,4.480,0.163,0.712,0.993
1547223440538,2019-01-11T17:17:20.538,4.560,0.151,0.754,0.974
1547223440618,2019-01-11T17:17:20.618,4.640,0.138,0.774,1.024
1547223440698,2019-01-11T17:17:20.698,4.720,0.139,0.777,1.020
1547223440778,2019-01-11T17:17:20.778,4.800,0.143,0.752,0.977
1547223440858,2019-01-11T17:17:20.858,4.880,0.154,0.708,0.916
1547223440938,2019-01-11T17:17:20.938,4.960,0.156,0.682,0.867
1547223441018,2019-01-11T17:17:21.018,5.040,0.148,0.680,0.864
1547223441098,2019-01-11T17:17:21.098,5.120,0.143,0.721,0.831
1547223441178,2019-01-11T17:17:21.178,5.200,0.131,0.757,0.782
1547223441258,2019-01-11T17:17:21.258,5.280,0.120,0.741,0.690
1547223441338,2019-01-11T17:17:21.338,5.360,0.094,0.674,0.543
1547223441418,2019-01-11T17:17:21.418,5.440,0.068,0.498,0.358
1547223441498,2019-01-11T17:17:21.498,5.520,0.037,0.345,0.225
1547223441578,2019-01-11T17:17:21.578,5.600,0.068,0.419,0.258
1547223441658,2019-01-11T17:17:21.658,5.680,0.104,0.859,0.467
1547223441738,2019-01-11T17:17:21.738,5.760,0.134,1.032,0.672
1547223441818,2019-01-11T17:17:21.818,5.840,0.135,0.777,0.514
1547223441898,2019-01-11T17:17:21.898,5.920,0.104,0.595,0.362
1547223441978,2019-01-11T17:17:21.978,6.000,0.090,0.537,0.373
1547223442058,2019-01-11T17:17:22.058,6.080,0.090,0.499,0.388
1547223442138,2019-01-11T17:17:22.138,6.160,0.098,0.512,0.471
1547223442218,2019-01-11T17:17:22.218,6.240,0.111,0.614,0.573
1547223442298,2019-01-11T17:17:22.298,6.320,0.094,0.698,0.707
1547223442378,2019-01-11T17:17:22.378,6.400,0.126,0.694,0.800
1547223442458,2019-01-11T17:17:22.458,6.480,0.120,0.760,0.849
1547223442538,2019-01-11T17:17:22.538,6.560,0.138,0.717,0.868
1547223442618,2019-01-11T17:17:22.618,6.640,0.146,0.746,0.852
1547223442698,2019-01-11T17:17:22.698,6.720,0.160,0.743,0.907
1547223442778,2019-01-11T17:17:22.778,6.800,0.152,0.776,0.954
1547223442858,2019-01-11T17:17:22.858,6.880,0.144,0.827,0.966
1547223442938,2019-01-11T17:17:22.938,6.960,0.164,0.801,0.965
1547223443018,2019-01-11T17:17:23.018,7.040,0.166,0.782,0.912
1547223443098,2019-01-11T17:17:23.098,7.120,0.146,0.772,0.829
1547223443178,2019-01-11T17:17:23.178,7.200,0.141,0.733,0.771
1547223443258,2019-01-11T17:17:23.258,7.280,0.135,0.732,0.782
1547223443338,2019-01-11T17:17:23.338,7.360,0.130,0.785,0.767
1547223443418,2019-01-11T17:17:23.418,7.440,0.134,0.819,0.752
1547223443498,2019-01-11T17:17:23.498,7.520,0.134,0.791,0.707
1547223443578,2019-01-11T17:17:23.578,7.600,0.126,0.749,0.580
1547223443658,2019-01-11T17:17:23.658,7.680,0.095,0.627,0.432
1547223443738,2019-01-11T17:17:23.738,7.760,0.073,0.436,0.294
1547223443818,2019-01-11T17:17:23.818,7.840,0.062,0.388,0.216
1547223443898,2019-01-11T17:17:23.898,7.920,0.115,0.667,0.373
1547223443978,2019-01-11T17:17:23.978,8.000,0.123,0.995,0.572
1547223444058,2019-01-11T17:17:24.058,8.080,0.137,0.907,0.549
1547223444138,2019-01-11T17:17:24.138,8.160,0.100,0.667,0.396
1547223444218,2019-01-11T17:17:24.218,8.240,0.057,0.595,0.344
1547223444298,2019-01-11T17:17:24.298,8.320,0.062,0.544,0.376
1547223444378,2019-01-11T17:17:24.378,8.400,0.080,0.504,0.432
1547223444458,2019-01-11T17:17:24.458,8.480,0.076,0.554,0.485
1547223444538,2019-01-11T17:17:24.538,8.560,0.072,0.622,0.621
1547223444618,2019-01-11T17:17:24.618,8.640,0.096,0.707,0.730
1547223444698,2019-01-11T17:17:24.698,8.720,0.131,0.744,0.795
1547223444778,2019-01-11T17:17:24.778,8.800,0.144,0.760,0.855
1547223444858,2019-01-11T17:17:24.858,8.880,0.149,0.745,0.858
1547223444938,2019-01-11T17:17:24.938,8.960,0.134,0.733,0.864
1547223445018,2019-01-11T17:17:25.018,9.040,0.135,0.769,0.896
1547223445098,2019-01-11T17:17:25.098,9.120,0.127,0.819,0.941
1547223445178,2019-01-11T17:17:25.178,9.200,0.121,0.840,0.966
1547223445258,2019-01-11T17:17:25.258,9.280,0.124,0.828,0.939
1547223445338,2019-01-11T17:17:25.338,9.360,0.120,0.773,0.918
1547223445418,2019-01-11T17:17:25.418,9.440,0.119,0.730,0.872
1547223445498,2019-01-11T17:17:25.498,9.520,0.107,0.732,0.818
1547223445578,2019-01-11T17:17:25.578,9.600,0.117,0.717,0.801
1547223445658,2019-01-11T17:17:25.658,9.680,0.114,0.763,0.780
1547223445738,2019-01-11T17:17:25.738,9.760,0.112,0.801,0.773
1547223445818,2019-01-11T17:17:25.818,9.840,0.109,0.799,0.714
1547223445898,2019-01-11T17:17:25.898,9.920,0.114,0.720,0.609
1547223445978,2019-01-11T17:17:25.978,10.000,0.094,0.565,0.447
1547223446058,2019-01-11T17:17:26.058,10.080,0.063,0.383,0.299
1547223446138,2019-01-11T17:17:26.138,10.160,0.053,0.364,0.269
1547223446218,2019-01-11T17:17:26.218,10.240,0.089,0.648,0.388
1547223446298,2019-01-11T17:17:26.298,10.320,0.108,0.941,0.633
1547223446378,2019-01-11T17:17:26.378,10.400,0.117,0.888,0.619
1547223446458,2019-01-11T17:17:26.458,10.480,0.092,0.673,0.440
1547223446538,2019-01-11T17:17:26.538,10.560,0.068,0.534,0.327
1547223446618,2019-01-11T17:17:26.618,10.640,0.061,0.475,0.328
1547223446698,2019-01-11T17:17:26.698,10.720,0.077,0.519,0.378
1547223446778,2019-01-11T17:17:26.778,10.800,0.117,0.608,0.534
1547223446858,2019-01-11T17:17:26.858,10.880,0.117,0.721,0.621
1547223446938,2019-01-11T17:17:26.938,10.960,0.120,0.754,0.716
1547223447018,2019-01-11T17:17:27.018,11.040,0.137,0.783,0.725
1547223447098,2019-01-11T17:17:27.098,11.120,0.151,0.778,0.845
1547223447178,2019-01-11T17:17:27.178,11.200,0.171,0.768,0.840
1547223447258,2019-01-11T17:17:27.258,11.280,0.158,0.789,0.823
1547223447338,2019-01-11T17:17:27.338,11.360,0.173,0.773,0.880
1547223447418,2019-01-11T17:17:27.418,11.440,0.162,0.837,0.889
1547223447498,2019-01-11T17:17:27.498,11.520,0.135,0.875,0.873
1547223447578,2019-01-11T17:17:27.578,11.600,0.174,0.807,0.908
1547223447658,2019-01-11T17:17:27.658,11.680,0.182,0.833,0.846
1547223447738,2019-01-11T17:17:27.738,11.760,0.179,0.784,0.820
1547223447818,2019-01-11T17:17:27.818,11.840,0.180,0.750,0.802
1547223447898,2019-01-11T17:17:27.898,11.920,0.156,0.763,0.787
1547223447978,2019-01-11T17:17:27.978,12.000,0.153,0.788,0.794
1547223448058,2019-01-11T17:17:28.058,12.080,0.144,0.798,0.770
1547223448138,2019-01-11T17:17:28.138,12.160,0.126,0.832,0.662
1547223448218,2019-01-11T17:17:28.218,12.240,0.110,0.746,0.595
1547223448298,2019-01-11T17:17:28.298,12.320,0.086,0.618,0.444
1547223448378,2019-01-11T17:17:28.378,12.400,0.044,0.442,0.271
1547223448458,2019-01-11T17:17:28.458,12.480,0.033,0.358,0.221
1547223448538,2019-01-11T17:17:28.538,12.560,0.079,0.582,0.318
1547223448618,2019-01-11T17:17:28.618,12.640,0.080,1.040,0.493
1547223448698,2019-01-11T17:17:28.698,12.720,0.135,0.977,0.583
1547223448778,2019-01-11T17:17:28.778,12.800,0.094,0.757,0.371
1547223448858,2019-01-11T17:17:28.858,12.880,0.075,0.654,0.285
1547223448938,2019-01-11T17:17:28.938,12.960,0.049,0.529,0.298
1547223449018,2019-01-11T17:17:29.018,13.040,0.055,0.437,0.301
1547223449098,2019-01-11T17:17:29.098,13.120,0.089,0.530,0.505
1547223449178,2019-01-11T17:17:29.178,13.200,0.127,0.673,0.589
1547223449258,2019-01-11T17:17:29.258,13.280,0.139,0.732,0.721
