epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547223574957,2019-01-11T17:19:34.957,0.000,10.244,0.366,-0.671
1547223574997,2019-01-11T17:19:34.997,0.040,-0.366,-0.244,-0.549
1547223575037,2019-01-11T17:19:35.037,0.080,-0.793,0.671,1.768
1547223575077,2019-01-11T17:19:35.077,0.120,5.183,1.402,1.646
1547223575117,2019-01-11T17:19:35.117,0.160,4.329,3.171,-0.793
1547223575157,2019-01-11T17:19:35.157,0.200,-2.378,3.780,1.890
1547223575197,2019-01-11T17:19:35.197,0.240,-4.329,-0.244,6.037
1547223575237,2019-01-11T17:19:35.237,0.280,-0.732,-4.146,2.622
1547223575277,2019-01-11T17:19:35.277,0.320,-1.585,-4.268,1.037
1547223575317,2019-01-11T17:19:35.317,0.360,1.890,-0.427,2.622
1547223575357,2019-01-11T17:19:35.357,0.400,10.122,-0.427,-6.646
1547223575397,2019-01-11T17:19:35.397,0.440,-3.293,0.122,-5.244
1547223575437,2019-01-11T17:19:35.437,0.480,-19.207,1.646,4.634
1547223575477,2019-01-11T17:19:35.477,0.520,-9.390,-2.256,5.671
1547223575517,2019-01-11T17:19:35.517,0.560,7.988,-4.634,1.463
1547223575557,2019-01-11T17:19:35.557,0.600,7.927,-5.610,1.707
1547223575597,2019-01-11T17:19:35.597,0.640,-9.695,-4.390,3.902
1547223575637,2019-01-11T17:19:35.637,0.680,-19.695,-1.646,2.805
1547223575677,2019-01-11T17:19:35.677,0.720,-14.085,1.037,0.122
1547223575717,2019-01-11T17:19:35.717,0.760,-7.805,0.183,-0.793
1547223575757,2019-01-11T17:19:35.757,0.800,-7.866,-0.610,0.488
1547223575797,2019-01-11T17:19:35.797,0.840,-5.793,-3.963,2.195
1547223575837,2019-01-11T17:19:35.837,0.880,0.793,-6.037,1.280
1547223575877,2019-01-11T17:19:35.877,0.920,-0.976,-3.902,1.829
1547223575917,2019-01-11T17:19:35.917,0.960,-5.793,-1.524,2.378
1547223575957,2019-01-11T17:19:35.957,1.000,-5.671,-2.561,2.561
1547223575997,2019-01-11T17:19:35.997,1.040,-2.195,-5.061,3.171
1547223576037,2019-01-11T17:19:36.037,1.080,-0.366,-2.805,1.951
1547223576077,2019-01-11T17:19:36.077,1.120,0.305,-4.024,0.915
1547223576117,2019-01-11T17:19:36.117,1.160,2.683,-3.293,0.366
1547223576157,2019-01-11T17:19:36.157,1.200,4.085,-3.963,0.610
1547223576197,2019-01-11T17:19:36.197,1.240,4.817,-3.841,0.244
1547223576237,2019-01-11T17:19:36.237,1.280,8.354,-4.573,-0.793
1547223576277,2019-01-11T17:19:36.277,1.320,11.585,-4.085,-0.549
1547223576317,2019-01-11T17:19:36.317,1.360,9.085,-3.598,0.061
1547223576357,2019-01-11T17:19:36.357,1.400,4.939,-3.110,-0.488
1547223576397,2019-01-11T17:19:36.397,1.440,5.061,-4.512,-2.073
1547223576437,2019-01-11T17:19:36.437,1.480,1.768,-3.415,-0.732
