epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547219524981,2019-01-11T16:12:04.981,0.000,11.159,-12.317,7.744
1547219525021,2019-01-11T16:12:05.021,0.040,7.561,-9.207,9.695
1547219525061,2019-01-11T16:12:05.061,0.080,1.280,-8.354,1.524
1547219525101,2019-01-11T16:12:05.101,0.120,8.537,2.012,-9.329
1547219525141,2019-01-11T16:12:05.141,0.160,-5.488,4.451,-3.354
1547219525181,2019-01-11T16:12:05.181,0.200,-14.451,0.183,-3.902
1547219525221,2019-01-11T16:12:05.221,0.240,-3.598,-6.220,2.561
1547219525261,2019-01-11T16:12:05.261,0.280,1.768,-8.110,5.122
1547219525301,2019-01-11T16:12:05.301,0.320,13.720,1.829,-1.585
1547219525341,2019-01-11T16:12:05.341,0.360,20.793,8.902,-1.280
1547219525381,2019-01-11T16:12:05.381,0.400,9.207,-4.024,1.280
1547219525421,2019-01-11T16:12:05.421,0.440,-3.780,-1.585,-7.866
1547219525461,2019-01-11T16:12:05.461,0.480,-2.683,0.427,-7.378
1547219525501,2019-01-11T16:12:05.501,0.520,14.207,-4.329,-7.500
1547219525541,2019-01-11T16:12:05.541,0.560,33.232,7.683,-33.171
1547219525581,2019-01-11T16:12:05.581,0.600,22.988,7.256,-32.866
1547219525621,2019-01-11T16:12:05.621,0.640,33.232,19.085,-50.549
1547219525661,2019-01-11T16:12:05.661,0.680,30.915,5.793,-38.963
1547219525701,2019-01-11T16:12:05.701,0.720,29.573,-5.732,-32.256
1547219525741,2019-01-11T16:12:05.741,0.760,28.110,-2.622,-25.610
1547219525781,2019-01-11T16:12:05.781,0.800,20.000,3.720,-25.244
1547219525821,2019-01-11T16:12:05.821,0.840,9.329,22.500,-47.012
1547219525861,2019-01-11T16:12:05.861,0.880,7.683,-0.366,-34.939
1547219525901,2019-01-11T16:12:05.901,0.920,-1.402,2.134,-19.878
1547219525941,2019-01-11T16:12:05.941,0.960,-9.024,-4.024,-31.098
1547219525981,2019-01-11T16:12:05.981,1.000,-17.866,-6.707,-16.646
1547219526021,2019-01-11T16:12:06.021,1.040,-0.976,-14.146,8.415
1547219526061,2019-01-11T16:12:06.061,1.080,-4.268,1.768,17.195
1547219526101,2019-01-11T16:12:06.101,1.120,-17.683,-21.463,23.598
1547219526141,2019-01-11T16:12:06.141,1.160,-13.049,-14.878,15.549
1547219526181,2019-01-11T16:12:06.181,1.200,-14.878,-20.671,32.927
1547219526221,2019-01-11T16:12:06.221,1.240,-24.878,-13.720,29.268
1547219526261,2019-01-11T16:12:06.261,1.280,-54.268,-10.061,19.024
1547219526301,2019-01-11T16:12:06.301,1.320,-56.829,-22.134,14.268
1547219526341,2019-01-11T16:12:06.341,1.360,-13.171,-31.402,36.037
1547219526381,2019-01-11T16:12:06.381,1.400,28.598,-16.585,18.963
1547219526421,2019-01-11T16:12:06.421,1.440,28.354,13.598,-14.207
1547219526461,2019-01-11T16:12:06.461,1.480,9.634,21.280,-40.122
1547219526501,2019-01-11T16:12:06.501,1.520,13.171,16.768,-48.841
1547219526541,2019-01-11T16:12:06.541,1.560,35.671,7.683,-8.659
1547219526581,2019-01-11T16:12:06.581,1.600,44.085,-5.122,-2.744
1547219526621,2019-01-11T16:12:06.621,1.640,15.488,14.817,-28.720
1547219526661,2019-01-11T16:12:06.661,1.680,-4.390,-6.707,-34.390
1547219526701,2019-01-11T16:12:06.701,1.720,4.268,-12.256,-12.439
1547219526741,2019-01-11T16:12:06.741,1.760,7.500,-6.220,-2.622
1547219526781,2019-01-11T16:12:06.781,1.800,-5.793,18.902,-15.427
1547219526821,2019-01-11T16:12:06.821,1.840,-5.305,2.256,-16.585
1547219526861,2019-01-11T16:12:06.861,1.880,18.780,-6.585,24.207
1547219526901,2019-01-11T16:12:06.901,1.920,15.488,2.866,4.024
1547219526941,2019-01-11T16:12:06.941,1.960,2.805,-7.744,-6.280
1547219526981,2019-01-11T16:12:06.981,2.000,13.415,-23.293,15.488
1547219527021,2019-01-11T16:12:07.021,2.040,12.134,2.134,7.561
1547219527061,2019-01-11T16:12:07.061,2.080,-2.378,6.037,2.378
1547219527101,2019-01-11T16:12:07.101,2.120,2.805,-6.951,19.634
1547219527141,2019-01-11T16:12:07.141,2.160,8.476,-13.476,34.085
1547219527181,2019-01-11T16:12:07.181,2.200,-17.866,3.171,3.293
1547219527221,2019-01-11T16:12:07.221,2.240,-16.768,-8.354,24.390
1547219527261,2019-01-11T16:12:07.261,2.280,-19.024,-6.951,22.622
1547219527301,2019-01-11T16:12:07.301,2.320,-11.707,-25.000,38.598
1547219527341,2019-01-11T16:12:07.341,2.360,-20.793,-2.073,26.585
1547219527381,2019-01-11T16:12:07.381,2.400,-38.171,0.366,15.854
1547219527421,2019-01-11T16:12:07.421,2.440,-33.110,-8.780,42.439
1547219527461,2019-01-11T16:12:07.461,2.480,-30.671,-18.963,49.207
1547219527501,2019-01-11T16:12:07.501,2.520,-34.390,-2.927,34.817
1547219527541,2019-01-11T16:12:07.541,2.560,-22.378,26.890,5.854
1547219527581,2019-01-11T16:12:07.581,2.600,-30.732,-16.829,42.012
1547219527621,2019-01-11T16:12:07.621,2.640,13.598,-16.890,-3.232
1547219527661,2019-01-11T16:12:07.661,2.680,22.561,1.280,-24.146
1547219527701,2019-01-11T16:12:07.701,2.720,2.744,-2.500,-3.232
1547219527741,2019-01-11T16:12:07.741,2.760,7.500,-0.610,-11.646
1547219527781,2019-01-11T16:12:07.781,2.800,-0.305,3.537,-2.927
1547219527821,2019-01-11T16:12:07.821,2.840,-1.707,1.159,5.427
1547219527861,2019-01-11T16:12:07.861,2.880,-2.683,8.902,-11.646
1547219527901,2019-01-11T16:12:07.901,2.920,1.707,11.707,-6.037
1547219527941,2019-01-11T16:12:07.941,2.960,17.378,-3.659,5.122
1547219527981,2019-01-11T16:12:07.981,3.000,18.598,-9.512,10.061
1547219528021,2019-01-11T16:12:08.021,3.040,40.427,17.866,-17.866
1547219528061,2019-01-11T16:12:08.061,3.080,56.463,29.024,-71.159
1547219528101,2019-01-11T16:12:08.101,3.120,3.780,14.207,-4.085
1547219528141,2019-01-11T16:12:08.141,3.160,24.146,7.073,-53.232
1547219528181,2019-01-11T16:12:08.181,3.200,16.098,25.488,-66.341
1547219528221,2019-01-11T16:12:08.221,3.240,15.488,5.671,-36.951
1547219528261,2019-01-11T16:12:08.261,3.280,20.000,-2.805,-24.573
1547219528301,2019-01-11T16:12:08.301,3.320,28.720,6.402,-21.829
1547219528341,2019-01-11T16:12:08.341,3.360,17.256,-9.817,-4.146
