epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547221208106,2019-01-11T16:40:08.106,0.000,5.610,-0.366,2.500
1547221208146,2019-01-11T16:40:08.146,0.040,5.305,0.427,1.768
1547221208186,2019-01-11T16:40:08.186,0.080,3.780,-0.793,1.098
1547221208226,2019-01-11T16:40:08.226,0.120,0.488,0.549,4.146
1547221208266,2019-01-11T16:40:08.266,0.160,0.488,3.902,5.793
1547221208306,2019-01-11T16:40:08.306,0.200,0.244,-2.195,-1.829
1547221208346,2019-01-11T16:40:08.346,0.240,-5.000,-4.146,-8.415
1547221208386,2019-01-11T16:40:08.386,0.280,-7.317,-2.805,-5.183
1547221208426,2019-01-11T16:40:08.426,0.320,-3.354,-1.829,-0.732
1547221208466,2019-01-11T16:40:08.466,0.360,-5.976,4.695,0.244
1547221208506,2019-01-11T16:40:08.506,0.400,-13.598,8.720,1.280
1547221208546,2019-01-11T16:40:08.546,0.440,-13.232,3.659,2.683
1547221208586,2019-01-11T16:40:08.586,0.480,-4.695,0.793,3.537
1547221208626,2019-01-11T16:40:08.626,0.520,2.805,-0.671,6.707
1547221208666,2019-01-11T16:40:08.666,0.560,0.427,3.354,2.012
1547221208706,2019-01-11T16:40:08.706,0.600,-3.598,5.244,-6.037
1547221208746,2019-01-11T16:40:08.746,0.640,2.134,2.134,-15.183
1547221208786,2019-01-11T16:40:08.786,0.680,2.805,0.488,-12.256
1547221208826,2019-01-11T16:40:08.826,0.720,-11.524,21.951,-10.244
1547221208866,2019-01-11T16:40:08.866,0.760,2.561,40.610,-28.354
1547221208906,2019-01-11T16:40:08.906,0.800,26.585,45.488,-57.012
1547221208946,2019-01-11T16:40:08.946,0.840,47.988,40.000,-74.756
1547221208986,2019-01-11T16:40:08.986,0.880,42.805,13.963,-70.732
1547221209026,2019-01-11T16:40:09.026,0.920,48.720,2.988,-50.854
1547221209066,2019-01-11T16:40:09.066,0.960,54.878,29.634,-14.695
1547221209106,2019-01-11T16:40:09.106,1.000,49.512,4.390,-4.451
1547221209146,2019-01-11T16:40:09.146,1.040,42.805,37.256,-0.671
1547221209186,2019-01-11T16:40:09.186,1.080,27.195,33.110,-4.146
1547221209226,2019-01-11T16:40:09.226,1.120,10.854,3.780,-16.220
1547221209266,2019-01-11T16:40:09.266,1.160,1.768,-8.110,-15.854
