epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547221556169,2019-01-11T16:45:56.169,0.000,-0.101,1.056,0.107
1547221556249,2019-01-11T16:45:56.249,0.080,-0.100,1.148,0.149
1547221556329,2019-01-11T16:45:56.329,0.160,-0.164,1.385,0.008
1547221556409,2019-01-11T16:45:56.409,0.240,-0.205,1.350,0.013
1547221556489,2019-01-11T16:45:56.489,0.320,-0.311,1.148,-0.098
1547221556569,2019-01-11T16:45:56.569,0.400,-0.335,0.881,-0.159
1547221556649,2019-01-11T16:45:56.649,0.480,-0.308,0.761,-0.169
1547221556729,2019-01-11T16:45:56.729,0.560,-0.291,0.753,-0.196
1547221556809,2019-01-11T16:45:56.809,0.640,-0.316,0.794,-0.276
1547221556889,2019-01-11T16:45:56.889,0.720,-0.279,0.689,-0.157
1547221556969,2019-01-11T16:45:56.969,0.800,-0.336,0.703,-0.346
1547221557049,2019-01-11T16:45:57.049,0.880,-0.352,0.840,-0.244
1547221557129,2019-01-11T16:45:57.129,0.960,-0.386,0.998,-0.241
1547221557209,2019-01-11T16:45:57.209,1.040,-0.354,1.026,-0.306
1547221557289,2019-01-11T16:45:57.289,1.120,-0.279,0.879,-0.186
1547221557369,2019-01-11T16:45:57.369,1.200,-0.217,0.789,-0.114
1547221557449,2019-01-11T16:45:57.449,1.280,-0.200,0.838,0.022
1547221557529,2019-01-11T16:45:57.529,1.360,-0.173,0.706,-0.097
1547221557609,2019-01-11T16:45:57.609,1.440,-0.055,0.825,-0.244
1547221557689,2019-01-11T16:45:57.689,1.520,-0.095,0.946,0.050
1547221557769,2019-01-11T16:45:57.769,1.600,-0.057,1.085,-0.076
1547221557849,2019-01-11T16:45:57.849,1.680,-0.032,0.995,-0.139
1547221557929,2019-01-11T16:45:57.929,1.760,-0.131,0.831,-0.082
1547221558009,2019-01-11T16:45:58.009,1.840,0.005,0.844,-0.107
1547221558089,2019-01-11T16:45:58.089,1.920,-0.036,0.728,-0.074
1547221558169,2019-01-11T16:45:58.169,2.000,-0.212,0.699,-0.075
1547221558249,2019-01-11T16:45:58.249,2.080,-0.206,0.875,-0.218
1547221558329,2019-01-11T16:45:58.329,2.160,-0.207,1.019,-0.318
1547221558409,2019-01-11T16:45:58.409,2.240,-0.263,0.853,-0.199
1547221558489,2019-01-11T16:45:58.489,2.320,-0.259,0.885,-0.324
1547221558569,2019-01-11T16:45:58.569,2.400,-0.245,0.837,-0.283
1547221558649,2019-01-11T16:45:58.649,2.480,-0.287,0.851,-0.257
1547221558729,2019-01-11T16:45:58.729,2.560,-0.370,0.896,-0.356
1547221558809,2019-01-11T16:45:58.809,2.640,-0.347,0.896,-0.320
1547221558889,2019-01-11T16:45:58.889,2.720,-0.339,0.913,-0.235
1547221558969,2019-01-11T16:45:58.969,2.800,-0.384,1.003,-0.215
1547221559049,2019-01-11T16:45:59.049,2.880,-0.340,1.021,-0.225
1547221559129,2019-01-11T16:45:59.129,2.960,-0.289,1.010,-0.195
1547221559209,2019-01-11T16:45:59.209,3.040,-0.263,1.042,-0.119
1547221559289,2019-01-11T16:45:59.289,3.120,-0.262,1.202,-0.111
1547221559369,2019-01-11T16:45:59.369,3.200,-0.321,1.489,-0.255
1547221559449,2019-01-11T16:45:59.449,3.280,-0.333,1.396,-0.360
1547221559529,2019-01-11T16:45:59.529,3.360,-0.311,1.079,-0.303
1547221559609,2019-01-11T16:45:59.609,3.440,-0.321,0.911,-0.409
1547221559689,2019-01-11T16:45:59.689,3.520,-0.353,0.794,-0.414
1547221559769,2019-01-11T16:45:59.769,3.600,-0.341,0.754,-0.410
1547221559849,2019-01-11T16:45:59.849,3.680,-0.357,0.747,-0.376
