epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547221734474,2019-01-11T16:48:54.474,0.000,-4.939,-1.585,1.280
1547221734514,2019-01-11T16:48:54.514,0.040,-3.720,-1.280,1.220
1547221734554,2019-01-11T16:48:54.554,0.080,2.073,-1.402,1.890
1547221734594,2019-01-11T16:48:54.594,0.120,8.598,-1.159,1.829
1547221734634,2019-01-11T16:48:54.634,0.160,9.573,-0.549,2.256
1547221734674,2019-01-11T16:48:54.674,0.200,3.963,-2.134,1.098
1547221734714,2019-01-11T16:48:54.714,0.240,-2.317,-2.988,2.073
1547221734754,2019-01-11T16:48:54.754,0.280,-1.524,-10.000,7.927
1547221734794,2019-01-11T16:48:54.794,0.320,3.415,-14.085,13.537
1547221734834,2019-01-11T16:48:54.834,0.360,-2.439,-8.963,5.671
1547221734874,2019-01-11T16:48:54.874,0.400,-10.305,-0.610,-2.317
1547221734914,2019-01-11T16:48:54.914,0.440,-6.524,-0.976,0.000
1547221734954,2019-01-11T16:48:54.954,0.480,2.073,-0.976,3.293
1547221734994,2019-01-11T16:48:54.994,0.520,4.695,-3.110,0.488
1547221735034,2019-01-11T16:48:55.034,0.560,5.122,-5.244,1.280
1547221735074,2019-01-11T16:48:55.074,0.600,4.085,-4.939,3.720
1547221735114,2019-01-11T16:48:55.114,0.640,3.354,-3.171,3.902
1547221735154,2019-01-11T16:48:55.154,0.680,0.976,-1.280,1.768
1547221735194,2019-01-11T16:48:55.194,0.720,-3.293,-0.610,3.476
1547221735234,2019-01-11T16:48:55.234,0.760,-10.427,0.427,5.366
1547221735274,2019-01-11T16:48:55.274,0.800,-17.439,-4.451,0.793
1547221735314,2019-01-11T16:48:55.314,0.840,-18.293,-6.524,-4.573
1547221735354,2019-01-11T16:48:55.354,0.880,-5.244,-8.659,-11.646
1547221735394,2019-01-11T16:48:55.394,0.920,35.244,-9.634,-11.463
1547221735434,2019-01-11T16:48:55.434,0.960,80.488,19.573,-6.829
1547221735474,2019-01-11T16:48:55.474,1.000,110.976,46.890,-34.695
1547221735514,2019-01-11T16:48:55.514,1.040,108.963,52.012,-74.756
1547221735554,2019-01-11T16:48:55.554,1.080,110.366,55.671,-78.171
1547221735594,2019-01-11T16:48:55.594,1.120,88.963,52.195,-71.463
1547221735634,2019-01-11T16:48:55.634,1.160,49.085,1.220,-60.488
1547221735674,2019-01-11T16:48:55.674,1.200,19.512,-36.707,-34.268
1547221735714,2019-01-11T16:48:55.714,1.240,-3.780,-58.963,-19.695
1547221735754,2019-01-11T16:48:55.754,1.280,-27.073,-10.488,-10.183
1547221735794,2019-01-11T16:48:55.794,1.320,-38.232,9.512,-4.451
1547221735834,2019-01-11T16:48:55.834,1.360,-42.927,5.488,-3.110
1547221735874,2019-01-11T16:48:55.874,1.400,-49.512,19.756,-9.695
1547221735914,2019-01-11T16:48:55.914,1.440,-41.220,14.817,3.110
1547221735954,2019-01-11T16:48:55.954,1.480,-20.061,4.634,13.659
1547221735994,2019-01-11T16:48:55.994,1.520,-7.805,-16.341,15.732
1547221736034,2019-01-11T16:48:56.034,1.560,-8.902,-15.000,21.524
1547221736074,2019-01-11T16:48:56.074,1.600,-19.268,-1.037,26.098
1547221736114,2019-01-11T16:48:56.114,1.640,-39.207,-2.134,24.268
1547221736154,2019-01-11T16:48:56.154,1.680,-62.439,4.146,29.756
1547221736194,2019-01-11T16:48:56.194,1.720,-82.805,38.049,40.976
1547221736234,2019-01-11T16:48:56.234,1.760,-100.976,99.695,49.634
1547221736274,2019-01-11T16:48:56.274,1.800,-80.915,125.244,54.634
1547221736314,2019-01-11T16:48:56.314,1.840,-6.220,34.146,46.829
1547221736354,2019-01-11T16:48:56.354,1.880,40.915,-64.024,31.829
1547221736394,2019-01-11T16:48:56.394,1.920,57.012,-55.610,22.256
1547221736434,2019-01-11T16:48:56.434,1.960,41.829,-28.841,0.854
1547221736474,2019-01-11T16:48:56.474,2.000,17.744,-15.854,-6.768
1547221736514,2019-01-11T16:48:56.514,2.040,1.646,-21.402,-6.524
1547221736554,2019-01-11T16:48:56.554,2.080,-8.476,-36.646,-1.646
1547221736594,2019-01-11T16:48:56.594,2.120,-0.366,-39.390,-6.463
1547221736634,2019-01-11T16:48:56.634,2.160,14.634,-32.195,-26.402
1547221736674,2019-01-11T16:48:56.674,2.200,37.561,-30.366,-35.427
1547221736714,2019-01-11T16:48:56.714,2.240,56.159,-7.378,-40.915
1547221736754,2019-01-11T16:48:56.754,2.280,53.476,24.390,-48.354
1547221736794,2019-01-11T16:48:56.794,2.320,57.378,15.549,-48.902
1547221736834,2019-01-11T16:48:56.834,2.360,50.915,-7.988,-34.085
1547221736874,2019-01-11T16:48:56.874,2.400,42.683,6.220,-27.683
1547221736914,2019-01-11T16:48:56.914,2.440,35.366,25.244,-20.488
1547221736954,2019-01-11T16:48:56.954,2.480,30.732,19.756,-11.280
1547221736994,2019-01-11T16:48:56.994,2.520,26.646,5.244,-16.829
1547221737034,2019-01-11T16:48:57.034,2.560,16.646,-12.134,-8.537
1547221737074,2019-01-11T16:48:57.074,2.600,9.756,-20.122,1.037
1547221737114,2019-01-11T16:48:57.114,2.640,2.195,-21.280,9.512
1547221737154,2019-01-11T16:48:57.154,2.680,-16.707,-21.220,7.317
1547221737194,2019-01-11T16:48:57.194,2.720,-25.915,-13.415,0.427
