epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547222368731,2019-01-11T16:59:28.731,0.000,-0.267,0.924,-0.132
1547222368811,2019-01-11T16:59:28.811,0.080,-0.244,0.938,-0.160
1547222368891,2019-01-11T16:59:28.891,0.160,-0.206,0.898,-0.146
1547222368971,2019-01-11T16:59:28.971,0.240,-0.181,0.946,-0.144
1547222369051,2019-01-11T16:59:29.051,0.320,-0.226,1.259,-0.253
1547222369131,2019-01-11T16:59:29.131,0.400,-0.332,1.510,-0.372
1547222369211,2019-01-11T16:59:29.211,0.480,-0.354,1.249,-0.306
1547222369291,2019-01-11T16:59:29.291,0.560,-0.349,0.977,-0.370
1547222369371,2019-01-11T16:59:29.371,0.640,-0.279,0.806,-0.335
1547222369451,2019-01-11T16:59:29.451,0.720,-0.268,0.784,-0.470
1547222369531,2019-01-11T16:59:29.531,0.800,-0.271,0.750,-0.434
1547222369611,2019-01-11T16:59:29.611,0.880,-0.273,0.747,-0.435
1547222369691,2019-01-11T16:59:29.691,0.960,-0.254,0.786,-0.410
1547222369771,2019-01-11T16:59:29.771,1.040,-0.235,0.773,-0.472
1547222369851,2019-01-11T16:59:29.851,1.120,-0.180,0.562,-0.246
1547222369931,2019-01-11T16:59:29.931,1.200,-0.114,0.219,-0.200
1547222370011,2019-01-11T16:59:30.011,1.280,-0.154,0.153,-0.168
1547222370091,2019-01-11T16:59:30.091,1.360,-0.219,0.526,-0.247
1547222370171,2019-01-11T16:59:30.171,1.440,-0.323,0.886,-0.403
1547222370251,2019-01-11T16:59:30.251,1.520,-0.389,0.949,-0.431
1547222370331,2019-01-11T16:59:30.331,1.600,-0.371,0.918,-0.405
1547222370411,2019-01-11T16:59:30.411,1.680,-0.394,0.870,-0.462
1547222370491,2019-01-11T16:59:30.491,1.760,-0.434,0.882,-0.381
1547222370571,2019-01-11T16:59:30.571,1.840,-0.425,0.955,-0.354
1547222370651,2019-01-11T16:59:30.651,1.920,-0.383,0.974,-0.436
1547222370731,2019-01-11T16:59:30.731,2.000,-0.354,0.951,-0.337
1547222370811,2019-01-11T16:59:30.811,2.080,-0.323,1.007,-0.306
1547222370891,2019-01-11T16:59:30.891,2.160,-0.389,1.273,-0.374
1547222370971,2019-01-11T16:59:30.971,2.240,-0.465,1.535,-0.564
1547222371051,2019-01-11T16:59:31.051,2.320,-0.453,1.325,-0.515
1547222371131,2019-01-11T16:59:31.131,2.400,-0.389,1.010,-0.417
1547222371211,2019-01-11T16:59:31.211,2.480,-0.300,0.848,-0.414
1547222371291,2019-01-11T16:59:31.291,2.560,-0.313,0.775,-0.399
1547222371371,2019-01-11T16:59:31.371,2.640,-0.291,0.766,-0.419
1547222371451,2019-01-11T16:59:31.451,2.720,-0.249,0.767,-0.445
1547222371531,2019-01-11T16:59:31.531,2.800,-0.246,0.758,-0.343
1547222371611,2019-01-11T16:59:31.611,2.880,-0.209,0.369,-0.097
1547222371691,2019-01-11T16:59:31.691,2.960,-0.066,0.008,-0.147
1547222371771,2019-01-11T16:59:31.771,3.040,-0.149,0.228,-0.141
1547222371851,2019-01-11T16:59:31.851,3.120,-0.292,0.792,-0.355
1547222371931,2019-01-11T16:59:31.931,3.200,-0.467,1.056,-0.445
1547222372011,2019-01-11T16:59:32.011,3.280,-0.406,0.835,-0.528
1547222372091,2019-01-11T16:59:32.091,3.360,-0.379,0.724,-0.411
1547222372171,2019-01-11T16:59:32.171,3.440,-0.383,0.852,-0.405
1547222372251,2019-01-11T16:59:32.251,3.520,-0.440,0.898,-0.328
1547222372331,2019-01-11T16:59:32.331,3.600,-0.454,0.917,-0.407
1547222372411,2019-01-11T16:59:32.411,3.680,-0.421,0.952,-0.321
1547222372491,2019-01-11T16:59:32.491,3.760,-0.382,0.986,-0.283
1547222372571,2019-01-11T16:59:32.571,3.840,-0.345,1.033,-0.266
1547222372651,2019-01-11T16:59:32.651,3.920,-0.447,1.360,-0.376
1547222372731,2019-01-11T16:59:32.731,4.000,-0.516,1.567,-0.512
1547222372811,2019-01-11T16:59:32.811,4.080,-0.463,1.266,-0.425
1547222372891,2019-01-11T16:59:32.891,4.160,-0.404,0.972,-0.403
1547222372971,2019-01-11T16:59:32.971,4.240,-0.330,0.824,-0.452
1547222373051,2019-01-11T16:59:33.051,4.320,-0.321,0.777,-0.448
1547222373131,2019-01-11T16:59:33.131,4.400,-0.354,0.790,-0.484
1547222373211,2019-01-11T16:59:33.211,4.480,-0.292,0.726,-0.294
1547222373291,2019-01-11T16:59:33.291,4.560,-0.122,0.258,-0.157
1547222373371,2019-01-11T16:59:33.371,4.640,-0.081,-0.079,-0.113
1547222373451,2019-01-11T16:59:33.451,4.720,-0.083,0.249,-0.170
1547222373531,2019-01-11T16:59:33.531,4.800,-0.297,0.771,-0.228
1547222373611,2019-01-11T16:59:33.611,4.880,-0.477,1.027,-0.381
