epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547220278540,2019-01-11T16:24:38.540,0.000,0.136,-1.044,-0.038
1547220278620,2019-01-11T16:24:38.620,0.080,0.150,-1.031,-0.067
1547220278700,2019-01-11T16:24:38.700,0.160,0.144,-1.016,-0.088
1547220278780,2019-01-11T16:24:38.780,0.240,0.146,-1.039,-0.019
1547220278860,2019-01-11T16:24:38.860,0.320,0.137,-1.036,-0.018
1547220278940,2019-01-11T16:24:38.940,0.400,0.117,-1.027,0.013
1547220279020,2019-01-11T16:24:39.020,0.480,0.086,-0.990,-0.064
1547220279100,2019-01-11T16:24:39.100,0.560,0.634,-0.985,-0.408
1547220279180,2019-01-11T16:24:39.180,0.640,0.170,-1.002,-0.060
1547220279260,2019-01-11T16:24:39.260,0.720,0.201,-0.985,-0.077
1547220279340,2019-01-11T16:24:39.340,0.800,0.081,-1.084,-0.241
1547220279420,2019-01-11T16:24:39.420,0.880,0.135,-1.183,-0.094
1547220279500,2019-01-11T16:24:39.500,0.960,0.181,-1.414,-0.227
1547220279580,2019-01-11T16:24:39.580,1.040,0.338,-1.543,-0.157
1547220279660,2019-01-11T16:24:39.660,1.120,0.392,-1.439,-0.092
1547220279740,2019-01-11T16:24:39.740,1.200,0.478,-1.361,-0.010
1547220279820,2019-01-11T16:24:39.820,1.280,0.489,-1.145,0.111
1547220279900,2019-01-11T16:24:39.900,1.360,0.438,-0.901,0.128
1547220279980,2019-01-11T16:24:39.980,1.440,0.334,-0.558,0.202
1547220280060,2019-01-11T16:24:40.060,1.520,0.060,-0.056,0.192
1547220280140,2019-01-11T16:24:40.140,1.600,-0.133,0.092,0.060
1547220280220,2019-01-11T16:24:40.220,1.680,-0.003,-0.083,-0.097
1547220280300,2019-01-11T16:24:40.300,1.760,0.211,-0.484,0.221
1547220280380,2019-01-11T16:24:40.380,1.840,0.376,-0.772,0.279
1547220280460,2019-01-11T16:24:40.460,1.920,0.328,-0.982,0.123
1547220280540,2019-01-11T16:24:40.540,2.000,0.397,-1.084,0.138
1547220280620,2019-01-11T16:24:40.620,2.080,0.318,-1.192,-0.055
1547220280700,2019-01-11T16:24:40.700,2.160,0.218,-1.253,-0.176
1547220280780,2019-01-11T16:24:40.780,2.240,0.218,-1.246,-0.039
1547220280860,2019-01-11T16:24:40.860,2.320,0.221,-1.267,-0.206
1547220280940,2019-01-11T16:24:40.940,2.400,0.177,-1.184,-0.097
1547220281020,2019-01-11T16:24:41.020,2.480,0.114,-1.092,-0.136
1547220281100,2019-01-11T16:24:41.100,2.560,0.126,-1.009,-0.110
