epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547220518410,2019-01-11T16:28:38.410,0.000,12.561,-14.939,-6.524
1547220518450,2019-01-11T16:28:38.450,0.040,7.561,-12.622,-4.085
1547220518490,2019-01-11T16:28:38.490,0.080,1.951,-7.073,4.085
1547220518530,2019-01-11T16:28:38.530,0.120,4.451,-10.488,4.878
1547220518570,2019-01-11T16:28:38.570,0.160,-0.183,-3.110,-4.085
1547220518610,2019-01-11T16:28:38.610,0.200,0.915,-15.488,-14.329
1547220518650,2019-01-11T16:28:38.650,0.240,-0.732,-1.829,-10.610
1547220518690,2019-01-11T16:28:38.690,0.280,-6.341,6.768,0.549
1547220518730,2019-01-11T16:28:38.730,0.320,1.098,10.549,2.866
1547220518770,2019-01-11T16:28:38.770,0.360,9.756,14.939,8.476
1547220518810,2019-01-11T16:28:38.810,0.400,15.244,1.890,10.671
1547220518850,2019-01-11T16:28:38.850,0.440,7.256,16.585,17.744
1547220518890,2019-01-11T16:28:38.890,0.480,-11.524,43.293,13.598
1547220518930,2019-01-11T16:28:38.930,0.520,-12.683,39.451,17.988
1547220518970,2019-01-11T16:28:38.970,0.560,11.037,-6.768,14.329
1547220519010,2019-01-11T16:28:39.010,0.600,13.720,-42.988,1.402
1547220519050,2019-01-11T16:28:39.050,0.640,-5.793,-28.293,7.012
1547220519090,2019-01-11T16:28:39.090,0.680,-4.756,13.232,22.683
1547220519130,2019-01-11T16:28:39.130,0.720,3.780,-12.073,2.683
1547220519170,2019-01-11T16:28:39.170,0.760,7.500,0.549,-6.402
1547220519210,2019-01-11T16:28:39.210,0.800,-8.171,-17.256,-11.463
1547220519250,2019-01-11T16:28:39.250,0.840,-13.354,-48.780,-16.951
1547220519290,2019-01-11T16:28:39.290,0.880,-7.744,1.890,-13.902
1547220519330,2019-01-11T16:28:39.330,0.920,-6.280,33.110,-7.866
1547220519370,2019-01-11T16:28:39.370,0.960,16.402,-13.476,-15.305
1547220519410,2019-01-11T16:28:39.410,1.000,7.500,12.561,-12.500
1547220519450,2019-01-11T16:28:39.450,1.040,9.695,-6.220,-7.744
1547220519490,2019-01-11T16:28:39.490,1.080,32.073,-10.610,-5.244
