epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547222972746,2019-01-11T17:09:32.746,0.000,-0.273,0.845,0.389
1547222972826,2019-01-11T17:09:32.826,0.080,-0.293,0.868,0.344
1547222972906,2019-01-11T17:09:32.906,0.160,-0.289,0.875,0.337
1547222972986,2019-01-11T17:09:32.986,0.240,-0.282,0.859,0.343
1547222973066,2019-01-11T17:09:33.066,0.320,-0.281,0.876,0.346
1547222973146,2019-01-11T17:09:33.146,0.400,-0.268,0.868,0.351
1547222973226,2019-01-11T17:09:33.226,0.480,-0.264,0.860,0.328
1547222973306,2019-01-11T17:09:33.306,0.560,-0.256,0.863,0.283
1547222973386,2019-01-11T17:09:33.386,0.640,-0.243,0.826,0.276
1547222973466,2019-01-11T17:09:33.466,0.720,-0.215,0.734,0.250
1547222973546,2019-01-11T17:09:33.546,0.800,-0.187,0.625,0.238
1547222973626,2019-01-11T17:09:33.626,0.880,-0.202,0.661,0.288
1547222973706,2019-01-11T17:09:33.706,0.960,-0.234,0.680,0.330
1547222973786,2019-01-11T17:09:33.786,1.040,-0.246,0.751,0.379
1547222973866,2019-01-11T17:09:33.866,1.120,-0.255,0.832,0.458
1547222973946,2019-01-11T17:09:33.946,1.200,-0.282,0.899,0.522
1547222974026,2019-01-11T17:09:34.026,1.280,-0.282,0.896,0.534
1547222974106,2019-01-11T17:09:34.106,1.360,-0.294,0.877,0.554
1547222974186,2019-01-11T17:09:34.186,1.440,-0.283,0.883,0.545
1547222974266,2019-01-11T17:09:34.266,1.520,-0.298,0.862,0.526
1547222974346,2019-01-11T17:09:34.346,1.600,-0.304,0.813,0.549
1547222974426,2019-01-11T17:09:34.426,1.680,-0.293,0.848,0.553
1547222974506,2019-01-11T17:09:34.506,1.760,-0.292,0.849,0.603
1547222974586,2019-01-11T17:09:34.586,1.840,-0.302,0.904,0.598
1547222974666,2019-01-11T17:09:34.666,1.920,-0.319,0.944,0.666
1547222974746,2019-01-11T17:09:34.746,2.000,-0.375,0.938,0.677
1547222974826,2019-01-11T17:09:34.826,2.080,-0.334,0.923,0.665
1547222974906,2019-01-11T17:09:34.906,2.160,-0.345,0.915,0.696
1547222974986,2019-01-11T17:09:34.986,2.240,-0.377,0.830,0.652
1547222975066,2019-01-11T17:09:35.066,2.320,-0.405,0.867,0.584
1547222975146,2019-01-11T17:09:35.146,2.400,-0.360,0.805,0.616
1547222975226,2019-01-11T17:09:35.226,2.480,-0.347,0.860,0.540
1547222975306,2019-01-11T17:09:35.306,2.560,-0.330,0.832,0.463
1547222975386,2019-01-11T17:09:35.386,2.640,-0.277,0.748,0.434
1547222975466,2019-01-11T17:09:35.466,2.720,-0.239,0.685,0.354
1547222975546,2019-01-11T17:09:35.546,2.800,-0.197,0.603,0.293
1547222975626,2019-01-11T17:09:35.626,2.880,-0.178,0.581,0.252
1547222975706,2019-01-11T17:09:35.706,2.960,-0.188,0.633,0.260
1547222975786,2019-01-11T17:09:35.786,3.040,-0.229,0.746,0.284
1547222975866,2019-01-11T17:09:35.866,3.120,-0.275,0.879,0.284
1547222975946,2019-01-11T17:09:35.946,3.200,-0.278,0.905,0.295
1547222976026,2019-01-11T17:09:36.026,3.280,-0.254,0.861,0.301
1547222976106,2019-01-11T17:09:36.106,3.360,-0.268,0.927,0.275
1547222976186,2019-01-11T17:09:36.186,3.440,-0.246,0.929,0.276
1547222976266,2019-01-11T17:09:36.266,3.520,-0.222,0.879,0.281
1547222976346,2019-01-11T17:09:36.346,3.600,-0.226,0.877,0.291
1547222976426,2019-01-11T17:09:36.426,3.680,-0.226,0.854,0.307
1547222976506,2019-01-11T17:09:36.506,3.760,-0.208,0.810,0.224
1547222976586,2019-01-11T17:09:36.586,3.840,-0.174,0.692,0.194
1547222976666,2019-01-11T17:09:36.666,3.920,-0.169,0.666,0.185
1547222976746,2019-01-11T17:09:36.746,4.000,-0.170,0.678,0.196
1547222976826,2019-01-11T17:09:36.826,4.080,-0.199,0.747,0.225
1547222976906,2019-01-11T17:09:36.906,4.160,-0.250,0.886,0.281
1547222976986,2019-01-11T17:09:36.986,4.240,-0.275,0.942,0.338
1547222977066,2019-01-11T17:09:37.066,4.320,-0.262,0.977,0.354
1547222977146,2019-01-11T17:09:37.146,4.400,-0.255,0.948,0.384
1547222977226,2019-01-11T17:09:37.226,4.480,-0.249,0.942,0.381
1547222977306,2019-01-11T17:09:37.306,4.560,-0.246,0.930,0.422
1547222977386,2019-01-11T17:09:37.386,4.640,-0.251,0.916,0.423
