epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547472577885,2019-01-14T14:29:37.885,0.000,-0.006,0.884,-0.031
1547472577965,2019-01-14T14:29:37.965,0.080,-0.027,0.843,-0.053
1547472578045,2019-01-14T14:29:38.045,0.160,-0.012,0.865,-0.091
1547472578125,2019-01-14T14:29:38.125,0.240,-0.065,0.916,-0.040
1547472578205,2019-01-14T14:29:38.205,0.320,-0.056,0.967,-0.120
1547472578285,2019-01-14T14:29:38.285,0.400,-0.119,0.950,-0.097
1547472578365,2019-01-14T14:29:38.365,0.480,-0.091,0.952,-0.163
1547472578445,2019-01-14T14:29:38.445,0.560,-0.102,0.928,-0.144
1547472578525,2019-01-14T14:29:38.525,0.640,-0.156,0.964,-0.084
1547472578605,2019-01-14T14:29:38.605,0.720,-0.112,0.951,-0.204
1547472578685,2019-01-14T14:29:38.685,0.800,-0.139,0.948,-0.123
1547472578765,2019-01-14T14:29:38.765,0.880,-0.153,0.939,-0.113
1547472578845,2019-01-14T14:29:38.845,0.960,-0.114,0.910,-0.171
1547472578925,2019-01-14T14:29:38.925,1.040,-0.181,0.885,-0.059
1547472579005,2019-01-14T14:29:39.005,1.120,-0.125,1.060,-0.159
1547472579085,2019-01-14T14:29:39.085,1.200,-0.250,1.478,-0.133
1547472579165,2019-01-14T14:29:39.165,1.280,-0.317,1.484,-0.037
1547472579245,2019-01-14T14:29:39.245,1.360,-0.138,1.060,-0.162
1547472579325,2019-01-14T14:29:39.325,1.440,-0.137,0.919,-0.136
1547472579405,2019-01-14T14:29:39.405,1.520,-0.202,0.958,-0.136
1547472579485,2019-01-14T14:29:39.485,1.600,-0.182,0.948,-0.203
1547472579565,2019-01-14T14:29:39.565,1.680,-0.209,0.936,-0.125
1547472579645,2019-01-14T14:29:39.645,1.760,-0.185,0.960,-0.147
1547472579725,2019-01-14T14:29:39.725,1.840,-0.132,0.965,-0.163
1547472579805,2019-01-14T14:29:39.805,1.920,-0.091,0.962,-0.086
1547472579885,2019-01-14T14:29:39.885,2.000,-0.062,0.896,-0.044
1547472579965,2019-01-14T14:29:39.965,2.080,-0.060,0.706,-0.016
1547472580045,2019-01-14T14:29:40.045,2.160,-0.014,0.626,-0.094
1547472580125,2019-01-14T14:29:40.125,2.240,-0.022,0.836,-0.040
1547472580205,2019-01-14T14:29:40.205,2.320,-0.016,1.090,-0.001
1547472580285,2019-01-14T14:29:40.285,2.400,-0.060,1.072,0.043
1547472580365,2019-01-14T14:29:40.365,2.480,-0.020,0.948,-0.059
1547472580445,2019-01-14T14:29:40.445,2.560,-0.021,0.927,-0.007
1547472580525,2019-01-14T14:29:40.525,2.640,-0.013,0.964,-0.021
1547472580605,2019-01-14T14:29:40.605,2.720,-0.034,0.912,-0.035
1547472580685,2019-01-14T14:29:40.685,2.800,-0.044,0.813,-0.065
1547472580765,2019-01-14T14:29:40.765,2.880,-0.041,0.806,-0.130
1547472580845,2019-01-14T14:29:40.845,2.960,-0.077,0.866,-0.131
1547472580925,2019-01-14T14:29:40.925,3.040,-0.114,0.901,-0.140
1547472581005,2019-01-14T14:29:41.005,3.120,-0.104,0.913,-0.177
1547472581085,2019-01-14T14:29:41.085,3.200,-0.150,0.930,-0.160
1547472581165,2019-01-14T14:29:41.165,3.280,-0.152,0.946,-0.159
1547472581245,2019-01-14T14:29:41.245,3.360,-0.124,0.936,-0.217
1547472581325,2019-01-14T14:29:41.325,3.440,-0.124,0.936,-0.104
1547472581405,2019-01-14T14:29:41.405,3.520,-0.135,1.003,-0.063
1547472581485,2019-01-14T14:29:41.485,3.600,-0.212,1.405,-0.088
1547472581565,2019-01-14T14:29:41.565,3.680,-0.261,1.573,-0.105
1547472581645,2019-01-14T14:29:41.645,3.760,-0.197,1.172,-0.047
1547472581725,2019-01-14T14:29:41.725,3.840,-0.168,0.896,-0.001
1547472581805,2019-01-14T14:29:41.805,3.920,-0.207,0.938,-0.062
1547472581885,2019-01-14T14:29:41.885,4.000,-0.167,0.962,-0.198
1547472581965,2019-01-14T14:29:41.965,4.080,-0.232,0.959,-0.164
1547472582045,2019-01-14T14:29:42.045,4.160,-0.246,0.962,-0.140
1547472582125,2019-01-14T14:29:42.125,4.240,-0.178,0.961,-0.230
1547472582205,2019-01-14T14:29:42.205,4.320,-0.177,0.963,-0.153
1547472582285,2019-01-14T14:29:42.285,4.400,-0.111,0.950,-0.137
1547472582365,2019-01-14T14:29:42.365,4.480,-0.067,0.848,-0.123
1547472582445,2019-01-14T14:29:42.445,4.560,-0.005,0.728,-0.093
1547472582525,2019-01-14T14:29:42.525,4.640,-0.065,0.660,-0.104
1547472582605,2019-01-14T14:29:42.605,4.720,-0.072,0.831,-0.101
1547472582685,2019-01-14T14:29:42.685,4.800,-0.088,1.040,-0.064
1547472582765,2019-01-14T14:29:42.765,4.880,-0.074,1.065,-0.034
1547472582845,2019-01-14T14:29:42.845,4.960,-0.058,0.971,-0.040
1547472582925,2019-01-14T14:29:42.925,5.040,-0.045,0.938,-0.027
1547472583005,2019-01-14T14:29:43.005,5.120,0.005,0.987,-0.032
1547472583085,2019-01-14T14:29:43.085,5.200,-0.047,0.980,0.000
1547472583165,2019-01-14T14:29:43.165,5.280,-0.021,0.941,-0.046
1547472583245,2019-01-14T14:29:43.245,5.360,-0.072,0.895,-0.024
1547472583325,2019-01-14T14:29:43.325,5.440,-0.081,0.845,-0.051
1547472583405,2019-01-14T14:29:43.405,5.520,-0.068,0.814,-0.130
1547472583485,2019-01-14T14:29:43.485,5.600,-0.102,0.842,-0.078
1547472583565,2019-01-14T14:29:43.565,5.680,-0.126,0.869,-0.119
1547472583645,2019-01-14T14:29:43.645,5.760,-0.159,0.899,-0.185
1547472583725,2019-01-14T14:29:43.725,5.840,-0.125,0.909,-0.232
1547472583805,2019-01-14T14:29:43.805,5.920,-0.197,0.966,-0.145
1547472583885,2019-01-14T14:29:43.885,6.000,-0.147,0.976,-0.186
1547472583965,2019-01-14T14:29:43.965,6.080,-0.179,1.010,-0.131
1547472584045,2019-01-14T14:29:44.045,6.160,-0.108,1.047,-0.180
1547472584125,2019-01-14T14:29:44.125,6.240,-0.183,1.160,-0.068
1547472584205,2019-01-14T14:29:44.205,6.320,-0.189,1.271,-0.119
1547472584285,2019-01-14T14:29:44.285,6.400,-0.189,1.213,-0.108
1547472584365,2019-01-14T14:29:44.365,6.480,-0.253,1.044,0.010
1547472584445,2019-01-14T14:29:44.445,6.560,-0.171,0.983,-0.072
1547472584525,2019-01-14T14:29:44.525,6.640,-0.175,0.975,-0.156
1547472584605,2019-01-14T14:29:44.605,6.720,-0.256,0.973,-0.084
1547472584685,2019-01-14T14:29:44.685,6.800,-0.167,0.960,-0.209
1547472584765,2019-01-14T14:29:44.765,6.880,-0.282,0.960,-0.104
1547472584845,2019-01-14T14:29:44.845,6.960,-0.245,0.959,-0.172
1547472584925,2019-01-14T14:29:44.925,7.040,-0.155,0.952,-0.259
1547472585005,2019-01-14T14:29:45.005,7.120,-0.226,0.968,-0.149
1547472585085,2019-01-14T14:29:45.085,7.200,-0.185,0.993,-0.160
1547472585165,2019-01-14T14:29:45.165,7.280,-0.092,1.003,-0.179
1547472585245,2019-01-14T14:29:45.245,7.360,-0.058,0.951,-0.063
1547472585325,2019-01-14T14:29:45.325,7.440,-0.065,0.714,-0.083
1547472585405,2019-01-14T14:29:45.405,7.520,-0.011,0.614,-0.094
1547472585485,2019-01-14T14:29:45.485,7.600,-0.054,0.817,-0.110
1547472585565,2019-01-14T14:29:45.565,7.680,-0.044,1.054,0.017
1547472585645,2019-01-14T14:29:45.645,7.760,-0.031,1.045,0.033
1547472585725,2019-01-14T14:29:45.725,7.840,-0.050,0.972,0.026
1547472585805,2019-01-14T14:29:45.805,7.920,-0.018,0.979,-0.005
1547472585885,2019-01-14T14:29:45.885,8.000,-0.025,0.963,0.011
1547472585965,2019-01-14T14:29:45.965,8.080,-0.010,0.946,-0.018
1547472586045,2019-01-14T14:29:46.045,8.160,-0.041,0.966,-0.021
1547472586125,2019-01-14T14:29:46.125,8.240,-0.031,0.985,-0.014
1547472586205,2019-01-14T14:29:46.205,8.320,-0.042,0.985,-0.013
1547472586285,2019-01-14T14:29:46.285,8.400,-0.044,0.945,-0.054
1547472586365,2019-01-14T14:29:46.365,8.480,-0.076,0.872,-0.036
1547472586445,2019-01-14T14:29:46.445,8.560,-0.052,0.840,-0.082
1547472586525,2019-01-14T14:29:46.525,8.640,-0.083,0.833,-0.086
