epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547472577648,2019-01-14T14:29:37.648,0.000,-1.524,-5.183,-8.415
1547472577688,2019-01-14T14:29:37.688,0.040,-0.854,-2.866,-8.110
1547472577728,2019-01-14T14:29:37.728,0.080,-5.976,2.622,-1.951
1547472577768,2019-01-14T14:29:37.768,0.120,0.732,2.561,-6.829
1547472577808,2019-01-14T14:29:37.808,0.160,2.927,-4.695,-2.256
1547472577848,2019-01-14T14:29:37.848,0.200,7.866,-4.939,-2.134
1547472577888,2019-01-14T14:29:37.888,0.240,7.256,-1.280,-11.951
1547472577928,2019-01-14T14:29:37.928,0.280,6.220,-0.915,-9.573
1547472577968,2019-01-14T14:29:37.968,0.320,13.963,-0.671,-15.793
1547472578008,2019-01-14T14:29:38.008,0.360,19.573,-7.805,-10.671
1547472578048,2019-01-14T14:29:38.048,0.400,22.134,-4.268,-12.622
1547472578088,2019-01-14T14:29:38.088,0.440,11.098,1.890,-12.195
1547472578128,2019-01-14T14:29:38.128,0.480,18.293,-0.427,-17.317
1547472578168,2019-01-14T14:29:38.168,0.520,15.610,-7.988,-12.988
1547472578208,2019-01-14T14:29:38.208,0.560,9.634,-10.305,-11.707
1547472578248,2019-01-14T14:29:38.248,0.600,7.744,-4.695,-18.110
1547472578288,2019-01-14T14:29:38.288,0.640,14.634,-5.610,-17.866
1547472578328,2019-01-14T14:29:38.328,0.680,16.220,-8.049,-12.439
1547472578368,2019-01-14T14:29:38.368,0.720,21.341,-8.354,-3.780
1547472578408,2019-01-14T14:29:38.408,0.760,25.549,-12.988,7.012
1547472578448,2019-01-14T14:29:38.448,0.800,14.146,-4.817,-8.598
1547472578488,2019-01-14T14:29:38.488,0.840,-0.854,-5.000,-14.268
1547472578528,2019-01-14T14:29:38.528,0.880,-5.793,-6.646,-7.378
1547472578568,2019-01-14T14:29:38.568,0.920,4.024,-8.171,-3.415
1547472578608,2019-01-14T14:29:38.608,0.960,16.280,-9.756,0.122
1547472578648,2019-01-14T14:29:38.648,1.000,7.927,-12.988,3.232
1547472578688,2019-01-14T14:29:38.688,1.040,-0.732,-4.024,-11.037
1547472578728,2019-01-14T14:29:38.728,1.080,-10.427,-7.134,-11.159
1547472578768,2019-01-14T14:29:38.768,1.120,-11.707,-8.110,4.024
1547472578808,2019-01-14T14:29:38.808,1.160,-2.500,-7.988,8.902
1547472578848,2019-01-14T14:29:38.848,1.200,-6.341,-6.220,14.756
1547472578888,2019-01-14T14:29:38.888,1.240,-16.524,-3.598,12.195
1547472578928,2019-01-14T14:29:38.928,1.280,-31.646,-5.061,4.817
1547472578968,2019-01-14T14:29:38.968,1.320,-29.024,-12.805,18.780
1547472579008,2019-01-14T14:29:39.008,1.360,-6.829,-12.866,24.085
1547472579048,2019-01-14T14:29:39.048,1.400,11.098,-6.402,13.049
1547472579088,2019-01-14T14:29:39.088,1.440,16.829,-0.610,1.159
1547472579128,2019-01-14T14:29:39.128,1.480,18.293,-1.951,-21.280
1547472579168,2019-01-14T14:29:39.168,1.520,14.817,-7.073,-32.134
1547472579208,2019-01-14T14:29:39.208,1.560,19.207,-6.768,-34.451
1547472579248,2019-01-14T14:29:39.248,1.600,23.598,-3.110,-16.159
1547472579288,2019-01-14T14:29:39.288,1.640,25.122,1.098,-20.000
1547472579328,2019-01-14T14:29:39.328,1.680,17.622,-9.512,-13.415
1547472579368,2019-01-14T14:29:39.368,1.720,7.927,-11.463,-8.354
1547472579408,2019-01-14T14:29:39.408,1.760,5.366,2.744,-8.415
1547472579448,2019-01-14T14:29:39.448,1.800,2.256,-0.976,0.061
1547472579488,2019-01-14T14:29:39.488,1.840,4.268,0.549,13.110
1547472579528,2019-01-14T14:29:39.528,1.880,-3.476,3.598,12.378
1547472579568,2019-01-14T14:29:39.568,1.920,-18.171,13.354,8.110
1547472579608,2019-01-14T14:29:39.608,1.960,-27.439,11.646,7.439
1547472579648,2019-01-14T14:29:39.648,2.000,-23.232,7.927,20.244
1547472579688,2019-01-14T14:29:39.688,2.040,-20.610,7.866,23.841
1547472579728,2019-01-14T14:29:39.728,2.080,-24.146,10.244,29.329
1547472579768,2019-01-14T14:29:39.768,2.120,-33.476,8.963,26.829
1547472579808,2019-01-14T14:29:39.808,2.160,-32.927,0.366,44.085
1547472579848,2019-01-14T14:29:39.848,2.200,-40.366,6.159,40.488
1547472579888,2019-01-14T14:29:39.888,2.240,-37.805,-4.634,40.061
1547472579928,2019-01-14T14:29:39.928,2.280,-34.207,4.939,24.451
1547472579968,2019-01-14T14:29:39.968,2.320,-20.549,4.268,14.085
1547472580008,2019-01-14T14:29:40.008,2.360,4.512,-4.817,-2.988
1547472580048,2019-01-14T14:29:40.048,2.400,-5.122,1.585,-4.756
1547472580088,2019-01-14T14:29:40.088,2.440,16.159,-10.122,-7.012
1547472580128,2019-01-14T14:29:40.128,2.480,14.390,-5.915,-8.171
1547472580168,2019-01-14T14:29:40.168,2.520,12.683,-6.037,0.976
1547472580208,2019-01-14T14:29:40.208,2.560,11.402,-4.085,2.195
1547472580248,2019-01-14T14:29:40.248,2.600,0.488,-0.854,-0.427
1547472580288,2019-01-14T14:29:40.288,2.640,-9.207,12.805,1.646
1547472580328,2019-01-14T14:29:40.328,2.680,7.561,-0.122,-0.854
1547472580368,2019-01-14T14:29:40.368,2.720,6.951,-4.024,0.305
1547472580408,2019-01-14T14:29:40.408,2.760,7.988,-4.878,-3.171
1547472580448,2019-01-14T14:29:40.448,2.800,2.866,-2.927,-2.134
1547472580488,2019-01-14T14:29:40.488,2.840,10.122,-4.207,-5.244
1547472580528,2019-01-14T14:29:40.528,2.880,7.073,-3.476,0.427
1547472580568,2019-01-14T14:29:40.568,2.920,7.805,-0.854,-6.768
1547472580608,2019-01-14T14:29:40.608,2.960,7.622,-3.963,-7.378
1547472580648,2019-01-14T14:29:40.648,3.000,18.110,-0.427,-17.561
