epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547473887323,2019-01-14T14:51:27.323,0.000,7.561,-1.220,1.341
1547473887363,2019-01-14T14:51:27.363,0.040,7.073,-1.829,0.976
1547473887403,2019-01-14T14:51:27.403,0.080,2.256,1.220,-2.561
1547473887443,2019-01-14T14:51:27.443,0.120,-1.280,1.768,-8.841
1547473887483,2019-01-14T14:51:27.483,0.160,-0.549,1.402,-8.902
1547473887523,2019-01-14T14:51:27.523,0.200,-2.683,4.085,0.366
1547473887563,2019-01-14T14:51:27.563,0.240,-6.768,-2.561,4.085
1547473887603,2019-01-14T14:51:27.603,0.280,-7.622,0.488,0.793
1547473887643,2019-01-14T14:51:27.643,0.320,2.195,1.341,-6.524
1547473887683,2019-01-14T14:51:27.683,0.360,18.171,3.598,-15.000
1547473887723,2019-01-14T14:51:27.723,0.400,38.476,12.622,-31.402
1547473887763,2019-01-14T14:51:27.763,0.440,60.488,28.171,-66.646
1547473887803,2019-01-14T14:51:27.803,0.480,72.988,42.988,-90.732
1547473887843,2019-01-14T14:51:27.843,0.520,79.512,62.439,-95.427
1547473887883,2019-01-14T14:51:27.883,0.560,63.415,47.195,-99.268
1547473887923,2019-01-14T14:51:27.923,0.600,25.366,30.366,-89.451
1547473887963,2019-01-14T14:51:27.963,0.640,-17.561,67.622,-50.305
1547473888003,2019-01-14T14:51:28.003,0.680,-52.988,70.244,-14.085
1547473888043,2019-01-14T14:51:28.043,0.720,-70.793,56.220,20.122
1547473888083,2019-01-14T14:51:28.083,0.760,-80.671,41.402,42.927
1547473888123,2019-01-14T14:51:28.123,0.800,-82.134,48.537,64.573
1547473888163,2019-01-14T14:51:28.163,0.840,-81.402,52.500,89.146
1547473888203,2019-01-14T14:51:28.203,0.880,-75.610,33.659,112.622
1547473888243,2019-01-14T14:51:28.243,0.920,-27.134,27.439,129.268
1547473888283,2019-01-14T14:51:28.283,0.960,77.073,-56.280,99.573
1547473888323,2019-01-14T14:51:28.323,1.000,103.171,-98.293,55.061
1547473888363,2019-01-14T14:51:28.363,1.040,35.671,-9.512,37.317
1547473888403,2019-01-14T14:51:28.403,1.080,10.427,12.805,13.415
1547473888443,2019-01-14T14:51:28.443,1.120,15.732,-13.171,7.012
1547473888483,2019-01-14T14:51:28.483,1.160,14.817,-22.134,-10.366
1547473888523,2019-01-14T14:51:28.523,1.200,-4.573,5.854,-4.939
1547473888563,2019-01-14T14:51:28.563,1.240,-3.537,2.012,9.207
1547473888603,2019-01-14T14:51:28.603,1.280,3.537,-12.317,5.671
1547473888643,2019-01-14T14:51:28.643,1.320,-2.500,-4.207,-5.061
1547473888683,2019-01-14T14:51:28.683,1.360,-11.159,14.512,-5.732
