epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547580495467,2019-01-15T20:28:15.467,0.000,-0.610,12.561,1.524
1547580495507,2019-01-15T20:28:15.507,0.040,-0.305,14.268,1.829
1547580495547,2019-01-15T20:28:15.547,0.080,1.707,10.671,1.463
1547580495587,2019-01-15T20:28:15.587,0.120,4.451,11.707,-0.976
1547580495627,2019-01-15T20:28:15.627,0.160,8.171,4.512,-4.512
1547580495667,2019-01-15T20:28:15.667,0.200,10.671,-4.634,-5.305
1547580495707,2019-01-15T20:28:15.707,0.240,7.500,-1.159,-3.537
1547580495747,2019-01-15T20:28:15.747,0.280,6.402,-6.402,-2.622
1547580495787,2019-01-15T20:28:15.787,0.320,9.146,-13.659,-3.110
1547580495827,2019-01-15T20:28:15.827,0.360,7.744,-5.000,-2.927
1547580495867,2019-01-15T20:28:15.867,0.400,6.524,-7.500,-5.610
1547580495907,2019-01-15T20:28:15.907,0.440,7.134,-13.232,-4.329
1547580495947,2019-01-15T20:28:15.947,0.480,3.598,5.732,-0.183
1547580495987,2019-01-15T20:28:15.987,0.520,8.720,-0.610,-0.610
1547580496027,2019-01-15T20:28:16.027,0.560,18.293,5.610,1.098
1547580496067,2019-01-15T20:28:16.067,0.600,19.756,15.854,4.207
1547580496107,2019-01-15T20:28:16.107,0.640,21.768,5.000,6.707
1547580496147,2019-01-15T20:28:16.147,0.680,20.732,-12.134,6.890
1547580496187,2019-01-15T20:28:16.187,0.720,15.183,-5.854,9.146
1547580496227,2019-01-15T20:28:16.227,0.760,15.427,-3.354,9.390
1547580496267,2019-01-15T20:28:16.267,0.800,16.524,-10.854,10.427
1547580496307,2019-01-15T20:28:16.307,0.840,21.037,-15.732,-2.805
1547580496347,2019-01-15T20:28:16.347,0.880,13.598,-7.195,-2.561
1547580496387,2019-01-15T20:28:16.387,0.920,11.890,-12.561,4.695
1547580496427,2019-01-15T20:28:16.427,0.960,12.988,-15.000,-0.488
1547580496467,2019-01-15T20:28:16.467,1.000,3.659,-4.817,-2.805
1547580496507,2019-01-15T20:28:16.507,1.040,6.829,-8.902,1.402
1547580496547,2019-01-15T20:28:16.547,1.080,10.793,-20.305,-2.866
1547580496587,2019-01-15T20:28:16.587,1.120,5.732,-2.500,-2.500
1547580496627,2019-01-15T20:28:16.627,1.160,10.122,-0.488,-0.793
1547580496667,2019-01-15T20:28:16.667,1.200,14.390,-11.402,-0.183
1547580496707,2019-01-15T20:28:16.707,1.240,15.000,-12.317,4.146
1547580496747,2019-01-15T20:28:16.747,1.280,17.927,-13.110,3.963
1547580496787,2019-01-15T20:28:16.787,1.320,17.683,-5.915,-0.915
1547580496827,2019-01-15T20:28:16.827,1.360,20.305,-7.378,-1.951
1547580496867,2019-01-15T20:28:16.867,1.400,27.317,-17.195,-5.000
1547580496907,2019-01-15T20:28:16.907,1.440,26.098,-10.366,-1.951
1547580496947,2019-01-15T20:28:16.947,1.480,25.793,0.610,0.183
1547580496987,2019-01-15T20:28:16.987,1.520,38.720,-2.317,1.707
1547580497027,2019-01-15T20:28:17.027,1.560,52.317,-5.793,-3.171
1547580497067,2019-01-15T20:28:17.067,1.600,61.646,-17.317,-10.549
1547580497107,2019-01-15T20:28:17.107,1.640,63.049,-10.732,-6.037
1547580497147,2019-01-15T20:28:17.147,1.680,68.232,-20.305,4.939
1547580497187,2019-01-15T20:28:17.187,1.720,73.049,-22.561,8.598
1547580497227,2019-01-15T20:28:17.227,1.760,73.598,-24.207,6.951
1547580497267,2019-01-15T20:28:17.267,1.800,57.622,-4.878,7.134
1547580497307,2019-01-15T20:28:17.307,1.840,43.537,-2.927,4.390
1547580497347,2019-01-15T20:28:17.347,1.880,26.585,5.793,7.622
1547580497387,2019-01-15T20:28:17.387,1.920,16.646,3.537,4.939
1547580497427,2019-01-15T20:28:17.427,1.960,10.610,-0.305,3.659
1547580497467,2019-01-15T20:28:17.467,2.000,0.793,0.671,3.354
1547580497507,2019-01-15T20:28:17.507,2.040,-6.341,2.622,0.427
1547580497547,2019-01-15T20:28:17.547,2.080,-8.171,-1.768,-0.427
1547580497587,2019-01-15T20:28:17.587,2.120,-13.049,-0.854,-2.073
1547580497627,2019-01-15T20:28:17.627,2.160,-20.183,7.683,-2.256
1547580497667,2019-01-15T20:28:17.667,2.200,-22.134,0.061,-0.549
1547580497707,2019-01-15T20:28:17.707,2.240,-27.317,1.098,0.366
1547580497747,2019-01-15T20:28:17.747,2.280,-32.439,1.463,2.622
1547580497787,2019-01-15T20:28:17.787,2.320,-30.610,-15.122,1.524
1547580497827,2019-01-15T20:28:17.827,2.360,-35.244,-17.683,-1.646
1547580497867,2019-01-15T20:28:17.867,2.400,-43.598,-9.695,-1.341
1547580497907,2019-01-15T20:28:17.907,2.440,-47.317,-17.622,-1.220
1547580497947,2019-01-15T20:28:17.947,2.480,-51.646,-11.220,-0.976
1547580497987,2019-01-15T20:28:17.987,2.520,-48.232,-16.585,-1.768
1547580498027,2019-01-15T20:28:18.027,2.560,-53.110,-2.073,-0.610
1547580498067,2019-01-15T20:28:18.067,2.600,-50.915,-3.476,0.549
1547580498107,2019-01-15T20:28:18.107,2.640,-48.354,1.402,1.524
1547580498147,2019-01-15T20:28:18.147,2.680,-34.390,-9.878,5.183
1547580498187,2019-01-15T20:28:18.187,2.720,-26.829,-5.671,4.573
1547580498227,2019-01-15T20:28:18.227,2.760,-15.000,-18.537,5.610
1547580498267,2019-01-15T20:28:18.267,2.800,-16.402,-1.890,2.805
1547580498307,2019-01-15T20:28:18.307,2.840,-6.768,-6.646,3.415
