epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547581038295,2019-01-15T20:37:18.295,0.000,0.014,-0.957,-0.215
1547581038375,2019-01-15T20:37:18.375,0.080,-0.033,-0.873,-0.363
1547581038455,2019-01-15T20:37:18.455,0.160,0.041,-1.000,-0.182
1547581038535,2019-01-15T20:37:18.535,0.240,0.147,-1.070,-0.197
1547581038615,2019-01-15T20:37:18.615,0.320,0.110,-1.007,-0.336
1547581038695,2019-01-15T20:37:18.695,0.400,0.120,-1.111,-0.134
1547581038775,2019-01-15T20:37:18.775,0.480,0.179,-1.146,-0.289
1547581038855,2019-01-15T20:37:18.855,0.560,-0.026,-0.896,-0.204
1547581038935,2019-01-15T20:37:18.935,0.640,0.010,-1.002,-0.139
1547581039015,2019-01-15T20:37:19.015,0.720,0.075,-1.221,-0.112
1547581039095,2019-01-15T20:37:19.095,0.800,0.101,-1.256,-0.126
1547581039175,2019-01-15T20:37:19.175,0.880,0.064,-1.241,-0.102
1547581039255,2019-01-15T20:37:19.255,0.960,0.049,-1.221,-0.122
1547581039335,2019-01-15T20:37:19.335,1.040,0.076,-1.194,-0.134
1547581039415,2019-01-15T20:37:19.415,1.120,0.061,-1.117,-0.112
1547581039495,2019-01-15T20:37:19.495,1.200,0.041,-1.075,-0.110
1547581039575,2019-01-15T20:37:19.575,1.280,0.033,-1.047,-0.091
1547581039655,2019-01-15T20:37:19.655,1.360,0.016,-0.985,-0.048
1547581039735,2019-01-15T20:37:19.735,1.440,0.054,-0.926,-0.056
1547581039815,2019-01-15T20:37:19.815,1.520,0.054,-0.794,-0.023
1547581039895,2019-01-15T20:37:19.895,1.600,0.029,-0.545,0.199
1547581039975,2019-01-15T20:37:19.975,1.680,0.117,-0.627,0.288
1547581040055,2019-01-15T20:37:20.055,1.760,0.020,-0.843,0.240
1547581040135,2019-01-15T20:37:20.135,1.840,0.042,-1.035,0.330
1547581040215,2019-01-15T20:37:20.215,1.920,0.042,-0.921,0.306
1547581040295,2019-01-15T20:37:20.295,2.000,0.071,-0.806,0.227
1547581040375,2019-01-15T20:37:20.375,2.080,0.082,-0.827,0.174
1547581040455,2019-01-15T20:37:20.455,2.160,0.013,-0.889,0.128
1547581040535,2019-01-15T20:37:20.535,2.240,0.047,-0.951,0.072
1547581040615,2019-01-15T20:37:20.615,2.320,0.099,-1.004,0.027
1547581040695,2019-01-15T20:37:20.695,2.400,0.031,-1.022,-0.049
1547581040775,2019-01-15T20:37:20.775,2.480,0.091,-1.059,-0.072
1547581040855,2019-01-15T20:37:20.855,2.560,0.048,-1.060,0.008
1547581040935,2019-01-15T20:37:20.935,2.640,0.066,-1.007,-0.094
1547581041015,2019-01-15T20:37:21.015,2.720,0.067,-1.010,-0.017
1547581041095,2019-01-15T20:37:21.095,2.800,0.033,-1.011,-0.051
1547581041175,2019-01-15T20:37:21.175,2.880,0.038,-1.040,-0.066
1547581041255,2019-01-15T20:37:21.255,2.960,0.041,-1.084,-0.025
1547581041335,2019-01-15T20:37:21.335,3.040,0.038,-1.110,-0.051
1547581041415,2019-01-15T20:37:21.415,3.120,0.015,-1.170,-0.041
1547581041495,2019-01-15T20:37:21.495,3.200,0.013,-1.142,-0.112
1547581041575,2019-01-15T20:37:21.575,3.280,0.249,-1.521,-0.033
1547581041655,2019-01-15T20:37:21.655,3.360,0.061,-1.042,-0.164
1547581041735,2019-01-15T20:37:21.735,3.440,0.018,-1.212,-0.021
1547581041815,2019-01-15T20:37:21.815,3.520,0.050,-1.343,-0.079
1547581041895,2019-01-15T20:37:21.895,3.600,0.051,-1.287,-0.093
1547581041975,2019-01-15T20:37:21.975,3.680,0.057,-1.229,-0.060
1547581042055,2019-01-15T20:37:22.055,3.760,0.048,-1.184,-0.123
1547581042135,2019-01-15T20:37:22.135,3.840,0.055,-1.131,-0.077
1547581042215,2019-01-15T20:37:22.215,3.920,0.044,-1.079,-0.060
1547581042295,2019-01-15T20:37:22.295,4.000,0.090,-1.028,-0.012
1547581042375,2019-01-15T20:37:22.375,4.080,0.013,-0.860,-0.024
1547581042455,2019-01-15T20:37:22.455,4.160,0.048,-0.663,0.048
1547581042535,2019-01-15T20:37:22.535,4.240,0.084,-0.462,0.182
1547581042615,2019-01-15T20:37:22.615,4.320,0.052,-0.607,0.292
1547581042695,2019-01-15T20:37:22.695,4.400,0.001,-0.926,0.233
1547581042775,2019-01-15T20:37:22.775,4.480,0.036,-1.027,0.350
1547581042855,2019-01-15T20:37:22.855,4.560,0.019,-0.895,0.343
1547581042935,2019-01-15T20:37:22.935,4.640,0.040,-0.818,0.254
1547581043015,2019-01-15T20:37:23.015,4.720,0.042,-0.839,0.186
1547581043095,2019-01-15T20:37:23.095,4.800,0.046,-0.890,0.126
1547581043175,2019-01-15T20:37:23.175,4.880,0.069,-0.942,0.054
1547581043255,2019-01-15T20:37:23.255,4.960,0.036,-0.977,0.035
1547581043335,2019-01-15T20:37:23.335,5.040,0.031,-1.022,-0.032
1547581043415,2019-01-15T20:37:23.415,5.120,0.061,-1.012,-0.026
1547581043495,2019-01-15T20:37:23.495,5.200,0.055,-1.001,-0.068
1547581043575,2019-01-15T20:37:23.575,5.280,0.027,-1.031,-0.064
1547581043655,2019-01-15T20:37:23.655,5.360,0.062,-1.020,-0.041
1547581043735,2019-01-15T20:37:23.735,5.440,0.046,-1.042,-0.077
1547581043815,2019-01-15T20:37:23.815,5.520,0.057,-1.096,-0.005
1547581043895,2019-01-15T20:37:23.895,5.600,-0.018,-1.170,-0.079
1547581043975,2019-01-15T20:37:23.975,5.680,0.139,-1.106,-0.063
1547581044055,2019-01-15T20:37:24.055,5.760,0.039,-1.334,-0.078
1547581044135,2019-01-15T20:37:24.135,5.840,0.180,-1.501,-0.086
1547581044215,2019-01-15T20:37:24.215,5.920,0.154,-1.089,-0.056
1547581044295,2019-01-15T20:37:24.295,6.000,0.013,-1.223,-0.062
1547581044375,2019-01-15T20:37:24.375,6.080,0.045,-1.300,-0.052
1547581044455,2019-01-15T20:37:24.455,6.160,0.064,-1.235,-0.061
1547581044535,2019-01-15T20:37:24.535,6.240,0.072,-1.167,-0.063
1547581044615,2019-01-15T20:37:24.615,6.320,0.039,-1.149,-0.072
1547581044695,2019-01-15T20:37:24.695,6.400,0.070,-1.097,-0.045
1547581044775,2019-01-15T20:37:24.775,6.480,0.025,-1.045,-0.022
1547581044855,2019-01-15T20:37:24.855,6.560,0.040,-0.958,-0.004
1547581044935,2019-01-15T20:37:24.935,6.640,0.065,-0.871,0.055
1547581045015,2019-01-15T20:37:25.015,6.720,0.030,-0.815,0.042
1547581045095,2019-01-15T20:37:25.095,6.800,0.048,-0.622,0.155
1547581045175,2019-01-15T20:37:25.175,6.880,0.088,-0.596,0.376
1547581045255,2019-01-15T20:37:25.255,6.960,0.052,-0.788,0.265
1547581045335,2019-01-15T20:37:25.335,7.040,0.061,-0.938,0.351
1547581045415,2019-01-15T20:37:25.415,7.120,0.061,-0.966,0.459
1547581045495,2019-01-15T20:37:25.495,7.200,0.024,-0.903,0.346
1547581045575,2019-01-15T20:37:25.575,7.280,0.079,-0.841,0.232
1547581045655,2019-01-15T20:37:25.655,7.360,0.058,-0.854,0.185
1547581045735,2019-01-15T20:37:25.735,7.440,0.041,-0.899,0.145
1547581045815,2019-01-15T20:37:25.815,7.520,0.039,-0.935,0.053
1547581045895,2019-01-15T20:37:25.895,7.600,0.039,-0.979,0.004
1547581045975,2019-01-15T20:37:25.975,7.680,0.007,-0.994,-0.029
1547581046055,2019-01-15T20:37:26.055,7.760,0.057,-1.013,-0.022
1547581046135,2019-01-15T20:37:26.135,7.840,0.037,-0.971,-0.076
1547581046215,2019-01-15T20:37:26.215,7.920,0.019,-1.022,-0.056
1547581046295,2019-01-15T20:37:26.295,8.000,0.023,-1.019,-0.065
1547581046375,2019-01-15T20:37:26.375,8.080,0.032,-1.070,-0.096
1547581046455,2019-01-15T20:37:26.455,8.160,0.027,-1.086,-0.059
1547581046535,2019-01-15T20:37:26.535,8.240,0.010,-1.132,-0.063
1547581046615,2019-01-15T20:37:26.615,8.320,0.011,-1.176,-0.097
1547581046695,2019-01-15T20:37:26.695,8.400,0.031,-1.373,-0.193
1547581046775,2019-01-15T20:37:26.775,8.480,0.300,-1.459,-0.085
1547581046855,2019-01-15T20:37:26.855,8.560,-0.025,-1.055,-0.186
1547581046935,2019-01-15T20:37:26.935,8.640,-0.007,-1.306,-0.040
1547581047015,2019-01-15T20:37:27.015,8.720,0.045,-1.261,-0.042
1547581047095,2019-01-15T20:37:27.095,8.800,0.020,-1.195,-0.109
1547581047175,2019-01-15T20:37:27.175,8.880,0.028,-1.184,-0.077
1547581047255,2019-01-15T20:37:27.255,8.960,0.040,-1.141,-0.063
1547581047335,2019-01-15T20:37:27.335,9.040,0.024,-1.098,-0.089
1547581047415,2019-01-15T20:37:27.415,9.120,0.005,-1.013,-0.055
1547581047495,2019-01-15T20:37:27.495,9.200,0.030,-0.944,0.013
1547581047575,2019-01-15T20:37:27.575,9.280,0.052,-0.875,-0.040
1547581047655,2019-01-15T20:37:27.655,9.360,0.040,-0.746,0.051
1547581047735,2019-01-15T20:37:27.735,9.440,0.043,-0.568,0.199
1547581047815,2019-01-15T20:37:27.815,9.520,0.089,-0.688,0.268
1547581047895,2019-01-15T20:37:27.895,9.600,0.040,-0.879,0.297
1547581047975,2019-01-15T20:37:27.975,9.680,0.034,-0.993,0.385
1547581048055,2019-01-15T20:37:28.055,9.760,0.043,-0.958,0.408
1547581048135,2019-01-15T20:37:28.135,9.840,0.042,-0.853,0.265
1547581048215,2019-01-15T20:37:28.215,9.920,0.083,-0.793,0.215
1547581048295,2019-01-15T20:37:28.295,10.000,0.037,-0.836,0.135
1547581048375,2019-01-15T20:37:28.375,10.080,0.034,-0.903,0.102
1547581048455,2019-01-15T20:37:28.455,10.160,0.039,-0.968,0.031
1547581048535,2019-01-15T20:37:28.535,10.240,0.067,-1.034,0.033
1547581048615,2019-01-15T20:37:28.615,10.320,0.010,-1.036,-0.063
1547581048695,2019-01-15T20:37:28.695,10.400,0.020,-1.011,-0.054
1547581048775,2019-01-15T20:37:28.775,10.480,0.015,-0.998,-0.070
1547581048855,2019-01-15T20:37:28.855,10.560,0.031,-1.013,-0.083
1547581048935,2019-01-15T20:37:28.935,10.640,-0.002,-1.049,-0.095
1547581049015,2019-01-15T20:37:29.015,10.720,0.006,-1.054,-0.059
1547581049095,2019-01-15T20:37:29.095,10.800,0.015,-1.076,-0.077
1547581049175,2019-01-15T20:37:29.175,10.880,0.023,-1.149,-0.037
1547581049255,2019-01-15T20:37:29.255,10.960,0.088,-1.111,-0.098
1547581049335,2019-01-15T20:37:29.335,11.040,0.099,-1.583,-0.103
1547581049415,2019-01-15T20:37:29.415,11.120,0.191,-1.463,-0.125
1547581049495,2019-01-15T20:37:29.495,11.200,-0.038,-1.134,-0.063
1547581049575,2019-01-15T20:37:29.575,11.280,0.038,-1.235,-0.017
1547581049655,2019-01-15T20:37:29.655,11.360,0.040,-1.191,-0.045
1547581049735,2019-01-15T20:37:29.735,11.440,0.018,-1.148,-0.076
1547581049815,2019-01-15T20:37:29.815,11.520,0.025,-1.130,-0.049
1547581049895,2019-01-15T20:37:29.895,11.600,0.021,-1.054,-0.070
1547581049975,2019-01-15T20:37:29.975,11.680,0.045,-1.023,-0.050
1547581050055,2019-01-15T20:37:30.055,11.760,0.034,-0.970,-0.029
1547581050135,2019-01-15T20:37:30.135,11.840,0.039,-0.886,0.100
1547581050215,2019-01-15T20:37:30.215,11.920,0.073,-0.798,0.062
1547581050295,2019-01-15T20:37:30.295,12.000,0.056,-0.738,0.160
1547581050375,2019-01-15T20:37:30.375,12.080,0.022,-0.725,0.268
1547581050455,2019-01-15T20:37:30.455,12.160,0.047,-0.817,0.332
1547581050535,2019-01-15T20:37:30.535,12.240,0.053,-0.877,0.323
1547581050615,2019-01-15T20:37:30.615,12.320,0.041,-0.923,0.418
1547581050695,2019-01-15T20:37:30.695,12.400,0.013,-0.928,0.379
1547581050775,2019-01-15T20:37:30.775,12.480,0.026,-0.882,0.314
1547581050855,2019-01-15T20:37:30.855,12.560,0.041,-0.845,0.217
1547581050935,2019-01-15T20:37:30.935,12.640,0.012,-0.850,0.143
1547581051015,2019-01-15T20:37:31.015,12.720,0.022,-0.911,0.050
1547581051095,2019-01-15T20:37:31.095,12.800,0.019,-0.985,0.019
1547581051175,2019-01-15T20:37:31.175,12.880,0.009,-1.027,-0.004
1547581051255,2019-01-15T20:37:31.255,12.960,0.018,-1.004,-0.046
1547581051335,2019-01-15T20:37:31.335,13.040,-0.003,-1.007,-0.051
1547581051415,2019-01-15T20:37:31.415,13.120,-0.012,-0.999,-0.097
1547581051495,2019-01-15T20:37:31.495,13.200,-0.008,-0.998,-0.068
1547581051575,2019-01-15T20:37:31.575,13.280,-0.004,-1.045,-0.111
1547581051655,2019-01-15T20:37:31.655,13.360,-0.012,-1.081,-0.075
1547581051735,2019-01-15T20:37:31.735,13.440,-0.017,-1.105,-0.131
1547581051815,2019-01-15T20:37:31.815,13.520,-0.018,-1.186,-0.075
1547581051895,2019-01-15T20:37:31.895,13.600,0.041,-1.130,-0.121
1547581051975,2019-01-15T20:37:31.975,13.680,0.018,-1.662,-0.172
1547581052055,2019-01-15T20:37:32.055,13.760,0.143,-1.310,-0.133
1547581052135,2019-01-15T20:37:32.135,13.840,-0.065,-1.125,-0.125
1547581052215,2019-01-15T20:37:32.215,13.920,0.008,-1.297,-0.049
1547581052295,2019-01-15T20:37:32.295,14.000,0.031,-1.218,-0.076
1547581052375,2019-01-15T20:37:32.375,14.080,0.025,-1.187,-0.088
1547581052455,2019-01-15T20:37:32.455,14.160,0.014,-1.152,-0.082
1547581052535,2019-01-15T20:37:32.535,14.240,0.030,-1.110,-0.088
1547581052615,2019-01-15T20:37:32.615,14.320,-0.020,-1.063,-0.063
1547581052695,2019-01-15T20:37:32.695,14.400,0.031,-0.974,-0.046
1547581052775,2019-01-15T20:37:32.775,14.480,0.074,-0.914,0.001
1547581052855,2019-01-15T20:37:32.855,14.560,0.064,-0.797,0.035
1547581052935,2019-01-15T20:37:32.935,14.640,0.078,-0.631,0.105
1547581053015,2019-01-15T20:37:33.015,14.720,0.123,-0.551,0.298
1547581053095,2019-01-15T20:37:33.095,14.800,0.088,-0.623,0.391
1547581053175,2019-01-15T20:37:33.175,14.880,0.072,-0.925,0.531
1547581053255,2019-01-15T20:37:33.255,14.960,0.087,-1.011,0.623
1547581053335,2019-01-15T20:37:33.335,15.040,0.094,-0.897,0.488
1547581053415,2019-01-15T20:37:33.415,15.120,0.093,-0.777,0.410
1547581053495,2019-01-15T20:37:33.495,15.200,0.061,-0.772,0.361
