epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547561137531,2019-01-15 15:05:37.530,0.0,-0.015,-0.938,0.052
1547561137611,2019-01-15 15:05:37.610,0.08,-0.031,-0.979,0.017
1547561137691,2019-01-15 15:05:37.690,0.16,-0.036,-1.036,-0.042
1547561137771,2019-01-15 15:05:37.770,0.24,-0.021,-1.044,-0.023
1547561137851,2019-01-15 15:05:37.850,0.32,-0.021,-1.053,-0.04
1547561137931,2019-01-15 15:05:37.930,0.4,-0.021,-1.062,-0.055
1547561138011,2019-01-15 15:05:38.010,0.48,-0.037,-1.068,-0.076
1547561138091,2019-01-15 15:05:38.090,0.56,-0.012,-1.057,-0.031
1547561138171,2019-01-15 15:05:38.170,0.64,-0.024,-1.088,-0.068
1547561138251,2019-01-15 15:05:38.250,0.72,-0.041,-1.161,-0.059
1547561138331,2019-01-15 15:05:38.330,0.8,-0.041,-1.274,-0.1
1547561138411,2019-01-15 15:05:38.410,0.88,-0.046,-1.404,-0.087
1547561138491,2019-01-15 15:05:38.490,0.96,-0.02,-1.501,-0.081
1547561138571,2019-01-15 15:05:38.570,1.04,0.001,-1.497,-0.042
1547561138651,2019-01-15 15:05:38.650,1.12,0.051,-1.379,0.021
1547561138731,2019-01-15 15:05:38.730,1.2,0.161,-1.142,0.108
1547561138811,2019-01-15 15:05:38.810,1.28,0.2,-0.866,0.208
1547561138891,2019-01-15 15:05:38.890,1.36,0.152,-0.515,0.126
1547561138971,2019-01-15 15:05:38.970,1.44,0.076,-0.124,0.12
1547561139051,2019-01-15 15:05:39.050,1.52,0.041,-0.154,0.164
1547561139131,2019-01-15 15:05:39.130,1.6,0.117,-0.616,0.138
1547561139211,2019-01-15 15:05:39.210,1.68,0.193,-1.021,0.271
1547561139291,2019-01-15 15:05:39.290,1.76,0.096,-1.177,0.238
1547561139371,2019-01-15 15:05:39.370,1.84,0.015,-1.215,0.08
1547561139451,2019-01-15 15:05:39.450,1.92,0.009,-1.122,0.054
1547561139531,2019-01-15 15:05:39.530,2.0,0.026,-1.081,0.036
1547561139611,2019-01-15 15:05:39.610,2.08,-0.028,-1.072,0.032
1547561139691,2019-01-15 15:05:39.690,2.16,-0.039,-1.18,-0.024
1547561139771,2019-01-15 15:05:39.770,2.24,-0.042,-1.371,-0.021
1547561139851,2019-01-15 15:05:39.850,2.32,-0.048,-1.523,-0.049
1547561139931,2019-01-15 15:05:39.930,2.4,-0.041,-1.507,-0.023
1547561140011,2019-01-15 15:05:40.010,2.48,-0.021,-1.366,-0.012
1547561140091,2019-01-15 15:05:40.090,2.56,0.089,-1.175,0.09
1547561140171,2019-01-15 15:05:40.170,2.64,0.204,-1.021,0.249
1547561140251,2019-01-15 15:05:40.250,2.72,0.068,-0.68,0.17
1547561140331,2019-01-15 15:05:40.330,2.8,0.083,-0.189,0.115
1547561140411,2019-01-15 15:05:40.410,2.88,0.064,-0.117,0.185
1547561140491,2019-01-15 15:05:40.490,2.96,0.12,-0.518,0.172
1547561140571,2019-01-15 15:05:40.570,3.04,0.147,-0.913,0.25
1547561140651,2019-01-15 15:05:40.650,3.12,0.101,-1.136,0.202
1547561140731,2019-01-15 15:05:40.730,3.2,-0.003,-1.212,0.049
1547561140811,2019-01-15 15:05:40.810,3.28,-0.032,-1.198,0.009
1547561140891,2019-01-15 15:05:40.890,3.36,-0.03,-1.166,-0.021
1547561140971,2019-01-15 15:05:40.970,3.44,-0.065,-1.128,-0.03
1547561141051,2019-01-15 15:05:41.050,3.52,-0.042,-1.121,-0.021
1547561141131,2019-01-15 15:05:41.130,3.6,-0.011,-1.229,-0.014
1547561141211,2019-01-15 15:05:41.210,3.68,-0.068,-1.354,-0.021
1547561141291,2019-01-15 15:05:41.290,3.76,-0.052,-1.435,-0.067
1547561141371,2019-01-15 15:05:41.370,3.84,-0.034,-1.374,-0.007
1547561141451,2019-01-15 15:05:41.450,3.92,0.003,-1.265,0.063
1547561141531,2019-01-15 15:05:41.530,4.0,0.09,-1.174,0.104
1547561141611,2019-01-15 15:05:41.610,4.08,0.165,-1.027,0.203
1547561141691,2019-01-15 15:05:41.690,4.16,0.185,-0.843,0.292
1547561141771,2019-01-15 15:05:41.770,4.24,0.133,-0.539,0.121
1547561141851,2019-01-15 15:05:41.850,4.32,0.068,-0.176,0.188
1547561141931,2019-01-15 15:05:41.930,4.4,0.063,-0.27,0.169
1547561142011,2019-01-15 15:05:42.010,4.48,0.19,-0.703,0.257
1547561142091,2019-01-15 15:05:42.090,4.56,0.157,-0.944,0.319
1547561142171,2019-01-15 15:05:42.170,4.64,0.116,-1.136,0.219
1547561142251,2019-01-15 15:05:42.250,4.72,0.101,-1.172,0.135
1547561142331,2019-01-15 15:05:42.330,4.8,0.023,-1.146,0.043
1547561142411,2019-01-15 15:05:42.410,4.88,-0.042,-1.118,0.007
1547561142491,2019-01-15 15:05:42.490,4.96,-0.035,-1.135,-0.01
1547561142571,2019-01-15 15:05:42.570,5.04,-0.026,-1.09,-0.032
1547561142651,2019-01-15 15:05:42.650,5.12,-0.044,-1.151,-0.03
1547561142731,2019-01-15 15:05:42.730,5.2,-0.027,-1.284,-0.06
1547561142811,2019-01-15 15:05:42.810,5.28,-0.04,-1.409,-0.049
1547561142891,2019-01-15 15:05:42.890,5.36,-0.042,-1.396,-0.057
1547561142971,2019-01-15 15:05:42.970,5.44,0.031,-1.337,-0.002
1547561143051,2019-01-15 15:05:43.050,5.52,0.092,-1.238,0.091
1547561143131,2019-01-15 15:05:43.130,5.6,0.154,-1.096,0.152
1547561143211,2019-01-15 15:05:43.210,5.68,0.222,-0.973,0.216
1547561143291,2019-01-15 15:05:43.290,5.76,0.286,-0.91,0.263
1547561143371,2019-01-15 15:05:43.370,5.84,0.219,-0.619,0.177
1547561143451,2019-01-15 15:05:43.450,5.92,0.0,-0.212,0.048
1547561143531,2019-01-15 15:05:43.530,6.0,0.061,-0.191,0.181
1547561143611,2019-01-15 15:05:43.610,6.08,0.162,-0.647,0.274
1547561143691,2019-01-15 15:05:43.690,6.16,0.224,-0.954,0.297
1547561143771,2019-01-15 15:05:43.770,6.24,0.141,-1.12,0.248
1547561143851,2019-01-15 15:05:43.850,6.32,0.094,-1.149,0.148
1547561143931,2019-01-15 15:05:43.930,6.4,0.033,-1.167,0.061
1547561144011,2019-01-15 15:05:44.010,6.48,-0.001,-1.154,0.047
1547561144091,2019-01-15 15:05:44.090,6.56,-0.07,-1.13,-0.046
1547561144171,2019-01-15 15:05:44.170,6.64,-0.049,-1.125,0.021
1547561144251,2019-01-15 15:05:44.250,6.72,-0.056,-1.149,-0.077
1547561144331,2019-01-15 15:05:44.330,6.8,-0.04,-1.259,-0.019
1547561144411,2019-01-15 15:05:44.410,6.88,-0.055,-1.381,-0.081
1547561144491,2019-01-15 15:05:44.490,6.96,-0.044,-1.402,0.004
1547561144571,2019-01-15 15:05:44.570,7.04,-0.022,-1.374,-0.026
1547561144651,2019-01-15 15:05:44.650,7.12,0.023,-1.283,0.054
1547561144731,2019-01-15 15:05:44.730,7.2,0.11,-1.143,0.118
1547561144811,2019-01-15 15:05:44.810,7.28,0.201,-0.956,0.246
1547561144891,2019-01-15 15:05:44.890,7.36,0.191,-0.856,0.291
1547561144971,2019-01-15 15:05:44.970,7.44,0.126,-0.63,0.22
1547561145051,2019-01-15 15:05:45.050,7.52,0.087,-0.322,0.04
1547561145131,2019-01-15 15:05:45.130,7.6,0.107,-0.208,0.27
1547561145211,2019-01-15 15:05:45.210,7.68,0.153,-0.654,0.224
1547561145291,2019-01-15 15:05:45.290,7.76,0.208,-0.971,0.305
1547561145371,2019-01-15 15:05:45.370,7.84,0.178,-1.098,0.269
1547561145451,2019-01-15 15:05:45.450,7.92,0.102,-1.145,0.153
1547561145531,2019-01-15 15:05:45.530,8.0,0.035,-1.134,0.115
1547561145611,2019-01-15 15:05:45.610,8.08,-0.07,-1.182,-0.007
1547561145691,2019-01-15 15:05:45.690,8.16,-0.024,-1.227,0.006
1547561145771,2019-01-15 15:05:45.770,8.24,-0.091,-1.206,-0.013
1547561145851,2019-01-15 15:05:45.850,8.32,-0.054,-1.143,0.01
1547561145931,2019-01-15 15:05:45.930,8.4,-0.062,-1.066,-0.006
1547561146011,2019-01-15 15:05:46.010,8.48,-0.059,-0.995,0.042
1547561146091,2019-01-15 15:05:46.090,8.56,-0.045,-0.988,-0.01
