epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547474930152,2019-01-14T15:08:50.152,0.000,-47.012,-2.073,-13.902
1547474930192,2019-01-14T15:08:50.192,0.040,-46.037,-3.963,-10.000
1547474930232,2019-01-14T15:08:50.232,0.080,-47.195,-5.122,-9.817
1547474930272,2019-01-14T15:08:50.272,0.120,-51.646,-0.183,-10.244
1547474930312,2019-01-14T15:08:50.312,0.160,-49.207,-0.732,-11.463
1547474930352,2019-01-14T15:08:50.352,0.200,-42.561,-5.793,-8.049
1547474930392,2019-01-14T15:08:50.392,0.240,-35.854,-10.549,-9.085
1547474930432,2019-01-14T15:08:50.432,0.280,-32.927,-12.622,-8.902
1547474930472,2019-01-14T15:08:50.472,0.320,-28.720,-7.927,-5.366
1547474930512,2019-01-14T15:08:50.512,0.360,-22.805,-15.305,-6.402
1547474930552,2019-01-14T15:08:50.552,0.400,-18.476,-7.439,-8.232
1547474930592,2019-01-14T15:08:50.592,0.440,-10.488,-7.622,-3.841
1547474930632,2019-01-14T15:08:50.632,0.480,-5.427,-9.573,-2.622
1547474930672,2019-01-14T15:08:50.672,0.520,-1.280,-13.293,-2.622
1547474930712,2019-01-14T15:08:50.712,0.560,-2.500,-5.549,0.366
1547474930752,2019-01-14T15:08:50.752,0.600,1.402,-5.305,1.768
1547474930792,2019-01-14T15:08:50.792,0.640,-0.061,2.256,4.512
1547474930832,2019-01-14T15:08:50.832,0.680,4.207,-5.549,4.268
1547474930872,2019-01-14T15:08:50.872,0.720,5.244,-0.793,4.085
1547474930912,2019-01-14T15:08:50.912,0.760,1.280,2.439,2.927
1547474930952,2019-01-14T15:08:50.952,0.800,7.805,-3.476,4.634
1547474930992,2019-01-14T15:08:50.992,0.840,6.768,4.878,5.488
1547474931032,2019-01-14T15:08:51.032,0.880,5.793,2.317,3.780
1547474931072,2019-01-14T15:08:51.072,0.920,0.183,4.390,7.317
1547474931112,2019-01-14T15:08:51.112,0.960,8.598,-13.354,0.366
1547474931152,2019-01-14T15:08:51.152,1.000,8.232,-6.524,-1.829
1547474931192,2019-01-14T15:08:51.192,1.040,9.939,-8.415,-3.963
1547474931232,2019-01-14T15:08:51.232,1.080,20.732,-8.598,-11.280
1547474931272,2019-01-14T15:08:51.272,1.120,31.829,-13.963,-15.366
1547474931312,2019-01-14T15:08:51.312,1.160,36.220,-27.378,-22.073
1547474931352,2019-01-14T15:08:51.352,1.200,39.817,-48.902,-30.366
1547474931392,2019-01-14T15:08:51.392,1.240,33.476,-50.549,-38.232
1547474931432,2019-01-14T15:08:51.432,1.280,34.085,-40.305,-37.622
1547474931472,2019-01-14T15:08:51.472,1.320,37.805,-38.293,-35.549
1547474931512,2019-01-14T15:08:51.512,1.360,38.232,-23.720,-32.805
1547474931552,2019-01-14T15:08:51.552,1.400,39.939,-22.683,-27.866
1547474931592,2019-01-14T15:08:51.592,1.440,38.110,-24.390,-20.976
1547474931632,2019-01-14T15:08:51.632,1.480,42.134,-22.622,-6.646
1547474931672,2019-01-14T15:08:51.672,1.520,41.829,-29.634,12.195
1547474931712,2019-01-14T15:08:51.712,1.560,30.244,-8.049,19.451
1547474931752,2019-01-14T15:08:51.752,1.600,32.256,3.110,14.390
1547474931792,2019-01-14T15:08:51.792,1.640,21.951,0.000,-4.878
1547474931832,2019-01-14T15:08:51.832,1.680,2.927,13.902,-8.171
1547474931872,2019-01-14T15:08:51.872,1.720,-5.488,26.220,3.110
1547474931912,2019-01-14T15:08:51.912,1.760,-21.951,27.500,12.439
1547474931952,2019-01-14T15:08:51.952,1.800,-32.744,21.951,25.610
1547474931992,2019-01-14T15:08:51.992,1.840,-47.439,20.000,21.707
1547474932032,2019-01-14T15:08:52.032,1.880,-60.915,17.744,23.537
1547474932072,2019-01-14T15:08:52.072,1.920,-60.610,19.817,20.488
1547474932112,2019-01-14T15:08:52.112,1.960,-53.476,14.390,18.963
1547474932152,2019-01-14T15:08:52.152,2.000,-37.683,13.171,24.939
1547474932192,2019-01-14T15:08:52.192,2.040,-27.378,3.110,20.366
1547474932232,2019-01-14T15:08:52.232,2.080,-32.866,3.598,18.537
1547474932272,2019-01-14T15:08:52.272,2.120,-21.890,-2.561,12.622
1547474932312,2019-01-14T15:08:52.312,2.160,-26.220,11.768,8.049
1547474932352,2019-01-14T15:08:52.352,2.200,-17.378,6.159,6.829
1547474932392,2019-01-14T15:08:52.392,2.240,-14.146,4.878,3.049
1547474932432,2019-01-14T15:08:52.432,2.280,-7.866,2.256,2.622
1547474932472,2019-01-14T15:08:52.472,2.320,-7.012,5.854,0.305
1547474932512,2019-01-14T15:08:52.512,2.360,-3.902,-0.061,2.195
1547474932552,2019-01-14T15:08:52.552,2.400,-4.207,6.159,5.610
1547474932592,2019-01-14T15:08:52.592,2.440,-2.378,8.110,3.476
1547474932632,2019-01-14T15:08:52.632,2.480,3.293,7.622,4.695
1547474932672,2019-01-14T15:08:52.672,2.520,11.463,-4.573,4.085
1547474932712,2019-01-14T15:08:52.712,2.560,9.695,3.720,-1.524
1547474932752,2019-01-14T15:08:52.752,2.600,9.878,12.317,-10.671
1547474932792,2019-01-14T15:08:52.792,2.640,17.195,5.976,-21.402
1547474932832,2019-01-14T15:08:52.832,2.680,21.890,-5.976,-23.780
1547474932872,2019-01-14T15:08:52.872,2.720,44.207,-24.024,-29.451
1547474932912,2019-01-14T15:08:52.912,2.760,49.207,-24.390,-30.488
1547474932952,2019-01-14T15:08:52.952,2.800,59.756,-16.646,-33.720
1547474932992,2019-01-14T15:08:52.992,2.840,68.537,-24.024,-34.329
1547474933032,2019-01-14T15:08:53.032,2.880,70.976,-39.634,-28.049
1547474933072,2019-01-14T15:08:53.072,2.920,68.720,-59.390,-32.805
1547474933112,2019-01-14T15:08:53.112,2.960,62.805,-46.463,-38.841
1547474933152,2019-01-14T15:08:53.152,3.000,54.268,-32.866,-34.512
1547474933192,2019-01-14T15:08:53.192,3.040,31.463,-30.000,-24.878
1547474933232,2019-01-14T15:08:53.232,3.080,-5.793,17.561,-5.610
1547474933272,2019-01-14T15:08:53.272,3.120,7.378,36.524,6.951
1547474933312,2019-01-14T15:08:53.312,3.160,47.927,10.610,-10.244
1547474933352,2019-01-14T15:08:53.352,3.200,6.890,70.793,1.037
1547474933392,2019-01-14T15:08:53.392,3.240,-51.707,80.244,10.183
1547474933432,2019-01-14T15:08:53.432,3.280,-29.939,-26.585,43.537
1547474933472,2019-01-14T15:08:53.472,3.320,-22.439,-47.134,68.841
1547474933512,2019-01-14T15:08:53.512,3.360,-40.122,10.061,44.451
1547474933552,2019-01-14T15:08:53.552,3.400,-75.732,16.037,19.878
1547474933592,2019-01-14T15:08:53.592,3.440,-78.537,17.866,19.329
1547474933632,2019-01-14T15:08:53.632,3.480,-65.671,18.171,21.585
1547474933672,2019-01-14T15:08:53.672,3.520,-52.622,6.951,23.537
1547474933712,2019-01-14T15:08:53.712,3.560,-49.573,19.268,12.866
1547474933752,2019-01-14T15:08:53.752,3.600,-37.073,-0.366,18.659
1547474933792,2019-01-14T15:08:53.792,3.640,-39.573,18.598,16.037
1547474933832,2019-01-14T15:08:53.832,3.680,-26.159,2.683,12.866
1547474933872,2019-01-14T15:08:53.872,3.720,-19.390,12.256,16.707
1547474933912,2019-01-14T15:08:53.912,3.760,-8.537,-3.415,12.439
1547474933952,2019-01-14T15:08:53.952,3.800,-9.756,3.963,7.622
1547474933992,2019-01-14T15:08:53.992,3.840,1.768,1.646,3.476
1547474934032,2019-01-14T15:08:54.032,3.880,4.756,4.085,1.341
1547474934072,2019-01-14T15:08:54.072,3.920,10.000,-7.744,1.463
1547474934112,2019-01-14T15:08:54.112,3.960,4.817,5.854,1.707
1547474934152,2019-01-14T15:08:54.152,4.000,9.390,2.561,-5.305
1547474934192,2019-01-14T15:08:54.192,4.040,16.463,10.183,-16.585
1547474934232,2019-01-14T15:08:54.232,4.080,34.268,-12.805,-18.049
1547474934272,2019-01-14T15:08:54.272,4.120,43.720,-32.012,-15.244
1547474934312,2019-01-14T15:08:54.312,4.160,40.305,-45.366,-20.915
1547474934352,2019-01-14T15:08:54.352,4.200,34.573,-56.280,-23.476
1547474934392,2019-01-14T15:08:54.392,4.240,47.317,-43.963,-37.256
1547474934432,2019-01-14T15:08:54.432,4.280,54.634,-38.841,-45.549
1547474934472,2019-01-14T15:08:54.472,4.320,52.622,-20.366,-38.841
1547474934512,2019-01-14T15:08:54.512,4.360,53.963,-19.390,-33.720
1547474934552,2019-01-14T15:08:54.552,4.400,50.976,-19.695,-28.659
1547474934592,2019-01-14T15:08:54.592,4.440,43.171,-17.805,-17.622
1547474934632,2019-01-14T15:08:54.632,4.480,30.854,-25.549,-7.195
1547474934672,2019-01-14T15:08:54.672,4.520,20.793,21.829,20.549
1547474934712,2019-01-14T15:08:54.712,4.560,31.707,9.451,21.402
1547474934752,2019-01-14T15:08:54.752,4.600,35.244,-1.098,6.280
1547474934792,2019-01-14T15:08:54.792,4.640,30.549,6.463,1.646
1547474934832,2019-01-14T15:08:54.832,4.680,13.415,5.000,1.646
1547474934872,2019-01-14T15:08:54.872,4.720,-27.256,27.561,2.866
1547474934912,2019-01-14T15:08:54.912,4.760,-48.537,30.122,9.817
1547474934952,2019-01-14T15:08:54.952,4.800,-61.768,32.317,20.549
1547474934992,2019-01-14T15:08:54.992,4.840,-62.012,25.305,31.463
1547474935032,2019-01-14T15:08:55.032,4.880,-67.805,27.866,33.110
1547474935072,2019-01-14T15:08:55.072,4.920,-69.939,22.866,29.390
1547474935112,2019-01-14T15:08:55.112,4.960,-66.098,14.451,28.476
1547474935152,2019-01-14T15:08:55.152,5.000,-61.585,5.244,28.293
1547474935192,2019-01-14T15:08:55.192,5.040,-64.573,21.341,16.707
1547474935232,2019-01-14T15:08:55.232,5.080,-48.720,5.122,10.427
1547474935272,2019-01-14T15:08:55.272,5.120,-35.549,3.049,16.402
1547474935312,2019-01-14T15:08:55.312,5.160,-26.159,-7.744,15.549
1547474935352,2019-01-14T15:08:55.352,5.200,-20.244,0.976,7.988
1547474935392,2019-01-14T15:08:55.392,5.240,-10.183,4.939,-0.244
1547474935432,2019-01-14T15:08:55.432,5.280,0.122,-14.634,-1.707
1547474935472,2019-01-14T15:08:55.472,5.320,3.720,0.671,1.159
1547474935512,2019-01-14T15:08:55.512,5.360,1.707,8.598,-2.622
1547474935552,2019-01-14T15:08:55.552,5.400,1.829,5.488,-0.305
1547474935592,2019-01-14T15:08:55.592,5.440,7.317,10.366,0.427
