epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547560900180,2019-01-15 15:01:40.179,0.0,-0.037,-0.854,0.271
1547560900260,2019-01-15 15:01:40.259,0.08,-0.046,-0.903,0.217
1547560900340,2019-01-15 15:01:40.339,0.16,-0.039,-0.865,0.131
1547560900420,2019-01-15 15:01:40.419,0.24,0.019,-0.888,0.096
1547560900500,2019-01-15 15:01:40.499,0.32,-0.011,-0.973,0.01
1547560900580,2019-01-15 15:01:40.579,0.4,-0.033,-1.042,-0.015
1547560900660,2019-01-15 15:01:40.659,0.48,-0.017,-1.053,-0.042
1547560900740,2019-01-15 15:01:40.739,0.56,-0.02,-1.04,-0.043
1547560900820,2019-01-15 15:01:40.819,0.64,-0.041,-1.074,-0.04
1547560900900,2019-01-15 15:01:40.899,0.72,-0.018,-1.104,-0.078
1547560900980,2019-01-15 15:01:40.979,0.8,-0.034,-1.118,-0.069
1547560901060,2019-01-15 15:01:41.059,0.88,-0.025,-1.199,-0.078
1547560901140,2019-01-15 15:01:41.139,0.96,-0.065,-1.36,-0.106
1547560901220,2019-01-15 15:01:41.219,1.04,-0.064,-1.471,-0.118
1547560901300,2019-01-15 15:01:41.299,1.12,-0.016,-1.491,-0.093
1547560901380,2019-01-15 15:01:41.379,1.2,0.078,-1.422,-0.095
1547560901460,2019-01-15 15:01:41.459,1.28,0.114,-1.322,0.034
1547560901540,2019-01-15 15:01:41.539,1.36,0.188,-1.124,0.163
1547560901620,2019-01-15 15:01:41.619,1.44,0.23,-0.77,0.18
1547560901700,2019-01-15 15:01:41.699,1.52,0.09,-0.263,0.154
1547560901780,2019-01-15 15:01:41.779,1.6,0.007,-0.029,0.231
1547560901860,2019-01-15 15:01:41.859,1.68,0.145,-0.39,0.124
1547560901940,2019-01-15 15:01:41.939,1.76,0.182,-0.858,0.225
1547560902020,2019-01-15 15:01:42.019,1.84,0.178,-1.079,0.233
1547560902100,2019-01-15 15:01:42.099,1.92,0.106,-1.113,0.12
1547560902180,2019-01-15 15:01:42.179,2.0,0.068,-1.14,0.047
1547560902260,2019-01-15 15:01:42.259,2.08,0.001,-1.123,0.019
1547560902340,2019-01-15 15:01:42.339,2.16,0.008,-1.068,-0.005
1547560902420,2019-01-15 15:01:42.419,2.24,0.002,-1.087,-0.019
1547560902500,2019-01-15 15:01:42.499,2.32,-0.032,-1.251,-0.029
1547560902580,2019-01-15 15:01:42.579,2.4,-0.022,-1.468,-0.066
1547560902660,2019-01-15 15:01:42.659,2.48,-0.032,-1.58,-0.086
1547560902740,2019-01-15 15:01:42.739,2.56,0.053,-1.511,0.006
1547560902820,2019-01-15 15:01:42.819,2.64,0.114,-1.32,0.098
1547560902900,2019-01-15 15:01:42.899,2.72,0.166,-1.014,0.208
1547560902980,2019-01-15 15:01:42.979,2.8,0.125,-0.487,0.151
1547560903060,2019-01-15 15:01:43.059,2.88,-0.0,-0.07,0.22
1547560903140,2019-01-15 15:01:43.139,2.96,0.036,-0.249,0.133
1547560903220,2019-01-15 15:01:43.219,3.04,0.137,-0.701,0.17
1547560903300,2019-01-15 15:01:43.299,3.12,0.119,-0.987,0.214
1547560903380,2019-01-15 15:01:43.379,3.2,0.121,-1.096,0.144
1547560903460,2019-01-15 15:01:43.459,3.28,0.095,-1.127,0.088
1547560903540,2019-01-15 15:01:43.539,3.36,0.004,-1.151,-0.017
1547560903620,2019-01-15 15:01:43.619,3.44,-0.018,-1.158,-0.019
1547560903700,2019-01-15 15:01:43.699,3.52,-0.005,-1.166,-0.081
1547560903780,2019-01-15 15:01:43.779,3.6,-0.024,-1.272,-0.069
1547560903860,2019-01-15 15:01:43.859,3.68,-0.034,-1.416,-0.081
1547560903940,2019-01-15 15:01:43.939,3.76,0.033,-1.471,-0.086
1547560904020,2019-01-15 15:01:44.019,3.84,0.008,-1.421,-0.082
1547560904100,2019-01-15 15:01:44.099,3.92,0.063,-1.347,-0.001
1547560904180,2019-01-15 15:01:44.179,4.0,0.139,-1.156,0.134
1547560904260,2019-01-15 15:01:44.259,4.08,0.196,-0.899,0.243
1547560904340,2019-01-15 15:01:44.339,4.16,0.136,-0.574,0.159
1547560904420,2019-01-15 15:01:44.419,4.24,0.049,-0.133,0.133
1547560904500,2019-01-15 15:01:44.499,4.32,0.014,-0.183,0.165
1547560904580,2019-01-15 15:01:44.579,4.4,0.146,-0.699,0.163
1547560904660,2019-01-15 15:01:44.659,4.48,0.176,-1.079,0.174
1547560904740,2019-01-15 15:01:44.739,4.56,0.108,-1.131,0.147
1547560904820,2019-01-15 15:01:44.819,4.64,0.08,-1.173,0.031
1547560904900,2019-01-15 15:01:44.899,4.72,0.033,-1.138,-0.047
1547560904980,2019-01-15 15:01:44.979,4.8,0.041,-1.138,-0.012
1547560905060,2019-01-15 15:01:45.059,4.88,0.004,-1.192,-0.065
1547560905140,2019-01-15 15:01:45.139,4.96,-0.009,-1.323,-0.082
1547560905220,2019-01-15 15:01:45.219,5.04,0.007,-1.477,-0.051
1547560905300,2019-01-15 15:01:45.299,5.12,0.026,-1.504,-0.069
1547560905380,2019-01-15 15:01:45.379,5.2,0.117,-1.391,0.004
1547560905460,2019-01-15 15:01:45.459,5.28,0.179,-1.233,0.143
1547560905540,2019-01-15 15:01:45.539,5.36,0.242,-1.055,0.189
1547560905620,2019-01-15 15:01:45.619,5.44,0.154,-0.756,0.243
1547560905700,2019-01-15 15:01:45.699,5.52,0.027,-0.314,0.164
1547560905780,2019-01-15 15:01:45.779,5.6,0.012,-0.127,0.144
1547560905860,2019-01-15 15:01:45.859,5.68,0.09,-0.482,0.157
1547560905940,2019-01-15 15:01:45.939,5.76,0.131,-0.88,0.233
1547560906020,2019-01-15 15:01:46.019,5.84,0.16,-1.048,0.236
1547560906100,2019-01-15 15:01:46.099,5.92,0.125,-1.126,0.136
1547560906180,2019-01-15 15:01:46.179,6.0,0.064,-1.125,0.082
1547560906260,2019-01-15 15:01:46.259,6.08,0.057,-1.078,-0.016
1547560906340,2019-01-15 15:01:46.339,6.16,-0.017,-1.124,-0.02
1547560906420,2019-01-15 15:01:46.419,6.24,-0.064,-1.191,-0.073
1547560906500,2019-01-15 15:01:46.499,6.32,-0.037,-1.276,-0.065
1547560906580,2019-01-15 15:01:46.579,6.4,-0.059,-1.416,-0.072
1547560906660,2019-01-15 15:01:46.659,6.48,-0.038,-1.482,-0.103
1547560906740,2019-01-15 15:01:46.739,6.56,0.012,-1.417,-0.047
1547560906820,2019-01-15 15:01:46.819,6.64,0.091,-1.231,0.087
1547560906900,2019-01-15 15:01:46.899,6.72,0.144,-1.137,0.169
1547560906980,2019-01-15 15:01:46.979,6.8,0.168,-0.977,0.219
1547560907060,2019-01-15 15:01:47.059,6.88,0.129,-0.694,0.211
1547560907140,2019-01-15 15:01:47.139,6.96,0.047,-0.255,0.151
1547560907220,2019-01-15 15:01:47.219,7.04,0.043,-0.186,0.16
1547560907300,2019-01-15 15:01:47.299,7.12,0.141,-0.667,0.212
1547560907380,2019-01-15 15:01:47.379,7.2,0.126,-0.966,0.245
1547560907460,2019-01-15 15:01:47.459,7.28,0.11,-1.071,0.175
1547560907540,2019-01-15 15:01:47.539,7.36,0.073,-1.125,0.134
1547560907620,2019-01-15 15:01:47.619,7.44,0.055,-1.149,0.037
1547560907700,2019-01-15 15:01:47.699,7.52,-0.044,-1.15,-0.111
1547560907780,2019-01-15 15:01:47.779,7.6,-0.095,-1.165,-0.094
1547560907860,2019-01-15 15:01:47.859,7.68,-0.063,-1.276,-0.079
1547560907940,2019-01-15 15:01:47.939,7.76,-0.079,-1.441,-0.096
1547560908020,2019-01-15 15:01:48.019,7.84,-0.053,-1.499,-0.042
1547560908100,2019-01-15 15:01:48.099,7.92,-0.002,-1.412,-0.068
1547560908180,2019-01-15 15:01:48.179,8.0,0.076,-1.306,0.105
1547560908260,2019-01-15 15:01:48.259,8.08,0.124,-1.106,0.167
1547560908340,2019-01-15 15:01:48.339,8.16,0.152,-0.822,0.219
1547560908420,2019-01-15 15:01:48.419,8.24,0.059,-0.352,0.145
1547560908500,2019-01-15 15:01:48.499,8.32,0.025,-0.097,0.184
1547560908580,2019-01-15 15:01:48.579,8.4,0.107,-0.402,0.155
1547560908660,2019-01-15 15:01:48.659,8.48,0.134,-0.801,0.266
1547560908740,2019-01-15 15:01:48.739,8.56,0.181,-1.042,0.248
1547560908820,2019-01-15 15:01:48.819,8.64,0.139,-1.117,0.149
1547560908900,2019-01-15 15:01:48.899,8.72,0.035,-1.175,0.08
1547560908980,2019-01-15 15:01:48.979,8.8,-0.068,-1.24,0.068
1547560909060,2019-01-15 15:01:49.059,8.88,0.01,-1.169,0.056
1547560909140,2019-01-15 15:01:49.139,8.96,0.045,-1.067,-0.009
1547560909220,2019-01-15 15:01:49.219,9.04,0.276,-1.098,-0.157
1547560909300,2019-01-15 15:01:49.299,9.12,-0.1,-1.356,0.158
1547560909380,2019-01-15 15:01:49.379,9.2,-0.069,-1.602,0.021
1547560909460,2019-01-15 15:01:49.459,9.28,0.045,-1.527,-0.018
1547560909540,2019-01-15 15:01:49.539,9.36,0.134,-1.375,0.027
1547560909620,2019-01-15 15:01:49.619,9.44,0.179,-1.146,0.147
1547560909700,2019-01-15 15:01:49.699,9.52,0.172,-0.883,0.265
1547560909780,2019-01-15 15:01:49.779,9.6,0.122,-0.46,0.18
1547560909860,2019-01-15 15:01:49.859,9.68,0.056,-0.11,0.143
1547560909940,2019-01-15 15:01:49.939,9.76,0.081,-0.245,0.075
1547560910020,2019-01-15 15:01:50.019,9.84,0.176,-0.713,0.175
1547560910100,2019-01-15 15:01:50.099,9.92,0.133,-1.024,0.259
1547560910180,2019-01-15 15:01:50.179,10.0,0.073,-1.129,0.197
1547560910260,2019-01-15 15:01:50.259,10.08,0.066,-1.154,0.043
1547560910340,2019-01-15 15:01:50.339,10.16,-0.003,-1.116,0.046
1547560910420,2019-01-15 15:01:50.419,10.24,-0.034,-1.163,0.022
1547560910500,2019-01-15 15:01:50.499,10.32,-0.048,-1.203,-0.141
1547560910580,2019-01-15 15:01:50.579,10.4,-0.07,-1.264,-0.077
1547560910660,2019-01-15 15:01:50.659,10.48,-0.043,-1.371,-0.047
1547560910740,2019-01-15 15:01:50.739,10.56,-0.04,-1.5,-0.086
1547560910820,2019-01-15 15:01:50.819,10.64,-0.0,-1.485,-0.007
1547560910900,2019-01-15 15:01:50.899,10.72,0.1,-1.423,0.07
1547560910980,2019-01-15 15:01:50.979,10.8,0.167,-1.219,0.147
1547560911060,2019-01-15 15:01:51.059,10.88,0.257,-0.787,0.237
1547560911140,2019-01-15 15:01:51.139,10.96,0.106,-0.313,0.191
1547560911220,2019-01-15 15:01:51.219,11.04,0.024,0.011,0.122
1547560911300,2019-01-15 15:01:51.299,11.12,0.127,-0.25,0.117
1547560911380,2019-01-15 15:01:51.379,11.2,0.155,-0.732,0.247
1547560911460,2019-01-15 15:01:51.459,11.28,0.191,-1.073,0.243
1547560911540,2019-01-15 15:01:51.539,11.36,0.151,-1.152,0.17
1547560911620,2019-01-15 15:01:51.619,11.44,0.055,-1.203,0.085
1547560911700,2019-01-15 15:01:51.699,11.52,-0.017,-1.194,0.006
1547560911780,2019-01-15 15:01:51.779,11.6,-0.036,-1.182,-0.011
1547560911860,2019-01-15 15:01:51.859,11.68,-0.045,-1.234,-0.077
1547560911940,2019-01-15 15:01:51.939,11.76,-0.067,-1.358,-0.062
1547560912020,2019-01-15 15:01:52.019,11.84,-0.053,-1.485,-0.076
