epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547560899894,2019-01-15 15:01:39.893,0.0,-6.89,-0.305,-3.841
1547560899934,2019-01-15 15:01:39.933,0.04,-7.439,0.122,-4.024
1547560899974,2019-01-15 15:01:39.973,0.08,-10.488,-0.671,-6.768
1547560900014,2019-01-15 15:01:40.013,0.12,-15.488,4.39,-7.256
1547560900054,2019-01-15 15:01:40.053,0.16,-22.927,0.549,-5.488
1547560900094,2019-01-15 15:01:40.093,0.2,-30.183,-6.22,-5.488
1547560900134,2019-01-15 15:01:40.133,0.24,-40.854,-4.146,-6.098
1547560900174,2019-01-15 15:01:40.173,0.28,-49.634,-2.988,-7.5
1547560900214,2019-01-15 15:01:40.213,0.32,-55.366,-11.22,-10.488
1547560900254,2019-01-15 15:01:40.253,0.36,-54.695,-7.439,-14.512
1547560900294,2019-01-15 15:01:40.293,0.4,-58.171,-7.256,-11.646
1547560900334,2019-01-15 15:01:40.333,0.44,-58.72,-12.561,-9.085
1547560900374,2019-01-15 15:01:40.373,0.48,-54.756,-3.11,-3.963
1547560900414,2019-01-15 15:01:40.413,0.52,-47.134,-1.524,2.317
1547560900454,2019-01-15 15:01:40.453,0.56,-35.183,-5.427,2.805
1547560900494,2019-01-15 15:01:40.493,0.6,-31.341,-0.732,-1.22
1547560900534,2019-01-15 15:01:40.533,0.64,-24.39,-0.976,1.585
1547560900574,2019-01-15 15:01:40.573,0.68,-19.146,-6.707,-0.854
1547560900614,2019-01-15 15:01:40.613,0.72,-12.439,-11.707,-1.341
1547560900654,2019-01-15 15:01:40.653,0.76,-7.256,-2.988,1.28
1547560900694,2019-01-15 15:01:40.693,0.8,-2.561,-6.28,4.024
1547560900734,2019-01-15 15:01:40.733,0.84,-1.829,-1.951,2.622
1547560900774,2019-01-15 15:01:40.773,0.88,1.463,-1.89,0.183
1547560900814,2019-01-15 15:01:40.813,0.92,2.256,2.195,2.378
1547560900854,2019-01-15 15:01:40.853,0.96,7.439,3.659,5.915
1547560900894,2019-01-15 15:01:40.893,1.0,8.171,4.268,4.573
1547560900934,2019-01-15 15:01:40.933,1.04,10.366,-3.659,4.39
1547560900974,2019-01-15 15:01:40.973,1.08,10.427,3.354,5.183
1547560901014,2019-01-15 15:01:41.013,1.12,9.756,7.683,4.756
1547560901054,2019-01-15 15:01:41.053,1.16,9.207,0.183,6.524
1547560901094,2019-01-15 15:01:41.093,1.2,11.037,-3.963,1.585
1547560901134,2019-01-15 15:01:41.133,1.24,13.598,-8.354,-4.634
1547560901174,2019-01-15 15:01:41.173,1.28,13.659,-9.817,-9.451
1547560901214,2019-01-15 15:01:41.213,1.32,9.817,-20.488,-13.232
1547560901254,2019-01-15 15:01:41.253,1.36,16.524,-15.061,-28.415
1547560901294,2019-01-15 15:01:41.293,1.4,34.024,-4.939,-39.878
1547560901334,2019-01-15 15:01:41.333,1.44,41.402,-24.451,-28.598
1547560901374,2019-01-15 15:01:41.373,1.48,47.866,-36.402,-32.744
1547560901414,2019-01-15 15:01:41.413,1.52,45.61,-32.866,-44.146
1547560901454,2019-01-15 15:01:41.453,1.56,39.329,-40.915,-43.171
1547560901494,2019-01-15 15:01:41.493,1.6,33.963,-38.354,-45.366
1547560901534,2019-01-15 15:01:41.533,1.64,28.537,-35.061,-29.817
1547560901574,2019-01-15 15:01:41.573,1.68,32.927,-34.268,-9.207
1547560901614,2019-01-15 15:01:41.613,1.72,32.5,-31.707,10.732
1547560901654,2019-01-15 15:01:41.653,1.76,18.72,-10.061,21.22
1547560901694,2019-01-15 15:01:41.693,1.8,11.098,-5.366,2.805
1547560901734,2019-01-15 15:01:41.733,1.84,4.39,-10.0,-12.134
1547560901774,2019-01-15 15:01:41.773,1.88,2.256,-12.805,-8.11
1547560901814,2019-01-15 15:01:41.813,1.92,2.317,18.293,9.268
1547560901854,2019-01-15 15:01:41.853,1.96,-2.378,20.793,19.634
1547560901894,2019-01-15 15:01:41.893,2.0,-22.134,17.195,25.488
1547560901934,2019-01-15 15:01:41.933,2.04,-30.549,16.463,25.122
1547560901974,2019-01-15 15:01:41.973,2.08,-42.622,15.671,28.72
1547560902014,2019-01-15 15:01:42.013,2.12,-44.39,19.817,26.768
1547560902054,2019-01-15 15:01:42.053,2.16,-50.427,8.476,25.61
1547560902094,2019-01-15 15:01:42.093,2.2,-44.817,8.963,27.744
1547560902134,2019-01-15 15:01:42.133,2.24,-37.195,7.378,19.451
1547560902174,2019-01-15 15:01:42.173,2.28,-29.146,9.878,17.439
1547560902214,2019-01-15 15:01:42.213,2.32,-17.378,2.805,10.976
1547560902254,2019-01-15 15:01:42.253,2.36,-14.39,3.11,9.39
1547560902294,2019-01-15 15:01:42.293,2.4,-7.195,7.256,9.756
1547560902334,2019-01-15 15:01:42.333,2.44,-2.378,-2.317,13.841
1547560902374,2019-01-15 15:01:42.373,2.48,0.671,4.085,15.122
1547560902414,2019-01-15 15:01:42.413,2.52,0.244,6.037,10.61
1547560902454,2019-01-15 15:01:42.453,2.56,2.805,12.256,7.195
1547560902494,2019-01-15 15:01:42.493,2.6,8.232,6.402,5.427
1547560902534,2019-01-15 15:01:42.533,2.64,11.463,4.756,-0.244
1547560902574,2019-01-15 15:01:42.573,2.68,17.195,2.134,-5.488
1547560902614,2019-01-15 15:01:42.613,2.72,28.11,-4.512,-16.341
1547560902654,2019-01-15 15:01:42.653,2.76,40.122,-22.195,-19.634
1547560902694,2019-01-15 15:01:42.693,2.8,50.366,-17.439,-26.646
1547560902734,2019-01-15 15:01:42.733,2.84,56.159,-16.098,-38.841
1547560902774,2019-01-15 15:01:42.773,2.88,54.451,-23.232,-41.22
1547560902814,2019-01-15 15:01:42.813,2.92,47.683,-22.683,-37.988
1547560902854,2019-01-15 15:01:42.853,2.96,39.634,-28.659,-26.707
1547560902894,2019-01-15 15:01:42.893,3.0,25.671,-33.841,-11.951
1547560902934,2019-01-15 15:01:42.933,3.04,17.561,-26.951,16.707
1547560902974,2019-01-15 15:01:42.973,3.08,16.341,-15.549,34.085
1547560903014,2019-01-15 15:01:43.013,3.12,4.634,-15.671,17.378
1547560903054,2019-01-15 15:01:43.053,3.16,-10.244,-15.122,-7.561
1547560903094,2019-01-15 15:01:43.093,3.2,-13.659,-6.28,-17.134
1547560903134,2019-01-15 15:01:43.133,3.24,-7.988,14.39,-0.915
1547560903174,2019-01-15 15:01:43.173,3.28,-15.488,14.573,11.707
1547560903214,2019-01-15 15:01:43.213,3.32,-27.317,20.732,15.732
1547560903254,2019-01-15 15:01:43.253,3.36,-33.232,15.732,17.5
1547560903294,2019-01-15 15:01:43.293,3.4,-47.012,15.61,23.11
1547560903334,2019-01-15 15:01:43.333,3.44,-47.561,8.293,23.841
1547560903374,2019-01-15 15:01:43.373,3.48,-48.537,6.402,26.646
1547560903414,2019-01-15 15:01:43.413,3.52,-53.171,18.354,23.354
1547560903454,2019-01-15 15:01:43.453,3.56,-38.963,6.951,29.39
1547560903494,2019-01-15 15:01:43.493,3.6,-34.146,0.305,28.293
1547560903534,2019-01-15 15:01:43.533,3.64,-27.256,-1.159,22.988
1547560903574,2019-01-15 15:01:43.573,3.68,-18.841,5.122,10.427
1547560903614,2019-01-15 15:01:43.613,3.72,-14.085,12.134,0.732
1547560903654,2019-01-15 15:01:43.653,3.76,-0.549,2.195,2.256
1547560903694,2019-01-15 15:01:43.693,3.8,4.695,7.439,2.195
1547560903734,2019-01-15 15:01:43.733,3.84,8.476,5.366,-0.549
1547560903774,2019-01-15 15:01:43.773,3.88,8.232,9.573,-3.963
1547560903814,2019-01-15 15:01:43.813,3.92,7.561,5.915,-9.329
1547560903854,2019-01-15 15:01:43.853,3.96,8.659,4.451,-11.768
1547560903894,2019-01-15 15:01:43.893,4.0,13.841,13.902,-7.805
1547560903934,2019-01-15 15:01:43.933,4.04,22.561,23.11,-13.841
1547560903974,2019-01-15 15:01:43.973,4.08,34.817,5.671,-24.817
1547560904014,2019-01-15 15:01:44.013,4.12,51.89,-6.037,-31.28
1547560904054,2019-01-15 15:01:44.053,4.16,60.427,-13.841,-41.28
1547560904094,2019-01-15 15:01:44.093,4.2,61.341,-25.366,-35.061
1547560904134,2019-01-15 15:01:44.133,4.24,54.268,-35.427,-35.366
1547560904174,2019-01-15 15:01:44.173,4.28,35.488,-26.646,-29.695
1547560904214,2019-01-15 15:01:44.213,4.32,18.476,-12.256,-20.427
1547560904254,2019-01-15 15:01:44.253,4.36,10.427,-27.378,-12.683
1547560904294,2019-01-15 15:01:44.293,4.4,3.049,-27.256,8.476
1547560904334,2019-01-15 15:01:44.333,4.44,2.927,-17.744,25.305
1547560904374,2019-01-15 15:01:44.373,4.48,5.122,-17.805,26.89
1547560904414,2019-01-15 15:01:44.413,4.52,10.0,-17.622,13.963
1547560904454,2019-01-15 15:01:44.453,4.56,-5.366,-9.939,-6.89
1547560904494,2019-01-15 15:01:44.493,4.6,-12.134,7.561,-10.732
1547560904534,2019-01-15 15:01:44.533,4.64,-20.061,11.768,-0.366
1547560904574,2019-01-15 15:01:44.573,4.68,-20.488,6.646,15.0
1547560904614,2019-01-15 15:01:44.613,4.72,-28.415,10.549,27.927
1547560904654,2019-01-15 15:01:44.653,4.76,-37.317,6.829,25.671
1547560904694,2019-01-15 15:01:44.693,4.8,-48.78,9.451,28.537
1547560904734,2019-01-15 15:01:44.733,4.84,-50.976,16.951,21.402
1547560904774,2019-01-15 15:01:44.773,4.88,-36.341,4.39,35.122
1547560904814,2019-01-15 15:01:44.813,4.92,-35.305,4.451,25.488
1547560904854,2019-01-15 15:01:44.853,4.96,-25.183,12.195,14.939
1547560904894,2019-01-15 15:01:44.893,5.0,-11.707,8.537,16.585
1547560904934,2019-01-15 15:01:44.933,5.04,-12.378,0.366,12.256
1547560904974,2019-01-15 15:01:44.973,5.08,-7.683,10.549,11.89
1547560905014,2019-01-15 15:01:45.013,5.12,4.695,2.683,9.695
1547560905054,2019-01-15 15:01:45.053,5.16,7.5,6.524,-2.866
1547560905094,2019-01-15 15:01:45.093,5.2,12.195,7.988,-5.671
1547560905134,2019-01-15 15:01:45.133,5.24,17.073,-1.89,-7.195
1547560905174,2019-01-15 15:01:45.173,5.28,17.744,-4.939,-10.854
1547560905214,2019-01-15 15:01:45.213,5.32,20.976,-7.5,-24.207
1547560905254,2019-01-15 15:01:45.253,5.36,27.256,-4.939,-31.159
1547560905294,2019-01-15 15:01:45.293,5.4,42.012,-18.841,-31.28
1547560905334,2019-01-15 15:01:45.333,5.44,51.402,-17.805,-32.073
1547560905374,2019-01-15 15:01:45.373,5.48,50.671,-16.951,-31.89
1547560905414,2019-01-15 15:01:45.413,5.52,43.78,-18.902,-30.671
