epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547579848312,2019-01-15T20:17:28.312,0.000,0.342,0.533,0.624
1547579848392,2019-01-15T20:17:28.392,0.080,0.372,0.551,0.655
1547579848472,2019-01-15T20:17:28.472,0.160,0.405,0.567,0.711
1547579848552,2019-01-15T20:17:28.552,0.240,0.432,0.595,0.713
1547579848632,2019-01-15T20:17:28.632,0.320,0.408,0.583,0.718
1547579848712,2019-01-15T20:17:28.712,0.400,0.423,0.580,0.724
1547579848792,2019-01-15T20:17:28.792,0.480,0.394,0.576,0.701
1547579848872,2019-01-15T20:17:28.872,0.560,0.435,0.583,0.750
1547579848952,2019-01-15T20:17:28.952,0.640,0.433,0.584,0.741
1547579849032,2019-01-15T20:17:29.032,0.720,0.438,0.574,0.757
1547579849112,2019-01-15T20:17:29.112,0.800,0.423,0.579,0.722
1547579849192,2019-01-15T20:17:29.192,0.880,0.424,0.564,0.754
1547579849272,2019-01-15T20:17:29.272,0.960,0.467,0.622,0.819
1547579849352,2019-01-15T20:17:29.352,1.040,0.496,0.632,0.920
1547579849432,2019-01-15T20:17:29.432,1.120,0.512,0.635,0.974
1547579849512,2019-01-15T20:17:29.512,1.200,0.460,0.591,0.903
1547579849592,2019-01-15T20:17:29.592,1.280,0.487,0.515,0.917
1547579849672,2019-01-15T20:17:29.672,1.360,0.423,0.477,0.856
1547579849752,2019-01-15T20:17:29.752,1.440,0.403,0.455,0.819
1547579849832,2019-01-15T20:17:29.832,1.520,0.391,0.447,0.812
1547579849912,2019-01-15T20:17:29.912,1.600,0.395,0.466,0.835
1547579849992,2019-01-15T20:17:29.992,1.680,0.403,0.496,0.884
1547579850072,2019-01-15T20:17:30.072,1.760,0.457,0.526,0.990
1547579850152,2019-01-15T20:17:30.152,1.840,0.416,0.554,0.895
1547579850232,2019-01-15T20:17:30.232,1.920,0.418,0.534,0.903
1547579850312,2019-01-15T20:17:30.312,2.000,0.284,0.451,0.611
1547579850392,2019-01-15T20:17:30.392,2.080,0.236,0.245,0.461
1547579850472,2019-01-15T20:17:30.472,2.160,0.137,0.145,0.262
1547579850552,2019-01-15T20:17:30.552,2.240,0.280,0.387,0.439
1547579850632,2019-01-15T20:17:30.632,2.320,0.323,0.690,0.645
1547579850712,2019-01-15T20:17:30.712,2.400,0.468,0.763,0.879
1547579850792,2019-01-15T20:17:30.792,2.480,0.478,0.588,0.828
1547579850872,2019-01-15T20:17:30.872,2.560,0.342,0.466,0.568
1547579850952,2019-01-15T20:17:30.952,2.640,0.364,0.563,0.557
1547579851032,2019-01-15T20:17:31.032,2.720,0.428,0.631,0.756
1547579851112,2019-01-15T20:17:31.112,2.800,0.416,0.623,0.718
1547579851192,2019-01-15T20:17:31.192,2.880,0.400,0.578,0.606
1547579851272,2019-01-15T20:17:31.272,2.960,0.394,0.598,0.603
1547579851352,2019-01-15T20:17:31.352,3.040,0.369,0.643,0.538
1547579851432,2019-01-15T20:17:31.432,3.120,0.436,0.576,0.678
1547579851512,2019-01-15T20:17:31.512,3.200,0.314,0.519,0.436
1547579851592,2019-01-15T20:17:31.592,3.280,0.333,0.471,0.465
1547579851672,2019-01-15T20:17:31.672,3.360,0.351,0.504,0.546
1547579851752,2019-01-15T20:17:31.752,3.440,0.402,0.569,0.567
1547579851832,2019-01-15T20:17:31.832,3.520,0.416,0.636,0.586
1547579851912,2019-01-15T20:17:31.912,3.600,0.484,0.644,0.708
1547579851992,2019-01-15T20:17:31.992,3.680,0.450,0.646,0.686
1547579852072,2019-01-15T20:17:32.072,3.760,0.467,0.607,0.730
1547579852152,2019-01-15T20:17:32.152,3.840,0.436,0.584,0.676
