epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547832089247,2019-01-18T18:21:29.247,0.000,2.073,-1.524,-1.159
1547832089287,2019-01-18T18:21:29.287,0.040,1.463,-1.829,-1.037
1547832089327,2019-01-18T18:21:29.327,0.080,-0.061,-1.768,-0.915
1547832089367,2019-01-18T18:21:29.367,0.120,1.707,-1.402,0.061
1547832089407,2019-01-18T18:21:29.407,0.160,2.317,-4.085,1.463
1547832089447,2019-01-18T18:21:29.447,0.200,1.341,-3.354,0.732
1547832089487,2019-01-18T18:21:29.487,0.240,0.000,-0.366,0.671
1547832089527,2019-01-18T18:21:29.527,0.280,-0.061,-0.854,0.061
1547832089567,2019-01-18T18:21:29.567,0.320,0.183,-0.732,0.488
1547832089607,2019-01-18T18:21:29.607,0.360,1.159,-2.805,1.220
1547832089647,2019-01-18T18:21:29.647,0.400,0.854,-1.159,-0.671
1547832089687,2019-01-18T18:21:29.687,0.440,0.915,-1.098,-0.366
1547832089727,2019-01-18T18:21:29.727,0.480,1.159,-3.110,2.012
1547832089767,2019-01-18T18:21:29.767,0.520,1.098,-1.037,0.671
1547832089807,2019-01-18T18:21:29.807,0.560,0.244,-1.890,1.646
1547832089847,2019-01-18T18:21:29.847,0.600,0.976,-2.195,2.500
1547832089887,2019-01-18T18:21:29.887,0.640,0.000,-0.488,1.585
1547832089927,2019-01-18T18:21:29.927,0.680,-0.488,0.732,-0.854
1547832089967,2019-01-18T18:21:29.967,0.720,-0.305,-0.854,-0.061
1547832090007,2019-01-18T18:21:30.007,0.760,0.549,-2.256,1.098
1547832090047,2019-01-18T18:21:30.047,0.800,2.439,-2.561,-0.183
1547832090087,2019-01-18T18:21:30.087,0.840,1.220,-2.927,1.159
1547832090127,2019-01-18T18:21:30.127,0.880,0.854,-1.707,0.427
1547832090167,2019-01-18T18:21:30.167,0.920,0.732,-2.073,0.488
1547832090207,2019-01-18T18:21:30.207,0.960,1.220,-1.646,0.976
1547832090247,2019-01-18T18:21:30.247,1.000,0.122,-1.402,1.098
1547832090287,2019-01-18T18:21:30.287,1.040,-0.915,0.671,0.244
1547832090327,2019-01-18T18:21:30.327,1.080,-0.488,-0.366,0.244
1547832090367,2019-01-18T18:21:30.367,1.120,0.793,-1.585,0.000
1547832090407,2019-01-18T18:21:30.407,1.160,1.159,-2.500,-0.122
1547832090447,2019-01-18T18:21:30.447,1.200,1.280,-1.402,-0.610
1547832090487,2019-01-18T18:21:30.487,1.240,0.610,-1.646,-0.183
1547832090527,2019-01-18T18:21:30.527,1.280,0.854,-2.012,0.244
1547832090567,2019-01-18T18:21:30.567,1.320,0.610,-1.463,-0.061
1547832090607,2019-01-18T18:21:30.607,1.360,0.854,-2.195,0.305
1547832090647,2019-01-18T18:21:30.647,1.400,1.402,-2.683,0.427
1547832090687,2019-01-18T18:21:30.687,1.440,0.793,-2.073,0.061
1547832090727,2019-01-18T18:21:30.727,1.480,1.463,-1.585,-0.915
1547832090767,2019-01-18T18:21:30.767,1.520,2.134,-3.415,-0.122
1547832090807,2019-01-18T18:21:30.807,1.560,1.341,-1.890,-0.732
1547832090847,2019-01-18T18:21:30.847,1.600,0.549,-1.768,-0.366
1547832090887,2019-01-18T18:21:30.887,1.640,0.793,-1.951,0.244
1547832090927,2019-01-18T18:21:30.927,1.680,1.098,-1.280,0.610
1547832090967,2019-01-18T18:21:30.967,1.720,0.000,-0.427,0.061
1547832091007,2019-01-18T18:21:31.007,1.760,1.037,-0.061,-0.793
1547832091047,2019-01-18T18:21:31.047,1.800,2.988,-1.890,-0.244
1547832091087,2019-01-18T18:21:31.087,1.840,4.268,-2.805,-0.549
1547832091127,2019-01-18T18:21:31.127,1.880,6.402,-0.671,-5.244
1547832091167,2019-01-18T18:21:31.167,1.920,10.000,-1.768,-7.866
1547832091207,2019-01-18T18:21:31.207,1.960,12.622,-3.963,-9.329
1547832091247,2019-01-18T18:21:31.247,2.000,16.707,-6.037,-11.037
1547832091287,2019-01-18T18:21:31.287,2.040,19.512,-4.085,-12.622
1547832091327,2019-01-18T18:21:31.327,2.080,22.866,-7.317,-8.902
1547832091367,2019-01-18T18:21:31.367,2.120,22.439,-1.768,-12.927
1547832091407,2019-01-18T18:21:31.407,2.160,22.805,0.671,-19.268
1547832091447,2019-01-18T18:21:31.447,2.200,19.878,-0.793,-16.159
1547832091487,2019-01-18T18:21:31.487,2.240,20.549,0.671,-14.573
1547832091527,2019-01-18T18:21:31.527,2.280,20.427,-3.841,-7.195
1547832091567,2019-01-18T18:21:31.567,2.320,20.488,-3.354,-3.171
1547832091607,2019-01-18T18:21:31.607,2.360,17.866,-8.415,-1.220
1547832091647,2019-01-18T18:21:31.647,2.400,14.695,-3.110,-4.451
1547832091687,2019-01-18T18:21:31.687,2.440,12.744,-8.537,0.488
1547832091727,2019-01-18T18:21:31.727,2.480,10.183,-7.500,2.500
1547832091767,2019-01-18T18:21:31.767,2.520,5.915,-6.463,4.878
1547832091807,2019-01-18T18:21:31.807,2.560,0.366,-6.585,3.902
1547832091847,2019-01-18T18:21:31.847,2.600,-4.573,-7.866,6.280
1547832091887,2019-01-18T18:21:31.887,2.640,-8.598,-8.598,13.293
1547832091927,2019-01-18T18:21:31.927,2.680,-8.354,-11.829,13.659
1547832091967,2019-01-18T18:21:31.967,2.720,-13.841,-8.902,12.378
1547832092007,2019-01-18T18:21:32.007,2.760,-14.512,-12.439,11.890
1547832092047,2019-01-18T18:21:32.047,2.800,-14.512,-14.451,11.707
1547832092087,2019-01-18T18:21:32.087,2.840,-16.646,-9.207,12.195
1547832092127,2019-01-18T18:21:32.127,2.880,-15.366,-7.683,10.854
1547832092167,2019-01-18T18:21:32.167,2.920,-15.915,-9.695,12.805
1547832092207,2019-01-18T18:21:32.207,2.960,-11.524,-9.512,9.512
1547832092247,2019-01-18T18:21:32.247,3.000,-11.402,-4.207,2.317
1547832092287,2019-01-18T18:21:32.287,3.040,-8.841,2.134,-5.366
1547832092327,2019-01-18T18:21:32.327,3.080,-5.183,1.280,-9.146
1547832092367,2019-01-18T18:21:32.367,3.120,1.037,-5.000,-7.012
1547832092407,2019-01-18T18:21:32.407,3.160,4.390,-9.390,-0.671
1547832092447,2019-01-18T18:21:32.447,3.200,7.012,-6.463,0.122
1547832092487,2019-01-18T18:21:32.487,3.240,7.805,0.183,-6.890
1547832092527,2019-01-18T18:21:32.527,3.280,14.207,4.390,-18.720
1547832092567,2019-01-18T18:21:32.567,3.320,20.610,10.732,-23.232
1547832092607,2019-01-18T18:21:32.607,3.360,25.671,9.207,-21.463
1547832092647,2019-01-18T18:21:32.647,3.400,20.000,10.610,-22.866
1547832092687,2019-01-18T18:21:32.687,3.440,10.915,14.695,-23.049
1547832092727,2019-01-18T18:21:32.727,3.480,4.695,10.122,-13.841
1547832092767,2019-01-18T18:21:32.767,3.520,-2.988,9.085,-2.805
1547832092807,2019-01-18T18:21:32.807,3.560,-8.354,0.122,4.634
1547832092847,2019-01-18T18:21:32.847,3.600,-17.988,2.439,14.939
1547832092887,2019-01-18T18:21:32.887,3.640,-30.610,3.902,20.061
1547832092927,2019-01-18T18:21:32.927,3.680,-42.195,8.841,28.232
1547832092967,2019-01-18T18:21:32.967,3.720,-47.195,15.854,35.732
1547832093007,2019-01-18T18:21:33.007,3.760,-45.000,18.476,31.585
1547832093047,2019-01-18T18:21:33.047,3.800,-28.110,13.110,16.951
1547832093087,2019-01-18T18:21:33.087,3.840,-17.744,2.012,15.732
1547832093127,2019-01-18T18:21:33.127,3.880,-8.415,-13.902,14.146
1547832093167,2019-01-18T18:21:33.167,3.920,6.524,-23.598,4.390
1547832093207,2019-01-18T18:21:33.207,3.960,4.085,-6.098,-1.524
1547832093247,2019-01-18T18:21:33.247,4.000,4.573,-0.244,-2.134
1547832093287,2019-01-18T18:21:33.287,4.040,9.024,-6.098,0.610
1547832093327,2019-01-18T18:21:33.327,4.080,6.890,-10.976,4.878
1547832093367,2019-01-18T18:21:33.367,4.120,5.000,-2.439,-2.256
1547832093407,2019-01-18T18:21:33.407,4.160,3.780,-2.134,-1.951
1547832093447,2019-01-18T18:21:33.447,4.200,5.183,-2.683,1.585
1547832093487,2019-01-18T18:21:33.487,4.240,4.756,-7.317,4.024
1547832093527,2019-01-18T18:21:33.527,4.280,-0.732,-0.732,-0.183
1547832093567,2019-01-18T18:21:33.567,4.320,-1.341,4.085,-5.061
1547832093607,2019-01-18T18:21:33.607,4.360,-1.280,3.110,-1.585
1547832093647,2019-01-18T18:21:33.647,4.400,3.659,-1.768,-9.390
1547832093687,2019-01-18T18:21:33.687,4.440,10.061,-1.646,-11.890
1547832093727,2019-01-18T18:21:33.727,4.480,19.146,-3.171,-13.171
1547832093767,2019-01-18T18:21:33.767,4.520,25.427,-5.183,-11.829
1547832093807,2019-01-18T18:21:33.807,4.560,34.207,0.000,-18.232
1547832093847,2019-01-18T18:21:33.847,4.600,32.683,5.610,-12.927
1547832093887,2019-01-18T18:21:33.887,4.640,30.122,3.598,-14.085
1547832093927,2019-01-18T18:21:33.927,4.680,29.329,-1.037,-10.244
1547832093967,2019-01-18T18:21:33.967,4.720,23.963,-3.354,-1.707
1547832094007,2019-01-18T18:21:34.007,4.760,17.073,-5.000,-3.049
1547832094047,2019-01-18T18:21:34.047,4.800,9.512,-4.756,-0.549
1547832094087,2019-01-18T18:21:34.087,4.840,6.098,-6.280,0.427
1547832094127,2019-01-18T18:21:34.127,4.880,2.439,-6.951,3.963
1547832094167,2019-01-18T18:21:34.167,4.920,-4.390,-8.720,2.927
1547832094207,2019-01-18T18:21:34.207,4.960,-10.610,-11.524,3.841
1547832094247,2019-01-18T18:21:34.247,5.000,-21.037,-8.049,2.866
1547832094287,2019-01-18T18:21:34.287,5.040,-14.329,-16.707,17.744
1547832094327,2019-01-18T18:21:34.327,5.080,-11.402,-14.512,22.805
1547832094367,2019-01-18T18:21:34.367,5.120,-13.841,-13.049,16.402
1547832094407,2019-01-18T18:21:34.407,5.160,-21.585,-10.000,15.183
1547832094447,2019-01-18T18:21:34.447,5.200,-18.720,-8.720,15.061
1547832094487,2019-01-18T18:21:34.487,5.240,-11.646,-2.317,2.561
1547832094527,2019-01-18T18:21:34.527,5.280,-1.951,-1.463,-7.073
1547832094567,2019-01-18T18:21:34.567,5.320,5.915,0.305,-3.049
1547832094607,2019-01-18T18:21:34.607,5.360,8.354,-2.317,-3.537
1547832094647,2019-01-18T18:21:34.647,5.400,2.378,-5.671,-3.598
1547832094687,2019-01-18T18:21:34.687,5.440,1.524,-6.829,-3.598
1547832094727,2019-01-18T18:21:34.727,5.480,4.756,-3.049,-5.305
1547832094767,2019-01-18T18:21:34.767,5.520,-0.610,7.073,-11.707
1547832094807,2019-01-18T18:21:34.807,5.560,6.707,7.927,-22.500
1547832094847,2019-01-18T18:21:34.847,5.600,15.732,3.659,-23.963
1547832094887,2019-01-18T18:21:34.887,5.640,18.293,6.890,-22.012
1547832094927,2019-01-18T18:21:34.927,5.680,11.829,10.793,-18.232
1547832094967,2019-01-18T18:21:34.967,5.720,7.683,11.098,-11.280
1547832095007,2019-01-18T18:21:35.007,5.760,-0.244,5.244,-7.073
1547832095047,2019-01-18T18:21:35.047,5.800,-8.354,-0.488,2.073
1547832095087,2019-01-18T18:21:35.087,5.840,-17.439,6.220,9.573
1547832095127,2019-01-18T18:21:35.127,5.880,-24.634,5.549,13.902
1547832095167,2019-01-18T18:21:35.167,5.920,-35.549,5.488,19.756
1547832095207,2019-01-18T18:21:35.207,5.960,-46.585,-7.683,36.402
1547832095247,2019-01-18T18:21:35.247,6.000,-45.976,-22.805,50.610
1547832095287,2019-01-18T18:21:35.287,6.040,-36.890,1.220,28.537
1547832095327,2019-01-18T18:21:35.327,6.080,-20.610,6.890,11.829
1547832095367,2019-01-18T18:21:35.367,6.120,-2.622,-14.878,18.171
1547832095407,2019-01-18T18:21:35.407,6.160,10.732,-7.866,2.683
1547832095447,2019-01-18T18:21:35.447,6.200,16.280,4.451,-17.012
1547832095487,2019-01-18T18:21:35.487,6.240,3.963,0.793,-10.305
1547832095527,2019-01-18T18:21:35.527,6.280,1.402,-2.073,-3.415
1547832095567,2019-01-18T18:21:35.567,6.320,3.537,-5.915,1.951
1547832095607,2019-01-18T18:21:35.607,6.360,1.585,-4.329,-1.280
1547832095647,2019-01-18T18:21:35.647,6.400,-0.549,-0.122,-2.439
1547832095687,2019-01-18T18:21:35.687,6.440,-0.305,-3.963,-0.061
1547832095727,2019-01-18T18:21:35.727,6.480,2.012,-7.317,-5.610
1547832095767,2019-01-18T18:21:35.767,6.520,0.976,-10.610,-4.756
1547832095807,2019-01-18T18:21:35.807,6.560,-0.671,-2.500,-1.280
1547832095847,2019-01-18T18:21:35.847,6.600,5.305,-0.305,-3.720
1547832095887,2019-01-18T18:21:35.887,6.640,11.890,4.207,-5.427
1547832095927,2019-01-18T18:21:35.927,6.680,18.841,9.024,-13.415
1547832095967,2019-01-18T18:21:35.967,6.720,21.463,8.902,-18.841
1547832096007,2019-01-18T18:21:36.007,6.760,27.195,3.171,-20.671
1547832096047,2019-01-18T18:21:36.047,6.800,35.122,-0.976,-21.951
1547832096087,2019-01-18T18:21:36.087,6.840,40.244,-6.951,-18.841
1547832096127,2019-01-18T18:21:36.127,6.880,36.463,-4.390,-5.610
1547832096167,2019-01-18T18:21:36.167,6.920,26.220,-2.439,-4.207
1547832096207,2019-01-18T18:21:36.207,6.960,19.329,-1.463,-11.585
1547832096247,2019-01-18T18:21:36.247,7.000,16.280,-1.280,-7.317
1547832096287,2019-01-18T18:21:36.287,7.040,11.037,-3.841,2.256
1547832096327,2019-01-18T18:21:36.327,7.080,4.695,-6.707,4.207
1547832096367,2019-01-18T18:21:36.367,7.120,2.744,-8.963,13.659
1547832096407,2019-01-18T18:21:36.407,7.160,-6.159,-8.963,16.768
1547832096447,2019-01-18T18:21:36.447,7.200,-4.146,-13.963,19.512
1547832096487,2019-01-18T18:21:36.487,7.240,-8.598,-14.329,18.476
1547832096527,2019-01-18T18:21:36.527,7.280,-11.402,-13.293,17.683
1547832096567,2019-01-18T18:21:36.567,7.320,-6.585,-16.098,20.000
1547832096607,2019-01-18T18:21:36.607,7.360,-11.463,-10.183,20.061
1547832096647,2019-01-18T18:21:36.647,7.400,-5.793,-12.500,4.085
1547832096687,2019-01-18T18:21:36.687,7.440,-1.585,-5.549,-1.951
1547832096727,2019-01-18T18:21:36.727,7.480,2.012,2.866,-1.951
1547832096767,2019-01-18T18:21:36.767,7.520,1.098,2.683,-4.634
1547832096807,2019-01-18T18:21:36.807,7.560,-0.427,-2.195,-4.634
1547832096847,2019-01-18T18:21:36.847,7.600,-0.854,-7.500,-3.659
1547832096887,2019-01-18T18:21:36.887,7.640,4.451,-7.378,-1.280
1547832096927,2019-01-18T18:21:36.927,7.680,5.244,-0.305,-1.402
1547832096967,2019-01-18T18:21:36.967,7.720,7.622,5.488,-7.744
1547832097007,2019-01-18T18:21:37.007,7.760,11.646,8.171,-16.037
1547832097047,2019-01-18T18:21:37.047,7.800,6.829,9.695,-29.329
1547832097087,2019-01-18T18:21:37.087,7.840,4.024,14.634,-29.634
1547832097127,2019-01-18T18:21:37.127,7.880,9.817,13.171,-22.805
1547832097167,2019-01-18T18:21:37.167,7.920,12.927,2.256,-8.963
1547832097207,2019-01-18T18:21:37.207,7.960,0.061,2.866,-8.049
1547832097247,2019-01-18T18:21:37.247,8.000,-17.073,6.707,-5.854
1547832097287,2019-01-18T18:21:37.287,8.040,-25.000,6.098,4.329
1547832097327,2019-01-18T18:21:37.327,8.080,-37.134,6.098,9.024
1547832097367,2019-01-18T18:21:37.367,8.120,-49.939,9.817,18.232
1547832097407,2019-01-18T18:21:37.407,8.160,-58.476,11.159,33.293
1547832097447,2019-01-18T18:21:37.447,8.200,-55.488,10.000,52.622
1547832097487,2019-01-18T18:21:37.487,8.240,-33.720,4.390,47.988
1547832097527,2019-01-18T18:21:37.527,8.280,-14.085,-3.293,12.195
1547832097567,2019-01-18T18:21:37.567,8.320,-11.098,-8.232,2.744
1547832097607,2019-01-18T18:21:37.607,8.360,13.293,-24.512,5.732
1547832097647,2019-01-18T18:21:37.647,8.400,25.976,-17.683,-10.549
1547832097687,2019-01-18T18:21:37.687,8.440,8.232,-2.622,-10.915
1547832097727,2019-01-18T18:21:37.727,8.480,-0.549,4.268,-4.024
1547832097767,2019-01-18T18:21:37.767,8.520,1.402,0.671,-1.341
1547832097807,2019-01-18T18:21:37.807,8.560,-0.305,0.305,1.037
1547832097847,2019-01-18T18:21:37.847,8.600,2.134,0.244,0.854
1547832097887,2019-01-18T18:21:37.887,8.640,3.476,-2.561,1.646
1547832097927,2019-01-18T18:21:37.927,8.680,3.841,-1.463,-0.915
1547832097967,2019-01-18T18:21:37.967,8.720,3.598,-1.098,-0.488
1547832098007,2019-01-18T18:21:38.007,8.760,1.341,1.098,0.976
1547832098047,2019-01-18T18:21:38.047,8.800,3.902,0.549,2.866
1547832098087,2019-01-18T18:21:38.087,8.840,10.305,3.171,-2.744
1547832098127,2019-01-18T18:21:38.127,8.880,14.451,-1.280,-6.037
1547832098167,2019-01-18T18:21:38.167,8.920,15.976,-4.878,-5.305
1547832098207,2019-01-18T18:21:38.207,8.960,17.073,3.902,-18.720
1547832098247,2019-01-18T18:21:38.247,9.000,22.744,1.341,-18.537
1547832098287,2019-01-18T18:21:38.287,9.040,30.061,-1.524,-19.329
1547832098327,2019-01-18T18:21:38.327,9.080,33.232,-1.646,-18.293
1547832098367,2019-01-18T18:21:38.367,9.120,32.866,-1.098,-17.866
1547832098407,2019-01-18T18:21:38.407,9.160,28.232,6.098,-14.390
