epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547832259568,2019-01-18T18:24:19.568,0.000,0.039,0.967,-0.080
1547832259648,2019-01-18T18:24:19.648,0.080,0.035,0.970,-0.079
1547832259728,2019-01-18T18:24:19.728,0.160,0.029,0.968,-0.079
1547832259808,2019-01-18T18:24:19.808,0.240,0.031,0.979,-0.075
1547832259888,2019-01-18T18:24:19.888,0.320,0.035,0.979,-0.072
1547832259968,2019-01-18T18:24:19.968,0.400,0.038,0.970,-0.078
1547832260048,2019-01-18T18:24:20.048,0.480,0.034,0.963,-0.081
1547832260128,2019-01-18T18:24:20.128,0.560,0.034,0.975,-0.084
1547832260208,2019-01-18T18:24:20.208,0.640,0.032,0.985,-0.081
1547832260288,2019-01-18T18:24:20.288,0.720,0.035,0.979,-0.082
1547832260368,2019-01-18T18:24:20.368,0.800,0.038,0.965,-0.085
1547832260448,2019-01-18T18:24:20.448,0.880,0.034,0.958,-0.083
1547832260528,2019-01-18T18:24:20.528,0.960,0.039,0.978,-0.086
1547832260608,2019-01-18T18:24:20.608,1.040,0.037,0.983,-0.081
1547832260688,2019-01-18T18:24:20.688,1.120,0.032,0.971,-0.080
1547832260768,2019-01-18T18:24:20.768,1.200,0.037,0.962,-0.085
1547832260848,2019-01-18T18:24:20.848,1.280,0.038,0.960,-0.083
1547832260928,2019-01-18T18:24:20.928,1.360,0.026,0.977,-0.080
1547832261008,2019-01-18T18:24:21.008,1.440,0.028,0.999,-0.083
1547832261088,2019-01-18T18:24:21.088,1.520,0.030,0.975,-0.079
1547832261168,2019-01-18T18:24:21.168,1.600,0.031,0.950,-0.099
1547832261248,2019-01-18T18:24:21.248,1.680,0.021,0.906,-0.091
1547832261328,2019-01-18T18:24:21.328,1.760,0.020,0.858,-0.135
1547832261408,2019-01-18T18:24:21.408,1.840,-0.002,0.835,-0.143
1547832261488,2019-01-18T18:24:21.488,1.920,-0.016,0.849,-0.171
1547832261568,2019-01-18T18:24:21.568,2.000,-0.032,0.857,-0.195
1547832261648,2019-01-18T18:24:21.648,2.080,-0.059,0.908,-0.208
1547832261728,2019-01-18T18:24:21.728,2.160,-0.083,0.935,-0.253
1547832261808,2019-01-18T18:24:21.808,2.240,-0.081,0.939,-0.253
1547832261888,2019-01-18T18:24:21.888,2.320,-0.085,0.949,-0.244
1547832261968,2019-01-18T18:24:21.968,2.400,-0.080,0.955,-0.223
1547832262048,2019-01-18T18:24:22.048,2.480,-0.075,0.987,-0.195
1547832262128,2019-01-18T18:24:22.128,2.560,-0.042,0.999,-0.184
1547832262208,2019-01-18T18:24:22.208,2.640,-0.052,1.097,-0.097
1547832262288,2019-01-18T18:24:22.288,2.720,-0.073,1.518,-0.080
1547832262368,2019-01-18T18:24:22.368,2.800,-0.062,1.354,-0.110
1547832262448,2019-01-18T18:24:22.448,2.880,-0.074,1.042,-0.128
1547832262528,2019-01-18T18:24:22.528,2.960,-0.080,1.067,-0.225
1547832262608,2019-01-18T18:24:22.608,3.040,-0.082,1.048,-0.259
1547832262688,2019-01-18T18:24:22.688,3.120,-0.094,0.970,-0.226
1547832262768,2019-01-18T18:24:22.768,3.200,-0.084,0.947,-0.224
1547832262848,2019-01-18T18:24:22.848,3.280,-0.074,0.977,-0.195
1547832262928,2019-01-18T18:24:22.928,3.360,-0.050,0.747,-0.120
1547832263008,2019-01-18T18:24:23.008,3.440,0.017,0.480,-0.229
1547832263088,2019-01-18T18:24:23.088,3.520,0.009,0.699,-0.219
1547832263168,2019-01-18T18:24:23.168,3.600,0.021,1.086,-0.208
1547832263248,2019-01-18T18:24:23.248,3.680,0.006,1.018,-0.182
1547832263328,2019-01-18T18:24:23.328,3.760,0.008,0.904,-0.240
1547832263408,2019-01-18T18:24:23.408,3.840,0.026,0.943,-0.170
1547832263488,2019-01-18T18:24:23.488,3.920,0.028,0.896,-0.155
1547832263568,2019-01-18T18:24:23.568,4.000,0.017,0.679,-0.194
1547832263648,2019-01-18T18:24:23.648,4.080,-0.025,0.623,-0.272
1547832263728,2019-01-18T18:24:23.728,4.160,-0.033,0.741,-0.251
1547832263808,2019-01-18T18:24:23.808,4.240,-0.067,0.944,-0.262
1547832263888,2019-01-18T18:24:23.888,4.320,-0.112,1.006,-0.267
1547832263968,2019-01-18T18:24:23.968,4.400,-0.088,1.017,-0.282
1547832264048,2019-01-18T18:24:24.048,4.480,-0.080,1.024,-0.160
1547832264128,2019-01-18T18:24:24.128,4.560,-0.079,1.097,-0.152
1547832264208,2019-01-18T18:24:24.208,4.640,-0.068,1.343,-0.113
1547832264288,2019-01-18T18:24:24.288,4.720,-0.072,1.576,-0.146
1547832264368,2019-01-18T18:24:24.368,4.800,-0.076,1.218,-0.166
1547832264448,2019-01-18T18:24:24.448,4.880,-0.083,1.084,-0.138
1547832264528,2019-01-18T18:24:24.528,4.960,-0.087,1.056,-0.165
1547832264608,2019-01-18T18:24:24.608,5.040,-0.075,0.969,-0.196
1547832264688,2019-01-18T18:24:24.688,5.120,-0.065,0.940,-0.208
1547832264768,2019-01-18T18:24:24.768,5.200,-0.071,0.965,-0.165
1547832264848,2019-01-18T18:24:24.848,5.280,-0.036,0.641,-0.081
1547832264928,2019-01-18T18:24:24.928,5.360,0.017,0.509,-0.214
1547832265008,2019-01-18T18:24:25.008,5.440,0.032,0.782,-0.158
1547832265088,2019-01-18T18:24:25.088,5.520,0.039,1.074,-0.170
1547832265168,2019-01-18T18:24:25.168,5.600,0.020,0.965,-0.161
1547832265248,2019-01-18T18:24:25.248,5.680,-0.005,0.938,-0.165
1547832265328,2019-01-18T18:24:25.328,5.760,-0.007,0.982,-0.135
1547832265408,2019-01-18T18:24:25.408,5.840,-0.010,0.965,-0.141
1547832265488,2019-01-18T18:24:25.488,5.920,-0.021,0.866,-0.133
1547832265568,2019-01-18T18:24:25.568,6.000,-0.018,0.763,-0.169
1547832265648,2019-01-18T18:24:25.648,6.080,-0.026,0.741,-0.203
1547832265728,2019-01-18T18:24:25.728,6.160,-0.050,0.818,-0.255
1547832265808,2019-01-18T18:24:25.808,6.240,-0.069,0.865,-0.243
1547832265888,2019-01-18T18:24:25.888,6.320,-0.098,0.898,-0.218
1547832265968,2019-01-18T18:24:25.968,6.400,-0.077,0.950,-0.217
1547832266048,2019-01-18T18:24:26.048,6.480,-0.057,0.993,-0.243
1547832266128,2019-01-18T18:24:26.128,6.560,-0.034,1.022,-0.195
1547832266208,2019-01-18T18:24:26.208,6.640,-0.046,1.075,-0.142
1547832266288,2019-01-18T18:24:26.288,6.720,-0.043,1.499,-0.199
1547832266368,2019-01-18T18:24:26.368,6.800,-0.057,1.596,-0.197
1547832266448,2019-01-18T18:24:26.448,6.880,-0.064,1.131,-0.130
1547832266528,2019-01-18T18:24:26.528,6.960,-0.066,1.044,-0.189
1547832266608,2019-01-18T18:24:26.608,7.040,-0.084,1.004,-0.193
