epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547832788086,2019-01-18T18:33:08.086,0.000,1.646,-0.671,4.329
1547832788126,2019-01-18T18:33:08.126,0.040,1.646,-1.951,4.207
1547832788166,2019-01-18T18:33:08.166,0.080,1.402,0.732,1.890
1547832788206,2019-01-18T18:33:08.206,0.120,2.195,0.183,0.549
1547832788246,2019-01-18T18:33:08.246,0.160,4.390,-5.427,1.829
1547832788286,2019-01-18T18:33:08.286,0.200,-2.134,1.768,-0.122
1547832788326,2019-01-18T18:33:08.326,0.240,3.902,-6.402,-2.256
1547832788366,2019-01-18T18:33:08.366,0.280,0.549,-2.683,0.793
1547832788406,2019-01-18T18:33:08.406,0.320,-2.988,3.537,0.122
1547832788446,2019-01-18T18:33:08.446,0.360,-0.793,0.427,-0.244
1547832788486,2019-01-18T18:33:08.486,0.400,0.122,-3.354,0.000
1547832788526,2019-01-18T18:33:08.526,0.440,-1.037,0.488,-3.415
1547832788566,2019-01-18T18:33:08.566,0.480,-2.195,1.585,-1.951
1547832788606,2019-01-18T18:33:08.606,0.520,1.768,0.732,-2.195
1547832788646,2019-01-18T18:33:08.646,0.560,1.829,2.683,-2.134
1547832788686,2019-01-18T18:33:08.686,0.600,2.073,-2.866,-0.427
1547832788726,2019-01-18T18:33:08.726,0.640,-1.768,-0.976,0.610
1547832788766,2019-01-18T18:33:08.766,0.680,-1.829,-0.244,-0.183
1547832788806,2019-01-18T18:33:08.806,0.720,-1.646,-7.866,1.463
1547832788846,2019-01-18T18:33:08.846,0.760,-0.915,-7.012,4.024
1547832788886,2019-01-18T18:33:08.886,0.800,1.341,-3.537,2.317
1547832788926,2019-01-18T18:33:08.926,0.840,3.354,-2.439,2.500
1547832788966,2019-01-18T18:33:08.966,0.880,4.024,-3.293,0.549
1547832789006,2019-01-18T18:33:09.006,0.920,1.524,-1.890,1.585
1547832789046,2019-01-18T18:33:09.046,0.960,2.805,-0.427,1.159
1547832789086,2019-01-18T18:33:09.086,1.000,1.341,-1.890,0.915
1547832789126,2019-01-18T18:33:09.126,1.040,2.317,-4.695,2.805
1547832789166,2019-01-18T18:33:09.166,1.080,1.829,-2.317,3.476
1547832789206,2019-01-18T18:33:09.206,1.120,0.000,0.488,0.671
1547832789246,2019-01-18T18:33:09.246,1.160,1.220,-3.537,2.317
1547832789286,2019-01-18T18:33:09.286,1.200,1.341,-4.207,3.415
1547832789326,2019-01-18T18:33:09.326,1.240,1.037,-1.098,1.220
1547832789366,2019-01-18T18:33:09.366,1.280,3.110,-2.622,0.427
1547832789406,2019-01-18T18:33:09.406,1.320,2.744,1.646,-0.366
1547832789446,2019-01-18T18:33:09.446,1.360,-3.171,13.537,1.280
1547832789486,2019-01-18T18:33:09.486,1.400,-1.524,13.902,2.195
1547832789526,2019-01-18T18:33:09.526,1.440,6.159,-2.805,0.122
1547832789566,2019-01-18T18:33:09.566,1.480,3.415,-4.756,0.122
1547832789606,2019-01-18T18:33:09.606,1.520,0.427,8.171,2.561
1547832789646,2019-01-18T18:33:09.646,1.560,7.744,7.561,3.110
1547832789686,2019-01-18T18:33:09.686,1.600,14.390,0.610,0.061
1547832789726,2019-01-18T18:33:09.726,1.640,24.817,-11.768,-9.451
1547832789766,2019-01-18T18:33:09.766,1.680,31.951,-24.878,-7.500
1547832789806,2019-01-18T18:33:09.806,1.720,39.329,-30.122,-15.610
1547832789846,2019-01-18T18:33:09.846,1.760,41.890,-20.061,-20.366
1547832789886,2019-01-18T18:33:09.886,1.800,46.037,-19.329,-21.524
1547832789926,2019-01-18T18:33:09.926,1.840,44.268,-20.122,-22.256
1547832789966,2019-01-18T18:33:09.966,1.880,39.268,-11.768,-21.037
1547832790006,2019-01-18T18:33:10.006,1.920,37.256,-10.244,-14.085
1547832790046,2019-01-18T18:33:10.046,1.960,28.354,-8.110,-7.256
1547832790086,2019-01-18T18:33:10.086,2.000,16.768,-2.683,-4.573
1547832790126,2019-01-18T18:33:10.126,2.040,7.256,2.134,-2.195
1547832790166,2019-01-18T18:33:10.166,2.080,2.317,-3.963,9.085
1547832790206,2019-01-18T18:33:10.206,2.120,-4.146,-14.512,18.171
