epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547832892981,2019-01-18T18:34:52.981,0.000,0.011,-1.020,-0.068
1547832893061,2019-01-18T18:34:53.061,0.080,0.008,-1.039,-0.059
1547832893141,2019-01-18T18:34:53.141,0.160,-0.001,-1.030,-0.060
1547832893221,2019-01-18T18:34:53.221,0.240,0.008,-1.022,-0.052
1547832893301,2019-01-18T18:34:53.301,0.320,0.002,-1.024,-0.043
1547832893381,2019-01-18T18:34:53.381,0.400,-0.004,-1.021,-0.049
1547832893461,2019-01-18T18:34:53.461,0.480,-0.000,-1.035,-0.074
1547832893541,2019-01-18T18:34:53.541,0.560,0.017,-1.060,-0.075
1547832893621,2019-01-18T18:34:53.621,0.640,-0.010,-1.014,-0.066
1547832893701,2019-01-18T18:34:53.701,0.720,-0.007,-1.054,-0.072
1547832893781,2019-01-18T18:34:53.781,0.800,-0.004,-1.048,-0.055
1547832893861,2019-01-18T18:34:53.861,0.880,-0.004,-1.005,-0.037
1547832893941,2019-01-18T18:34:53.941,0.960,-0.008,-1.022,-0.082
1547832894021,2019-01-18T18:34:54.021,1.040,-0.002,-0.982,-0.051
1547832894101,2019-01-18T18:34:54.101,1.120,0.011,-0.962,-0.030
1547832894181,2019-01-18T18:34:54.181,1.200,0.000,-1.005,-0.039
1547832894261,2019-01-18T18:34:54.261,1.280,-0.000,-1.049,-0.068
1547832894341,2019-01-18T18:34:54.341,1.360,0.000,-1.090,-0.083
1547832894421,2019-01-18T18:34:54.421,1.440,-0.027,-1.166,-0.110
1547832894501,2019-01-18T18:34:54.501,1.520,-0.029,-1.301,-0.103
1547832894581,2019-01-18T18:34:54.581,1.600,0.007,-1.409,-0.041
1547832894661,2019-01-18T18:34:54.661,1.680,0.054,-1.354,0.014
1547832894741,2019-01-18T18:34:54.741,1.760,0.111,-1.228,0.127
1547832894821,2019-01-18T18:34:54.821,1.840,0.124,-1.032,0.170
1547832894901,2019-01-18T18:34:54.901,1.920,0.117,-0.807,0.152
1547832894981,2019-01-18T18:34:54.981,2.000,0.028,-0.514,0.186
1547832895061,2019-01-18T18:34:55.061,2.080,-0.023,-0.257,0.205
1547832895141,2019-01-18T18:34:55.141,2.160,0.040,-0.417,0.194
1547832895221,2019-01-18T18:34:55.221,2.240,0.088,-0.772,0.125
1547832895301,2019-01-18T18:34:55.301,2.320,0.154,-1.059,0.137
1547832895381,2019-01-18T18:34:55.381,2.400,0.101,-1.150,0.101
1547832895461,2019-01-18T18:34:55.461,2.480,0.079,-1.159,-0.005
1547832895541,2019-01-18T18:34:55.541,2.560,0.050,-1.194,0.007
1547832895621,2019-01-18T18:34:55.621,2.640,0.027,-1.254,-0.086
1547832895701,2019-01-18T18:34:55.701,2.720,0.001,-1.266,-0.078
1547832895781,2019-01-18T18:34:55.781,2.800,-0.016,-1.110,-0.131
1547832895861,2019-01-18T18:34:55.861,2.880,0.002,-1.010,-0.034
1547832895941,2019-01-18T18:34:55.941,2.960,-0.008,-0.943,-0.022
1547832896021,2019-01-18T18:34:56.021,3.040,-0.025,-0.975,-0.033
1547832896101,2019-01-18T18:34:56.101,3.120,0.014,-1.054,-0.051
1547832896181,2019-01-18T18:34:56.181,3.200,-0.015,-1.140,-0.084
1547832896261,2019-01-18T18:34:56.261,3.280,-0.032,-1.243,-0.069
1547832896341,2019-01-18T18:34:56.341,3.360,-0.018,-1.304,-0.120
1547832896421,2019-01-18T18:34:56.421,3.440,-0.003,-1.357,-0.070
1547832896501,2019-01-18T18:34:56.501,3.520,0.076,-1.315,0.036
1547832896581,2019-01-18T18:34:56.581,3.600,0.137,-1.175,0.075
1547832896661,2019-01-18T18:34:56.661,3.680,0.109,-0.943,0.163
1547832896741,2019-01-18T18:34:56.741,3.760,0.062,-0.705,0.184
1547832896821,2019-01-18T18:34:56.821,3.840,-0.010,-0.335,0.161
1547832896901,2019-01-18T18:34:56.901,3.920,0.037,-0.315,0.302
1547832896981,2019-01-18T18:34:56.981,4.000,0.063,-0.617,0.077
1547832897061,2019-01-18T18:34:57.061,4.080,0.085,-0.957,0.102
1547832897141,2019-01-18T18:34:57.141,4.160,0.056,-1.058,0.116
1547832897221,2019-01-18T18:34:57.221,4.240,0.055,-1.134,0.068
1547832897301,2019-01-18T18:34:57.301,4.320,0.046,-1.200,0.008
1547832897381,2019-01-18T18:34:57.381,4.400,0.015,-1.225,0.003
1547832897461,2019-01-18T18:34:57.461,4.480,-0.021,-1.302,-0.129
1547832897541,2019-01-18T18:34:57.541,4.560,-0.057,-1.247,-0.100
1547832897621,2019-01-18T18:34:57.621,4.640,-0.028,-1.102,-0.056
1547832897701,2019-01-18T18:34:57.701,4.720,-0.019,-0.987,-0.046
1547832897781,2019-01-18T18:34:57.781,4.800,-0.016,-0.914,-0.022
1547832897861,2019-01-18T18:34:57.861,4.880,-0.020,-0.928,0.000
1547832897941,2019-01-18T18:34:57.941,4.960,-0.026,-1.021,-0.036
1547832898021,2019-01-18T18:34:58.021,5.040,-0.028,-1.110,-0.090
1547832898101,2019-01-18T18:34:58.101,5.120,-0.036,-1.217,-0.003
1547832898181,2019-01-18T18:34:58.181,5.200,-0.061,-1.354,-0.123
1547832898261,2019-01-18T18:34:58.261,5.280,-0.027,-1.379,-0.027
1547832898341,2019-01-18T18:34:58.341,5.360,0.063,-1.288,0.027
1547832898421,2019-01-18T18:34:58.421,5.440,0.116,-1.169,0.134
1547832898501,2019-01-18T18:34:58.501,5.520,0.120,-1.020,0.185
1547832898581,2019-01-18T18:34:58.581,5.600,0.063,-0.826,0.193
1547832898661,2019-01-18T18:34:58.661,5.680,0.025,-0.458,0.128
1547832898741,2019-01-18T18:34:58.741,5.760,-0.004,-0.296,0.242
1547832898821,2019-01-18T18:34:58.821,5.840,0.042,-0.499,0.148
1547832898901,2019-01-18T18:34:58.901,5.920,0.101,-0.839,0.127
1547832898981,2019-01-18T18:34:58.981,6.000,0.089,-1.020,0.207
1547832899061,2019-01-18T18:34:59.061,6.080,0.152,-1.125,0.085
1547832899141,2019-01-18T18:34:59.141,6.160,0.067,-1.189,0.017
1547832899221,2019-01-18T18:34:59.221,6.240,0.040,-1.275,-0.082
1547832899301,2019-01-18T18:34:59.301,6.320,-0.012,-1.330,-0.097
1547832899381,2019-01-18T18:34:59.381,6.400,-0.015,-1.235,-0.118
1547832899461,2019-01-18T18:34:59.461,6.480,-0.009,-1.084,-0.025
1547832899541,2019-01-18T18:34:59.541,6.560,0.000,-0.961,-0.045
1547832899621,2019-01-18T18:34:59.621,6.640,-0.008,-0.917,-0.029
1547832899701,2019-01-18T18:34:59.701,6.720,-0.006,-0.958,-0.048
1547832899781,2019-01-18T18:34:59.781,6.800,-0.004,-1.017,-0.063
1547832899861,2019-01-18T18:34:59.861,6.880,-0.001,-1.069,-0.076
1547832899941,2019-01-18T18:34:59.941,6.960,-0.062,-1.209,-0.107
1547832900021,2019-01-18T18:35:00.021,7.040,-0.061,-1.350,-0.117
1547832900101,2019-01-18T18:35:00.101,7.120,0.012,-1.434,-0.095
1547832900181,2019-01-18T18:35:00.181,7.200,0.076,-1.317,0.004
1547832900261,2019-01-18T18:35:00.261,7.280,0.132,-1.185,0.092
