epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547831031268,2019-01-18T18:03:51.268,0.000,-3.476,-0.549,3.171
1547831031308,2019-01-18T18:03:51.308,0.040,-3.598,-1.220,2.866
1547831031348,2019-01-18T18:03:51.348,0.080,-3.293,-1.951,2.561
1547831031388,2019-01-18T18:03:51.388,0.120,-2.744,-0.305,1.585
1547831031428,2019-01-18T18:03:51.428,0.160,-1.220,-1.463,0.854
1547831031468,2019-01-18T18:03:51.468,0.200,0.305,-2.012,-0.122
1547831031508,2019-01-18T18:03:51.508,0.240,-0.671,-1.524,0.549
1547831031548,2019-01-18T18:03:51.548,0.280,0.854,-2.317,1.098
1547831031588,2019-01-18T18:03:51.588,0.320,1.646,-2.988,0.671
1547831031628,2019-01-18T18:03:51.628,0.360,2.195,-3.720,0.793
1547831031668,2019-01-18T18:03:51.668,0.400,3.476,-3.049,0.427
1547831031708,2019-01-18T18:03:51.708,0.440,1.890,-2.927,2.622
1547831031748,2019-01-18T18:03:51.748,0.480,0.732,-2.256,1.890
1547831031788,2019-01-18T18:03:51.788,0.520,5.122,-3.232,1.037
1547831031828,2019-01-18T18:03:51.828,0.560,11.402,-4.512,-1.402
1547831031868,2019-01-18T18:03:51.868,0.600,11.341,-4.268,-0.732
1547831031908,2019-01-18T18:03:51.908,0.640,7.805,-3.902,0.854
1547831031948,2019-01-18T18:03:51.948,0.680,7.317,-2.500,-0.183
1547831031988,2019-01-18T18:03:51.988,0.720,8.476,-3.780,-0.671
1547831032028,2019-01-18T18:03:52.028,0.760,4.268,-2.073,0.000
1547831032068,2019-01-18T18:03:52.068,0.800,-4.207,1.524,3.171
1547831032108,2019-01-18T18:03:52.108,0.840,-12.561,5.244,3.902
1547831032148,2019-01-18T18:03:52.148,0.880,-9.573,3.110,0.366
1547831032188,2019-01-18T18:03:52.188,0.920,-0.366,-2.195,0.671
1547831032228,2019-01-18T18:03:52.228,0.960,1.037,-4.817,0.610
1547831032268,2019-01-18T18:03:52.268,1.000,-1.524,-2.744,0.183
1547831032308,2019-01-18T18:03:52.308,1.040,2.805,-5.366,-0.854
1547831032348,2019-01-18T18:03:52.348,1.080,1.341,-2.317,-5.061
1547831032388,2019-01-18T18:03:52.388,1.120,-4.329,-1.037,-6.585
1547831032428,2019-01-18T18:03:52.428,1.160,-10.488,-1.829,-2.805
1547831032468,2019-01-18T18:03:52.468,1.200,-9.085,2.256,-0.122
1547831032508,2019-01-18T18:03:52.508,1.240,-9.207,5.488,-2.988
1547831032548,2019-01-18T18:03:52.548,1.280,-15.610,6.585,2.012
1547831032588,2019-01-18T18:03:52.588,1.320,-10.671,2.134,0.854
1547831032628,2019-01-18T18:03:52.628,1.360,-6.585,0.061,-1.402
1547831032668,2019-01-18T18:03:52.668,1.400,-6.037,-0.976,1.037
1547831032708,2019-01-18T18:03:52.708,1.440,-6.707,9.268,-1.159
1547831032748,2019-01-18T18:03:52.748,1.480,-6.829,4.268,-2.988
1547831032788,2019-01-18T18:03:52.788,1.520,-9.329,-0.732,-5.488
1547831032828,2019-01-18T18:03:52.828,1.560,-7.744,-0.854,-5.488
1547831032868,2019-01-18T18:03:52.868,1.600,-3.171,-3.537,-1.402
1547831032908,2019-01-18T18:03:52.908,1.640,5.183,-6.524,-2.134
1547831032948,2019-01-18T18:03:52.948,1.680,5.671,-6.707,-3.110
1547831032988,2019-01-18T18:03:52.988,1.720,-0.305,-6.707,-3.902
1547831033028,2019-01-18T18:03:53.028,1.760,-3.963,-1.037,-2.378
1547831033068,2019-01-18T18:03:53.068,1.800,-6.951,-0.854,0.061
1547831033108,2019-01-18T18:03:53.108,1.840,-5.671,-4.146,1.463
1547831033148,2019-01-18T18:03:53.148,1.880,-0.122,-9.939,0.854
1547831033188,2019-01-18T18:03:53.188,1.920,-2.866,-5.793,-0.061
1547831033228,2019-01-18T18:03:53.228,1.960,-4.573,-0.915,0.305
1547831033268,2019-01-18T18:03:53.268,2.000,-7.256,4.573,-1.037
1547831033308,2019-01-18T18:03:53.308,2.040,-5.488,4.878,-3.902
1547831033348,2019-01-18T18:03:53.348,2.080,-0.915,-1.707,-0.915
1547831033388,2019-01-18T18:03:53.388,2.120,7.012,-3.780,-0.915
1547831033428,2019-01-18T18:03:53.428,2.160,15.549,-6.098,-1.341
1547831033468,2019-01-18T18:03:53.468,2.200,18.841,-7.073,-1.768
1547831033508,2019-01-18T18:03:53.508,2.240,15.183,2.744,-3.110
1547831033548,2019-01-18T18:03:53.548,2.280,10.183,-0.732,-2.317
1547831033588,2019-01-18T18:03:53.588,2.320,4.268,-0.976,1.585
1547831033628,2019-01-18T18:03:53.628,2.360,2.012,-5.488,1.524
1547831033668,2019-01-18T18:03:53.668,2.400,-4.634,-4.573,3.902
1547831033708,2019-01-18T18:03:53.708,2.440,-11.646,1.463,3.293
1547831033748,2019-01-18T18:03:53.748,2.480,-6.159,0.854,0.976
1547831033788,2019-01-18T18:03:53.788,2.520,7.988,-3.354,-1.524
1547831033828,2019-01-18T18:03:53.828,2.560,14.329,-0.549,-2.805
