epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547830301104,2019-01-18T17:51:41.104,0.000,-0.976,-2.256,2.378
1547830301144,2019-01-18T17:51:41.144,0.040,-0.488,-2.683,2.378
1547830301184,2019-01-18T17:51:41.184,0.080,1.646,-2.256,0.732
1547830301224,2019-01-18T17:51:41.224,0.120,1.646,-2.683,1.341
1547830301264,2019-01-18T17:51:41.264,0.160,0.671,-2.134,1.220
1547830301304,2019-01-18T17:51:41.304,0.200,-0.671,-1.220,0.610
1547830301344,2019-01-18T17:51:41.344,0.240,-2.683,-0.122,0.976
1547830301384,2019-01-18T17:51:41.384,0.280,-2.317,-0.122,0.793
1547830301424,2019-01-18T17:51:41.424,0.320,-4.451,-0.183,0.427
1547830301464,2019-01-18T17:51:41.464,0.360,-3.780,0.488,0.732
1547830301504,2019-01-18T17:51:41.504,0.400,1.098,-0.854,-0.061
1547830301544,2019-01-18T17:51:41.544,0.440,2.805,-1.524,0.244
1547830301584,2019-01-18T17:51:41.584,0.480,-0.488,-0.793,1.220
1547830301624,2019-01-18T17:51:41.624,0.520,-2.195,-1.037,1.707
1547830301664,2019-01-18T17:51:41.664,0.560,0.427,-1.341,0.366
1547830301704,2019-01-18T17:51:41.704,0.600,2.256,-2.073,0.366
1547830301744,2019-01-18T17:51:41.744,0.640,1.585,-0.732,0.305
1547830301784,2019-01-18T17:51:41.784,0.680,2.134,-1.280,0.244
1547830301824,2019-01-18T17:51:41.824,0.720,2.805,-0.976,1.220
1547830301864,2019-01-18T17:51:41.864,0.760,4.268,-1.951,1.768
1547830301904,2019-01-18T17:51:41.904,0.800,3.476,-1.280,0.549
1547830301944,2019-01-18T17:51:41.944,0.840,2.500,-1.098,2.195
1547830301984,2019-01-18T17:51:41.984,0.880,-1.341,-0.854,4.024
1547830302024,2019-01-18T17:51:42.024,0.920,-5.183,1.341,1.463
1547830302064,2019-01-18T17:51:42.064,0.960,0.122,0.610,-1.829
1547830302104,2019-01-18T17:51:42.104,1.000,3.293,-1.159,-1.829
1547830302144,2019-01-18T17:51:42.144,1.040,2.317,-1.585,1.707
1547830302184,2019-01-18T17:51:42.184,1.080,2.317,-2.866,2.927
1547830302224,2019-01-18T17:51:42.224,1.120,3.293,-2.622,1.585
1547830302264,2019-01-18T17:51:42.264,1.160,3.171,-1.341,-0.488
1547830302304,2019-01-18T17:51:42.304,1.200,-0.427,-1.707,-0.244
1547830302344,2019-01-18T17:51:42.344,1.240,-3.659,0.061,0.976
1547830302384,2019-01-18T17:51:42.384,1.280,-0.732,-0.793,0.793
1547830302424,2019-01-18T17:51:42.424,1.320,4.268,-2.561,0.610
1547830302464,2019-01-18T17:51:42.464,1.360,4.817,-2.439,0.244
1547830302504,2019-01-18T17:51:42.504,1.400,5.305,-2.744,0.793
1547830302544,2019-01-18T17:51:42.544,1.440,4.634,-2.561,1.463
1547830302584,2019-01-18T17:51:42.584,1.480,4.817,-2.988,0.366
1547830302624,2019-01-18T17:51:42.624,1.520,3.537,-2.378,0.122
1547830302664,2019-01-18T17:51:42.664,1.560,0.366,-1.646,-0.122
1547830302704,2019-01-18T17:51:42.704,1.600,0.427,-1.707,-1.402
1547830302744,2019-01-18T17:51:42.744,1.640,0.610,-1.463,-1.037
1547830302784,2019-01-18T17:51:42.784,1.680,2.561,-2.073,-0.610
1547830302824,2019-01-18T17:51:42.824,1.720,3.841,-2.683,-0.732
1547830302864,2019-01-18T17:51:42.864,1.760,1.524,-1.829,-0.427
1547830302904,2019-01-18T17:51:42.904,1.800,0.427,-1.646,-0.488
1547830302944,2019-01-18T17:51:42.944,1.840,1.768,-2.561,-0.732
1547830302984,2019-01-18T17:51:42.984,1.880,4.634,-3.049,-0.976
1547830303024,2019-01-18T17:51:43.024,1.920,5.732,-3.659,-1.098
1547830303064,2019-01-18T17:51:43.064,1.960,4.146,-3.171,-0.854
1547830303104,2019-01-18T17:51:43.104,2.000,3.659,-3.354,0.976
1547830303144,2019-01-18T17:51:43.144,2.040,5.549,-2.500,0.793
1547830303184,2019-01-18T17:51:43.184,2.080,5.549,-3.415,-0.061
1547830303224,2019-01-18T17:51:43.224,2.120,2.378,-2.683,0.183
1547830303264,2019-01-18T17:51:43.264,2.160,1.707,-3.354,-0.183
1547830303304,2019-01-18T17:51:43.304,2.200,3.659,-4.329,0.244
1547830303344,2019-01-18T17:51:43.344,2.240,1.220,-2.744,0.854
1547830303384,2019-01-18T17:51:43.384,2.280,0.671,-2.866,1.280
1547830303424,2019-01-18T17:51:43.424,2.320,1.402,-2.439,0.671
1547830303464,2019-01-18T17:51:43.464,2.360,4.390,-3.598,0.732
1547830303504,2019-01-18T17:51:43.504,2.400,2.378,-2.622,1.159
1547830303544,2019-01-18T17:51:43.544,2.440,0.854,-2.866,1.159
1547830303584,2019-01-18T17:51:43.584,2.480,1.402,-1.524,0.488
