epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547305808351,2019-01-12 16:10:08.351,0.0,0.122,-5.488,-3.841
1547305808391,2019-01-12 16:10:08.391,0.04,2.195,-9.695,-0.61
1547305808431,2019-01-12 16:10:08.431,0.08,2.622,-8.11,-4.024
1547305808471,2019-01-12 16:10:08.471,0.12,1.951,-4.695,-4.634
1547305808511,2019-01-12 16:10:08.511,0.16,1.524,-2.561,-2.5
1547305808551,2019-01-12 16:10:08.551,0.2,1.402,-3.171,-2.561
1547305808591,2019-01-12 16:10:08.591,0.24,1.707,-5.366,0.915
1547305808631,2019-01-12 16:10:08.631,0.28,0.0,-3.232,-2.988
1547305808671,2019-01-12 16:10:08.671,0.32,2.683,-4.146,-1.22
1547305808711,2019-01-12 16:10:08.711,0.36,2.866,-3.841,-1.28
1547305808751,2019-01-12 16:10:08.751,0.4,1.524,0.61,-3.171
1547305808791,2019-01-12 16:10:08.791,0.44,3.902,0.061,-5.61
1547305808831,2019-01-12 16:10:08.831,0.48,6.28,-4.207,-6.768
1547305808871,2019-01-12 16:10:08.871,0.52,8.72,-4.146,-7.134
1547305808911,2019-01-12 16:10:08.911,0.56,8.537,1.159,-14.268
1547305808951,2019-01-12 16:10:08.951,0.6,10.915,-2.988,-12.683
1547305808991,2019-01-12 16:10:08.991,0.64,13.171,-3.963,-15.061
1547305809031,2019-01-12 16:10:09.031,0.68,16.707,-5.549,-11.768
1547305809071,2019-01-12 16:10:09.071,0.72,21.585,-10.0,-8.598
1547305809111,2019-01-12 16:10:09.111,0.76,19.207,-0.915,-15.976
1547305809151,2019-01-12 16:10:09.151,0.8,13.11,-4.146,-16.159
1547305809191,2019-01-12 16:10:09.191,0.84,12.195,-1.524,-12.683
1547305809231,2019-01-12 16:10:09.231,0.88,20.671,-13.049,-8.963
1547305809271,2019-01-12 16:10:09.271,0.92,14.939,-15.61,1.402
1547305809311,2019-01-12 16:10:09.311,0.96,11.28,-8.72,3.537
1547305809351,2019-01-12 16:10:09.351,1.0,3.72,-14.39,-4.634
1547305809391,2019-01-12 16:10:09.391,1.04,-12.134,-7.5,-6.524
