epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547558821400,2019-01-15 14:27:01.400,0.0,-0.181,0.796,-0.383
1547558821480,2019-01-15 14:27:01.480,0.08,-0.192,0.823,-0.424
1547558821560,2019-01-15 14:27:01.560,0.16,-0.203,0.808,-0.421
1547558821640,2019-01-15 14:27:01.640,0.24,-0.217,0.833,-0.439
1547558821720,2019-01-15 14:27:01.720,0.32,-0.206,0.845,-0.446
1547558821800,2019-01-15 14:27:01.800,0.4,-0.209,0.867,-0.454
1547558821880,2019-01-15 14:27:01.880,0.48,-0.247,1.047,-0.495
1547558821960,2019-01-15 14:27:01.960,0.56,-0.359,1.422,-0.63
1547558822040,2019-01-15 14:27:02.040,0.64,-0.334,1.267,-0.578
1547558822120,2019-01-15 14:27:02.120,0.72,-0.254,0.86,-0.454
1547558822200,2019-01-15 14:27:02.200,0.8,-0.269,0.789,-0.442
1547558822280,2019-01-15 14:27:02.280,0.88,-0.292,0.804,-0.414
1547558822360,2019-01-15 14:27:02.360,0.96,-0.282,0.811,-0.442
1547558822440,2019-01-15 14:27:02.440,1.04,-0.277,0.833,-0.438
1547558822520,2019-01-15 14:27:02.520,1.12,-0.262,0.862,-0.444
1547558822600,2019-01-15 14:27:02.600,1.2,-0.256,0.882,-0.404
1547558822680,2019-01-15 14:27:02.680,1.28,-0.21,0.892,-0.41
1547558822760,2019-01-15 14:27:02.760,1.36,-0.209,0.926,-0.362
1547558822840,2019-01-15 14:27:02.840,1.44,-0.165,0.771,-0.228
1547558822920,2019-01-15 14:27:02.920,1.52,-0.054,0.523,-0.364
1547558823000,2019-01-15 14:27:03.000,1.6,-0.165,0.75,-0.247
1547558823080,2019-01-15 14:27:03.080,1.68,-0.178,0.965,-0.394
1547558823160,2019-01-15 14:27:03.160,1.76,-0.16,0.638,-0.263
1547558823240,2019-01-15 14:27:03.240,1.84,-0.107,0.587,-0.352
1547558823320,2019-01-15 14:27:03.320,1.92,-0.17,0.725,-0.365
