epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547558820993,2019-01-15 14:27:00.993,0.0,2.317,-2.5,-9.695
1547558821033,2019-01-15 14:27:01.033,0.04,3.11,-0.793,-9.207
1547558821073,2019-01-15 14:27:01.073,0.08,3.232,2.134,-2.5
1547558821113,2019-01-15 14:27:01.113,0.12,2.988,2.195,-11.159
1547558821153,2019-01-15 14:27:01.153,0.16,18.354,-7.866,-14.451
1547558821193,2019-01-15 14:27:01.193,0.2,28.049,-10.61,-5.427
1547558821233,2019-01-15 14:27:01.233,0.24,15.915,-6.098,-17.134
1547558821273,2019-01-15 14:27:01.273,0.28,25.122,-4.756,-6.22
1547558821313,2019-01-15 14:27:01.313,0.32,29.878,-8.476,-6.524
1547558821353,2019-01-15 14:27:01.353,0.36,30.427,-7.683,2.439
1547558821393,2019-01-15 14:27:01.393,0.4,22.317,-1.341,-2.927
1547558821433,2019-01-15 14:27:01.433,0.44,23.476,-2.805,-8.659
1547558821473,2019-01-15 14:27:01.473,0.48,23.72,-11.829,-4.39
1547558821513,2019-01-15 14:27:01.513,0.52,16.037,-11.768,-0.122
1547558821553,2019-01-15 14:27:01.553,0.56,6.159,-10.549,-1.524
1547558821593,2019-01-15 14:27:01.593,0.6,1.037,-13.963,-0.061
1547558821633,2019-01-15 14:27:01.633,0.64,1.585,-13.049,3.415
1547558821673,2019-01-15 14:27:01.673,0.68,12.012,-14.695,11.098
1547558821713,2019-01-15 14:27:01.713,0.72,8.171,-16.159,19.939
1547558821753,2019-01-15 14:27:01.753,0.76,15.854,-17.195,19.512
1547558821793,2019-01-15 14:27:01.793,0.8,24.207,-15.488,26.707
1547558821833,2019-01-15 14:27:01.833,0.84,-0.671,-11.402,24.939
1547558821873,2019-01-15 14:27:01.873,0.88,-5.671,-7.134,11.951
1547558821913,2019-01-15 14:27:01.913,0.92,-2.5,-1.951,-2.012
1547558821953,2019-01-15 14:27:01.953,0.96,-6.768,2.927,-24.085
1547558821993,2019-01-15 14:27:01.993,1.0,-8.049,2.988,-37.195
1547558822033,2019-01-15 14:27:02.033,1.04,-2.927,-1.646,-26.951
1547558822073,2019-01-15 14:27:02.073,1.08,-19.329,3.902,-24.329
1547558822113,2019-01-15 14:27:02.113,1.12,-22.927,2.073,-25.305
1547558822153,2019-01-15 14:27:02.153,1.16,-9.207,2.866,-17.317
1547558822193,2019-01-15 14:27:02.193,1.2,4.451,6.341,-2.683
1547558822233,2019-01-15 14:27:02.233,1.24,0.183,4.207,-0.671
1547558822273,2019-01-15 14:27:02.273,1.28,-14.329,2.195,-12.317
1547558822313,2019-01-15 14:27:02.313,1.32,-2.195,1.28,-2.561
1547558822353,2019-01-15 14:27:02.353,1.36,-3.659,-1.646,5.854
1547558822393,2019-01-15 14:27:02.393,1.4,-12.134,2.927,2.805
1547558822433,2019-01-15 14:27:02.433,1.44,-7.988,3.11,9.695
1547558822473,2019-01-15 14:27:02.473,1.48,-6.28,2.012,11.463
1547558822513,2019-01-15 14:27:02.513,1.52,-13.841,2.439,8.415
1547558822553,2019-01-15 14:27:02.553,1.56,-26.646,4.817,3.78
1547558822593,2019-01-15 14:27:02.593,1.6,-28.902,3.659,4.756
1547558822633,2019-01-15 14:27:02.633,1.64,-22.622,2.195,9.329
1547558822673,2019-01-15 14:27:02.673,1.68,-10.61,-0.976,24.268
1547558822713,2019-01-15 14:27:02.713,1.72,-24.756,-0.244,20.671
1547558822753,2019-01-15 14:27:02.753,1.76,-34.512,5.976,17.012
1547558822793,2019-01-15 14:27:02.793,1.8,-47.317,17.073,11.22
1547558822833,2019-01-15 14:27:02.833,1.84,-26.768,1.829,7.073
1547558822873,2019-01-15 14:27:02.873,1.88,52.317,-24.634,24.573
1547558822913,2019-01-15 14:27:02.913,1.92,36.768,-14.329,20.915
1547558822953,2019-01-15 14:27:02.953,1.96,1.951,-8.78,-5.915
1547558822993,2019-01-15 14:27:02.993,2.0,4.817,-3.354,1.951
1547558823033,2019-01-15 14:27:03.033,2.04,15.915,-1.707,-2.744
1547558823073,2019-01-15 14:27:03.073,2.08,27.561,-7.744,15.183
1547558823113,2019-01-15 14:27:03.113,2.12,4.756,-7.195,-11.585
1547558823153,2019-01-15 14:27:03.153,2.16,14.39,-2.134,-18.902
1547558823193,2019-01-15 14:27:03.193,2.2,35.427,-10.122,-5.976
1547558823233,2019-01-15 14:27:03.233,2.24,18.049,-5.183,-16.951
1547558823273,2019-01-15 14:27:03.273,2.28,11.22,-4.939,-19.207
1547558823313,2019-01-15 14:27:03.313,2.32,7.683,-3.963,-16.28
1547558823353,2019-01-15 14:27:03.353,2.36,20.854,-7.683,-6.524
1547558823393,2019-01-15 14:27:03.393,2.4,-4.207,-3.11,-12.012
1547558823433,2019-01-15 14:27:03.433,2.44,5.366,-0.305,-3.476
1547558823473,2019-01-15 14:27:03.473,2.48,20.854,-6.89,12.439
1547558823513,2019-01-15 14:27:03.513,2.52,2.683,-5.854,12.439
1547558823553,2019-01-15 14:27:03.553,2.56,8.841,-12.256,19.146
1547558823593,2019-01-15 14:27:03.593,2.6,-2.744,-14.695,26.28
1547558823633,2019-01-15 14:27:03.633,2.64,0.976,-15.244,23.598
1547558823673,2019-01-15 14:27:03.673,2.68,7.134,-17.073,26.28
1547558823713,2019-01-15 14:27:03.713,2.72,-2.073,-16.951,15.427
1547558823753,2019-01-15 14:27:03.753,2.76,8.11,2.744,-6.037
1547558823793,2019-01-15 14:27:03.793,2.8,15.549,15.366,-22.317
1547558823833,2019-01-15 14:27:03.833,2.84,8.659,15.854,-34.329
1547558823873,2019-01-15 14:27:03.873,2.88,-5.793,8.963,-33.293
1547558823913,2019-01-15 14:27:03.913,2.92,-11.22,6.098,-21.951
1547558823953,2019-01-15 14:27:03.953,2.96,-15.061,4.207,-22.317
1547558823993,2019-01-15 14:27:03.993,3.0,-14.817,7.317,-19.756
1547558824033,2019-01-15 14:27:04.033,3.04,0.488,-2.378,-5.183
1547558824073,2019-01-15 14:27:04.073,3.08,-5.976,3.476,-7.012
1547558824113,2019-01-15 14:27:04.113,3.12,-19.573,9.695,-12.744
1547558824153,2019-01-15 14:27:04.153,3.16,5.061,3.598,5.183
1547558824193,2019-01-15 14:27:04.193,3.2,0.854,5.427,-3.171
1547558824233,2019-01-15 14:27:04.233,3.24,-0.427,1.28,-5.488
1547558824273,2019-01-15 14:27:04.273,3.28,17.622,0.976,13.963
1547558824313,2019-01-15 14:27:04.313,3.32,4.451,1.28,8.537
1547558824353,2019-01-15 14:27:04.353,3.36,7.622,-1.707,11.829
1547558824393,2019-01-15 14:27:04.393,3.4,0.793,-2.683,15.061
1547558824433,2019-01-15 14:27:04.433,3.44,-13.78,-0.488,13.049
1547558824473,2019-01-15 14:27:04.473,3.48,-24.573,4.268,6.22
1547558824513,2019-01-15 14:27:04.513,3.52,-13.293,0.244,19.878
1547558824553,2019-01-15 14:27:04.553,3.56,-18.171,0.793,18.78
1547558824593,2019-01-15 14:27:04.593,3.6,-24.817,2.622,18.72
1547558824633,2019-01-15 14:27:04.633,3.64,-23.902,2.988,32.317
1547558824673,2019-01-15 14:27:04.673,3.68,-18.78,4.207,35.854
1547558824713,2019-01-15 14:27:04.713,3.72,-6.524,-9.329,16.89
1547558824753,2019-01-15 14:27:04.753,3.76,9.756,-8.049,5.61
1547558824793,2019-01-15 14:27:04.793,3.8,22.866,3.11,2.683
1547558824833,2019-01-15 14:27:04.833,3.84,26.402,2.5,6.037
1547558824873,2019-01-15 14:27:04.873,3.88,16.463,0.061,0.793
1547558824913,2019-01-15 14:27:04.913,3.92,8.232,2.317,-1.646
1547558824953,2019-01-15 14:27:04.953,3.96,7.195,1.524,-22.5
1547558824993,2019-01-15 14:27:04.993,4.0,28.415,-8.232,-12.988
1547558825033,2019-01-15 14:27:05.033,4.04,34.085,-7.561,-8.659
1547558825073,2019-01-15 14:27:05.073,4.08,39.451,-9.207,-8.415
1547558825113,2019-01-15 14:27:05.113,4.12,30.732,-8.11,-14.329
1547558825153,2019-01-15 14:27:05.153,4.16,38.11,-10.244,-0.793
1547558825193,2019-01-15 14:27:05.193,4.2,14.939,-0.122,-8.171
1547558825233,2019-01-15 14:27:05.233,4.24,16.22,-7.195,-7.134
1547558825273,2019-01-15 14:27:05.273,4.28,0.976,-6.037,-4.329
1547558825313,2019-01-15 14:27:05.313,4.32,-1.951,-9.085,-3.232
1547558825353,2019-01-15 14:27:05.353,4.36,-5.793,-11.341,7.195
1547558825393,2019-01-15 14:27:05.393,4.4,-9.024,-9.939,15.915
1547558825433,2019-01-15 14:27:05.433,4.44,-13.659,-10.854,19.024
1547558825473,2019-01-15 14:27:05.473,4.48,-29.634,-4.512,13.659
1547558825513,2019-01-15 14:27:05.513,4.52,-41.707,-1.707,13.72
1547558825553,2019-01-15 14:27:05.553,4.56,-43.476,1.341,11.646
1547558825593,2019-01-15 14:27:05.593,4.6,-13.537,-2.805,-3.902
1547558825633,2019-01-15 14:27:05.633,4.64,11.524,3.171,-19.512
1547558825673,2019-01-15 14:27:05.673,4.68,9.573,12.5,-25.854
1547558825713,2019-01-15 14:27:05.713,4.72,8.537,16.829,-19.512
1547558825753,2019-01-15 14:27:05.753,4.76,-1.159,12.5,-20.244
1547558825793,2019-01-15 14:27:05.793,4.8,-32.378,9.085,-35.183
1547558825833,2019-01-15 14:27:05.833,4.84,-40.976,7.866,-38.11
1547558825873,2019-01-15 14:27:05.873,4.88,-13.78,13.415,-22.378
1547558825913,2019-01-15 14:27:05.913,4.92,14.573,6.951,-8.963
1547558825953,2019-01-15 14:27:05.953,4.96,17.988,1.768,1.341
1547558825993,2019-01-15 14:27:05.993,5.0,22.195,-4.573,2.744
1547558826033,2019-01-15 14:27:06.033,5.04,6.707,-2.317,-7.5
1547558826073,2019-01-15 14:27:06.073,5.08,6.159,2.378,-4.756
1547558826113,2019-01-15 14:27:06.113,5.12,16.341,-1.707,5.976
1547558826153,2019-01-15 14:27:06.153,5.16,13.171,-3.78,3.415
1547558826193,2019-01-15 14:27:06.193,5.2,5.61,-1.951,6.159
1547558826233,2019-01-15 14:27:06.233,5.24,-13.659,-6.22,-3.841
1547558826273,2019-01-15 14:27:06.273,5.28,-11.159,-6.22,-0.244
1547558826313,2019-01-15 14:27:06.313,5.32,-8.171,-8.841,6.89
1547558826353,2019-01-15 14:27:06.353,5.36,-13.963,-4.634,2.5
1547558826393,2019-01-15 14:27:06.393,5.4,-3.415,-2.195,11.098
1547558826433,2019-01-15 14:27:06.433,5.44,-3.049,-2.927,13.78
1547558826473,2019-01-15 14:27:06.473,5.48,-5.549,2.012,18.78
1547558826513,2019-01-15 14:27:06.513,5.52,-12.134,1.951,13.049
1547558826553,2019-01-15 14:27:06.553,5.56,-9.024,-2.317,14.756
1547558826593,2019-01-15 14:27:06.593,5.6,-13.293,-2.256,13.598
1547558826633,2019-01-15 14:27:06.633,5.64,-23.72,-2.317,6.829
1547558826673,2019-01-15 14:27:06.673,5.68,-11.646,-4.878,19.817
1547558826713,2019-01-15 14:27:06.713,5.72,-25.244,-1.22,21.341
1547558826753,2019-01-15 14:27:06.753,5.76,-34.085,5.183,23.659
1547558826793,2019-01-15 14:27:06.793,5.8,-55.854,20.976,24.451
1547558826833,2019-01-15 14:27:06.833,5.84,-59.329,36.22,2.256
1547558826873,2019-01-15 14:27:06.873,5.88,15.61,-8.659,5.854
1547558826913,2019-01-15 14:27:06.913,5.92,33.537,-26.585,31.524
1547558826953,2019-01-15 14:27:06.953,5.96,17.927,-9.573,7.073
1547558826993,2019-01-15 14:27:06.993,6.0,27.5,-13.171,4.573
1547558827033,2019-01-15 14:27:07.033,6.04,25.061,-17.744,-0.854
1547558827073,2019-01-15 14:27:07.073,6.08,13.293,-8.293,-4.695
1547558827113,2019-01-15 14:27:07.113,6.12,15.61,-5.671,7.439
1547558827153,2019-01-15 14:27:07.153,6.16,11.341,-10.0,4.573
1547558827193,2019-01-15 14:27:07.193,6.2,-0.244,-3.841,-12.866
1547558827233,2019-01-15 14:27:07.233,6.24,0.915,-5.183,-3.171
1547558827273,2019-01-15 14:27:07.273,6.28,2.134,-2.317,-0.549
1547558827313,2019-01-15 14:27:07.313,6.32,7.073,-1.037,1.646
1547558827353,2019-01-15 14:27:07.353,6.36,0.976,-3.049,5.61
1547558827393,2019-01-15 14:27:07.393,6.4,4.39,-1.951,-3.841
