epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547306085680,2019-01-12 16:14:45.680,0.0,-0.01,0.968,-0.084
1547306085760,2019-01-12 16:14:45.760,0.08,0.0,0.969,-0.11
1547306085840,2019-01-12 16:14:45.840,0.16,-0.004,0.953,-0.098
1547306085920,2019-01-12 16:14:45.920,0.24,-0.014,0.899,-0.106
1547306086000,2019-01-12 16:14:46.000,0.32,-0.024,0.818,-0.154
1547306086080,2019-01-12 16:14:46.080,0.4,-0.024,0.806,-0.198
1547306086160,2019-01-12 16:14:46.160,0.48,-0.071,0.85,-0.168
1547306086240,2019-01-12 16:14:46.240,0.56,-0.101,0.883,-0.206
1547306086320,2019-01-12 16:14:46.320,0.64,-0.107,0.903,-0.228
1547306086400,2019-01-12 16:14:46.400,0.72,-0.129,0.921,-0.25
1547306086480,2019-01-12 16:14:46.480,0.8,-0.151,0.907,-0.211
1547306086560,2019-01-12 16:14:46.560,0.88,-0.147,0.933,-0.232
1547306086640,2019-01-12 16:14:46.640,0.96,-0.143,0.933,-0.21
1547306086720,2019-01-12 16:14:46.720,1.04,-0.115,0.969,-0.19
1547306086800,2019-01-12 16:14:46.800,1.12,-0.121,1.161,-0.14
1547306086880,2019-01-12 16:14:46.880,1.2,-0.177,1.506,-0.147
1547306086960,2019-01-12 16:14:46.960,1.28,-0.171,1.33,-0.142
1547306087040,2019-01-12 16:14:47.040,1.36,-0.159,0.96,-0.127
1547306087120,2019-01-12 16:14:47.120,1.44,-0.193,0.929,-0.135
1547306087200,2019-01-12 16:14:47.200,1.52,-0.191,0.935,-0.188
1547306087280,2019-01-12 16:14:47.280,1.6,-0.211,0.933,-0.189
1547306087360,2019-01-12 16:14:47.360,1.68,-0.178,0.94,-0.179
1547306087440,2019-01-12 16:14:47.440,1.76,-0.19,0.921,-0.15
1547306087520,2019-01-12 16:14:47.520,1.84,-0.174,0.94,-0.196
1547306087600,2019-01-12 16:14:47.600,1.92,-0.171,0.939,-0.17
1547306087680,2019-01-12 16:14:47.680,2.0,-0.146,0.962,-0.215
1547306087760,2019-01-12 16:14:47.760,2.08,-0.125,0.942,-0.162
1547306087840,2019-01-12 16:14:47.840,2.16,-0.095,0.967,-0.137
1547306087920,2019-01-12 16:14:47.920,2.24,-0.071,0.96,-0.104
1547306088000,2019-01-12 16:14:48.000,2.32,-0.035,0.758,-0.113
1547306088080,2019-01-12 16:14:48.080,2.4,0.022,0.702,-0.182
1547306088160,2019-01-12 16:14:48.160,2.48,-0.052,0.87,-0.05
1547306088240,2019-01-12 16:14:48.240,2.56,-0.034,1.052,-0.114
1547306088320,2019-01-12 16:14:48.320,2.64,-0.033,0.973,-0.121
1547306088400,2019-01-12 16:14:48.400,2.72,-0.017,0.958,-0.113
1547306088480,2019-01-12 16:14:48.480,2.8,-0.006,1.002,-0.136
1547306088560,2019-01-12 16:14:48.560,2.88,-0.029,0.939,-0.116
1547306088640,2019-01-12 16:14:48.640,2.96,-0.002,0.828,-0.187
1547306088720,2019-01-12 16:14:48.720,3.04,-0.037,0.77,-0.177
1547306088800,2019-01-12 16:14:48.800,3.12,-0.053,0.813,-0.195
1547306088880,2019-01-12 16:14:48.880,3.2,-0.101,0.858,-0.208
1547306088960,2019-01-12 16:14:48.960,3.28,-0.118,0.865,-0.202
1547306089040,2019-01-12 16:14:49.040,3.36,-0.143,0.856,-0.169
1547306089120,2019-01-12 16:14:49.120,3.44,-0.152,0.893,-0.197
1547306089200,2019-01-12 16:14:49.200,3.52,-0.158,0.916,-0.184
1547306089280,2019-01-12 16:14:49.280,3.6,-0.146,0.972,-0.167
1547306089360,2019-01-12 16:14:49.360,3.68,-0.142,1.193,-0.167
1547306089440,2019-01-12 16:14:49.440,3.76,-0.219,1.595,-0.119
1547306089520,2019-01-12 16:14:49.520,3.84,-0.189,1.453,-0.136
1547306089600,2019-01-12 16:14:49.600,3.92,-0.165,0.978,-0.115
1547306089680,2019-01-12 16:14:49.680,4.0,-0.193,0.879,-0.128
1547306089760,2019-01-12 16:14:49.760,4.08,-0.199,0.905,-0.185
1547306089840,2019-01-12 16:14:49.840,4.16,-0.2,0.906,-0.186
1547306089920,2019-01-12 16:14:49.920,4.24,-0.202,0.905,-0.163
1547306090000,2019-01-12 16:14:50.000,4.32,-0.185,0.925,-0.216
1547306090080,2019-01-12 16:14:50.080,4.4,-0.183,0.936,-0.218
1547306090160,2019-01-12 16:14:50.160,4.48,-0.172,0.947,-0.178
1547306090240,2019-01-12 16:14:50.240,4.56,-0.161,0.97,-0.202
1547306090320,2019-01-12 16:14:50.320,4.64,-0.149,0.965,-0.186
1547306090400,2019-01-12 16:14:50.400,4.72,-0.124,0.954,-0.156
1547306090480,2019-01-12 16:14:50.480,4.8,-0.101,0.975,-0.15
1547306090560,2019-01-12 16:14:50.560,4.88,-0.056,0.801,-0.109
1547306090640,2019-01-12 16:14:50.640,4.96,-0.023,0.647,-0.125
1547306090720,2019-01-12 16:14:50.720,5.04,-0.005,0.852,-0.167
1547306090800,2019-01-12 16:14:50.800,5.12,-0.04,1.096,-0.135
1547306090880,2019-01-12 16:14:50.880,5.2,-0.015,0.979,-0.149
1547306090960,2019-01-12 16:14:50.960,5.28,0.002,0.86,-0.178
1547306091040,2019-01-12 16:14:51.040,5.36,-0.031,0.815,-0.151
1547306091120,2019-01-12 16:14:51.120,5.44,-0.013,0.792,-0.193
1547306091200,2019-01-12 16:14:51.200,5.52,-0.061,0.819,-0.211
1547306091280,2019-01-12 16:14:51.280,5.6,-0.083,0.842,-0.209
1547306091360,2019-01-12 16:14:51.360,5.68,-0.11,0.85,-0.203
1547306091440,2019-01-12 16:14:51.440,5.76,-0.122,0.889,-0.216
1547306091520,2019-01-12 16:14:51.520,5.84,-0.148,0.897,-0.2
1547306091600,2019-01-12 16:14:51.600,5.92,-0.128,0.927,-0.208
1547306091680,2019-01-12 16:14:51.680,6.0,-0.124,0.973,-0.203
1547306091760,2019-01-12 16:14:51.760,6.08,-0.095,1.196,-0.213
1547306091840,2019-01-12 16:14:51.840,6.16,-0.158,1.607,-0.144
1547306091920,2019-01-12 16:14:51.920,6.24,-0.135,1.433,-0.162
1547306092000,2019-01-12 16:14:52.000,6.32,-0.143,0.946,-0.13
1547306092080,2019-01-12 16:14:52.080,6.4,-0.155,0.882,-0.148
1547306092160,2019-01-12 16:14:52.160,6.48,-0.194,0.904,-0.174
