epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547558569751,2019-01-15 14:22:49.751,0.0,-0.147,0.702,-0.276
1547558569831,2019-01-15 14:22:49.831,0.08,-0.12,0.71,-0.36
1547558569911,2019-01-15 14:22:49.911,0.16,-0.16,0.768,-0.392
1547558569991,2019-01-15 14:22:49.991,0.24,-0.208,0.817,-0.379
1547558570071,2019-01-15 14:22:50.071,0.32,-0.223,0.839,-0.403
1547558570151,2019-01-15 14:22:50.151,0.4,-0.243,0.86,-0.414
1547558570231,2019-01-15 14:22:50.231,0.48,-0.255,0.869,-0.384
1547558570311,2019-01-15 14:22:50.311,0.56,-0.233,0.883,-0.429
1547558570391,2019-01-15 14:22:50.391,0.64,-0.222,0.892,-0.417
1547558570471,2019-01-15 14:22:50.471,0.72,-0.269,1.12,-0.49
1547558570551,2019-01-15 14:22:50.551,0.8,-0.359,1.4,-0.601
1547558570631,2019-01-15 14:22:50.631,0.88,-0.317,1.171,-0.51
1547558570711,2019-01-15 14:22:50.711,0.96,-0.238,0.865,-0.443
1547558570791,2019-01-15 14:22:50.791,1.04,-0.251,0.828,-0.407
1547558570871,2019-01-15 14:22:50.871,1.12,-0.273,0.832,-0.379
1547558570951,2019-01-15 14:22:50.951,1.2,-0.282,0.838,-0.375
1547558571031,2019-01-15 14:22:51.031,1.28,-0.274,0.856,-0.402
1547558571111,2019-01-15 14:22:51.111,1.36,-0.285,0.88,-0.395
1547558571191,2019-01-15 14:22:51.191,1.44,-0.278,0.889,-0.391
1547558571271,2019-01-15 14:22:51.271,1.52,-0.255,0.893,-0.377
1547558571351,2019-01-15 14:22:51.351,1.6,-0.237,0.903,-0.365
1547558571431,2019-01-15 14:22:51.431,1.68,-0.2,0.905,-0.351
1547558571511,2019-01-15 14:22:51.511,1.76,-0.125,0.648,-0.276
1547558571591,2019-01-15 14:22:51.591,1.84,-0.075,0.533,-0.343
1547558571671,2019-01-15 14:22:51.671,1.92,-0.146,0.881,-0.369
1547558571751,2019-01-15 14:22:51.751,2.0,-0.207,1.028,-0.347
1547558571831,2019-01-15 14:22:51.831,2.08,-0.14,0.837,-0.357
1547558571911,2019-01-15 14:22:51.911,2.16,-0.128,0.709,-0.357
1547558571991,2019-01-15 14:22:51.991,2.24,-0.13,0.67,-0.355
1547558572071,2019-01-15 14:22:52.071,2.32,-0.151,0.716,-0.385
1547558572151,2019-01-15 14:22:52.151,2.4,-0.189,0.758,-0.424
1547558572231,2019-01-15 14:22:52.231,2.48,-0.208,0.78,-0.438
1547558572311,2019-01-15 14:22:52.311,2.56,-0.231,0.781,-0.457
1547558572391,2019-01-15 14:22:52.391,2.64,-0.222,0.766,-0.469
1547558572471,2019-01-15 14:22:52.471,2.72,-0.218,0.799,-0.472
1547558572551,2019-01-15 14:22:52.551,2.8,-0.237,1.0,-0.471
1547558572631,2019-01-15 14:22:52.631,2.88,-0.361,1.514,-0.608
1547558572711,2019-01-15 14:22:52.711,2.96,-0.351,1.501,-0.618
1547558572791,2019-01-15 14:22:52.791,3.04,-0.239,0.928,-0.401
1547558572871,2019-01-15 14:22:52.871,3.12,-0.248,0.746,-0.358
1547558572951,2019-01-15 14:22:52.951,3.2,-0.271,0.791,-0.386
1547558573031,2019-01-15 14:22:53.031,3.28,-0.276,0.811,-0.425
1547558573111,2019-01-15 14:22:53.111,3.36,-0.284,0.828,-0.407
1547558573191,2019-01-15 14:22:53.191,3.44,-0.286,0.843,-0.399
1547558573271,2019-01-15 14:22:53.271,3.52,-0.279,0.855,-0.426
1547558573351,2019-01-15 14:22:53.351,3.6,-0.267,0.866,-0.441
1547558573431,2019-01-15 14:22:53.431,3.68,-0.256,0.879,-0.431
1547558573511,2019-01-15 14:22:53.511,3.76,-0.233,0.906,-0.413
1547558573591,2019-01-15 14:22:53.591,3.84,-0.192,0.914,-0.368
1547558573671,2019-01-15 14:22:53.671,3.92,-0.12,0.67,-0.287
1547558573751,2019-01-15 14:22:53.751,4.0,-0.104,0.514,-0.327
1547558573831,2019-01-15 14:22:53.831,4.08,-0.127,0.886,-0.341
1547558573911,2019-01-15 14:22:53.911,4.16,-0.18,1.026,-0.379
1547558573991,2019-01-15 14:22:53.991,4.24,-0.118,0.689,-0.33
1547558574071,2019-01-15 14:22:54.071,4.32,-0.105,0.591,-0.334
1547558574151,2019-01-15 14:22:54.151,4.4,-0.149,0.726,-0.392
1547558574231,2019-01-15 14:22:54.231,4.48,-0.179,0.778,-0.448
1547558574311,2019-01-15 14:22:54.311,4.56,-0.219,0.77,-0.431
1547558574391,2019-01-15 14:22:54.391,4.64,-0.233,0.796,-0.462
1547558574471,2019-01-15 14:22:54.471,4.72,-0.24,0.802,-0.442
1547558574551,2019-01-15 14:22:54.551,4.8,-0.22,0.874,-0.482
1547558574631,2019-01-15 14:22:54.631,4.88,-0.239,1.104,-0.548
1547558574711,2019-01-15 14:22:54.711,4.96,-0.361,1.506,-0.686
1547558574791,2019-01-15 14:22:54.791,5.04,-0.294,1.282,-0.624
1547558574871,2019-01-15 14:22:54.871,5.12,-0.24,0.833,-0.409
1547558574951,2019-01-15 14:22:54.951,5.2,-0.243,0.771,-0.424
1547558575031,2019-01-15 14:22:55.031,5.28,-0.285,0.792,-0.427
1547558575111,2019-01-15 14:22:55.111,5.36,-0.312,0.797,-0.359
1547558575191,2019-01-15 14:22:55.191,5.44,-0.277,0.82,-0.405
1547558575271,2019-01-15 14:22:55.271,5.52,-0.305,0.834,-0.406
1547558575351,2019-01-15 14:22:55.351,5.6,-0.308,0.867,-0.418
1547558575431,2019-01-15 14:22:55.431,5.68,-0.296,0.852,-0.393
1547558575511,2019-01-15 14:22:55.511,5.76,-0.277,0.842,-0.381
1547558575591,2019-01-15 14:22:55.591,5.84,-0.284,0.869,-0.37
1547558575671,2019-01-15 14:22:55.671,5.92,-0.24,0.913,-0.376
1547558575751,2019-01-15 14:22:55.751,6.0,-0.208,0.943,-0.334
1547558575831,2019-01-15 14:22:55.831,6.08,-0.126,0.79,-0.27
1547558575911,2019-01-15 14:22:55.911,6.16,-0.097,0.524,-0.271
1547558575991,2019-01-15 14:22:55.991,6.24,-0.107,0.815,-0.329
1547558576071,2019-01-15 14:22:56.071,6.32,-0.167,1.11,-0.354
1547558576151,2019-01-15 14:22:56.151,6.4,-0.114,0.778,-0.378
1547558576231,2019-01-15 14:22:56.231,6.48,-0.105,0.635,-0.328
1547558576311,2019-01-15 14:22:56.311,6.56,-0.13,0.746,-0.401
1547558576391,2019-01-15 14:22:56.391,6.64,-0.187,0.762,-0.403
1547558576471,2019-01-15 14:22:56.471,6.72,-0.184,0.739,-0.43
1547558576551,2019-01-15 14:22:56.551,6.8,-0.213,0.762,-0.416
1547558576631,2019-01-15 14:22:56.631,6.88,-0.228,0.777,-0.473
1547558576711,2019-01-15 14:22:56.711,6.96,-0.227,0.765,-0.496
1547558576791,2019-01-15 14:22:56.791,7.04,-0.202,0.8,-0.503
1547558576871,2019-01-15 14:22:56.871,7.12,-0.219,1.018,-0.554
1547558576951,2019-01-15 14:22:56.951,7.2,-0.361,1.461,-0.678
1547558577031,2019-01-15 14:22:57.031,7.28,-0.346,1.426,-0.651
1547558577111,2019-01-15 14:22:57.111,7.36,-0.246,0.906,-0.42
1547558577191,2019-01-15 14:22:57.191,7.44,-0.262,0.762,-0.368
1547558577271,2019-01-15 14:22:57.271,7.52,-0.274,0.787,-0.396
