epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547558569353,2019-01-15 14:22:49.353,0.0,-2.866,-0.61,-5.366
1547558569393,2019-01-15 14:22:49.393,0.04,-2.5,-0.61,-3.963
1547558569433,2019-01-15 14:22:49.433,0.08,1.707,-3.902,1.524
1547558569473,2019-01-15 14:22:49.473,0.12,2.439,-4.939,-4.207
1547558569513,2019-01-15 14:22:49.513,0.16,7.5,-6.037,1.768
1547558569553,2019-01-15 14:22:49.553,0.2,3.049,-4.207,-1.037
1547558569593,2019-01-15 14:22:49.593,0.24,-2.561,0.976,-6.402
1547558569633,2019-01-15 14:22:49.633,0.28,1.768,3.72,3.232
1547558569673,2019-01-15 14:22:49.673,0.32,18.049,-2.256,8.902
1547558569713,2019-01-15 14:22:49.713,0.36,11.768,-3.72,-10.061
1547558569753,2019-01-15 14:22:49.753,0.4,1.098,-1.646,-25.0
1547558569793,2019-01-15 14:22:49.793,0.44,19.817,-5.732,-18.354
1547558569833,2019-01-15 14:22:49.833,0.48,34.634,-11.28,-5.0
1547558569873,2019-01-15 14:22:49.873,0.52,35.122,-8.537,-9.268
1547558569913,2019-01-15 14:22:49.913,0.56,36.098,-11.951,-6.159
1547558569953,2019-01-15 14:22:49.953,0.6,16.707,-7.866,-9.024
1547558569993,2019-01-15 14:22:49.993,0.64,25.183,-9.939,-6.951
1547558570033,2019-01-15 14:22:50.033,0.68,11.037,-2.744,-10.061
1547558570073,2019-01-15 14:22:50.073,0.72,22.012,-3.659,0.366
1547558570113,2019-01-15 14:22:50.113,0.76,16.89,-13.354,3.354
1547558570153,2019-01-15 14:22:50.153,0.8,5.549,-9.268,6.829
1547558570193,2019-01-15 14:22:50.193,0.84,8.049,-13.963,9.695
1547558570233,2019-01-15 14:22:50.233,0.88,-3.841,-12.561,8.841
1547558570273,2019-01-15 14:22:50.273,0.92,22.439,-21.098,19.512
1547558570313,2019-01-15 14:22:50.313,0.96,7.622,-9.207,21.341
1547558570353,2019-01-15 14:22:50.353,1.0,12.317,-11.402,19.512
1547558570393,2019-01-15 14:22:50.393,1.04,10.671,-23.78,20.671
1547558570433,2019-01-15 14:22:50.433,1.08,-5.61,-13.415,24.085
1547558570473,2019-01-15 14:22:50.473,1.12,1.463,-5.61,13.11
1547558570513,2019-01-15 14:22:50.513,1.16,5.488,4.024,2.622
1547558570553,2019-01-15 14:22:50.553,1.2,-0.366,8.293,-10.854
1547558570593,2019-01-15 14:22:50.593,1.24,-21.585,6.037,-35.305
1547558570633,2019-01-15 14:22:50.633,1.28,-29.329,2.683,-39.695
1547558570673,2019-01-15 14:22:50.673,1.32,-26.646,2.927,-30.366
1547558570713,2019-01-15 14:22:50.713,1.36,-14.268,4.39,-22.622
1547558570753,2019-01-15 14:22:50.753,1.4,-16.159,6.89,-22.073
1547558570793,2019-01-15 14:22:50.793,1.44,-0.915,7.927,-7.134
1547558570833,2019-01-15 14:22:50.833,1.48,-1.28,7.622,-9.39
1547558570873,2019-01-15 14:22:50.873,1.52,-5.549,3.963,-10.854
1547558570913,2019-01-15 14:22:50.913,1.56,-1.28,2.439,-6.524
1547558570953,2019-01-15 14:22:50.953,1.6,-7.744,1.341,-7.683
1547558570993,2019-01-15 14:22:50.993,1.64,-1.463,2.683,3.963
1547558571033,2019-01-15 14:22:51.033,1.68,6.159,2.195,9.268
1547558571073,2019-01-15 14:22:51.073,1.72,-1.524,0.183,10.427
1547558571113,2019-01-15 14:22:51.113,1.76,-0.122,0.061,12.195
1547558571153,2019-01-15 14:22:51.153,1.8,-5.61,0.915,8.293
1547558571193,2019-01-15 14:22:51.193,1.84,3.049,-4.695,20.122
1547558571233,2019-01-15 14:22:51.233,1.88,-5.793,-1.463,14.695
