epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547917934525,2019-01-19 18:12:14.525,0.0,0.051,0.972,-0.07
1547917934605,2019-01-19 18:12:14.605,0.08,0.043,0.975,-0.07
1547917934685,2019-01-19 18:12:14.685,0.16,0.047,0.97,-0.08
1547917934765,2019-01-19 18:12:14.765,0.24,0.048,0.966,-0.066
1547917934845,2019-01-19 18:12:14.845,0.32,0.048,0.978,-0.063
1547917934925,2019-01-19 18:12:14.925,0.4,0.055,0.983,-0.062
1547917935005,2019-01-19 18:12:15.005,0.48,0.051,0.973,-0.06
1547917935085,2019-01-19 18:12:15.085,0.56,0.052,0.966,-0.063
1547917935165,2019-01-19 18:12:15.165,0.64,0.047,0.974,-0.055
1547917935245,2019-01-19 18:12:15.245,0.72,0.045,0.983,-0.051
1547917935325,2019-01-19 18:12:15.325,0.8,0.043,0.983,-0.053
1547917935405,2019-01-19 18:12:15.405,0.88,0.044,0.969,-0.053
1547917935485,2019-01-19 18:12:15.485,0.96,0.045,0.968,-0.057
1547917935565,2019-01-19 18:12:15.565,1.04,0.043,0.973,-0.053
1547917935645,2019-01-19 18:12:15.645,1.12,0.043,0.98,-0.049
1547917935725,2019-01-19 18:12:15.725,1.2,0.038,0.986,-0.049
1547917935805,2019-01-19 18:12:15.805,1.28,0.034,0.978,-0.05
1547917935885,2019-01-19 18:12:15.885,1.36,0.037,0.969,-0.054
1547917935965,2019-01-19 18:12:15.965,1.44,0.036,0.97,-0.053
1547917936045,2019-01-19 18:12:16.045,1.52,0.029,0.984,-0.049
1547917936125,2019-01-19 18:12:16.125,1.6,0.03,0.988,-0.045
1547917936205,2019-01-19 18:12:16.205,1.68,0.032,0.972,-0.051
1547917936285,2019-01-19 18:12:16.285,1.76,0.031,0.962,-0.049
1547917936365,2019-01-19 18:12:16.365,1.84,0.029,0.969,-0.048
1547917936445,2019-01-19 18:12:16.445,1.92,0.025,0.994,-0.05
1547917936525,2019-01-19 18:12:16.525,2.0,0.022,0.996,-0.045
1547917936605,2019-01-19 18:12:16.605,2.08,0.015,0.967,-0.051
1547917936685,2019-01-19 18:12:16.685,2.16,0.017,0.957,-0.057
1547917936765,2019-01-19 18:12:16.765,2.24,0.016,0.976,-0.047
1547917936845,2019-01-19 18:12:16.845,2.32,0.017,0.979,-0.043
1547917936925,2019-01-19 18:12:16.925,2.4,0.01,0.957,-0.048
1547917937005,2019-01-19 18:12:17.005,2.48,0.007,0.929,-0.062
1547917937085,2019-01-19 18:12:17.085,2.56,-0.002,0.872,-0.095
1547917937165,2019-01-19 18:12:17.165,2.64,-0.007,0.846,-0.127
1547917937245,2019-01-19 18:12:17.245,2.72,-0.026,0.826,-0.125
1547917937325,2019-01-19 18:12:17.325,2.8,-0.044,0.865,-0.18
1547917937405,2019-01-19 18:12:17.405,2.88,-0.084,0.914,-0.198
1547917937485,2019-01-19 18:12:17.485,2.96,-0.099,0.93,-0.207
1547917937565,2019-01-19 18:12:17.565,3.04,-0.098,0.923,-0.224
1547917937645,2019-01-19 18:12:17.645,3.12,-0.097,0.917,-0.187
1547917937725,2019-01-19 18:12:17.725,3.2,-0.077,0.973,-0.216
1547917937805,2019-01-19 18:12:17.805,3.28,-0.06,1.019,-0.212
1547917937885,2019-01-19 18:12:17.885,3.36,-0.049,1.063,-0.192
1547917937965,2019-01-19 18:12:17.965,3.44,-0.03,1.166,-0.194
1547917938045,2019-01-19 18:12:18.045,3.52,-0.032,1.273,-0.154
1547917938125,2019-01-19 18:12:18.125,3.6,-0.002,1.05,-0.169
1547917938205,2019-01-19 18:12:18.205,3.68,-0.013,0.842,-0.134
1547917938285,2019-01-19 18:12:18.285,3.76,-0.026,1.08,-0.164
1547917938365,2019-01-19 18:12:18.365,3.84,-0.1,1.321,-0.154
1547917938445,2019-01-19 18:12:18.445,3.92,-0.092,1.243,-0.182
1547917938525,2019-01-19 18:12:18.525,4.0,-0.104,1.077,-0.155
1547917938605,2019-01-19 18:12:18.605,4.08,-0.106,1.013,-0.17
1547917938685,2019-01-19 18:12:18.685,4.16,-0.087,0.968,-0.173
1547917938765,2019-01-19 18:12:18.765,4.24,-0.062,0.947,-0.16
1547917938845,2019-01-19 18:12:18.845,4.32,-0.018,0.936,-0.141
1547917938925,2019-01-19 18:12:18.925,4.4,-0.009,0.597,-0.077
1547917939005,2019-01-19 18:12:19.005,4.48,0.038,0.506,-0.186
1547917939085,2019-01-19 18:12:19.085,4.56,-0.009,0.877,-0.059
1547917939165,2019-01-19 18:12:19.165,4.64,0.027,1.116,-0.049
1547917939245,2019-01-19 18:12:19.245,4.72,0.009,0.997,-0.054
1547917939325,2019-01-19 18:12:19.325,4.8,-0.001,0.943,-0.073
1547917939405,2019-01-19 18:12:19.405,4.88,-0.022,0.958,-0.051
1547917939485,2019-01-19 18:12:19.485,4.96,-0.004,0.967,-0.061
1547917939565,2019-01-19 18:12:19.565,5.04,0.005,0.924,-0.077
1547917939645,2019-01-19 18:12:19.645,5.12,0.016,0.828,-0.123
1547917939725,2019-01-19 18:12:19.725,5.2,-0.015,0.765,-0.14
1547917939805,2019-01-19 18:12:19.805,5.28,-0.028,0.784,-0.157
1547917939885,2019-01-19 18:12:19.885,5.36,-0.04,0.849,-0.18
1547917939965,2019-01-19 18:12:19.965,5.44,-0.058,0.895,-0.181
1547917940045,2019-01-19 18:12:20.045,5.52,-0.073,0.96,-0.191
1547917940125,2019-01-19 18:12:20.125,5.6,-0.058,1.023,-0.207
1547917940205,2019-01-19 18:12:20.205,5.68,-0.054,1.044,-0.156
1547917940285,2019-01-19 18:12:20.285,5.76,-0.046,1.097,-0.152
1547917940365,2019-01-19 18:12:20.365,5.84,-0.034,1.207,-0.128
1547917940445,2019-01-19 18:12:20.445,5.92,-0.038,1.354,-0.164
1547917940525,2019-01-19 18:12:20.525,6.0,-0.015,1.008,-0.163
1547917940605,2019-01-19 18:12:20.605,6.08,-0.014,0.773,-0.138
1547917940685,2019-01-19 18:12:20.685,6.16,-0.063,1.085,-0.157
1547917940765,2019-01-19 18:12:20.765,6.24,-0.09,1.371,-0.184
1547917940845,2019-01-19 18:12:20.845,6.32,-0.086,1.263,-0.192
1547917940925,2019-01-19 18:12:20.925,6.4,-0.089,1.093,-0.226
1547917941005,2019-01-19 18:12:21.005,6.48,-0.091,1.018,-0.239
1547917941085,2019-01-19 18:12:21.085,6.56,-0.067,0.933,-0.231
1547917941165,2019-01-19 18:12:21.165,6.64,-0.05,0.951,-0.208
1547917941245,2019-01-19 18:12:21.245,6.72,-0.038,0.811,-0.15
1547917941325,2019-01-19 18:12:21.325,6.8,0.04,0.435,-0.087
1547917941405,2019-01-19 18:12:21.405,6.88,-0.016,0.624,-0.129
1547917941485,2019-01-19 18:12:21.485,6.96,0.022,1.034,-0.096
1547917941565,2019-01-19 18:12:21.565,7.04,0.043,1.028,-0.049
1547917941645,2019-01-19 18:12:21.645,7.12,0.02,0.957,-0.06
1547917941725,2019-01-19 18:12:21.725,7.2,0.018,0.966,-0.051
1547917941805,2019-01-19 18:12:21.805,7.28,0.005,0.992,-0.041
1547917941885,2019-01-19 18:12:21.885,7.36,0.004,0.976,-0.05
1547917941965,2019-01-19 18:12:21.965,7.44,-0.009,0.949,-0.065
1547917942045,2019-01-19 18:12:22.045,7.52,-0.005,0.847,-0.098
