epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547917934175,2019-01-19 18:12:14.175,0.0,4.451,-6.098,0.244
1547917934215,2019-01-19 18:12:14.215,0.04,3.659,-6.037,0.732
1547917934255,2019-01-19 18:12:14.255,0.08,1.402,-3.902,0.915
1547917934295,2019-01-19 18:12:14.295,0.12,0.305,-2.195,-0.915
1547917934335,2019-01-19 18:12:14.335,0.16,-1.463,-1.524,-0.61
1547917934375,2019-01-19 18:12:14.375,0.2,-2.012,-0.427,-1.098
1547917934415,2019-01-19 18:12:14.415,0.24,-0.854,-0.61,-1.585
1547917934455,2019-01-19 18:12:14.455,0.28,-0.671,-1.646,0.61
1547917934495,2019-01-19 18:12:14.495,0.32,0.976,-2.561,0.793
1547917934535,2019-01-19 18:12:14.535,0.36,-0.915,-0.305,-0.671
1547917934575,2019-01-19 18:12:14.575,0.4,-2.866,1.89,-0.793
1547917934615,2019-01-19 18:12:14.615,0.44,-1.28,-0.793,0.427
1547917934655,2019-01-19 18:12:14.655,0.48,-0.671,-2.073,0.183
1547917934695,2019-01-19 18:12:14.695,0.52,0.671,-3.293,0.732
1547917934735,2019-01-19 18:12:14.735,0.56,-0.061,-3.72,1.524
1547917934775,2019-01-19 18:12:14.775,0.6,-0.061,-2.134,0.915
1547917934815,2019-01-19 18:12:14.815,0.64,-0.183,-1.829,0.244
1547917934855,2019-01-19 18:12:14.855,0.68,-0.305,-2.866,-0.061
1547917934895,2019-01-19 18:12:14.895,0.72,-0.732,-3.841,1.768
1547917934935,2019-01-19 18:12:14.935,0.76,-0.366,-1.585,0.305
1547917934975,2019-01-19 18:12:14.975,0.8,-0.915,-0.305,-0.549
1547917935015,2019-01-19 18:12:15.015,0.84,-0.427,-2.256,-1.22
1547917935055,2019-01-19 18:12:15.055,0.88,0.793,-4.878,0.671
1547917935095,2019-01-19 18:12:15.095,0.92,0.61,-3.537,0.0
1547917935135,2019-01-19 18:12:15.135,0.96,0.976,-3.78,-0.305
1547917935175,2019-01-19 18:12:15.175,1.0,0.549,-2.988,-0.244
1547917935215,2019-01-19 18:12:15.215,1.04,0.183,-2.927,0.0
1547917935255,2019-01-19 18:12:15.255,1.08,-0.854,-0.793,0.244
1547917935295,2019-01-19 18:12:15.295,1.12,-0.183,-2.195,0.0
1547917935335,2019-01-19 18:12:15.335,1.16,0.183,-2.195,0.305
1547917935375,2019-01-19 18:12:15.375,1.2,-0.61,-2.195,0.427
1547917935415,2019-01-19 18:12:15.415,1.24,-0.732,-1.707,0.61
1547917935455,2019-01-19 18:12:15.455,1.28,-0.427,-1.707,-0.183
1547917935495,2019-01-19 18:12:15.495,1.32,0.671,-3.232,-1.159
1547917935535,2019-01-19 18:12:15.535,1.36,0.671,-3.841,-1.524
1547917935575,2019-01-19 18:12:15.575,1.4,1.037,-2.622,-2.195
1547917935615,2019-01-19 18:12:15.615,1.44,2.012,-3.171,-1.524
1547917935655,2019-01-19 18:12:15.655,1.48,1.22,-2.256,-0.488
1547917935695,2019-01-19 18:12:15.695,1.52,0.549,-2.561,0.366
1547917935735,2019-01-19 18:12:15.735,1.56,-0.732,-1.159,0.427
1547917935775,2019-01-19 18:12:15.775,1.6,-0.549,-0.488,-0.549
1547917935815,2019-01-19 18:12:15.815,1.64,0.0,-1.829,-1.159
1547917935855,2019-01-19 18:12:15.855,1.68,0.427,-2.683,-0.488
1547917935895,2019-01-19 18:12:15.895,1.72,0.976,-3.171,-0.244
1547917935935,2019-01-19 18:12:15.935,1.76,2.073,-4.329,-0.427
1547917935975,2019-01-19 18:12:15.975,1.8,1.585,-4.268,-0.183
1547917936015,2019-01-19 18:12:16.015,1.84,0.793,-3.293,-1.646
1547917936055,2019-01-19 18:12:16.055,1.88,-0.549,-2.256,0.305
1547917936095,2019-01-19 18:12:16.095,1.92,-0.488,-1.341,0.793
1547917936135,2019-01-19 18:12:16.135,1.96,-0.61,-0.366,0.183
1547917936175,2019-01-19 18:12:16.175,2.0,-0.366,-0.671,-0.366
1547917936215,2019-01-19 18:12:16.215,2.04,1.098,-2.744,-0.488
1547917936255,2019-01-19 18:12:16.255,2.08,0.793,-2.988,-0.976
1547917936295,2019-01-19 18:12:16.295,2.12,1.159,-1.22,-1.951
1547917936335,2019-01-19 18:12:16.335,2.16,1.159,-2.317,-1.22
1547917936375,2019-01-19 18:12:16.375,2.2,1.524,-2.256,-2.073
1547917936415,2019-01-19 18:12:16.415,2.24,2.744,-2.927,-2.073
1547917936455,2019-01-19 18:12:16.455,2.28,1.585,-2.988,-0.122
1547917936495,2019-01-19 18:12:16.495,2.32,-0.549,-2.317,0.366
1547917936535,2019-01-19 18:12:16.535,2.36,-1.646,-0.976,0.305
1547917936575,2019-01-19 18:12:16.575,2.4,-2.805,1.463,-0.488
1547917936615,2019-01-19 18:12:16.615,2.44,0.488,-2.195,-0.732
1547917936655,2019-01-19 18:12:16.655,2.48,1.829,-4.756,0.549
1547917936695,2019-01-19 18:12:16.695,2.52,1.768,-4.268,-0.366
1547917936735,2019-01-19 18:12:16.735,2.56,0.427,-1.341,-2.988
1547917936775,2019-01-19 18:12:16.775,2.6,1.585,-2.805,-1.585
1547917936815,2019-01-19 18:12:16.815,2.64,-0.122,-2.805,1.098
1547917936855,2019-01-19 18:12:16.855,2.68,0.183,-1.463,-0.976
1547917936895,2019-01-19 18:12:16.895,2.72,1.524,-1.524,-1.098
1547917936935,2019-01-19 18:12:16.935,2.76,2.378,-1.89,-0.244
1547917936975,2019-01-19 18:12:16.975,2.8,4.146,-4.085,-1.402
1547917937015,2019-01-19 18:12:17.015,2.84,8.78,-3.902,-5.427
1547917937055,2019-01-19 18:12:17.055,2.88,11.463,-2.561,-12.744
