epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547667327652,2019-01-16 20:35:27.652,0.0,0.044,-1.007,-0.142
1547667327732,2019-01-16 20:35:27.732,0.08,0.042,-1.039,-0.185
1547667327812,2019-01-16 20:35:27.812,0.16,0.066,-1.02,-0.138
1547667327892,2019-01-16 20:35:27.892,0.24,0.06,-1.059,-0.134
1547667327972,2019-01-16 20:35:27.972,0.32,0.064,-1.121,-0.16
1547667328052,2019-01-16 20:35:28.052,0.4,0.067,-1.161,-0.158
1547667328132,2019-01-16 20:35:28.132,0.48,0.05,-1.157,-0.165
1547667328212,2019-01-16 20:35:28.212,0.56,0.038,-1.18,-0.158
1547667328292,2019-01-16 20:35:28.292,0.64,0.043,-1.162,-0.162
1547667328372,2019-01-16 20:35:28.372,0.72,0.046,-1.152,-0.152
1547667328452,2019-01-16 20:35:28.452,0.8,0.038,-1.127,-0.133
1547667328532,2019-01-16 20:35:28.532,0.88,0.039,-1.112,-0.119
1547667328612,2019-01-16 20:35:28.612,0.96,0.02,-1.081,-0.116
1547667328692,2019-01-16 20:35:28.692,1.04,0.006,-1.028,-0.093
1547667328772,2019-01-16 20:35:28.772,1.12,0.004,-0.929,-0.087
1547667328852,2019-01-16 20:35:28.852,1.2,0.027,-0.757,0.009
1547667328932,2019-01-16 20:35:28.932,1.28,0.03,-0.616,0.087
1547667329012,2019-01-16 20:35:29.012,1.36,-0.006,-0.664,0.196
1547667329092,2019-01-16 20:35:29.092,1.44,0.007,-0.917,0.192
1547667329172,2019-01-16 20:35:29.172,1.52,-0.042,-1.086,0.152
1547667329252,2019-01-16 20:35:29.252,1.6,-0.046,-1.042,0.148
1547667329332,2019-01-16 20:35:29.332,1.68,-0.043,-0.857,0.136
1547667329412,2019-01-16 20:35:29.412,1.76,-0.058,-0.782,0.045
1547667329492,2019-01-16 20:35:29.492,1.84,0.024,-0.852,0.02
1547667329572,2019-01-16 20:35:29.572,1.92,0.019,-0.936,0.0
1547667329652,2019-01-16 20:35:29.652,2.0,-0.018,-0.909,-0.054
1547667329732,2019-01-16 20:35:29.732,2.08,-0.006,-0.998,-0.148
1547667329812,2019-01-16 20:35:29.812,2.16,-0.005,-1.064,-0.091
1547667329892,2019-01-16 20:35:29.892,2.24,0.031,-1.039,-0.188
1547667329972,2019-01-16 20:35:29.972,2.32,0.03,-1.071,-0.129
1547667330052,2019-01-16 20:35:30.052,2.4,0.018,-1.075,-0.145
1547667330132,2019-01-16 20:35:30.132,2.48,0.031,-1.115,-0.137
1547667330212,2019-01-16 20:35:30.212,2.56,-0.006,-1.173,-0.134
1547667330292,2019-01-16 20:35:30.292,2.64,0.059,-1.051,-0.173
1547667330372,2019-01-16 20:35:30.372,2.72,0.006,-1.393,-0.356
1547667330452,2019-01-16 20:35:30.452,2.8,0.103,-1.05,0.078
1547667330532,2019-01-16 20:35:30.532,2.88,0.102,-1.014,-0.168
1547667330612,2019-01-16 20:35:30.612,2.96,0.074,-1.143,-0.192
1547667330692,2019-01-16 20:35:30.692,3.04,0.078,-1.099,-0.133
1547667330772,2019-01-16 20:35:30.772,3.12,0.02,-0.957,-0.119
1547667330852,2019-01-16 20:35:30.852,3.2,0.017,-1.052,-0.146
1547667330932,2019-01-16 20:35:30.932,3.28,0.024,-1.153,-0.126
1547667331012,2019-01-16 20:35:31.012,3.36,0.029,-1.199,-0.132
1547667331092,2019-01-16 20:35:31.092,3.44,0.025,-1.215,-0.172
1547667331172,2019-01-16 20:35:31.172,3.52,0.012,-1.19,-0.183
1547667331252,2019-01-16 20:35:31.252,3.6,0.019,-1.187,-0.167
1547667331332,2019-01-16 20:35:31.332,3.68,0.019,-1.158,-0.155
1547667331412,2019-01-16 20:35:31.412,3.76,0.006,-1.138,-0.155
1547667331492,2019-01-16 20:35:31.492,3.84,-0.015,-1.084,-0.135
1547667331572,2019-01-16 20:35:31.572,3.92,-0.015,-0.979,-0.089
1547667331652,2019-01-16 20:35:31.652,4.0,0.02,-0.843,-0.075
1547667331732,2019-01-16 20:35:31.732,4.08,0.055,-0.68,0.051
1547667331812,2019-01-16 20:35:31.812,4.16,0.035,-0.593,0.107
1547667331892,2019-01-16 20:35:31.892,4.24,-0.027,-0.665,0.242
1547667331972,2019-01-16 20:35:31.972,4.32,-0.006,-0.949,0.249
1547667332052,2019-01-16 20:35:32.052,4.4,-0.047,-1.125,0.235
1547667332132,2019-01-16 20:35:32.132,4.48,-0.037,-1.062,0.212
1547667332212,2019-01-16 20:35:32.212,4.56,-0.031,-0.907,0.188
1547667332292,2019-01-16 20:35:32.292,4.64,-0.022,-0.809,0.093
1547667332372,2019-01-16 20:35:32.372,4.72,0.019,-0.818,0.032
1547667332452,2019-01-16 20:35:32.452,4.8,0.019,-0.853,0.018
1547667332532,2019-01-16 20:35:32.532,4.88,0.022,-0.878,-0.066
1547667332612,2019-01-16 20:35:32.612,4.96,0.041,-0.935,-0.073
1547667332692,2019-01-16 20:35:32.692,5.04,0.022,-0.967,-0.121
1547667332772,2019-01-16 20:35:32.772,5.12,0.016,-1.016,-0.169
1547667332852,2019-01-16 20:35:32.852,5.2,0.054,-1.101,-0.138
1547667332932,2019-01-16 20:35:32.932,5.28,0.021,-1.131,-0.218
1547667333012,2019-01-16 20:35:33.012,5.36,0.045,-1.154,-0.179
1547667333092,2019-01-16 20:35:33.092,5.44,0.052,-1.171,-0.156
1547667333172,2019-01-16 20:35:33.172,5.52,-0.03,-1.325,-0.312
1547667333252,2019-01-16 20:35:33.252,5.6,0.161,-1.221,-0.047
1547667333332,2019-01-16 20:35:33.332,5.68,0.074,-1.098,-0.151
1547667333412,2019-01-16 20:35:33.412,5.76,0.071,-0.93,-0.166
1547667333492,2019-01-16 20:35:33.492,5.84,0.054,-1.044,-0.104
1547667333572,2019-01-16 20:35:33.572,5.92,0.124,-1.109,-0.237
1547667333652,2019-01-16 20:35:33.652,6.0,0.175,-1.147,-0.218
1547667333732,2019-01-16 20:35:33.732,6.08,0.062,-0.986,-0.173
1547667333812,2019-01-16 20:35:33.812,6.16,0.021,-0.971,-0.126
1547667333892,2019-01-16 20:35:33.892,6.24,0.054,-1.013,-0.147
1547667333972,2019-01-16 20:35:33.972,6.32,0.04,-1.074,-0.121
1547667334052,2019-01-16 20:35:34.052,6.4,0.038,-1.14,-0.108
1547667334132,2019-01-16 20:35:34.132,6.48,0.031,-1.192,-0.112
1547667334212,2019-01-16 20:35:34.212,6.56,0.037,-1.164,-0.11
1547667334292,2019-01-16 20:35:34.292,6.64,0.012,-1.195,-0.14
1547667334372,2019-01-16 20:35:34.372,6.72,0.008,-1.197,-0.155
1547667334452,2019-01-16 20:35:34.452,6.8,0.021,-1.186,-0.114
