epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547667327366,2019-01-16 20:35:27.366,0.0,8.049,-0.122,20.61
1547667327406,2019-01-16 20:35:27.406,0.04,6.037,2.561,18.354
1547667327446,2019-01-16 20:35:27.446,0.08,-8.841,23.049,0.854
1547667327486,2019-01-16 20:35:27.486,0.12,-17.256,21.585,-1.89
1547667327526,2019-01-16 20:35:27.526,0.16,-2.439,-17.561,-6.524
1547667327566,2019-01-16 20:35:27.566,0.2,-1.22,-17.012,-10.854
1547667327606,2019-01-16 20:35:27.606,0.24,-5.915,-5.305,-4.207
1547667327646,2019-01-16 20:35:27.646,0.28,0.244,-13.293,-0.183
1547667327686,2019-01-16 20:35:27.686,0.32,2.622,-14.085,-3.963
1547667327726,2019-01-16 20:35:27.726,0.36,9.634,-21.585,-5.915
1547667327766,2019-01-16 20:35:27.766,0.4,6.585,-13.049,-1.463
1547667327806,2019-01-16 20:35:27.806,0.44,2.317,-9.573,0.122
1547667327846,2019-01-16 20:35:27.846,0.48,7.012,-13.171,-2.866
1547667327886,2019-01-16 20:35:27.886,0.52,3.659,-4.512,0.549
1547667327926,2019-01-16 20:35:27.926,0.56,7.195,-4.268,3.659
1547667327966,2019-01-16 20:35:27.966,0.6,7.195,-4.329,1.951
1547667328006,2019-01-16 20:35:28.006,0.64,10.854,-6.707,2.744
1547667328046,2019-01-16 20:35:28.046,0.68,3.902,-1.22,2.622
1547667328086,2019-01-16 20:35:28.086,0.72,5.305,-4.268,0.183
1547667328126,2019-01-16 20:35:28.126,0.76,9.329,-2.073,4.512
1547667328166,2019-01-16 20:35:28.166,0.8,7.012,4.939,0.793
1547667328206,2019-01-16 20:35:28.206,0.84,5.854,-4.024,1.768
1547667328246,2019-01-16 20:35:28.246,0.88,3.476,0.061,2.561
1547667328286,2019-01-16 20:35:28.286,0.92,7.561,-0.793,2.5
1547667328326,2019-01-16 20:35:28.326,0.96,6.463,1.098,5.915
1547667328366,2019-01-16 20:35:28.366,1.0,8.232,-1.22,3.293
1547667328406,2019-01-16 20:35:28.406,1.04,5.244,4.146,3.11
1547667328446,2019-01-16 20:35:28.446,1.08,5.0,0.488,2.988
1547667328486,2019-01-16 20:35:28.486,1.12,4.634,3.659,3.78
1547667328526,2019-01-16 20:35:28.526,1.16,5.915,2.134,2.683
1547667328566,2019-01-16 20:35:28.566,1.2,7.622,-1.89,3.171
1547667328606,2019-01-16 20:35:28.606,1.24,12.561,4.756,0.366
1547667328646,2019-01-16 20:35:28.646,1.28,20.427,-7.805,1.037
1547667328686,2019-01-16 20:35:28.686,1.32,23.476,7.744,-0.793
1547667328726,2019-01-16 20:35:28.726,1.36,39.329,-7.073,1.463
1547667328766,2019-01-16 20:35:28.766,1.4,46.463,-11.463,8.963
1547667328806,2019-01-16 20:35:28.806,1.44,49.146,-16.341,12.439
1547667328846,2019-01-16 20:35:28.846,1.48,45.427,6.402,13.902
1547667328886,2019-01-16 20:35:28.886,1.52,45.488,11.646,17.317
1547667328926,2019-01-16 20:35:28.926,1.56,46.463,1.037,16.768
1547667328966,2019-01-16 20:35:28.966,1.6,31.585,-12.683,13.354
1547667329006,2019-01-16 20:35:29.006,1.64,12.256,-0.427,6.037
1547667329046,2019-01-16 20:35:29.046,1.68,-4.756,4.024,5.671
1547667329086,2019-01-16 20:35:29.086,1.72,-7.988,0.61,9.024
1547667329126,2019-01-16 20:35:29.126,1.76,-12.073,-0.854,5.488
1547667329166,2019-01-16 20:35:29.166,1.8,-12.256,8.476,3.963
1547667329206,2019-01-16 20:35:29.206,1.84,-16.037,7.622,-2.805
1547667329246,2019-01-16 20:35:29.246,1.88,-23.902,15.061,-3.11
1547667329286,2019-01-16 20:35:29.286,1.92,-32.378,12.378,-6.707
1547667329326,2019-01-16 20:35:29.326,1.96,-36.22,7.866,-13.963
1547667329366,2019-01-16 20:35:29.366,2.0,-37.195,7.561,-19.268
1547667329406,2019-01-16 20:35:29.406,2.04,-29.451,-15.366,-20.854
1547667329446,2019-01-16 20:35:29.446,2.08,-26.89,-19.268,-11.646
1547667329486,2019-01-16 20:35:29.486,2.12,-24.024,-20.061,-5.122
1547667329526,2019-01-16 20:35:29.526,2.16,-21.402,-36.829,-3.841
1547667329566,2019-01-16 20:35:29.566,2.2,-29.024,-20.427,3.476
1547667329606,2019-01-16 20:35:29.606,2.24,-35.488,10.488,-1.768
1547667329646,2019-01-16 20:35:29.646,2.28,-21.402,-3.902,-2.683
1547667329686,2019-01-16 20:35:29.686,2.32,-10.671,-6.037,-4.878
1547667329726,2019-01-16 20:35:29.726,2.36,-8.598,-2.378,-3.598
1547667329766,2019-01-16 20:35:29.766,2.4,-13.354,7.317,-2.5
1547667329806,2019-01-16 20:35:29.806,2.44,0.305,-9.451,-0.183
1547667329846,2019-01-16 20:35:29.846,2.48,2.683,-0.671,-1.402
1547667329886,2019-01-16 20:35:29.886,2.52,3.171,-4.085,1.098
1547667329926,2019-01-16 20:35:29.926,2.56,-0.061,-1.768,1.341
1547667329966,2019-01-16 20:35:29.966,2.6,1.585,-3.11,1.037
1547667330006,2019-01-16 20:35:30.006,2.64,0.183,2.073,0.549
1547667330046,2019-01-16 20:35:30.046,2.68,0.915,-3.049,1.22
1547667330086,2019-01-16 20:35:30.086,2.72,-3.841,2.256,0.0
1547667330126,2019-01-16 20:35:30.126,2.76,-5.061,2.622,0.61
1547667330166,2019-01-16 20:35:30.166,2.8,-5.122,-3.476,-0.183
1547667330206,2019-01-16 20:35:30.206,2.84,-3.232,0.122,-18.72
1547667330246,2019-01-16 20:35:30.246,2.88,3.171,-3.72,-13.11
1547667330286,2019-01-16 20:35:30.286,2.92,1.951,19.451,5.305
1547667330326,2019-01-16 20:35:30.326,2.96,-2.866,29.207,-5.122
1547667330366,2019-01-16 20:35:30.366,3.0,24.024,-13.902,-14.512
1547667330406,2019-01-16 20:35:30.406,3.04,-35.0,35.122,2.012
1547667330446,2019-01-16 20:35:30.446,3.08,-17.805,23.11,-2.927
1547667330486,2019-01-16 20:35:30.486,3.12,-0.854,-5.915,11.89
1547667330526,2019-01-16 20:35:30.526,3.16,-13.11,27.317,0.671
1547667330566,2019-01-16 20:35:30.566,3.2,7.012,-21.341,-9.146
1547667330606,2019-01-16 20:35:30.606,3.24,28.11,-92.073,1.037
1547667330646,2019-01-16 20:35:30.646,3.28,23.232,-56.768,2.439
1547667330686,2019-01-16 20:35:30.686,3.32,10.549,2.012,7.622
1547667330726,2019-01-16 20:35:30.726,3.36,3.171,17.683,9.146
1547667330766,2019-01-16 20:35:30.766,3.4,-0.305,11.28,9.024
1547667330806,2019-01-16 20:35:30.806,3.44,0.0,-0.915,11.463
1547667330846,2019-01-16 20:35:30.846,3.48,-0.671,-5.0,5.732
1547667330886,2019-01-16 20:35:30.886,3.52,-2.134,-1.646,1.28
1547667330926,2019-01-16 20:35:30.926,3.56,-0.671,-4.451,5.183
1547667330966,2019-01-16 20:35:30.966,3.6,-4.878,1.585,3.963
1547667331006,2019-01-16 20:35:31.006,3.64,-4.024,1.463,1.768
1547667331046,2019-01-16 20:35:31.046,3.68,-1.098,0.671,2.195
1547667331086,2019-01-16 20:35:31.086,3.72,-0.854,1.341,0.427
1547667331126,2019-01-16 20:35:31.126,3.76,-0.183,1.585,-1.951
1547667331166,2019-01-16 20:35:31.166,3.8,4.939,-4.39,1.402
1547667331206,2019-01-16 20:35:31.206,3.84,6.524,-4.268,0.915
1547667331246,2019-01-16 20:35:31.246,3.88,4.451,-1.585,2.317
1547667331286,2019-01-16 20:35:31.286,3.92,9.573,-7.012,1.585
1547667331326,2019-01-16 20:35:31.326,3.96,8.476,-0.976,0.671
1547667331366,2019-01-16 20:35:31.366,4.0,13.171,-0.061,-0.305
1547667331406,2019-01-16 20:35:31.406,4.04,16.098,-0.549,4.939
1547667331446,2019-01-16 20:35:31.446,4.08,18.476,3.11,-3.293
1547667331486,2019-01-16 20:35:31.486,4.12,28.171,3.171,-2.5
1547667331526,2019-01-16 20:35:31.526,4.16,29.573,7.561,-3.72
1547667331566,2019-01-16 20:35:31.566,4.2,48.049,10.915,-5.061
1547667331606,2019-01-16 20:35:31.606,4.24,64.634,-15.732,-0.122
1547667331646,2019-01-16 20:35:31.646,4.28,56.951,13.049,0.976
1547667331686,2019-01-16 20:35:31.686,4.32,56.829,27.195,4.634
1547667331726,2019-01-16 20:35:31.726,4.36,59.451,2.805,23.902
1547667331766,2019-01-16 20:35:31.766,4.4,37.805,-1.89,16.951
1547667331806,2019-01-16 20:35:31.806,4.44,34.146,-36.098,11.707
1547667331846,2019-01-16 20:35:31.846,4.48,21.524,-30.732,7.378
1547667331886,2019-01-16 20:35:31.886,4.52,-0.305,-3.293,3.171
1547667331926,2019-01-16 20:35:31.926,4.56,-13.354,5.0,8.963
1547667331966,2019-01-16 20:35:31.966,4.6,-14.634,2.5,9.817
1547667332006,2019-01-16 20:35:32.006,4.64,-16.707,6.22,4.451
1547667332046,2019-01-16 20:35:32.046,4.68,-11.463,-1.22,1.829
1547667332086,2019-01-16 20:35:32.086,4.72,-12.683,-0.732,-3.415
1547667332126,2019-01-16 20:35:32.126,4.76,-17.378,1.402,-3.354
1547667332166,2019-01-16 20:35:32.166,4.8,-21.524,-3.902,-2.195
1547667332206,2019-01-16 20:35:32.206,4.84,-30.122,5.732,-11.646
1547667332246,2019-01-16 20:35:32.246,4.88,-34.146,4.024,-13.78
1547667332286,2019-01-16 20:35:32.286,4.92,-34.756,6.341,-16.159
1547667332326,2019-01-16 20:35:32.326,4.96,-34.146,2.927,-14.085
1547667332366,2019-01-16 20:35:32.366,5.0,-31.768,-8.537,-11.159
1547667332406,2019-01-16 20:35:32.406,5.04,-37.805,-12.744,-9.024
1547667332446,2019-01-16 20:35:32.446,5.08,-30.61,-18.841,-5.671
1547667332486,2019-01-16 20:35:32.486,5.12,-26.768,-26.22,2.134
1547667332526,2019-01-16 20:35:32.526,5.16,-29.146,6.341,-4.512
