epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547310264873,2019-01-12 17:24:24.873,0.0,0.027,-1.009,-0.108
1547310264953,2019-01-12 17:24:24.953,0.08,0.086,-1.045,-0.223
1547310265033,2019-01-12 17:24:25.033,0.16,0.055,-1.039,-0.205
1547310265113,2019-01-12 17:24:25.113,0.24,0.068,-1.022,-0.14
1547310265193,2019-01-12 17:24:25.193,0.32,0.097,-1.014,-0.121
1547310265273,2019-01-12 17:24:25.273,0.4,0.074,-1.017,-0.143
1547310265353,2019-01-12 17:24:25.353,0.48,0.044,-1.027,-0.108
1547310265433,2019-01-12 17:24:25.433,0.56,0.021,-1.042,-0.098
1547310265513,2019-01-12 17:24:25.513,0.64,0.04,-1.028,-0.126
1547310265593,2019-01-12 17:24:25.593,0.72,0.031,-1.025,-0.12
1547310265673,2019-01-12 17:24:25.673,0.8,0.036,-1.023,-0.119
1547310265753,2019-01-12 17:24:25.753,0.88,0.057,-1.028,-0.13
1547310265833,2019-01-12 17:24:25.833,0.96,0.049,-1.031,-0.128
1547310265913,2019-01-12 17:24:25.913,1.04,0.039,-1.022,-0.133
1547310265993,2019-01-12 17:24:25.993,1.12,0.093,-1.023,-0.166
1547310266073,2019-01-12 17:24:26.073,1.2,0.041,-1.022,-0.126
1547310266153,2019-01-12 17:24:26.153,1.28,0.035,-1.034,-0.115
1547310266233,2019-01-12 17:24:26.233,1.36,0.06,-1.021,-0.141
1547310266313,2019-01-12 17:24:26.313,1.44,0.053,-1.023,-0.128
1547310266393,2019-01-12 17:24:26.393,1.52,0.035,-1.034,-0.106
1547310266473,2019-01-12 17:24:26.473,1.6,0.017,-1.036,-0.143
1547310266553,2019-01-12 17:24:26.553,1.68,0.046,-1.042,-0.117
1547310266633,2019-01-12 17:24:26.633,1.76,0.137,-1.103,-0.171
1547310266713,2019-01-12 17:24:26.713,1.84,0.035,-1.093,-0.0
1547310266793,2019-01-12 17:24:26.793,1.92,0.033,-0.988,-0.034
1547310266873,2019-01-12 17:24:26.873,2.0,-0.009,-0.925,-0.206
1547310266953,2019-01-12 17:24:26.953,2.08,0.047,-1.045,-0.052
1547310267033,2019-01-12 17:24:27.033,2.16,0.028,-1.055,-0.03
1547310267113,2019-01-12 17:24:27.113,2.24,0.003,-1.064,-0.056
1547310267193,2019-01-12 17:24:27.193,2.32,0.045,-1.221,-0.072
1547310267273,2019-01-12 17:24:27.273,2.4,0.036,-1.28,-0.052
1547310267353,2019-01-12 17:24:27.353,2.48,0.035,-1.266,-0.047
1547310267433,2019-01-12 17:24:27.433,2.56,0.028,-1.251,-0.072
1547310267513,2019-01-12 17:24:27.513,2.64,0.042,-1.224,-0.08
1547310267593,2019-01-12 17:24:27.593,2.72,0.016,-1.164,0.014
1547310267673,2019-01-12 17:24:27.673,2.8,0.008,-1.123,-0.068
1547310267753,2019-01-12 17:24:27.753,2.88,0.014,-1.068,0.018
1547310267833,2019-01-12 17:24:27.833,2.96,0.024,-0.932,0.028
1547310267913,2019-01-12 17:24:27.913,3.04,0.002,-0.75,0.038
1547310267993,2019-01-12 17:24:27.993,3.12,0.032,-0.516,0.16
1547310268073,2019-01-12 17:24:28.073,3.2,0.024,-0.481,0.267
1547310268153,2019-01-12 17:24:28.153,3.28,-0.021,-0.79,0.376
1547310268233,2019-01-12 17:24:28.233,3.36,-0.064,-1.138,0.264
1547310268313,2019-01-12 17:24:28.313,3.44,-0.074,-1.04,0.331
1547310268393,2019-01-12 17:24:28.393,3.52,-0.03,-0.873,0.334
1547310268473,2019-01-12 17:24:28.473,3.6,-0.052,-0.806,0.215
1547310268553,2019-01-12 17:24:28.553,3.68,-0.038,-0.744,0.104
1547310268633,2019-01-12 17:24:28.633,3.76,0.044,-0.786,0.118
1547310268713,2019-01-12 17:24:28.713,3.84,-0.021,-0.917,0.106
1547310268793,2019-01-12 17:24:28.793,3.92,0.007,-0.968,0.043
1547310268873,2019-01-12 17:24:28.873,4.0,-0.013,-0.94,0.002
1547310268953,2019-01-12 17:24:28.953,4.08,0.029,-1.015,0.026
1547310269033,2019-01-12 17:24:29.033,4.16,0.024,-1.069,-0.013
1547310269113,2019-01-12 17:24:29.113,4.24,0.026,-1.111,-0.008
1547310269193,2019-01-12 17:24:29.193,4.32,0.016,-1.146,-0.043
1547310269273,2019-01-12 17:24:29.273,4.4,0.021,-1.206,-0.055
1547310269353,2019-01-12 17:24:29.353,4.48,0.037,-1.272,-0.068
1547310269433,2019-01-12 17:24:29.433,4.56,0.016,-1.461,-0.138
1547310269513,2019-01-12 17:24:29.513,4.64,0.137,-1.078,0.028
1547310269593,2019-01-12 17:24:29.593,4.72,0.037,-0.961,-0.069
1547310269673,2019-01-12 17:24:29.673,4.8,0.035,-1.113,-0.06
1547310269753,2019-01-12 17:24:29.753,4.88,0.048,-1.019,-0.036
1547310269833,2019-01-12 17:24:29.833,4.96,0.014,-1.07,-0.055
1547310269913,2019-01-12 17:24:29.913,5.04,0.029,-1.266,-0.07
1547310269993,2019-01-12 17:24:29.993,5.12,0.04,-1.323,-0.077
1547310270073,2019-01-12 17:24:30.073,5.2,0.034,-1.278,-0.023
1547310270153,2019-01-12 17:24:30.153,5.28,0.004,-1.258,0.003
1547310270233,2019-01-12 17:24:30.233,5.36,0.01,-1.239,-0.055
1547310270313,2019-01-12 17:24:30.313,5.44,0.004,-1.192,-0.009
1547310270393,2019-01-12 17:24:30.393,5.52,0.004,-1.087,-0.024
1547310270473,2019-01-12 17:24:30.473,5.6,-0.013,-0.964,0.014
1547310270553,2019-01-12 17:24:30.553,5.68,-0.009,-0.827,0.02
1547310270633,2019-01-12 17:24:30.633,5.76,-0.009,-0.627,0.061
1547310270713,2019-01-12 17:24:30.713,5.84,0.002,-0.474,0.106
1547310270793,2019-01-12 17:24:30.793,5.92,0.009,-0.511,0.413
1547310270873,2019-01-12 17:24:30.873,6.0,-0.074,-0.942,0.415
1547310270953,2019-01-12 17:24:30.953,6.08,-0.045,-1.128,0.367
1547310271033,2019-01-12 17:24:31.033,6.16,-0.047,-0.938,0.525
1547310271113,2019-01-12 17:24:31.113,6.24,-0.066,-0.868,0.569
1547310271193,2019-01-12 17:24:31.193,6.32,-0.056,-0.926,0.361
1547310271273,2019-01-12 17:24:31.273,6.4,-0.016,-0.925,0.415
1547310271353,2019-01-12 17:24:31.353,6.48,-0.078,-0.896,0.382
1547310271433,2019-01-12 17:24:31.433,6.56,-0.058,-0.851,0.222
1547310271513,2019-01-12 17:24:31.513,6.64,-0.021,-0.756,0.205
1547310271593,2019-01-12 17:24:31.593,6.72,-0.001,-0.764,0.154
1547310271673,2019-01-12 17:24:31.673,6.8,0.002,-0.86,0.11
1547310271753,2019-01-12 17:24:31.753,6.88,-0.02,-0.894,-0.001
1547310271833,2019-01-12 17:24:31.833,6.96,0.028,-0.943,-0.012
1547310271913,2019-01-12 17:24:31.913,7.04,0.018,-1.018,0.032
1547310271993,2019-01-12 17:24:31.993,7.12,0.016,-1.097,-0.041
1547310272073,2019-01-12 17:24:32.073,7.2,0.03,-1.144,-0.017
1547310272153,2019-01-12 17:24:32.153,7.28,0.009,-1.203,-0.062
1547310272233,2019-01-12 17:24:32.233,7.36,0.039,-1.252,-0.056
1547310272313,2019-01-12 17:24:32.313,7.44,0.063,-1.226,-0.024
1547310272393,2019-01-12 17:24:32.393,7.52,0.072,-1.354,-0.192
1547310272473,2019-01-12 17:24:32.473,7.6,0.146,-1.156,0.137
1547310272553,2019-01-12 17:24:32.553,7.68,0.086,-1.015,-0.075
1547310272633,2019-01-12 17:24:32.633,7.76,0.037,-1.014,-0.03
1547310272713,2019-01-12 17:24:32.713,7.84,0.05,-0.945,0.013
1547310272793,2019-01-12 17:24:32.793,7.92,0.113,-1.159,-0.21
1547310272873,2019-01-12 17:24:32.873,8.0,0.125,-1.131,-0.023
1547310272953,2019-01-12 17:24:32.953,8.08,0.056,-1.224,-0.02
1547310273033,2019-01-12 17:24:33.033,8.16,0.031,-1.308,-0.056
1547310273113,2019-01-12 17:24:33.113,8.24,0.063,-1.22,0.016
1547310273193,2019-01-12 17:24:33.193,8.32,0.007,-1.204,-0.011
1547310273273,2019-01-12 17:24:33.273,8.4,0.033,-1.208,-0.042
1547310273353,2019-01-12 17:24:33.353,8.48,0.028,-1.192,0.012
1547310273433,2019-01-12 17:24:33.433,8.56,0.024,-1.161,0.023
1547310273513,2019-01-12 17:24:33.513,8.64,-0.008,-1.073,0.025
1547310273593,2019-01-12 17:24:33.593,8.72,0.009,-0.913,0.034
1547310273673,2019-01-12 17:24:33.673,8.8,0.009,-0.668,0.059
1547310273753,2019-01-12 17:24:33.753,8.88,0.021,-0.458,0.09
1547310273833,2019-01-12 17:24:33.833,8.96,-0.008,-0.396,0.396
1547310273913,2019-01-12 17:24:33.913,9.04,0.004,-0.833,0.4
