epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547310264906,2019-01-12 17:24:24.906,0.0,0.61,6.28,-0.488
1547310264946,2019-01-12 17:24:24.946,0.04,1.951,2.012,4.024
1547310264986,2019-01-12 17:24:24.986,0.08,7.134,-16.341,3.72
1547310265026,2019-01-12 17:24:25.026,0.12,18.476,-64.756,3.171
1547310265066,2019-01-12 17:24:25.066,0.16,17.317,-47.927,3.841
1547310265106,2019-01-12 17:24:25.106,0.2,11.524,-27.439,5.488
1547310265146,2019-01-12 17:24:25.146,0.24,10.61,-11.524,5.915
1547310265186,2019-01-12 17:24:25.186,0.28,6.341,-2.866,4.024
1547310265226,2019-01-12 17:24:25.226,0.32,5.549,-4.817,2.561
1547310265266,2019-01-12 17:24:25.266,0.36,0.122,0.244,4.573
1547310265306,2019-01-12 17:24:25.306,0.4,1.829,0.488,4.817
1547310265346,2019-01-12 17:24:25.346,0.44,0.61,1.829,3.232
1547310265386,2019-01-12 17:24:25.386,0.48,2.256,-3.902,0.671
1547310265426,2019-01-12 17:24:25.426,0.52,1.646,-0.854,-0.976
1547310265466,2019-01-12 17:24:25.466,0.56,1.646,-1.829,1.707
1547310265506,2019-01-12 17:24:25.506,0.6,-1.098,2.073,4.39
1547310265546,2019-01-12 17:24:25.546,0.64,-3.049,8.476,3.537
1547310265586,2019-01-12 17:24:25.586,0.68,-0.793,7.683,0.427
1547310265626,2019-01-12 17:24:25.626,0.72,-2.988,17.012,-3.354
1547310265666,2019-01-12 17:24:25.666,0.76,-1.28,10.061,-2.866
1547310265706,2019-01-12 17:24:25.706,0.8,-0.915,8.049,-2.073
1547310265746,2019-01-12 17:24:25.746,0.84,0.061,3.963,-1.463
1547310265786,2019-01-12 17:24:25.786,0.88,0.244,9.756,-1.341
1547310265826,2019-01-12 17:24:25.826,0.92,-0.732,10.61,0.671
1547310265866,2019-01-12 17:24:25.866,0.96,-1.037,15.366,-2.439
1547310265906,2019-01-12 17:24:25.906,1.0,0.183,3.598,-1.829
1547310265946,2019-01-12 17:24:25.946,1.04,-0.427,-18.963,4.329
1547310265986,2019-01-12 17:24:25.986,1.08,0.61,-31.89,5.183
1547310266026,2019-01-12 17:24:26.026,1.12,2.988,-13.354,1.707
1547310266066,2019-01-12 17:24:26.066,1.16,3.72,-6.524,1.341
1547310266106,2019-01-12 17:24:26.106,1.2,3.354,-7.744,1.159
1547310266146,2019-01-12 17:24:26.146,1.24,1.463,-6.037,1.707
1547310266186,2019-01-12 17:24:26.186,1.28,0.061,-6.341,2.073
1547310266226,2019-01-12 17:24:26.226,1.32,-0.671,-4.512,0.488
1547310266266,2019-01-12 17:24:26.266,1.36,1.341,-6.28,0.366
1547310266306,2019-01-12 17:24:26.306,1.4,-2.256,12.805,0.915
1547310266346,2019-01-12 17:24:26.346,1.44,-5.244,27.683,1.098
1547310266386,2019-01-12 17:24:26.386,1.48,3.11,0.0,1.89
1547310266426,2019-01-12 17:24:26.426,1.52,6.28,-6.585,-1.402
1547310266466,2019-01-12 17:24:26.466,1.56,6.159,-4.146,-3.293
1547310266506,2019-01-12 17:24:26.506,1.6,6.524,-9.329,-3.232
1547310266546,2019-01-12 17:24:26.546,1.64,8.171,-17.073,2.439
1547310266586,2019-01-12 17:24:26.586,1.68,16.402,-43.78,14.207
1547310266626,2019-01-12 17:24:26.626,1.72,16.341,-43.537,8.415
1547310266666,2019-01-12 17:24:26.666,1.76,22.988,-35.671,-9.512
1547310266706,2019-01-12 17:24:26.706,1.8,20.366,-36.098,-17.988
1547310266746,2019-01-12 17:24:26.746,1.84,10.915,-37.805,-8.659
1547310266786,2019-01-12 17:24:26.786,1.88,0.854,-21.037,6.89
1547310266826,2019-01-12 17:24:26.826,1.92,2.927,-7.988,11.951
1547310266866,2019-01-12 17:24:26.866,1.96,7.622,-3.293,-3.293
1547310266906,2019-01-12 17:24:26.906,2.0,4.634,-0.488,-7.561
1547310266946,2019-01-12 17:24:26.946,2.04,3.476,-13.232,9.024
1547310266986,2019-01-12 17:24:26.986,2.08,2.5,-8.902,2.439
1547310267026,2019-01-12 17:24:27.026,2.12,-0.854,-2.439,0.122
1547310267066,2019-01-12 17:24:27.066,2.16,3.171,-7.378,5.427
1547310267106,2019-01-12 17:24:27.106,2.2,0.793,-5.976,5.671
1547310267146,2019-01-12 17:24:27.146,2.24,7.134,-6.768,1.646
1547310267186,2019-01-12 17:24:27.186,2.28,7.744,-12.5,3.78
1547310267226,2019-01-12 17:24:27.226,2.32,3.354,-7.439,4.756
1547310267266,2019-01-12 17:24:27.266,2.36,9.756,-8.659,-2.927
1547310267306,2019-01-12 17:24:27.306,2.4,6.585,-9.146,3.293
1547310267346,2019-01-12 17:24:27.346,2.44,6.098,-2.5,-3.415
1547310267386,2019-01-12 17:24:27.386,2.48,6.037,-2.683,0.671
1547310267426,2019-01-12 17:24:27.426,2.52,4.39,-3.78,-3.476
1547310267466,2019-01-12 17:24:27.466,2.56,9.39,-2.683,-0.305
1547310267506,2019-01-12 17:24:27.506,2.6,19.329,-14.878,7.744
1547310267546,2019-01-12 17:24:27.546,2.64,4.695,6.768,2.622
1547310267586,2019-01-12 17:24:27.586,2.68,15.122,0.244,2.195
1547310267626,2019-01-12 17:24:27.626,2.72,26.829,-14.512,7.317
1547310267666,2019-01-12 17:24:27.666,2.76,14.817,6.402,3.476
1547310267706,2019-01-12 17:24:27.706,2.8,29.146,-6.098,2.988
1547310267746,2019-01-12 17:24:27.746,2.84,25.0,0.244,2.927
1547310267786,2019-01-12 17:24:27.786,2.88,19.756,7.744,5.549
1547310267826,2019-01-12 17:24:27.826,2.92,43.963,-16.22,10.427
1547310267866,2019-01-12 17:24:27.866,2.96,48.659,-17.744,10.671
1547310267906,2019-01-12 17:24:27.906,3.0,48.232,3.598,8.537
1547310267946,2019-01-12 17:24:27.946,3.04,51.829,4.817,7.927
1547310267986,2019-01-12 17:24:27.986,3.08,50.427,9.817,7.622
1547310268026,2019-01-12 17:24:28.026,3.12,53.72,7.073,5.915
1547310268066,2019-01-12 17:24:28.066,3.16,39.817,1.341,8.11
1547310268106,2019-01-12 17:24:28.106,3.2,14.451,20.549,3.537
1547310268146,2019-01-12 17:24:28.146,3.24,7.683,6.707,7.317
1547310268186,2019-01-12 17:24:28.186,3.28,6.707,-7.683,8.11
1547310268226,2019-01-12 17:24:28.226,3.32,-3.78,5.488,3.293
1547310268266,2019-01-12 17:24:28.266,3.36,-3.78,-1.768,-0.61
1547310268306,2019-01-12 17:24:28.306,3.4,-6.463,-0.793,0.305
1547310268346,2019-01-12 17:24:28.346,3.44,-13.293,-2.378,-0.854
1547310268386,2019-01-12 17:24:28.386,3.48,-29.756,3.72,-3.232
1547310268426,2019-01-12 17:24:28.426,3.52,-41.524,3.049,-8.598
1547310268466,2019-01-12 17:24:28.466,3.56,-48.415,-2.134,-14.756
1547310268506,2019-01-12 17:24:28.506,3.6,-53.232,7.195,-23.78
1547310268546,2019-01-12 17:24:28.546,3.64,-44.573,-14.024,-16.768
1547310268586,2019-01-12 17:24:28.586,3.68,-45.0,-14.329,-5.854
1547310268626,2019-01-12 17:24:28.626,3.72,-40.061,-10.61,-2.073
1547310268666,2019-01-12 17:24:28.666,3.76,-32.683,-13.72,-5.305
1547310268706,2019-01-12 17:24:28.706,3.8,-28.232,-1.159,-5.366
1547310268746,2019-01-12 17:24:28.746,3.84,-19.146,-6.585,-2.561
1547310268786,2019-01-12 17:24:28.786,3.88,-9.634,-17.988,2.5
1547310268826,2019-01-12 17:24:28.826,3.92,-12.134,-4.39,-0.061
1547310268866,2019-01-12 17:24:28.866,3.96,-4.268,-9.024,-7.134
1547310268906,2019-01-12 17:24:28.906,4.0,-6.768,-2.134,0.488
1547310268946,2019-01-12 17:24:28.946,4.04,-9.268,2.866,-1.951
