epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547666786798,2019-01-16 20:26:26.798,0.0,0.067,-1.0,-0.108
1547666786878,2019-01-16 20:26:26.878,0.08,0.072,-0.998,-0.21
1547666786958,2019-01-16 20:26:26.958,0.16,0.113,-1.034,-0.213
1547666787038,2019-01-16 20:26:27.038,0.24,0.094,-1.012,-0.18
1547666787118,2019-01-16 20:26:27.118,0.32,0.071,-1.031,-0.209
1547666787198,2019-01-16 20:26:27.198,0.4,0.082,-1.087,-0.224
1547666787278,2019-01-16 20:26:27.278,0.48,0.103,-1.146,-0.193
1547666787358,2019-01-16 20:26:27.358,0.56,0.116,-1.14,-0.166
1547666787438,2019-01-16 20:26:27.438,0.64,0.106,-1.202,-0.205
1547666787518,2019-01-16 20:26:27.518,0.72,0.1,-1.197,-0.249
1547666787598,2019-01-16 20:26:27.598,0.8,0.112,-1.163,-0.235
1547666787678,2019-01-16 20:26:27.678,0.88,0.094,-1.131,-0.206
1547666787758,2019-01-16 20:26:27.758,0.96,0.099,-1.1,-0.198
1547666787838,2019-01-16 20:26:27.838,1.04,0.087,-1.041,-0.138
1547666787918,2019-01-16 20:26:27.918,1.12,0.086,-0.974,-0.115
1547666787998,2019-01-16 20:26:27.998,1.2,0.045,-0.844,-0.083
1547666788078,2019-01-16 20:26:28.078,1.28,0.055,-0.733,-0.015
1547666788158,2019-01-16 20:26:28.158,1.36,0.034,-0.583,0.047
1547666788238,2019-01-16 20:26:28.238,1.44,0.091,-0.664,0.224
1547666788318,2019-01-16 20:26:28.318,1.52,0.056,-1.005,0.132
1547666788398,2019-01-16 20:26:28.398,1.6,0.048,-1.152,0.055
1547666788478,2019-01-16 20:26:28.478,1.68,0.041,-0.927,0.083
1547666788558,2019-01-16 20:26:28.558,1.76,0.033,-0.745,0.041
1547666788638,2019-01-16 20:26:28.638,1.84,0.048,-0.747,-0.033
1547666788718,2019-01-16 20:26:28.718,1.92,0.082,-0.792,-0.054
1547666788798,2019-01-16 20:26:28.798,2.0,0.089,-0.883,-0.127
1547666788878,2019-01-16 20:26:28.878,2.08,0.073,-0.916,-0.188
1547666788958,2019-01-16 20:26:28.958,2.16,0.081,-0.971,-0.183
1547666789038,2019-01-16 20:26:29.038,2.24,0.113,-1.042,-0.199
1547666789118,2019-01-16 20:26:29.118,2.32,0.101,-1.149,-0.244
1547666789198,2019-01-16 20:26:29.198,2.4,0.067,-1.276,-0.253
1547666789278,2019-01-16 20:26:29.278,2.48,0.158,-1.207,-0.301
1547666789358,2019-01-16 20:26:29.358,2.56,0.101,-1.388,-0.365
1547666789438,2019-01-16 20:26:29.438,2.64,0.18,-1.135,-0.126
1547666789518,2019-01-16 20:26:29.518,2.72,0.062,-0.99,-0.194
1547666789598,2019-01-16 20:26:29.598,2.8,0.111,-1.056,-0.186
1547666789678,2019-01-16 20:26:29.678,2.88,0.101,-1.041,-0.181
1547666789758,2019-01-16 20:26:29.758,2.96,0.098,-1.096,-0.321
1547666789838,2019-01-16 20:26:29.838,3.04,0.101,-1.29,-0.275
1547666789918,2019-01-16 20:26:29.918,3.12,0.155,-1.275,-0.262
1547666789998,2019-01-16 20:26:29.998,3.2,0.103,-1.239,-0.237
1547666790078,2019-01-16 20:26:30.078,3.28,0.095,-1.244,-0.236
1547666790158,2019-01-16 20:26:30.158,3.36,0.123,-1.178,-0.247
1547666790238,2019-01-16 20:26:30.238,3.44,0.101,-1.049,-0.175
1547666790318,2019-01-16 20:26:30.318,3.52,0.073,-0.937,-0.137
1547666790398,2019-01-16 20:26:30.398,3.6,0.062,-0.739,-0.085
1547666790478,2019-01-16 20:26:30.478,3.68,0.068,-0.504,-0.001
1547666790558,2019-01-16 20:26:30.558,3.76,0.041,-0.456,0.206
1547666790638,2019-01-16 20:26:30.638,3.84,-0.006,-0.758,0.335
1547666790718,2019-01-16 20:26:30.718,3.92,0.026,-1.125,0.117
1547666790798,2019-01-16 20:26:30.798,4.0,0.034,-1.134,0.157
1547666790878,2019-01-16 20:26:30.878,4.08,0.047,-0.947,0.171
1547666790958,2019-01-16 20:26:30.958,4.16,0.039,-0.827,0.131
1547666791038,2019-01-16 20:26:31.038,4.24,0.032,-0.778,-0.036
1547666791118,2019-01-16 20:26:31.118,4.32,0.069,-0.747,-0.03
1547666791198,2019-01-16 20:26:31.198,4.4,0.067,-0.81,-0.097
1547666791278,2019-01-16 20:26:31.278,4.48,0.085,-0.908,-0.112
1547666791358,2019-01-16 20:26:31.358,4.56,0.083,-0.941,-0.205
1547666791438,2019-01-16 20:26:31.438,4.64,0.07,-0.999,-0.199
1547666791518,2019-01-16 20:26:31.518,4.72,0.098,-1.113,-0.227
1547666791598,2019-01-16 20:26:31.598,4.8,0.096,-1.153,-0.281
1547666791678,2019-01-16 20:26:31.678,4.88,0.113,-1.215,-0.244
1547666791758,2019-01-16 20:26:31.758,4.96,0.102,-1.255,-0.304
1547666791838,2019-01-16 20:26:31.838,5.04,0.161,-1.413,-0.404
1547666791918,2019-01-16 20:26:31.918,5.12,0.139,-0.886,-0.07
1547666791998,2019-01-16 20:26:31.998,5.2,0.082,-0.952,-0.378
1547666792078,2019-01-16 20:26:32.078,5.28,0.115,-1.114,-0.149
1547666792158,2019-01-16 20:26:32.158,5.36,0.161,-1.062,-0.164
1547666792238,2019-01-16 20:26:32.238,5.44,0.079,-1.097,-0.323
1547666792318,2019-01-16 20:26:32.318,5.52,0.096,-1.288,-0.289
1547666792398,2019-01-16 20:26:32.398,5.6,0.126,-1.319,-0.283
1547666792478,2019-01-16 20:26:32.478,5.68,0.101,-1.236,-0.239
1547666792558,2019-01-16 20:26:32.558,5.76,0.076,-1.251,-0.263
1547666792638,2019-01-16 20:26:32.638,5.84,0.09,-1.135,-0.291
1547666792718,2019-01-16 20:26:32.718,5.92,0.095,-1.006,-0.145
1547666792798,2019-01-16 20:26:32.798,6.0,0.079,-0.82,-0.138
1547666792878,2019-01-16 20:26:32.878,6.08,0.067,-0.67,-0.048
1547666792958,2019-01-16 20:26:32.958,6.16,0.057,-0.579,-0.012
1547666793038,2019-01-16 20:26:33.038,6.24,0.046,-0.583,0.144
1547666793118,2019-01-16 20:26:33.118,6.32,0.061,-0.842,0.237
1547666793198,2019-01-16 20:26:33.198,6.4,0.037,-1.111,0.198
1547666793278,2019-01-16 20:26:33.278,6.48,0.035,-1.084,0.129
1547666793358,2019-01-16 20:26:33.358,6.56,0.052,-0.871,0.122
1547666793438,2019-01-16 20:26:33.438,6.64,0.044,-0.762,0.07
1547666793518,2019-01-16 20:26:33.518,6.72,0.043,-0.794,-0.001
1547666793598,2019-01-16 20:26:33.598,6.8,0.082,-0.844,-0.049
1547666793678,2019-01-16 20:26:33.678,6.88,0.06,-0.877,-0.095
1547666793758,2019-01-16 20:26:33.758,6.96,0.068,-0.941,-0.143
1547666793838,2019-01-16 20:26:33.838,7.04,0.092,-0.94,-0.208
1547666793918,2019-01-16 20:26:33.918,7.12,0.106,-1.025,-0.152
1547666793998,2019-01-16 20:26:33.998,7.2,0.086,-1.1,-0.24
1547666794078,2019-01-16 20:26:34.078,7.28,0.098,-1.173,-0.236
1547666794158,2019-01-16 20:26:34.158,7.36,0.084,-1.246,-0.252
1547666794238,2019-01-16 20:26:34.238,7.44,0.136,-1.223,-0.248
1547666794318,2019-01-16 20:26:34.318,7.52,0.172,-1.186,-0.396
1547666794398,2019-01-16 20:26:34.398,7.6,0.11,-1.178,-0.079
1547666794478,2019-01-16 20:26:34.478,7.68,0.138,-0.969,-0.251
1547666794558,2019-01-16 20:26:34.558,7.76,0.092,-1.013,-0.205
1547666794638,2019-01-16 20:26:34.638,7.84,0.11,-1.011,-0.143
1547666794718,2019-01-16 20:26:34.718,7.92,0.109,-1.102,-0.279
1547666794798,2019-01-16 20:26:34.798,8.0,0.059,-1.172,-0.292
1547666794878,2019-01-16 20:26:34.878,8.08,0.113,-1.321,-0.276
1547666794958,2019-01-16 20:26:34.958,8.16,0.096,-1.296,-0.289
1547666795038,2019-01-16 20:26:35.038,8.24,0.09,-1.221,-0.267
1547666795118,2019-01-16 20:26:35.118,8.32,0.093,-1.213,-0.213
1547666795198,2019-01-16 20:26:35.198,8.4,0.089,-1.102,-0.163
1547666795278,2019-01-16 20:26:35.278,8.48,0.077,-0.991,-0.172
1547666795358,2019-01-16 20:26:35.358,8.56,0.037,-0.75,-0.119
1547666795438,2019-01-16 20:26:35.438,8.64,0.091,-0.615,0.057
1547666795518,2019-01-16 20:26:35.518,8.72,0.058,-0.569,0.062
1547666795598,2019-01-16 20:26:35.598,8.8,0.018,-0.673,0.108
1547666795678,2019-01-16 20:26:35.678,8.88,0.023,-0.948,0.14
1547666795758,2019-01-16 20:26:35.758,8.96,0.037,-1.136,0.122
1547666795838,2019-01-16 20:26:35.838,9.04,0.04,-1.07,0.096
1547666795918,2019-01-16 20:26:35.918,9.12,0.03,-0.862,0.127
1547666795998,2019-01-16 20:26:35.998,9.2,0.015,-0.756,0.033
1547666796078,2019-01-16 20:26:36.078,9.28,0.036,-0.75,-0.015
1547666796158,2019-01-16 20:26:36.158,9.36,0.045,-0.781,-0.078
1547666796238,2019-01-16 20:26:36.238,9.44,0.08,-0.878,-0.143
1547666796318,2019-01-16 20:26:36.318,9.52,0.03,-0.956,-0.2
1547666796398,2019-01-16 20:26:36.398,9.6,0.117,-1.041,-0.21
1547666796478,2019-01-16 20:26:36.478,9.68,0.107,-1.069,-0.227
1547666796558,2019-01-16 20:26:36.558,9.76,0.095,-1.154,-0.244
1547666796638,2019-01-16 20:26:36.638,9.84,0.122,-1.188,-0.271
1547666796718,2019-01-16 20:26:36.718,9.92,0.094,-1.275,-0.257
1547666796798,2019-01-16 20:26:36.798,10.0,0.127,-1.16,-0.282
1547666796878,2019-01-16 20:26:36.878,10.08,0.058,-1.208,-0.319
1547666796958,2019-01-16 20:26:36.958,10.16,0.113,-1.078,-0.11
1547666797038,2019-01-16 20:26:37.038,10.24,0.081,-1.006,-0.162
1547666797118,2019-01-16 20:26:37.118,10.32,0.058,-0.982,-0.218
1547666797198,2019-01-16 20:26:37.198,10.4,0.131,-1.031,-0.176
1547666797278,2019-01-16 20:26:37.278,10.48,0.176,-1.086,-0.255
1547666797358,2019-01-16 20:26:37.358,10.56,0.14,-1.125,-0.216
1547666797438,2019-01-16 20:26:37.438,10.64,0.095,-1.272,-0.293
1547666797518,2019-01-16 20:26:37.518,10.72,0.143,-1.31,-0.244
1547666797598,2019-01-16 20:26:37.598,10.8,0.097,-1.27,-0.253
1547666797678,2019-01-16 20:26:37.678,10.88,0.108,-1.234,-0.284
1547666797758,2019-01-16 20:26:37.758,10.96,0.108,-1.154,-0.183
1547666797838,2019-01-16 20:26:37.838,11.04,0.082,-1.009,-0.184
1547666797918,2019-01-16 20:26:37.918,11.12,0.09,-0.898,-0.119
1547666797998,2019-01-16 20:26:37.998,11.2,0.066,-0.688,-0.1
1547666798078,2019-01-16 20:26:38.078,11.28,0.07,-0.58,0.039
1547666798158,2019-01-16 20:26:38.158,11.36,0.079,-0.522,0.142
1547666798238,2019-01-16 20:26:38.238,11.44,0.031,-0.82,0.183
1547666798318,2019-01-16 20:26:38.318,11.52,0.037,-1.14,0.122
1547666798398,2019-01-16 20:26:38.398,11.6,0.044,-1.071,0.108
1547666798478,2019-01-16 20:26:38.478,11.68,0.039,-0.84,0.122
1547666798558,2019-01-16 20:26:38.558,11.76,-0.007,-0.706,0.056
1547666798638,2019-01-16 20:26:38.638,11.84,0.079,-0.748,-0.034
1547666798718,2019-01-16 20:26:38.718,11.92,0.063,-0.864,-0.056
1547666798798,2019-01-16 20:26:38.798,12.0,0.047,-0.914,-0.182
1547666798878,2019-01-16 20:26:38.878,12.08,0.053,-0.914,-0.18
1547666798958,2019-01-16 20:26:38.958,12.16,0.088,-0.965,-0.145
1547666799038,2019-01-16 20:26:39.038,12.24,0.074,-1.072,-0.196
1547666799118,2019-01-16 20:26:39.118,12.32,0.104,-1.194,-0.284
1547666799198,2019-01-16 20:26:39.198,12.4,0.052,-1.248,-0.235
1547666799278,2019-01-16 20:26:39.278,12.48,0.063,-1.194,-0.278
1547666799358,2019-01-16 20:26:39.358,12.56,0.105,-1.496,-0.331
1547666799438,2019-01-16 20:26:39.438,12.64,0.105,-0.85,-0.075
1547666799518,2019-01-16 20:26:39.518,12.72,0.053,-1.028,-0.353
1547666799598,2019-01-16 20:26:39.598,12.8,0.139,-1.005,-0.165
1547666799678,2019-01-16 20:26:39.678,12.88,0.08,-1.072,-0.213
1547666799758,2019-01-16 20:26:39.758,12.96,0.102,-1.018,-0.194
1547666799838,2019-01-16 20:26:39.838,13.04,0.128,-1.098,-0.194
1547666799918,2019-01-16 20:26:39.918,13.12,0.105,-1.096,-0.292
1547666799998,2019-01-16 20:26:39.998,13.2,0.05,-1.297,-0.267
1547666800078,2019-01-16 20:26:40.078,13.28,0.088,-1.298,-0.229
1547666800158,2019-01-16 20:26:40.158,13.36,0.088,-1.245,-0.206
1547666800238,2019-01-16 20:26:40.238,13.44,0.067,-1.176,-0.319
1547666800318,2019-01-16 20:26:40.318,13.52,0.076,-1.12,-0.215
1547666800398,2019-01-16 20:26:40.398,13.6,0.087,-1.019,-0.134
1547666800478,2019-01-16 20:26:40.478,13.68,0.049,-0.878,-0.153
1547666800558,2019-01-16 20:26:40.558,13.76,0.068,-0.746,-0.068
1547666800638,2019-01-16 20:26:40.638,13.84,0.082,-0.634,0.013
1547666800718,2019-01-16 20:26:40.718,13.92,0.032,-0.557,0.096
1547666800798,2019-01-16 20:26:40.798,14.0,0.073,-0.793,0.202
1547666800878,2019-01-16 20:26:40.878,14.08,0.067,-1.102,0.158
1547666800958,2019-01-16 20:26:40.958,14.16,0.057,-1.049,0.18
1547666801038,2019-01-16 20:26:41.038,14.24,0.048,-0.784,0.092
1547666801118,2019-01-16 20:26:41.118,14.32,0.042,-0.708,0.035
1547666801198,2019-01-16 20:26:41.198,14.4,0.072,-0.781,-0.025
1547666801278,2019-01-16 20:26:41.278,14.48,0.069,-0.853,-0.104
1547666801358,2019-01-16 20:26:41.358,14.56,0.059,-0.877,-0.145
1547666801438,2019-01-16 20:26:41.438,14.64,0.103,-0.941,-0.15
1547666801518,2019-01-16 20:26:41.518,14.72,0.094,-1.069,-0.188
1547666801598,2019-01-16 20:26:41.598,14.8,0.082,-1.15,-0.257
1547666801678,2019-01-16 20:26:41.678,14.88,0.109,-1.22,-0.277
1547666801758,2019-01-16 20:26:41.758,14.96,0.091,-1.237,-0.22
1547666801838,2019-01-16 20:26:41.838,15.04,0.121,-1.294,-0.324
1547666801918,2019-01-16 20:26:41.918,15.12,0.119,-1.289,-0.284
1547666801998,2019-01-16 20:26:41.998,15.2,0.129,-1.034,-0.106
1547666802078,2019-01-16 20:26:42.078,15.28,0.119,-0.98,-0.15
1547666802158,2019-01-16 20:26:42.158,15.36,0.076,-0.984,-0.192
1547666802238,2019-01-16 20:26:42.238,15.44,0.136,-1.086,-0.236
1547666802318,2019-01-16 20:26:42.318,15.52,0.134,-1.068,-0.194
1547666802398,2019-01-16 20:26:42.398,15.6,0.09,-0.977,-0.138
1547666802478,2019-01-16 20:26:42.478,15.68,0.085,-1.084,-0.306
1547666802558,2019-01-16 20:26:42.558,15.76,0.137,-1.197,-0.278
1547666802638,2019-01-16 20:26:42.638,15.84,0.139,-1.301,-0.247
1547666802718,2019-01-16 20:26:42.718,15.92,0.14,-1.277,-0.263
1547666802798,2019-01-16 20:26:42.798,16.0,0.113,-1.233,-0.233
1547666802878,2019-01-16 20:26:42.878,16.08,0.115,-1.204,-0.188
1547666802958,2019-01-16 20:26:42.958,16.16,0.099,-1.091,-0.181
1547666803038,2019-01-16 20:26:43.038,16.24,0.09,-0.944,-0.12
1547666803118,2019-01-16 20:26:43.118,16.32,0.1,-0.774,-0.06
1547666803198,2019-01-16 20:26:43.198,16.4,0.091,-0.635,0.026
1547666803278,2019-01-16 20:26:43.278,16.48,0.085,-0.579,0.038
1547666803358,2019-01-16 20:26:43.358,16.56,0.087,-0.679,0.213
1547666803438,2019-01-16 20:26:43.438,16.64,0.108,-0.961,0.182
1547666803518,2019-01-16 20:26:43.518,16.72,0.099,-1.059,0.147
1547666803598,2019-01-16 20:26:43.598,16.8,0.08,-0.838,0.144
1547666803678,2019-01-16 20:26:43.678,16.88,0.075,-0.711,0.043
1547666803758,2019-01-16 20:26:43.758,16.96,0.071,-0.729,-0.003
1547666803838,2019-01-16 20:26:43.838,17.04,0.072,-0.788,-0.082
1547666803918,2019-01-16 20:26:43.918,17.12,0.107,-0.865,-0.135
1547666803998,2019-01-16 20:26:43.998,17.2,0.116,-0.959,-0.142
1547666804078,2019-01-16 20:26:44.078,17.28,0.135,-1.074,-0.198
1547666804158,2019-01-16 20:26:44.158,17.36,0.116,-1.158,-0.233
1547666804238,2019-01-16 20:26:44.238,17.44,0.141,-1.245,-0.265
1547666804318,2019-01-16 20:26:44.318,17.52,0.121,-1.332,-0.299
1547666804398,2019-01-16 20:26:44.398,17.6,0.146,-1.145,-0.301
1547666804478,2019-01-16 20:26:44.478,17.68,0.207,-1.215,-0.277
1547666804558,2019-01-16 20:26:44.558,17.76,0.185,-1.086,-0.148
1547666804638,2019-01-16 20:26:44.638,17.84,0.12,-0.998,-0.207
1547666804718,2019-01-16 20:26:44.718,17.92,0.123,-0.975,-0.204
1547666804798,2019-01-16 20:26:44.798,18.0,0.094,-1.015,-0.242
1547666804878,2019-01-16 20:26:44.878,18.08,0.115,-1.037,-0.186
1547666804958,2019-01-16 20:26:44.958,18.16,0.125,-1.034,-0.216
1547666805038,2019-01-16 20:26:45.038,18.24,0.128,-1.036,-0.194
1547666805118,2019-01-16 20:26:45.118,18.32,0.094,-1.025,-0.262
1547666805198,2019-01-16 20:26:45.198,18.4,0.118,-1.166,-0.282
1547666805278,2019-01-16 20:26:45.278,18.48,0.105,-1.28,-0.27
1547666805358,2019-01-16 20:26:45.358,18.56,0.134,-1.286,-0.192
1547666805438,2019-01-16 20:26:45.438,18.64,0.104,-1.271,-0.287
1547666805518,2019-01-16 20:26:45.518,18.72,0.113,-1.242,-0.255
1547666805598,2019-01-16 20:26:45.598,18.8,0.112,-1.153,-0.245
1547666805678,2019-01-16 20:26:45.678,18.88,0.084,-0.959,-0.18
1547666805758,2019-01-16 20:26:45.758,18.96,0.113,-0.784,-0.044
1547666805838,2019-01-16 20:26:45.838,19.04,0.116,-0.643,-0.022
1547666805918,2019-01-16 20:26:45.918,19.12,0.101,-0.557,0.107
1547666805998,2019-01-16 20:26:45.998,19.2,0.059,-0.597,0.101
1547666806078,2019-01-16 20:26:46.078,19.28,0.066,-0.905,0.166
1547666806158,2019-01-16 20:26:46.158,19.36,0.051,-1.226,0.079
1547666806238,2019-01-16 20:26:46.238,19.44,0.028,-1.086,0.112
1547666806318,2019-01-16 20:26:46.318,19.52,0.036,-0.8,0.168
1547666806398,2019-01-16 20:26:46.398,19.6,0.02,-0.693,0.008
1547666806478,2019-01-16 20:26:46.478,19.68,0.104,-0.804,0.022
1547666806558,2019-01-16 20:26:46.558,19.76,0.052,-0.835,-0.046
1547666806638,2019-01-16 20:26:46.638,19.84,0.063,-0.872,-0.115
1547666806718,2019-01-16 20:26:46.718,19.92,0.08,-0.888,-0.151
1547666806798,2019-01-16 20:26:46.798,20.0,0.12,-0.955,-0.19
1547666806878,2019-01-16 20:26:46.878,20.08,0.109,-1.092,-0.23
1547666806958,2019-01-16 20:26:46.958,20.16,0.093,-1.157,-0.261
1547666807038,2019-01-16 20:26:47.038,20.24,0.162,-1.213,-0.286
1547666807118,2019-01-16 20:26:47.118,20.32,0.11,-1.355,-0.272
1547666807198,2019-01-16 20:26:47.198,20.4,0.194,-1.074,-0.296
1547666807278,2019-01-16 20:26:47.278,20.48,0.18,-1.327,-0.201
1547666807358,2019-01-16 20:26:47.358,20.56,0.122,-0.999,-0.132
1547666807438,2019-01-16 20:26:47.438,20.64,0.097,-0.946,-0.316
1547666807518,2019-01-16 20:26:47.518,20.72,0.112,-1.017,-0.206
1547666807598,2019-01-16 20:26:47.598,20.8,0.111,-1.04,-0.17
1547666807678,2019-01-16 20:26:47.678,20.88,0.114,-1.079,-0.192
1547666807758,2019-01-16 20:26:47.758,20.96,0.085,-1.005,-0.205
1547666807838,2019-01-16 20:26:47.838,21.04,0.047,-1.049,-0.29
1547666807918,2019-01-16 20:26:47.918,21.12,0.096,-1.244,-0.238
1547666807998,2019-01-16 20:26:47.998,21.2,0.091,-1.233,-0.234
1547666808078,2019-01-16 20:26:48.078,21.28,0.068,-1.238,-0.252
1547666808158,2019-01-16 20:26:48.158,21.36,0.088,-1.22,-0.287
1547666808238,2019-01-16 20:26:48.238,21.44,0.12,-1.208,-0.225
1547666808318,2019-01-16 20:26:48.318,21.52,0.102,-1.12,-0.179
1547666808398,2019-01-16 20:26:48.398,21.6,0.06,-1.001,-0.153
1547666808478,2019-01-16 20:26:48.478,21.68,0.101,-0.867,-0.095
1547666808558,2019-01-16 20:26:48.558,21.76,0.083,-0.649,-0.065
1547666808638,2019-01-16 20:26:48.638,21.84,0.085,-0.573,0.067
1547666808718,2019-01-16 20:26:48.718,21.92,0.061,-0.563,0.182
1547666808798,2019-01-16 20:26:48.798,22.0,0.081,-0.917,0.224
1547666808878,2019-01-16 20:26:48.878,22.08,0.063,-1.133,0.088
1547666808958,2019-01-16 20:26:48.958,22.16,0.054,-0.945,0.063
1547666809038,2019-01-16 20:26:49.038,22.24,0.082,-0.676,0.054
1547666809118,2019-01-16 20:26:49.118,22.32,0.066,-0.697,-0.074
1547666809198,2019-01-16 20:26:49.198,22.4,0.044,-0.822,-0.093
1547666809278,2019-01-16 20:26:49.278,22.48,0.1,-0.917,-0.104
1547666809358,2019-01-16 20:26:49.358,22.56,0.083,-0.965,-0.293
1547666809438,2019-01-16 20:26:49.438,22.64,0.107,-1.031,-0.182
1547666809518,2019-01-16 20:26:49.518,22.72,0.094,-1.072,-0.22
1547666809598,2019-01-16 20:26:49.598,22.8,0.116,-1.169,-0.302
1547666809678,2019-01-16 20:26:49.678,22.88,0.037,-1.282,-0.253
1547666809758,2019-01-16 20:26:49.758,22.96,0.203,-1.132,-0.283
1547666809838,2019-01-16 20:26:49.838,23.04,0.188,-1.253,-0.357
1547666809918,2019-01-16 20:26:49.918,23.12,0.225,-1.204,-0.141
1547666809998,2019-01-16 20:26:49.998,23.2,0.096,-0.993,-0.254
1547666810078,2019-01-16 20:26:50.078,23.28,0.091,-1.006,-0.136
1547666810158,2019-01-16 20:26:50.158,23.36,0.114,-1.0,-0.244
1547666810238,2019-01-16 20:26:50.238,23.44,0.106,-1.0,-0.133
1547666810318,2019-01-16 20:26:50.318,23.52,0.132,-0.985,-0.207
1547666810398,2019-01-16 20:26:50.398,23.6,0.152,-1.108,-0.327
1547666810478,2019-01-16 20:26:50.478,23.68,0.189,-1.049,-0.247
1547666810558,2019-01-16 20:26:50.558,23.76,0.093,-1.108,-0.233
1547666810638,2019-01-16 20:26:50.638,23.84,0.109,-1.255,-0.222
1547666810718,2019-01-16 20:26:50.718,23.92,0.153,-1.243,-0.272
1547666810798,2019-01-16 20:26:50.798,24.0,0.13,-1.22,-0.255
1547666810878,2019-01-16 20:26:50.878,24.08,0.115,-1.201,-0.238
1547666810958,2019-01-16 20:26:50.958,24.16,0.122,-1.149,-0.231
1547666811038,2019-01-16 20:26:51.038,24.24,0.096,-1.05,-0.157
1547666811118,2019-01-16 20:26:51.118,24.32,0.094,-0.936,-0.132
1547666811198,2019-01-16 20:26:51.198,24.4,0.123,-0.789,-0.107
1547666811278,2019-01-16 20:26:51.278,24.48,0.088,-0.646,-0.021
1547666811358,2019-01-16 20:26:51.358,24.56,0.069,-0.515,0.128
1547666811438,2019-01-16 20:26:51.438,24.64,0.067,-0.7,0.273
1547666811518,2019-01-16 20:26:51.518,24.72,0.076,-1.022,0.142
1547666811598,2019-01-16 20:26:51.598,24.8,0.028,-1.028,0.081
1547666811678,2019-01-16 20:26:51.678,24.88,0.081,-0.819,0.089
1547666811758,2019-01-16 20:26:51.758,24.96,0.072,-0.688,0.017
1547666811838,2019-01-16 20:26:51.838,25.04,0.094,-0.778,-0.012
1547666811918,2019-01-16 20:26:51.918,25.12,0.086,-0.864,-0.09
1547666811998,2019-01-16 20:26:51.998,25.2,0.087,-0.94,-0.176
1547666812078,2019-01-16 20:26:52.078,25.28,0.087,-1.023,-0.227
1547666812158,2019-01-16 20:26:52.158,25.36,0.104,-1.117,-0.199
1547666812238,2019-01-16 20:26:52.238,25.44,0.114,-1.11,-0.266
1547666812318,2019-01-16 20:26:52.318,25.52,0.112,-1.142,-0.307
1547666812398,2019-01-16 20:26:52.398,25.6,0.044,-1.275,-0.253
1547666812478,2019-01-16 20:26:52.478,25.68,0.185,-1.035,-0.314
1547666812558,2019-01-16 20:26:52.558,25.76,0.095,-1.228,-0.471
1547666812638,2019-01-16 20:26:52.638,25.84,0.104,-1.181,-0.104
1547666812718,2019-01-16 20:26:52.718,25.92,0.16,-1.009,-0.126
1547666812798,2019-01-16 20:26:52.798,26.0,0.116,-0.967,-0.225
1547666812878,2019-01-16 20:26:52.878,26.08,0.083,-0.978,-0.315
1547666812958,2019-01-16 20:26:52.958,26.16,0.071,-0.989,-0.214
1547666813038,2019-01-16 20:26:53.038,26.24,0.056,-0.956,-0.249
1547666813118,2019-01-16 20:26:53.118,26.32,0.148,-1.06,-0.274
1547666813198,2019-01-16 20:26:53.198,26.4,0.132,-1.021,-0.188
1547666813278,2019-01-16 20:26:53.278,26.48,0.13,-0.996,-0.266
