epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547667034809,2019-01-16 20:30:34.809,0.0,4.207,-2.012,-0.305
1547667034849,2019-01-16 20:30:34.849,0.04,3.659,-2.317,0.305
1547667034889,2019-01-16 20:30:34.889,0.08,3.415,-1.89,1.341
1547667034929,2019-01-16 20:30:34.929,0.12,5.488,-3.415,2.988
1547667034969,2019-01-16 20:30:34.969,0.16,7.012,-7.927,3.049
1547667035009,2019-01-16 20:30:35.009,0.2,5.122,-9.878,3.293
1547667035049,2019-01-16 20:30:35.049,0.24,5.0,-22.561,3.78
1547667035089,2019-01-16 20:30:35.089,0.28,-2.012,-16.951,4.39
1547667035129,2019-01-16 20:30:35.129,0.32,5.61,-23.171,-6.524
1547667035169,2019-01-16 20:30:35.169,0.36,5.854,-17.866,-15.976
1547667035209,2019-01-16 20:30:35.209,0.4,-3.415,-22.195,-2.683
1547667035249,2019-01-16 20:30:35.249,0.44,-6.28,-12.195,2.683
1547667035289,2019-01-16 20:30:35.289,0.48,-11.89,-1.037,-2.927
1547667035329,2019-01-16 20:30:35.329,0.52,-17.5,8.354,1.829
1547667035369,2019-01-16 20:30:35.369,0.56,-20.427,-7.195,2.134
1547667035409,2019-01-16 20:30:35.409,0.6,-23.11,-25.061,-0.976
1547667035449,2019-01-16 20:30:35.449,0.64,-23.659,-22.012,-12.012
1547667035489,2019-01-16 20:30:35.489,0.68,-27.683,2.561,-9.573
1547667035529,2019-01-16 20:30:35.529,0.72,-6.22,-3.049,-8.171
1547667035569,2019-01-16 20:30:35.569,0.76,-3.232,-2.561,-6.098
1547667035609,2019-01-16 20:30:35.609,0.8,-2.134,2.561,-3.841
1547667035649,2019-01-16 20:30:35.649,0.84,1.28,8.598,-3.171
1547667035689,2019-01-16 20:30:35.689,0.88,2.439,7.256,-2.561
1547667035729,2019-01-16 20:30:35.729,0.92,2.744,-5.0,-3.659
1547667035769,2019-01-16 20:30:35.769,0.96,1.951,-12.012,-4.146
1547667035809,2019-01-16 20:30:35.809,1.0,-2.561,-10.915,-1.585
1547667035849,2019-01-16 20:30:35.849,1.04,14.39,-21.037,-0.732
1547667035889,2019-01-16 20:30:35.889,1.08,-2.195,-9.207,1.768
1547667035929,2019-01-16 20:30:35.929,1.12,-4.085,-9.634,2.012
1547667035969,2019-01-16 20:30:35.969,1.16,-0.183,-7.805,0.061
1547667036009,2019-01-16 20:30:36.009,1.2,-0.732,-3.232,-0.488
1547667036049,2019-01-16 20:30:36.049,1.24,1.402,-7.256,-0.61
1547667036089,2019-01-16 20:30:36.089,1.28,-5.976,-4.207,2.988
1547667036129,2019-01-16 20:30:36.129,1.32,6.159,-10.244,0.549
1547667036169,2019-01-16 20:30:36.169,1.36,-3.293,0.61,2.134
1547667036209,2019-01-16 20:30:36.209,1.4,1.829,-5.488,1.463
1547667036249,2019-01-16 20:30:36.249,1.44,7.927,-15.732,2.317
1547667036289,2019-01-16 20:30:36.289,1.48,5.549,-3.902,1.585
1547667036329,2019-01-16 20:30:36.329,1.52,12.439,-2.256,-1.098
1547667036369,2019-01-16 20:30:36.369,1.56,8.049,2.622,2.195
1547667036409,2019-01-16 20:30:36.409,1.6,5.61,-0.183,3.902
1547667036449,2019-01-16 20:30:36.449,1.64,0.427,-1.098,2.866
