epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547560186995,2019-01-15 14:49:46.995,0.0,-0.29,0.887,-0.102
1547560187075,2019-01-15 14:49:47.075,0.08,-0.23,0.843,-0.059
1547560187155,2019-01-15 14:49:47.155,0.16,-0.182,0.752,-0.029
1547560187235,2019-01-15 14:49:47.235,0.24,-0.14,0.707,-0.026
1547560187315,2019-01-15 14:49:47.315,0.32,-0.161,0.821,-0.055
1547560187395,2019-01-15 14:49:47.395,0.4,-0.155,0.938,-0.115
1547560187475,2019-01-15 14:49:47.475,0.48,-0.157,0.9,-0.128
1547560187555,2019-01-15 14:49:47.555,0.56,-0.15,0.79,-0.146
1547560187635,2019-01-15 14:49:47.635,0.64,-0.163,0.74,-0.127
1547560187715,2019-01-15 14:49:47.715,0.72,-0.208,0.809,-0.173
1547560187795,2019-01-15 14:49:47.795,0.8,-0.272,0.841,-0.17
1547560187875,2019-01-15 14:49:47.875,0.88,-0.306,0.847,-0.211
1547560187955,2019-01-15 14:49:47.955,0.96,-0.296,0.83,-0.208
1547560188035,2019-01-15 14:49:48.035,1.04,-0.278,0.848,-0.231
1547560188115,2019-01-15 14:49:48.115,1.12,-0.297,0.903,-0.228
1547560188195,2019-01-15 14:49:48.195,1.2,-0.286,0.912,-0.193
1547560188275,2019-01-15 14:49:48.275,1.28,-0.281,0.953,-0.221
1547560188355,2019-01-15 14:49:48.355,1.36,-0.281,0.979,-0.189
1547560188435,2019-01-15 14:49:48.435,1.44,-0.235,0.99,-0.124
1547560188515,2019-01-15 14:49:48.515,1.52,-0.208,1.148,-0.161
1547560188595,2019-01-15 14:49:48.595,1.6,-0.134,1.276,-0.116
1547560188675,2019-01-15 14:49:48.675,1.68,-0.069,1.204,-0.107
1547560188755,2019-01-15 14:49:48.755,1.76,-0.034,0.985,-0.112
1547560188835,2019-01-15 14:49:48.835,1.84,-0.041,0.924,-0.1
1547560188915,2019-01-15 14:49:48.915,1.92,-0.063,1.197,-0.111
1547560188995,2019-01-15 14:49:48.995,2.0,-0.146,1.489,-0.173
1547560189075,2019-01-15 14:49:49.075,2.08,-0.218,1.288,-0.188
1547560189155,2019-01-15 14:49:49.155,2.16,-0.262,1.011,-0.186
1547560189235,2019-01-15 14:49:49.235,2.24,-0.326,0.848,-0.194
1547560189315,2019-01-15 14:49:49.315,2.32,-0.376,0.806,-0.248
1547560189395,2019-01-15 14:49:49.395,2.4,-0.366,0.764,-0.212
1547560189475,2019-01-15 14:49:49.475,2.48,-0.342,0.763,-0.152
1547560189555,2019-01-15 14:49:49.555,2.56,-0.32,0.778,-0.115
1547560189635,2019-01-15 14:49:49.635,2.64,-0.31,0.835,-0.103
1547560189715,2019-01-15 14:49:49.715,2.72,-0.279,0.876,-0.105
1547560189795,2019-01-15 14:49:49.795,2.8,-0.248,0.875,-0.058
1547560189875,2019-01-15 14:49:49.875,2.88,-0.182,0.849,-0.071
1547560189955,2019-01-15 14:49:49.955,2.96,-0.194,0.7,-0.099
1547560190035,2019-01-15 14:49:50.035,3.04,-0.137,0.724,-0.113
1547560190115,2019-01-15 14:49:50.115,3.12,-0.185,0.958,-0.062
1547560190195,2019-01-15 14:49:50.195,3.2,-0.164,0.99,-0.044
1547560190275,2019-01-15 14:49:50.275,3.28,-0.185,0.954,-0.053
1547560190355,2019-01-15 14:49:50.355,3.36,-0.2,0.927,-0.08
1547560190435,2019-01-15 14:49:50.435,3.44,-0.207,0.807,-0.117
1547560190515,2019-01-15 14:49:50.515,3.52,-0.198,0.672,-0.151
1547560190595,2019-01-15 14:49:50.595,3.6,-0.228,0.667,-0.172
1547560190675,2019-01-15 14:49:50.675,3.68,-0.23,0.785,-0.222
1547560190755,2019-01-15 14:49:50.755,3.76,-0.257,0.825,-0.248
1547560190835,2019-01-15 14:49:50.835,3.84,-0.241,0.819,-0.26
1547560190915,2019-01-15 14:49:50.915,3.92,-0.264,0.827,-0.252
1547560190995,2019-01-15 14:49:50.995,4.0,-0.25,0.955,-0.262
1547560191075,2019-01-15 14:49:51.075,4.08,-0.264,1.071,-0.239
1547560191155,2019-01-15 14:49:51.155,4.16,-0.223,1.138,-0.176
1547560191235,2019-01-15 14:49:51.235,4.24,-0.159,1.185,-0.195
