epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547560386457,2019-01-15 14:53:06.457,0.0,8.72,6.951,-73.415
1547560386497,2019-01-15 14:53:06.497,0.04,9.634,4.756,-71.768
1547560386537,2019-01-15 14:53:06.537,0.08,8.232,-0.427,-57.378
1547560386577,2019-01-15 14:53:06.577,0.12,-2.378,6.524,-46.646
1547560386617,2019-01-15 14:53:06.617,0.16,-1.22,10.671,-33.78
1547560386657,2019-01-15 14:53:06.657,0.2,-2.012,15.061,-22.317
1547560386697,2019-01-15 14:53:06.697,0.24,-18.598,11.463,-25.854
1547560386737,2019-01-15 14:53:06.737,0.28,-19.817,17.378,-18.171
1547560386777,2019-01-15 14:53:06.777,0.32,-10.61,-6.707,-2.439
1547560386817,2019-01-15 14:53:06.817,0.36,-2.805,-0.305,7.012
1547560386857,2019-01-15 14:53:06.857,0.4,-6.037,9.634,5.976
1547560386897,2019-01-15 14:53:06.897,0.44,-0.366,7.622,17.805
1547560386937,2019-01-15 14:53:06.937,0.48,4.817,4.268,26.159
1547560386977,2019-01-15 14:53:06.977,0.52,-1.22,3.293,20.549
1547560387017,2019-01-15 14:53:07.017,0.56,-8.476,1.646,16.707
1547560387057,2019-01-15 14:53:07.057,0.6,-8.415,2.073,20.915
1547560387097,2019-01-15 14:53:07.097,0.64,-8.476,9.939,23.841
1547560387137,2019-01-15 14:53:07.137,0.68,-4.329,4.146,29.451
1547560387177,2019-01-15 14:53:07.177,0.72,-3.476,0.122,31.037
1547560387217,2019-01-15 14:53:07.217,0.76,1.037,0.244,34.268
1547560387257,2019-01-15 14:53:07.257,0.8,2.683,1.951,38.72
1547560387297,2019-01-15 14:53:07.297,0.84,2.317,4.634,40.732
1547560387337,2019-01-15 14:53:07.337,0.88,-8.78,10.915,38.232
1547560387377,2019-01-15 14:53:07.377,0.92,-6.463,-2.561,18.232
1547560387417,2019-01-15 14:53:07.417,0.96,-18.72,5.366,-0.244
1547560387457,2019-01-15 14:53:07.457,1.0,5.671,-27.744,6.585
1547560387497,2019-01-15 14:53:07.497,1.04,22.012,-37.073,5.976
1547560387537,2019-01-15 14:53:07.537,1.08,23.78,-27.622,-2.988
1547560387577,2019-01-15 14:53:07.577,1.12,15.305,-10.549,-10.305
1547560387617,2019-01-15 14:53:07.617,1.16,4.512,-2.012,-7.134
1547560387657,2019-01-15 14:53:07.657,1.2,8.293,-4.451,0.427
1547560387697,2019-01-15 14:53:07.697,1.24,10.976,-4.573,-6.463
1547560387737,2019-01-15 14:53:07.737,1.28,12.866,-11.524,-20.976
1547560387777,2019-01-15 14:53:07.777,1.32,25.305,-18.841,-22.012
1547560387817,2019-01-15 14:53:07.817,1.36,29.695,-23.72,-26.646
1547560387857,2019-01-15 14:53:07.857,1.4,24.512,-16.951,-29.268
1547560387897,2019-01-15 14:53:07.897,1.44,18.232,1.098,-28.171
1547560387937,2019-01-15 14:53:07.937,1.48,25.915,-9.39,-18.78
1547560387977,2019-01-15 14:53:07.977,1.52,16.768,-6.463,-20.915
1547560388017,2019-01-15 14:53:08.017,1.56,16.22,-2.439,-13.476
1547560388057,2019-01-15 14:53:08.057,1.6,3.902,-9.939,-2.988
1547560388097,2019-01-15 14:53:08.097,1.64,-5.061,-4.878,-8.841
1547560388137,2019-01-15 14:53:08.137,1.68,-14.146,-2.256,-3.963
1547560388177,2019-01-15 14:53:08.177,1.72,-20.915,-8.232,6.646
1547560388217,2019-01-15 14:53:08.217,1.76,-24.268,-10.122,5.854
1547560388257,2019-01-15 14:53:08.257,1.8,-32.073,-13.537,10.61
1547560388297,2019-01-15 14:53:08.297,1.84,-18.537,-18.598,9.634
1547560388337,2019-01-15 14:53:08.337,1.88,-20.549,-15.793,12.5
1547560388377,2019-01-15 14:53:08.377,1.92,-12.012,-21.098,19.268
1547560388417,2019-01-15 14:53:08.417,1.96,-6.341,-24.146,25.244
1547560388457,2019-01-15 14:53:08.457,2.0,-1.829,-14.39,39.146
1547560388497,2019-01-15 14:53:08.497,2.04,3.476,-12.073,43.232
1547560388537,2019-01-15 14:53:08.537,2.08,0.671,-7.134,32.683
1547560388577,2019-01-15 14:53:08.577,2.12,-13.841,-5.366,34.756
1547560388617,2019-01-15 14:53:08.617,2.16,-9.329,-6.707,41.28
1547560388657,2019-01-15 14:53:08.657,2.2,-23.902,0.793,40.427
1547560388697,2019-01-15 14:53:08.697,2.24,-27.805,-1.89,30.366
1547560388737,2019-01-15 14:53:08.737,2.28,-14.695,-2.561,27.073
1547560388777,2019-01-15 14:53:08.777,2.32,-10.671,-1.951,19.756
1547560388817,2019-01-15 14:53:08.817,2.36,-18.232,-0.305,0.854
1547560388857,2019-01-15 14:53:08.857,2.4,-15.488,1.28,2.561
1547560388897,2019-01-15 14:53:08.897,2.44,-9.451,-5.122,5.671
1547560388937,2019-01-15 14:53:08.937,2.48,-18.537,-3.354,0.549
1547560388977,2019-01-15 14:53:08.977,2.52,-29.512,-0.976,-10.366
1547560389017,2019-01-15 14:53:09.017,2.56,-35.427,9.756,-21.22
1547560389057,2019-01-15 14:53:09.057,2.6,-10.61,6.037,-27.195
1547560389097,2019-01-15 14:53:09.097,2.64,13.963,2.805,-46.951
1547560389137,2019-01-15 14:53:09.137,2.68,22.805,11.89,-56.159
1547560389177,2019-01-15 14:53:09.177,2.72,21.524,19.634,-60.488
1547560389217,2019-01-15 14:53:09.217,2.76,31.768,21.89,-59.939
1547560389257,2019-01-15 14:53:09.257,2.8,32.439,33.841,-47.866
1547560389297,2019-01-15 14:53:09.297,2.84,33.78,18.78,-33.659
1547560389337,2019-01-15 14:53:09.337,2.88,30.854,11.037,-25.732
1547560389377,2019-01-15 14:53:09.377,2.92,26.22,15.244,-17.988
1547560389417,2019-01-15 14:53:09.417,2.96,15.671,20.976,-13.902
1547560389457,2019-01-15 14:53:09.457,3.0,1.037,10.244,-11.829
1547560389497,2019-01-15 14:53:09.497,3.04,-8.049,15.061,-13.171
1547560389537,2019-01-15 14:53:09.537,3.08,-7.378,6.524,-5.366
1547560389577,2019-01-15 14:53:09.577,3.12,-9.573,5.793,-3.354
1547560389617,2019-01-15 14:53:09.617,3.16,-5.732,-2.195,10.549
1547560389657,2019-01-15 14:53:09.657,3.2,-20.122,9.573,4.024
1547560389697,2019-01-15 14:53:09.697,3.24,-20.671,8.11,-9.268
1547560389737,2019-01-15 14:53:09.737,3.28,-6.28,-2.317,-1.89
1547560389777,2019-01-15 14:53:09.777,3.32,4.024,-2.683,10.793
1547560389817,2019-01-15 14:53:09.817,3.36,1.159,1.646,10.122
1547560389857,2019-01-15 14:53:09.857,3.4,-2.439,5.793,10.793
