epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1548005139909,2019-01-20 18:25:39.908,0.0,0.951,0.11,0.193
1548005139989,2019-01-20 18:25:39.988,0.08,0.971,0.105,0.196
1548005140069,2019-01-20 18:25:40.068,0.16,0.954,0.081,0.196
1548005140149,2019-01-20 18:25:40.148,0.24,0.988,0.067,0.233
1548005140229,2019-01-20 18:25:40.228,0.32,0.971,0.085,0.242
1548005140309,2019-01-20 18:25:40.308,0.4,0.922,0.076,0.211
1548005140389,2019-01-20 18:25:40.388,0.48,0.708,0.02,0.217
1548005140469,2019-01-20 18:25:40.468,0.56,0.49,-0.111,0.253
1548005140549,2019-01-20 18:25:40.548,0.64,0.757,-0.384,0.199
1548005140629,2019-01-20 18:25:40.628,0.72,0.772,-0.671,0.257
1548005140709,2019-01-20 18:25:40.708,0.8,0.706,-1.015,0.5
1548005140789,2019-01-20 18:25:40.788,0.88,0.53,-1.185,0.565
1548005140869,2019-01-20 18:25:40.868,0.96,0.377,-1.134,0.558
1548005140949,2019-01-20 18:25:40.948,1.04,0.363,-1.005,0.494
1548005141029,2019-01-20 18:25:41.028,1.12,0.363,-0.88,0.479
1548005141109,2019-01-20 18:25:41.108,1.2,0.305,-0.811,0.487
1548005141189,2019-01-20 18:25:41.188,1.28,0.229,-0.869,0.489
1548005141269,2019-01-20 18:25:41.268,1.36,0.167,-0.839,0.53
1548005141349,2019-01-20 18:25:41.348,1.44,0.16,-0.701,0.541
1548005141429,2019-01-20 18:25:41.428,1.52,0.162,-0.823,0.561
1548005141509,2019-01-20 18:25:41.508,1.6,0.167,-0.936,0.52
1548005141589,2019-01-20 18:25:41.588,1.68,0.196,-0.86,0.453
1548005141669,2019-01-20 18:25:41.668,1.76,0.248,-0.789,0.411
1548005141749,2019-01-20 18:25:41.748,1.84,0.266,-0.811,0.43
1548005141829,2019-01-20 18:25:41.828,1.92,0.268,-0.867,0.464
1548005141909,2019-01-20 18:25:41.908,2.0,0.264,-1.07,0.524
1548005141989,2019-01-20 18:25:41.988,2.08,0.249,-1.055,0.432
1548005142069,2019-01-20 18:25:42.068,2.16,0.301,-0.975,0.385
1548005142149,2019-01-20 18:25:42.148,2.24,0.292,-0.891,0.348
1548005142229,2019-01-20 18:25:42.228,2.32,0.289,-0.892,0.311
1548005142309,2019-01-20 18:25:42.308,2.4,0.286,-1.011,0.289
1548005142389,2019-01-20 18:25:42.388,2.48,0.324,-0.945,0.278
1548005142469,2019-01-20 18:25:42.468,2.56,0.309,-0.898,0.273
1548005142549,2019-01-20 18:25:42.548,2.64,0.268,-0.887,0.265
1548005142629,2019-01-20 18:25:42.628,2.72,0.262,-0.884,0.269
1548005142709,2019-01-20 18:25:42.708,2.8,0.301,-0.898,0.284
1548005142789,2019-01-20 18:25:42.788,2.88,0.338,-0.948,0.342
1548005142869,2019-01-20 18:25:42.868,2.96,0.319,-0.982,0.406
1548005142949,2019-01-20 18:25:42.948,3.04,0.254,-0.981,0.4
1548005143029,2019-01-20 18:25:43.028,3.12,0.293,-0.981,0.391
1548005143109,2019-01-20 18:25:43.108,3.2,0.358,-1.034,0.379
1548005143189,2019-01-20 18:25:43.188,3.28,0.384,-1.028,0.371
1548005143269,2019-01-20 18:25:43.268,3.36,0.39,-0.913,0.429
1548005143349,2019-01-20 18:25:43.348,3.44,0.189,-1.01,0.436
1548005143429,2019-01-20 18:25:43.428,3.52,0.112,-0.905,0.419
1548005143509,2019-01-20 18:25:43.508,3.6,0.115,-0.863,0.478
1548005143589,2019-01-20 18:25:43.588,3.68,0.03,-0.795,0.542
1548005143669,2019-01-20 18:25:43.668,3.76,0.033,-0.622,0.495
1548005143749,2019-01-20 18:25:43.748,3.84,0.123,-0.733,0.424
1548005143829,2019-01-20 18:25:43.828,3.92,0.23,-0.898,0.445
1548005143909,2019-01-20 18:25:43.908,4.0,0.243,-0.9,0.469
1548005143989,2019-01-20 18:25:43.988,4.08,0.229,-0.87,0.482
1548005144069,2019-01-20 18:25:44.068,4.16,0.256,-0.996,0.489
1548005144149,2019-01-20 18:25:44.148,4.24,0.299,-1.1,0.592
1548005144229,2019-01-20 18:25:44.228,4.32,0.249,-0.969,0.548
1548005144309,2019-01-20 18:25:44.308,4.4,0.21,-0.938,0.504
1548005144389,2019-01-20 18:25:44.388,4.48,0.202,-0.98,0.379
1548005144469,2019-01-20 18:25:44.468,4.56,0.277,-1.032,0.342
1548005144549,2019-01-20 18:25:44.548,4.64,0.274,-0.941,0.254
1548005144629,2019-01-20 18:25:44.628,4.72,0.263,-0.885,0.231
1548005144709,2019-01-20 18:25:44.708,4.8,0.241,-0.867,0.238
1548005144789,2019-01-20 18:25:44.788,4.88,0.222,-0.849,0.237
1548005144869,2019-01-20 18:25:44.868,4.96,0.254,-0.864,0.3
1548005144949,2019-01-20 18:25:44.948,5.04,0.263,-0.958,0.405
1548005145029,2019-01-20 18:25:45.028,5.12,0.247,-1.135,0.475
1548005145109,2019-01-20 18:25:45.108,5.2,0.278,-1.074,0.516
1548005145189,2019-01-20 18:25:45.188,5.28,0.255,-1.009,0.495
1548005145269,2019-01-20 18:25:45.268,5.36,0.213,-0.909,0.417
1548005145349,2019-01-20 18:25:45.348,5.44,0.274,-0.859,0.392
1548005145429,2019-01-20 18:25:45.428,5.52,0.092,-0.814,0.416
1548005145509,2019-01-20 18:25:45.508,5.6,0.158,-0.83,0.483
1548005145589,2019-01-20 18:25:45.588,5.68,0.124,-0.905,0.542
1548005145669,2019-01-20 18:25:45.668,5.76,0.052,-0.849,0.495
1548005145749,2019-01-20 18:25:45.748,5.84,0.125,-0.821,0.48
1548005145829,2019-01-20 18:25:45.828,5.92,0.192,-0.809,0.485
1548005145909,2019-01-20 18:25:45.908,6.0,0.212,-0.873,0.487
1548005145989,2019-01-20 18:25:45.988,6.08,0.213,-0.947,0.5
1548005146069,2019-01-20 18:25:46.068,6.16,0.226,-0.951,0.465
1548005146149,2019-01-20 18:25:46.148,6.24,0.281,-0.935,0.458
1548005146229,2019-01-20 18:25:46.228,6.32,0.311,-0.887,0.421
1548005146309,2019-01-20 18:25:46.308,6.4,0.303,-0.897,0.396
1548005146389,2019-01-20 18:25:46.388,6.48,0.265,-0.969,0.396
1548005146469,2019-01-20 18:25:46.468,6.56,0.244,-0.985,0.33
1548005146549,2019-01-20 18:25:46.548,6.64,0.279,-0.927,0.27
1548005146629,2019-01-20 18:25:46.628,6.72,0.309,-0.92,0.274
1548005146709,2019-01-20 18:25:46.708,6.8,0.279,-0.949,0.261
1548005146789,2019-01-20 18:25:46.788,6.88,0.284,-0.922,0.243
1548005146869,2019-01-20 18:25:46.868,6.96,0.335,-0.887,0.283
1548005146949,2019-01-20 18:25:46.948,7.04,0.339,-0.922,0.333
1548005147029,2019-01-20 18:25:47.028,7.12,0.325,-0.979,0.382
1548005147109,2019-01-20 18:25:47.108,7.2,0.343,-1.01,0.413
1548005147189,2019-01-20 18:25:47.188,7.28,0.35,-0.991,0.438
