epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1548005139579,2019-01-20 18:25:39.578,0.0,-1.585,0.854,0.244
1548005139619,2019-01-20 18:25:39.618,0.04,-1.22,1.098,0.0
1548005139659,2019-01-20 18:25:39.658,0.08,-1.402,0.366,0.549
1548005139699,2019-01-20 18:25:39.698,0.12,-1.159,-2.317,0.671
1548005139739,2019-01-20 18:25:39.738,0.16,-1.159,0.427,0.549
1548005139779,2019-01-20 18:25:39.778,0.2,-1.585,2.256,0.732
1548005139819,2019-01-20 18:25:39.818,0.24,-2.927,1.768,2.439
1548005139859,2019-01-20 18:25:39.858,0.28,-3.049,-0.122,3.78
1548005139899,2019-01-20 18:25:39.898,0.32,-1.037,1.768,3.354
1548005139939,2019-01-20 18:25:39.938,0.36,-0.488,3.841,2.439
1548005139979,2019-01-20 18:25:39.978,0.4,-0.122,-0.244,3.598
1548005140019,2019-01-20 18:25:40.018,0.44,0.061,-1.037,6.159
1548005140059,2019-01-20 18:25:40.058,0.48,0.122,-2.805,6.829
1548005140099,2019-01-20 18:25:40.098,0.52,1.098,0.793,6.28
1548005140139,2019-01-20 18:25:40.138,0.56,3.232,9.817,6.89
1548005140179,2019-01-20 18:25:40.178,0.6,4.329,9.085,7.988
1548005140219,2019-01-20 18:25:40.218,0.64,4.817,3.415,8.171
1548005140259,2019-01-20 18:25:40.258,0.68,5.915,7.012,9.939
1548005140299,2019-01-20 18:25:40.298,0.72,6.829,12.073,16.524
1548005140339,2019-01-20 18:25:40.338,0.76,8.476,22.378,32.012
1548005140379,2019-01-20 18:25:40.378,0.8,11.402,-2.012,59.329
1548005140419,2019-01-20 18:25:40.418,0.84,17.439,-1.28,105.122
1548005140459,2019-01-20 18:25:40.458,0.88,13.78,43.415,154.329
1548005140499,2019-01-20 18:25:40.498,0.92,-2.805,66.28,191.098
1548005140539,2019-01-20 18:25:40.538,0.96,-19.634,72.256,212.195
1548005140579,2019-01-20 18:25:40.578,1.0,-37.561,98.476,215.488
1548005140619,2019-01-20 18:25:40.618,1.04,-49.512,124.024,211.402
1548005140659,2019-01-20 18:25:40.658,1.08,-52.683,114.207,206.707
1548005140699,2019-01-20 18:25:40.698,1.12,-54.085,73.78,190.0
1548005140739,2019-01-20 18:25:40.738,1.16,-49.085,58.232,159.939
1548005140779,2019-01-20 18:25:40.778,1.2,-37.927,59.39,124.817
1548005140819,2019-01-20 18:25:40.818,1.24,-23.354,18.72,85.427
1548005140859,2019-01-20 18:25:40.858,1.28,-7.683,-44.878,47.683
1548005140899,2019-01-20 18:25:40.898,1.32,7.927,-69.146,21.28
1548005140939,2019-01-20 18:25:40.938,1.36,23.354,-59.146,8.415
1548005140979,2019-01-20 18:25:40.978,1.4,32.256,-58.902,-1.585
1548005141019,2019-01-20 18:25:41.018,1.44,36.159,-57.012,-10.732
1548005141059,2019-01-20 18:25:41.058,1.48,39.451,-41.341,-19.39
1548005141099,2019-01-20 18:25:41.098,1.52,34.695,-32.317,-26.89
1548005141139,2019-01-20 18:25:41.138,1.56,25.671,-18.354,-26.037
1548005141179,2019-01-20 18:25:41.178,1.6,15.671,-2.683,-21.951
1548005141219,2019-01-20 18:25:41.218,1.64,2.622,-1.098,-23.293
1548005141259,2019-01-20 18:25:41.258,1.68,-11.159,9.634,-22.439
1548005141299,2019-01-20 18:25:41.298,1.72,-20.854,36.159,-14.268
1548005141339,2019-01-20 18:25:41.338,1.76,-26.159,49.39,-3.476
1548005141379,2019-01-20 18:25:41.378,1.8,-26.159,48.902,4.146
1548005141419,2019-01-20 18:25:41.418,1.84,-21.768,41.829,5.305
1548005141459,2019-01-20 18:25:41.458,1.88,-19.329,26.768,-1.28
1548005141499,2019-01-20 18:25:41.498,1.92,-17.561,16.89,-11.463
1548005141539,2019-01-20 18:25:41.538,1.96,-18.963,12.805,-18.72
1548005141579,2019-01-20 18:25:41.578,2.0,-23.659,16.585,-21.646
1548005141619,2019-01-20 18:25:41.618,2.04,-27.439,27.012,-19.939
1548005141659,2019-01-20 18:25:41.658,2.08,-30.976,33.598,-16.402
1548005141699,2019-01-20 18:25:41.698,2.12,-31.037,36.159,-14.634
1548005141739,2019-01-20 18:25:41.738,2.16,-30.488,29.39,-15.854
1548005141779,2019-01-20 18:25:41.778,2.2,-30.183,28.72,-17.317
1548005141819,2019-01-20 18:25:41.818,2.24,-28.476,39.817,-16.098
1548005141859,2019-01-20 18:25:41.858,2.28,-22.378,45.793,-12.195
1548005141899,2019-01-20 18:25:41.898,2.32,-6.463,22.317,-16.463
1548005141939,2019-01-20 18:25:41.938,2.36,3.841,-3.537,-33.11
1548005141979,2019-01-20 18:25:41.978,2.4,7.317,1.829,-48.11
1548005142019,2019-01-20 18:25:42.018,2.44,9.634,16.768,-52.317
1548005142059,2019-01-20 18:25:42.058,2.48,10.549,23.11,-54.024
1548005142099,2019-01-20 18:25:42.098,2.52,10.671,27.317,-55.0
1548005142139,2019-01-20 18:25:42.138,2.56,7.744,38.049,-51.098
1548005142179,2019-01-20 18:25:42.178,2.6,4.024,54.695,-38.171
1548005142219,2019-01-20 18:25:42.218,2.64,8.171,51.707,-19.573
1548005142259,2019-01-20 18:25:42.258,2.68,12.744,26.463,-4.878
1548005142299,2019-01-20 18:25:42.298,2.72,12.073,12.012,-0.305
1548005142339,2019-01-20 18:25:42.338,2.76,10.671,14.695,-0.061
