epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1547561210862,2019-01-15 15:06:50.862,0.0,0.095,-1.018,-0.03
1547561210942,2019-01-15 15:06:50.942,0.08,0.089,-1.053,0.004
1547561211022,2019-01-15 15:06:51.022,0.16,0.102,-1.103,-0.041
1547561211102,2019-01-15 15:06:51.102,0.24,0.105,-1.126,-0.022
1547561211182,2019-01-15 15:06:51.182,0.32,0.103,-1.176,-0.059
1547561211262,2019-01-15 15:06:51.262,0.4,0.102,-1.236,-0.062
1547561211342,2019-01-15 15:06:51.342,0.48,0.099,-1.351,-0.083
1547561211422,2019-01-15 15:06:51.422,0.56,0.106,-1.385,-0.066
1547561211502,2019-01-15 15:06:51.502,0.64,0.122,-1.335,-0.011
1547561211582,2019-01-15 15:06:51.582,0.72,0.136,-1.245,0.032
1547561211662,2019-01-15 15:06:51.662,0.8,0.125,-1.098,0.145
1547561211742,2019-01-15 15:06:51.742,0.88,0.113,-0.939,0.165
1547561211822,2019-01-15 15:06:51.822,0.96,0.12,-0.753,0.166
1547561211902,2019-01-15 15:06:51.902,1.04,0.057,-0.481,0.232
1547561211982,2019-01-15 15:06:51.982,1.12,0.044,-0.364,0.251
1547561212062,2019-01-15 15:06:52.062,1.2,0.046,-0.542,0.162
1547561212142,2019-01-15 15:06:52.142,1.28,0.116,-0.834,0.122
1547561212222,2019-01-15 15:06:52.222,1.36,0.13,-1.016,0.198
1547561212302,2019-01-15 15:06:52.302,1.44,0.139,-1.064,0.088
1547561212382,2019-01-15 15:06:52.382,1.52,0.138,-1.113,0.074
1547561212462,2019-01-15 15:06:52.462,1.6,0.107,-1.13,0.03
1547561212542,2019-01-15 15:06:52.542,1.68,0.085,-1.182,-0.01
1547561212622,2019-01-15 15:06:52.622,1.76,0.074,-1.246,-0.028
1547561212702,2019-01-15 15:06:52.702,1.84,0.034,-1.345,-0.045
1547561212782,2019-01-15 15:06:52.782,1.92,0.047,-1.359,-0.045
1547561212862,2019-01-15 15:06:52.862,2.0,0.065,-1.354,-0.023
1547561212942,2019-01-15 15:06:52.942,2.08,0.085,-1.281,0.037
1547561213022,2019-01-15 15:06:53.022,2.16,0.108,-1.194,0.098
1547561213102,2019-01-15 15:06:53.102,2.24,0.125,-1.068,0.125
1547561213182,2019-01-15 15:06:53.182,2.32,0.121,-0.889,0.227
1547561213262,2019-01-15 15:06:53.262,2.4,0.09,-0.733,0.27
1547561213342,2019-01-15 15:06:53.342,2.48,0.085,-0.551,0.195
1547561213422,2019-01-15 15:06:53.422,2.56,0.029,-0.392,0.278
1547561213502,2019-01-15 15:06:53.502,2.64,0.07,-0.547,0.205
1547561213582,2019-01-15 15:06:53.582,2.72,0.128,-0.889,0.204
1547561213662,2019-01-15 15:06:53.662,2.8,0.147,-1.012,0.183
1547561213742,2019-01-15 15:06:53.742,2.88,0.119,-1.104,0.167
1547561213822,2019-01-15 15:06:53.822,2.96,0.111,-1.078,0.094
1547561213902,2019-01-15 15:06:53.902,3.04,0.094,-1.12,0.054
1547561213982,2019-01-15 15:06:53.982,3.12,0.047,-1.193,0.035
1547561214062,2019-01-15 15:06:54.062,3.2,0.042,-1.266,0.044
1547561214142,2019-01-15 15:06:54.142,3.28,0.039,-1.381,-0.025
1547561214222,2019-01-15 15:06:54.222,3.36,0.041,-1.388,-0.045
1547561214302,2019-01-15 15:06:54.302,3.44,0.065,-1.337,0.014
1547561214382,2019-01-15 15:06:54.382,3.52,0.096,-1.259,0.071
1547561214462,2019-01-15 15:06:54.462,3.6,0.11,-1.146,0.158
1547561214542,2019-01-15 15:06:54.542,3.68,0.132,-0.997,0.22
1547561214622,2019-01-15 15:06:54.622,3.76,0.137,-0.832,0.28
1547561214702,2019-01-15 15:06:54.702,3.84,0.118,-0.641,0.193
1547561214782,2019-01-15 15:06:54.782,3.92,0.033,-0.381,0.192
1547561214862,2019-01-15 15:06:54.862,4.0,0.072,-0.412,0.318
1547561214942,2019-01-15 15:06:54.942,4.08,0.071,-0.695,0.187
1547561215022,2019-01-15 15:06:55.022,4.16,0.132,-0.962,0.206
1547561215102,2019-01-15 15:06:55.102,4.24,0.137,-1.052,0.245
1547561215182,2019-01-15 15:06:55.182,4.32,0.125,-1.115,0.179
1547561215262,2019-01-15 15:06:55.262,4.4,0.085,-1.117,0.126
1547561215342,2019-01-15 15:06:55.342,4.48,0.063,-1.145,0.104
1547561215422,2019-01-15 15:06:55.422,4.56,0.054,-1.191,0.058
1547561215502,2019-01-15 15:06:55.502,4.64,0.033,-1.259,0.027
1547561215582,2019-01-15 15:06:55.582,4.72,0.03,-1.3,0.007
1547561215662,2019-01-15 15:06:55.662,4.8,0.035,-1.32,0.002
1547561215742,2019-01-15 15:06:55.742,4.88,0.057,-1.312,-0.003
1547561215822,2019-01-15 15:06:55.822,4.96,0.071,-1.231,0.068
1547561215902,2019-01-15 15:06:55.902,5.04,0.11,-1.157,0.171
1547561215982,2019-01-15 15:06:55.982,5.12,0.131,-1.046,0.204
1547561216062,2019-01-15 15:06:56.062,5.2,0.132,-0.91,0.267
1547561216142,2019-01-15 15:06:56.142,5.28,0.125,-0.776,0.232
1547561216222,2019-01-15 15:06:56.222,5.36,0.075,-0.56,0.189
1547561216302,2019-01-15 15:06:56.302,5.44,0.057,-0.38,0.355
1547561216382,2019-01-15 15:06:56.382,5.52,0.102,-0.573,0.255
1547561216462,2019-01-15 15:06:56.462,5.6,0.132,-0.86,0.231
1547561216542,2019-01-15 15:06:56.542,5.68,0.17,-1.017,0.237
1547561216622,2019-01-15 15:06:56.622,5.76,0.161,-1.094,0.208
1547561216702,2019-01-15 15:06:56.702,5.84,0.127,-1.118,0.25
1547561216782,2019-01-15 15:06:56.782,5.92,0.118,-1.104,0.041
1547561216862,2019-01-15 15:06:56.862,6.0,0.092,-1.111,0.054
1547561216942,2019-01-15 15:06:56.942,6.08,0.074,-1.097,0.044
1547561217022,2019-01-15 15:06:57.022,6.16,0.063,-1.056,0.025
1547561217102,2019-01-15 15:06:57.102,6.24,0.071,-1.088,0.016
1547561217182,2019-01-15 15:06:57.182,6.32,0.035,-1.119,-0.016
1547561217262,2019-01-15 15:06:57.262,6.4,0.039,-1.184,-0.03
1547561217342,2019-01-15 15:06:57.342,6.48,0.02,-1.234,-0.048
1547561217422,2019-01-15 15:06:57.422,6.56,0.038,-1.27,-0.028
1547561217502,2019-01-15 15:06:57.502,6.64,0.043,-1.272,0.02
1547561217582,2019-01-15 15:06:57.582,6.72,0.083,-1.233,0.061
1547561217662,2019-01-15 15:06:57.662,6.8,0.081,-1.146,0.159
1547561217742,2019-01-15 15:06:57.742,6.88,0.198,-1.02,0.227
1547561217822,2019-01-15 15:06:57.822,6.96,0.173,-0.895,0.282
1547561217902,2019-01-15 15:06:57.902,7.04,0.157,-0.78,0.272
1547561217982,2019-01-15 15:06:57.982,7.12,0.125,-0.555,0.208
1547561218062,2019-01-15 15:06:58.062,7.2,0.059,-0.37,0.282
1547561218142,2019-01-15 15:06:58.142,7.28,0.146,-0.569,0.293
1547561218222,2019-01-15 15:06:58.222,7.36,0.181,-0.832,0.212
1547561218302,2019-01-15 15:06:58.302,7.44,0.188,-0.946,0.285
1547561218382,2019-01-15 15:06:58.382,7.52,0.166,-1.063,0.179
1547561218462,2019-01-15 15:06:58.462,7.6,0.155,-1.146,0.138
1547561218542,2019-01-15 15:06:58.542,7.68,0.098,-1.166,0.183
1547561218622,2019-01-15 15:06:58.622,7.76,0.061,-1.229,0.058
1547561218702,2019-01-15 15:06:58.702,7.84,0.051,-1.216,0.034
1547561218782,2019-01-15 15:06:58.782,7.92,0.029,-1.167,-0.017
1547561218862,2019-01-15 15:06:58.862,8.0,0.028,-1.1,-0.047
1547561218942,2019-01-15 15:06:58.942,8.08,0.04,-1.042,-0.007
1547561219022,2019-01-15 15:06:59.022,8.16,0.043,-1.021,-0.015
1547561219102,2019-01-15 15:06:59.102,8.24,0.031,-1.024,0.006
