epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1547647610466,2019-01-16 15:06:50.465,0.0,-52.988,-15.793,-12.439
1547647610506,2019-01-16 15:06:50.505,0.04,-51.951,-17.012,-12.012
1547647610546,2019-01-16 15:06:50.545,0.08,-47.988,-17.134,-10.244
1547647610586,2019-01-16 15:06:50.585,0.12,-39.756,-15.854,-6.463
1547647610626,2019-01-16 15:06:50.625,0.16,-28.354,-14.695,-7.195
1547647610666,2019-01-16 15:06:50.665,0.2,-24.878,-6.22,-13.11
1547647610706,2019-01-16 15:06:50.705,0.24,-20.0,-10.427,-6.585
1547647610746,2019-01-16 15:06:50.745,0.28,-15.122,-4.939,-7.866
1547647610786,2019-01-16 15:06:50.785,0.32,-10.793,-3.354,-3.11
1547647610826,2019-01-16 15:06:50.825,0.36,-0.61,-8.171,-1.768
1547647610866,2019-01-16 15:06:50.865,0.4,-2.134,-2.805,-1.585
1547647610906,2019-01-16 15:06:50.905,0.44,-3.841,1.28,-2.988
1547647610946,2019-01-16 15:06:50.945,0.48,0.61,-0.244,0.915
1547647610986,2019-01-16 15:06:50.985,0.52,8.78,-4.878,4.024
1547647611026,2019-01-16 15:06:51.025,0.56,9.268,-3.537,5.793
1547647611066,2019-01-16 15:06:51.065,0.6,3.415,0.366,5.671
1547647611106,2019-01-16 15:06:51.105,0.64,6.341,-1.524,5.671
1547647611146,2019-01-16 15:06:51.145,0.68,8.841,1.341,7.683
1547647611186,2019-01-16 15:06:51.185,0.72,10.122,-0.244,6.585
1547647611226,2019-01-16 15:06:51.225,0.76,9.146,-3.354,7.988
1547647611266,2019-01-16 15:06:51.265,0.8,7.195,-4.085,3.659
1547647611306,2019-01-16 15:06:51.305,0.84,9.817,-9.634,2.683
1547647611346,2019-01-16 15:06:51.345,0.88,11.28,-11.524,-1.768
1547647611386,2019-01-16 15:06:51.385,0.92,12.439,-8.293,-7.073
1547647611426,2019-01-16 15:06:51.425,0.96,18.415,-8.476,-9.451
1547647611466,2019-01-16 15:06:51.465,1.0,18.476,-7.256,-11.646
1547647611506,2019-01-16 15:06:51.505,1.04,20.183,-7.439,-11.28
1547647611546,2019-01-16 15:06:51.545,1.08,22.012,-8.72,-11.524
1547647611586,2019-01-16 15:06:51.585,1.12,24.146,-14.268,-5.244
1547647611626,2019-01-16 15:06:51.625,1.16,23.902,-5.061,-10.549
1547647611666,2019-01-16 15:06:51.665,1.2,19.878,-8.598,-14.024
1547647611706,2019-01-16 15:06:51.705,1.24,22.927,-8.171,-7.317
1547647611746,2019-01-16 15:06:51.745,1.28,26.829,-7.256,-0.671
1547647611786,2019-01-16 15:06:51.785,1.32,25.0,-13.171,8.902
1547647611826,2019-01-16 15:06:51.825,1.36,19.878,-9.146,11.463
1547647611866,2019-01-16 15:06:51.865,1.4,12.988,-6.463,12.866
1547647611906,2019-01-16 15:06:51.905,1.44,2.805,4.085,15.183
1547647611946,2019-01-16 15:06:51.945,1.48,-2.317,1.829,17.622
1547647611986,2019-01-16 15:06:51.985,1.52,-1.585,-3.232,1.037
1547647612026,2019-01-16 15:06:52.025,1.56,-14.573,7.805,-7.073
1547647612066,2019-01-16 15:06:52.065,1.6,-11.098,1.951,-10.549
1547647612106,2019-01-16 15:06:52.105,1.64,-11.463,-3.171,-4.756
1547647612146,2019-01-16 15:06:52.145,1.68,-17.866,4.756,-1.159
1547647612186,2019-01-16 15:06:52.185,1.72,-22.744,7.195,0.244
1547647612226,2019-01-16 15:06:52.225,1.76,-26.707,10.244,-0.793
1547647612266,2019-01-16 15:06:52.265,1.8,-28.598,9.024,1.22
1547647612306,2019-01-16 15:06:52.305,1.84,-30.915,10.671,4.39
1547647612346,2019-01-16 15:06:52.345,1.88,-19.634,6.768,7.805
1547647612386,2019-01-16 15:06:52.385,1.92,-22.683,9.085,19.39
1547647612426,2019-01-16 15:06:52.425,1.96,-14.146,6.768,6.341
1547647612466,2019-01-16 15:06:52.465,2.0,-18.659,2.073,16.098
1547647612506,2019-01-16 15:06:52.505,2.04,-4.817,-9.146,13.171
1547647612546,2019-01-16 15:06:52.545,2.08,-7.927,4.024,10.244
1547647612586,2019-01-16 15:06:52.585,2.12,-7.988,2.012,15.305
1547647612626,2019-01-16 15:06:52.625,2.16,-1.707,0.427,8.11
1547647612666,2019-01-16 15:06:52.665,2.2,3.537,-1.646,7.561
1547647612706,2019-01-16 15:06:52.705,2.24,10.488,-9.817,3.293
1547647612746,2019-01-16 15:06:52.745,2.28,10.0,-7.012,0.305
1547647612786,2019-01-16 15:06:52.785,2.32,16.951,-9.024,-6.28
1547647612826,2019-01-16 15:06:52.825,2.36,21.037,-6.829,-8.11
1547647612866,2019-01-16 15:06:52.865,2.4,29.634,-14.695,-11.951
1547647612906,2019-01-16 15:06:52.905,2.44,26.463,-6.098,-13.72
1547647612946,2019-01-16 15:06:52.945,2.48,29.085,-5.061,-15.122
1547647612986,2019-01-16 15:06:52.985,2.52,31.341,-6.524,-16.89
1547647613026,2019-01-16 15:06:53.025,2.56,32.805,-5.61,-20.549
1547647613066,2019-01-16 15:06:53.065,2.6,37.561,-17.012,-9.207
1547647613106,2019-01-16 15:06:53.105,2.64,38.354,-20.366,-7.134
1547647613146,2019-01-16 15:06:53.145,2.68,34.695,-19.634,-0.244
1547647613186,2019-01-16 15:06:53.185,2.72,24.329,-8.354,-4.756
1547647613226,2019-01-16 15:06:53.225,2.76,9.817,-3.72,-7.317
1547647613266,2019-01-16 15:06:53.265,2.8,9.39,-15.305,4.085
1547647613306,2019-01-16 15:06:53.305,2.84,12.439,-16.89,13.963
1547647613346,2019-01-16 15:06:53.345,2.88,7.439,2.134,18.232
1547647613386,2019-01-16 15:06:53.385,2.92,-4.573,-2.012,10.854
1547647613426,2019-01-16 15:06:53.425,2.96,-9.146,5.488,-5.854
1547647613466,2019-01-16 15:06:53.465,3.0,-17.561,22.805,-14.024
1547647613506,2019-01-16 15:06:53.505,3.04,-21.22,10.122,0.488
1547647613546,2019-01-16 15:06:53.545,3.08,-21.402,2.256,-2.134
1547647613586,2019-01-16 15:06:53.585,3.12,-24.085,13.049,2.805
1547647613626,2019-01-16 15:06:53.625,3.16,-25.671,7.866,4.634
1547647613666,2019-01-16 15:06:53.665,3.2,-26.829,4.024,9.573
1547647613706,2019-01-16 15:06:53.705,3.24,-26.463,7.073,7.256
1547647613746,2019-01-16 15:06:53.745,3.28,-28.171,6.463,7.683
1547647613786,2019-01-16 15:06:53.785,3.32,-25.0,-2.805,13.659
1547647613826,2019-01-16 15:06:53.825,3.36,-25.549,7.317,14.39
1547647613866,2019-01-16 15:06:53.865,3.4,-13.415,-3.841,22.988
1547647613906,2019-01-16 15:06:53.905,3.44,-13.354,-1.829,12.5
1547647613946,2019-01-16 15:06:53.945,3.48,-10.244,6.159,13.902
1547647613986,2019-01-16 15:06:53.985,3.52,3.293,-0.976,7.927
1547647614026,2019-01-16 15:06:54.025,3.56,-6.768,10.671,6.098
1547647614066,2019-01-16 15:06:54.065,3.6,-8.354,12.561,0.671
1547647614106,2019-01-16 15:06:54.105,3.64,1.402,1.22,1.22
1547647614146,2019-01-16 15:06:54.145,3.68,5.793,-3.415,-1.646
1547647614186,2019-01-16 15:06:54.185,3.72,12.988,-3.902,-6.768
1547647614226,2019-01-16 15:06:54.225,3.76,20.0,-8.537,-10.732
1547647614266,2019-01-16 15:06:54.265,3.8,20.854,-4.329,-15.061
1547647614306,2019-01-16 15:06:54.305,3.84,29.573,-5.61,-13.78
1547647614346,2019-01-16 15:06:54.345,3.88,29.268,-7.134,-18.11
1547647614386,2019-01-16 15:06:54.385,3.92,33.537,-15.549,-15.244
1547647614426,2019-01-16 15:06:54.425,3.96,35.793,-12.622,-21.585
1547647614466,2019-01-16 15:06:54.465,4.0,39.146,-14.695,-18.049
1547647614506,2019-01-16 15:06:54.505,4.04,40.427,-21.28,-11.646
1547647614546,2019-01-16 15:06:54.545,4.08,29.329,-12.866,-13.171
1547647614586,2019-01-16 15:06:54.585,4.12,23.598,-9.329,-17.866
1547647614626,2019-01-16 15:06:54.625,4.16,28.293,-19.695,4.634
1547647614666,2019-01-16 15:06:54.665,4.2,26.646,-9.085,11.951
1547647614706,2019-01-16 15:06:54.705,4.24,16.159,0.488,10.976
1547647614746,2019-01-16 15:06:54.745,4.28,-3.78,6.037,9.878
1547647614786,2019-01-16 15:06:54.785,4.32,-6.768,-4.817,10.793
1547647614826,2019-01-16 15:06:54.825,4.36,-5.244,-0.305,5.427
1547647614866,2019-01-16 15:06:54.865,4.4,-3.354,5.122,8.476
1547647614906,2019-01-16 15:06:54.905,4.44,-17.195,2.195,2.256
1547647614946,2019-01-16 15:06:54.945,4.48,-25.732,13.78,-4.695
1547647614986,2019-01-16 15:06:54.985,4.52,-26.951,4.756,1.463
1547647615026,2019-01-16 15:06:55.025,4.56,-27.439,3.476,3.659
1547647615066,2019-01-16 15:06:55.065,4.6,-30.488,5.732,1.951
1547647615106,2019-01-16 15:06:55.105,4.64,-30.061,4.817,11.402
1547647615146,2019-01-16 15:06:55.145,4.68,-31.951,5.671,12.195
1547647615186,2019-01-16 15:06:55.185,4.72,-25.671,3.354,16.28
1547647615226,2019-01-16 15:06:55.225,4.76,-30.183,6.646,15.244
1547647615266,2019-01-16 15:06:55.265,4.8,-17.683,-8.476,20.793
1547647615306,2019-01-16 15:06:55.305,4.84,-16.341,4.695,17.744
1547647615346,2019-01-16 15:06:55.345,4.88,-14.634,2.073,7.683
1547647615386,2019-01-16 15:06:55.385,4.92,-3.72,-7.744,21.951
1547647615426,2019-01-16 15:06:55.425,4.96,-12.805,14.451,2.073
1547647615466,2019-01-16 15:06:55.465,5.0,-4.146,4.451,4.146
1547647615506,2019-01-16 15:06:55.505,5.04,0.793,1.829,6.159
1547647615546,2019-01-16 15:06:55.545,5.08,-1.098,4.939,-0.854
1547647615586,2019-01-16 15:06:55.585,5.12,4.573,-4.268,-1.951
1547647615626,2019-01-16 15:06:55.625,5.16,6.829,0.366,-5.915
1547647615666,2019-01-16 15:06:55.665,5.2,16.89,-7.317,-10.671
1547647615706,2019-01-16 15:06:55.705,5.24,21.707,-9.573,-8.659
1547647615746,2019-01-16 15:06:55.745,5.28,29.451,-5.915,-12.866
1547647615786,2019-01-16 15:06:55.785,5.32,29.817,-9.634,-12.378
1547647615826,2019-01-16 15:06:55.825,5.36,28.902,-12.805,-17.439
1547647615866,2019-01-16 15:06:55.865,5.4,34.024,-13.72,-18.049
1547647615906,2019-01-16 15:06:55.905,5.44,33.293,-13.293,-18.11
1547647615946,2019-01-16 15:06:55.945,5.48,34.268,-16.829,-15.061
1547647615986,2019-01-16 15:06:55.985,5.52,34.512,-18.963,-13.11
1547647616026,2019-01-16 15:06:56.025,5.56,33.049,-13.11,-12.866
1547647616066,2019-01-16 15:06:56.065,5.6,24.085,4.817,-8.354
1547647616106,2019-01-16 15:06:56.105,5.64,21.341,-2.439,-6.463
1547647616146,2019-01-16 15:06:56.145,5.68,24.146,-11.402,-2.744
1547647616186,2019-01-16 15:06:56.185,5.72,18.72,-7.256,1.28
1547647616226,2019-01-16 15:06:56.225,5.76,6.037,-0.854,6.463
1547647616266,2019-01-16 15:06:56.265,5.8,-5.183,-10.976,-0.793
1547647616306,2019-01-16 15:06:56.305,5.84,-6.22,-10.915,2.439
1547647616346,2019-01-16 15:06:56.345,5.88,-15.244,0.305,0.122
1547647616386,2019-01-16 15:06:56.385,5.92,-19.512,0.854,3.476
1547647616426,2019-01-16 15:06:56.425,5.96,-27.805,8.659,-5.427
1547647616466,2019-01-16 15:06:56.465,6.0,-28.049,8.78,2.866
1547647616506,2019-01-16 15:06:56.505,6.04,-28.963,3.415,8.049
1547647616546,2019-01-16 15:06:56.545,6.08,-29.512,3.78,9.085
1547647616586,2019-01-16 15:06:56.585,6.12,-24.939,8.963,14.451
1547647616626,2019-01-16 15:06:56.625,6.16,-24.695,4.512,19.756
1547647616666,2019-01-16 15:06:56.665,6.2,-35.244,14.878,4.207
1547647616706,2019-01-16 15:06:56.705,6.24,-34.085,9.756,9.817
1547647616746,2019-01-16 15:06:56.745,6.28,-25.0,4.268,12.012
1547647616786,2019-01-16 15:06:56.785,6.32,-25.183,7.317,15.061
1547647616826,2019-01-16 15:06:56.825,6.36,-17.622,-1.037,8.841
1547647616866,2019-01-16 15:06:56.865,6.4,-22.927,8.841,11.341
1547647616906,2019-01-16 15:06:56.905,6.44,-15.183,-3.354,5.671
1547647616946,2019-01-16 15:06:56.945,6.48,-8.963,-5.61,12.622
1547647616986,2019-01-16 15:06:56.985,6.52,-7.622,-1.585,8.476
1547647617026,2019-01-16 15:06:57.025,6.56,-15.61,10.427,5.854
1547647617066,2019-01-16 15:06:57.065,6.6,-6.829,-6.037,6.037
1547647617106,2019-01-16 15:06:57.105,6.64,-4.329,-4.573,10.793
1547647617146,2019-01-16 15:06:57.145,6.68,-0.488,-4.573,4.329
1547647617186,2019-01-16 15:06:57.185,6.72,-2.073,1.707,5.671
1547647617226,2019-01-16 15:06:57.225,6.76,3.232,-6.098,9.878
1547647617266,2019-01-16 15:06:57.265,6.8,9.695,-6.829,2.622
