epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1548005448986,2019-01-20 18:30:48.985,0.0,-0.732,0.976,-1.89
1548005449026,2019-01-20 18:30:49.025,0.04,-1.28,1.89,-1.341
1548005449066,2019-01-20 18:30:49.065,0.08,0.305,-1.707,0.732
1548005449106,2019-01-20 18:30:49.105,0.12,1.89,-1.585,1.707
1548005449146,2019-01-20 18:30:49.145,0.16,1.646,-1.646,1.524
1548005449186,2019-01-20 18:30:49.185,0.2,2.927,-3.11,0.732
1548005449226,2019-01-20 18:30:49.225,0.24,0.488,2.378,1.829
1548005449266,2019-01-20 18:30:49.265,0.28,2.683,-3.171,1.22
1548005449306,2019-01-20 18:30:49.305,0.32,1.463,-0.305,0.915
1548005449346,2019-01-20 18:30:49.345,0.36,1.646,-3.659,1.341
1548005449386,2019-01-20 18:30:49.385,0.4,2.378,-3.293,1.341
1548005449426,2019-01-20 18:30:49.425,0.44,0.549,0.488,0.0
1548005449466,2019-01-20 18:30:49.465,0.48,3.049,-3.293,-0.915
1548005449506,2019-01-20 18:30:49.505,0.52,1.707,-3.11,1.524
1548005449546,2019-01-20 18:30:49.545,0.56,-1.89,4.329,0.427
1548005449586,2019-01-20 18:30:49.585,0.6,-2.866,2.073,-1.28
1548005449626,2019-01-20 18:30:49.625,0.64,1.768,-8.171,1.585
1548005449666,2019-01-20 18:30:49.665,0.68,-3.78,-1.037,1.098
1548005449706,2019-01-20 18:30:49.705,0.72,-3.415,3.963,-1.829
1548005449746,2019-01-20 18:30:49.745,0.76,1.22,-7.622,2.073
1548005449786,2019-01-20 18:30:49.785,0.8,-0.183,-1.22,0.61
1548005449826,2019-01-20 18:30:49.825,0.84,-0.976,-0.366,-1.098
1548005449866,2019-01-20 18:30:49.865,0.88,2.622,-3.841,1.463
1548005449906,2019-01-20 18:30:49.905,0.92,2.256,-1.89,0.0
1548005449946,2019-01-20 18:30:49.945,0.96,-0.976,3.476,-1.341
1548005449986,2019-01-20 18:30:49.985,1.0,5.0,-4.634,1.037
1548005450026,2019-01-20 18:30:50.025,1.04,4.634,-5.549,1.524
1548005450066,2019-01-20 18:30:50.065,1.08,1.585,1.28,-1.768
1548005450106,2019-01-20 18:30:50.105,1.12,2.012,-3.11,0.61
1548005450146,2019-01-20 18:30:50.145,1.16,2.073,-5.366,2.317
1548005450186,2019-01-20 18:30:50.185,1.2,2.5,-4.207,1.037
1548005450226,2019-01-20 18:30:50.225,1.24,1.402,-3.11,1.341
1548005450266,2019-01-20 18:30:50.265,1.28,0.183,0.183,0.427
1548005450306,2019-01-20 18:30:50.305,1.32,0.0,0.244,1.28
1548005450346,2019-01-20 18:30:50.345,1.36,2.073,-4.939,2.378
1548005450386,2019-01-20 18:30:50.385,1.4,0.61,-0.732,0.549
1548005450426,2019-01-20 18:30:50.425,1.44,0.549,1.341,-0.305
1548005450466,2019-01-20 18:30:50.465,1.48,1.28,-2.256,0.671
1548005450506,2019-01-20 18:30:50.505,1.52,-0.671,0.854,0.549
1548005450546,2019-01-20 18:30:50.545,1.56,0.732,-1.463,-0.244
1548005450586,2019-01-20 18:30:50.585,1.6,2.256,-3.476,-0.061
1548005450626,2019-01-20 18:30:50.625,1.64,1.463,-3.049,-1.768
1548005450666,2019-01-20 18:30:50.665,1.68,-0.793,0.427,-2.134
1548005450706,2019-01-20 18:30:50.705,1.72,0.427,-2.927,-1.768
1548005450746,2019-01-20 18:30:50.745,1.76,3.049,-4.817,-0.305
1548005450786,2019-01-20 18:30:50.785,1.8,4.39,-7.927,1.22
1548005450826,2019-01-20 18:30:50.825,1.84,1.28,-0.671,1.585
1548005450866,2019-01-20 18:30:50.865,1.88,2.195,-3.049,2.439
1548005450906,2019-01-20 18:30:50.905,1.92,3.293,-3.232,3.11
1548005450946,2019-01-20 18:30:50.945,1.96,6.646,-5.244,2.5
1548005450986,2019-01-20 18:30:50.985,2.0,9.878,-10.671,4.268
1548005451026,2019-01-20 18:30:51.025,2.04,5.854,-1.159,0.793
1548005451066,2019-01-20 18:30:51.065,2.08,9.268,-4.695,-3.049
1548005451106,2019-01-20 18:30:51.105,2.12,10.61,-7.012,-1.829
1548005451146,2019-01-20 18:30:51.145,2.16,15.671,-7.561,-10.122
1548005451186,2019-01-20 18:30:51.185,2.2,23.415,-17.256,-18.11
1548005451226,2019-01-20 18:30:51.225,2.24,31.829,-27.012,-26.341
1548005451266,2019-01-20 18:30:51.265,2.28,27.683,-30.915,-33.841
1548005451306,2019-01-20 18:30:51.305,2.32,24.695,-17.622,-41.341
1548005451346,2019-01-20 18:30:51.345,2.36,25.976,-13.171,-28.476
1548005451386,2019-01-20 18:30:51.385,2.4,27.805,-8.537,-23.293
1548005451426,2019-01-20 18:30:51.425,2.44,24.451,0.915,-19.939
1548005451466,2019-01-20 18:30:51.465,2.48,18.72,2.988,-15.61
1548005451506,2019-01-20 18:30:51.505,2.52,16.951,3.049,-9.512
1548005451546,2019-01-20 18:30:51.545,2.56,17.378,4.878,5.854
1548005451586,2019-01-20 18:30:51.585,2.6,18.476,0.976,22.988
1548005451626,2019-01-20 18:30:51.625,2.64,21.341,0.671,39.39
1548005451666,2019-01-20 18:30:51.665,2.68,11.463,10.732,42.378
1548005451706,2019-01-20 18:30:51.705,2.72,-0.488,13.11,29.024
1548005451746,2019-01-20 18:30:51.745,2.76,-0.732,3.72,14.573
1548005451786,2019-01-20 18:30:51.785,2.8,-5.671,0.122,-0.854
1548005451826,2019-01-20 18:30:51.825,2.84,-6.037,8.415,-6.707
1548005451866,2019-01-20 18:30:51.865,2.88,-15.549,5.732,-10.488
1548005451906,2019-01-20 18:30:51.905,2.92,-14.451,2.988,-12.927
1548005451946,2019-01-20 18:30:51.945,2.96,-17.805,2.805,-9.268
1548005451986,2019-01-20 18:30:51.985,3.0,-25.915,7.317,-6.829
1548005452026,2019-01-20 18:30:52.025,3.04,-24.695,3.11,-8.963
1548005452066,2019-01-20 18:30:52.065,3.08,-27.134,4.451,1.524
1548005452106,2019-01-20 18:30:52.105,3.12,-24.512,4.573,3.476
1548005452146,2019-01-20 18:30:52.145,3.16,-27.439,12.317,8.293
1548005452186,2019-01-20 18:30:52.185,3.2,-18.293,-0.976,11.951
1548005452226,2019-01-20 18:30:52.225,3.24,-22.561,-3.354,29.451
1548005452266,2019-01-20 18:30:52.265,3.28,-20.549,2.439,16.524
1548005452306,2019-01-20 18:30:52.305,3.32,-35.427,16.829,24.024
1548005452346,2019-01-20 18:30:52.345,3.36,-20.488,0.244,21.89
1548005452386,2019-01-20 18:30:52.385,3.4,-15.488,5.61,12.378
1548005452426,2019-01-20 18:30:52.425,3.44,-5.671,3.476,2.622
1548005452466,2019-01-20 18:30:52.465,3.48,-0.366,-1.28,3.232
1548005452506,2019-01-20 18:30:52.505,3.52,1.22,1.463,-0.366
1548005452546,2019-01-20 18:30:52.545,3.56,2.866,-1.768,1.22
1548005452586,2019-01-20 18:30:52.585,3.6,5.976,-7.622,2.073
1548005452626,2019-01-20 18:30:52.625,3.64,2.317,-0.793,0.0
1548005452666,2019-01-20 18:30:52.665,3.68,5.915,-6.463,-0.061
1548005452706,2019-01-20 18:30:52.705,3.72,7.134,-8.171,-0.061
1548005452746,2019-01-20 18:30:52.745,3.76,8.78,-5.488,-3.598
1548005452786,2019-01-20 18:30:52.785,3.8,13.72,-8.415,-5.488
1548005452826,2019-01-20 18:30:52.825,3.84,22.683,-11.402,-10.793
1548005452866,2019-01-20 18:30:52.865,3.88,27.683,-16.524,-18.11
1548005452906,2019-01-20 18:30:52.905,3.92,32.561,-11.646,-20.61
1548005452946,2019-01-20 18:30:52.945,3.96,32.134,-8.841,-24.817
1548005452986,2019-01-20 18:30:52.985,4.0,33.659,-5.915,-29.512
1548005453026,2019-01-20 18:30:53.025,4.04,35.061,-10.366,-25.488
1548005453066,2019-01-20 18:30:53.065,4.08,34.878,-6.768,-11.829
1548005453106,2019-01-20 18:30:53.105,4.12,33.78,-13.78,-7.256
1548005453146,2019-01-20 18:30:53.145,4.16,26.646,-19.878,5.549
1548005453186,2019-01-20 18:30:53.185,4.2,22.195,-5.061,5.61
1548005453226,2019-01-20 18:30:53.225,4.24,13.049,3.415,16.22
1548005453266,2019-01-20 18:30:53.265,4.28,11.098,5.244,28.11
1548005453306,2019-01-20 18:30:53.305,4.32,7.256,-1.707,24.146
1548005453346,2019-01-20 18:30:53.345,4.36,4.451,-0.183,19.024
1548005453386,2019-01-20 18:30:53.385,4.4,6.524,1.707,8.415
1548005453426,2019-01-20 18:30:53.425,4.44,6.28,2.744,-6.22
1548005453466,2019-01-20 18:30:53.465,4.48,0.915,4.634,-16.22
1548005453506,2019-01-20 18:30:53.505,4.52,-8.78,4.939,-18.72
1548005453546,2019-01-20 18:30:53.545,4.56,-14.878,5.122,-14.207
1548005453586,2019-01-20 18:30:53.585,4.6,-19.695,6.402,-10.061
1548005453626,2019-01-20 18:30:53.625,4.64,-24.146,4.329,-9.451
1548005453666,2019-01-20 18:30:53.665,4.68,-23.78,3.293,-1.585
1548005453706,2019-01-20 18:30:53.705,4.72,-22.073,-2.317,9.451
1548005453746,2019-01-20 18:30:53.745,4.76,-17.439,6.037,12.561
1548005453786,2019-01-20 18:30:53.785,4.8,-39.268,7.622,17.927
1548005453826,2019-01-20 18:30:53.825,4.84,-30.61,-4.207,24.268
1548005453866,2019-01-20 18:30:53.865,4.88,-30.915,2.988,21.098
1548005453906,2019-01-20 18:30:53.905,4.92,-26.28,-2.744,19.146
1548005453946,2019-01-20 18:30:53.945,4.96,-32.622,6.22,18.659
1548005453986,2019-01-20 18:30:53.985,5.0,-32.5,5.732,16.28
1548005454026,2019-01-20 18:30:54.025,5.04,-32.622,11.707,7.683
1548005454066,2019-01-20 18:30:54.065,5.08,-13.963,5.061,-1.89
1548005454106,2019-01-20 18:30:54.105,5.12,-0.061,-15.244,-2.378
1548005454146,2019-01-20 18:30:54.145,5.16,-3.902,-2.561,0.61
1548005454186,2019-01-20 18:30:54.185,5.2,-3.659,3.049,-3.659
1548005454226,2019-01-20 18:30:54.225,5.24,-0.732,-2.317,-0.061
1548005454266,2019-01-20 18:30:54.265,5.28,-1.463,-0.61,1.037
1548005454306,2019-01-20 18:30:54.305,5.32,9.207,-10.183,-4.268
1548005454346,2019-01-20 18:30:54.345,5.36,7.988,-10.732,0.61
